hit_id,sent_text,lemma_window,colloc,sent_id,prev_sent,token_str,lemma_str,next_sent,neg_lemma,adv_lemma,adj_lemma,neg_form,adv_form,adj_form,neg_index,adv_index,adj_index,dep_neg_source,dep_neg_target,dep_neg_relation,dep_mod_source,dep_mod_target,dep_mod_relation,json_source,match_ix,category
nyt_eng_20100228_0158_28:16-17-18,"-LBQ-  He just said he was n't performing well these last two weeks and really was n't quite sure what the problem was ,  -RDQ-  she wrote in an e-mail message .","`` he just say he was not perform well these last two week and really be not quite sure what the problem be , '' she write in a e-mail message .",,nyt_eng_20100228_0158_28,"Freeman is among a small number of Type 1 diabetics who are high-level endurance athletes , but Margo Christiansen , a spokeswoman for the U.S. team , said his abandonment was not related to his diabetes or blood-sugar levels .","`` He just said he was n't performing well these last two weeks and really was n't quite sure what the problem was , '' she wrote in an e-mail message .","`` he just say he was not perform well these last two week and really be not quite sure what the problem be , '' she write in a e-mail message .",Freeman collapsed during an earlier race at these Olympics because of low blood sugar .,n't,quite,sure,n't,quite,sure,16,17,18,"{'lemma': 'sure', 'ix': 18, 'xpos': 'JJ', 'deprel': 'conj', 'head': 'say'}","{'lemma': 'not', 'ix': 16, 'xpos': 'RB', 'deprel': 'neg', 'head': 'sure'}",neg,"{'lemma': 'sure', 'ix': 18, 'xpos': 'JJ', 'deprel': 'conj', 'head': 'say'}","{'lemma': 'quite', 'ix': 17, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'sure'}",advmod,nyt_eng_201002,16-17-18,immediateNeg
nyt_eng_20100228_0158_9:6-7-8,"Although the final climb here is not particularly formidable , it repeatedly proved to be a decisive element in most of the cross-country races during these Olympics .","although the final climb here be not particularly formidable , it repeatedly prove to be a decisive element in most of the cross-country race during these Olympics .",,nyt_eng_20100228_0158_9,There is a good reason all the medalists in the final cross-country event thought alike .,"although the final climb here is not particularly formidable , it repeatedly proved to be a decisive element in most of the cross-country races during these Olympics .","although the final climb here be not particularly formidable , it repeatedly prove to be a decisive element in most of the cross-country race during these Olympics .","Northug , who completed the 31.07 miles in 2 hours 5 minutes 35.5 seconds , blew a two-handed kiss as he crossed the finish line to celebrate his fourth medal of these games .",not,particularly,formidable,not,particularly,formidable,6,7,8,"{'lemma': 'formidable', 'ix': 8, 'xpos': 'JJ', 'deprel': 'advcl', 'head': 'prove'}","{'lemma': 'not', 'ix': 6, 'xpos': 'RB', 'deprel': 'neg', 'head': 'formidable'}",neg,"{'lemma': 'formidable', 'ix': 8, 'xpos': 'JJ', 'deprel': 'advcl', 'head': 'prove'}","{'lemma': 'particularly', 'ix': 7, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'formidable'}",advmod,nyt_eng_201002,6-7-8,immediateNeg
nyt_eng_20100228_0155_36:1-7-8,Are n't the Olympics ' opening ceremonies always better than the closing ceremonies ?,?,,nyt_eng_20100228_0155_36,1 .,are n't the Olympics ' opening ceremonies always better than the closing ceremonies ?,be not the Olympics ' opening ceremony always better than the closing ceremony ?,2 .,n't,always,better,n't,always,better,1,7,8,"{'lemma': 'better', 'ix': 8, 'xpos': 'JJR', 'deprel': 'root', 'head': '?'}","{'lemma': 'not', 'ix': 1, 'xpos': 'RB', 'deprel': 'neg', 'head': 'better'}",neg,"{'lemma': 'better', 'ix': 8, 'xpos': 'JJR', 'deprel': 'root', 'head': '?'}","{'lemma': 'always', 'ix': 7, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'better'}",advmod,nyt_eng_201002,1-7-8,immediateNeg
nyt_eng_20100228_0142_43:2-3-4,It 's not so much about how much progress we make in the next 12 months .,it be not so much about how much progress we make in the next 12 month .,,nyt_eng_20100228_0142_43,You can tell by watching us that we have the resolve .,it 's not so much about how much progress we make in the next 12 months .,it be not so much about how much progress we make in the next 12 month .,It 's about  -COL-  Are we setting ourselves up like we have in other markets ?,not,so,much,not,so,much,2,3,4,"{'lemma': 'much', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 2, 'xpos': 'RB', 'deprel': 'neg', 'head': 'much'}",neg,"{'lemma': 'much', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'so', 'ix': 3, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'much'}",advmod,nyt_eng_201002,2-3-4,immediateNeg
nyt_eng_20100228_0128_17:1-2-3,"Although hardly as pressing as the threat of nuclear proliferation , there is also a strong sense of exasperation among Latin American leaders with the United States .",.,,nyt_eng_20100228_0128_17,Sabatini said that disagreement was likely to remain  -LBQ-  a major irritant  -RDQ-  in Brazil 's relationship with the United States .,"although hardly as pressing as the threat of nuclear proliferation , there is also a strong sense of exasperation among Latin American leaders with the United States .","although hardly as pressing as the threat of nuclear proliferation , there be also a strong sense of exasperation among latin american leader with the United States .","Just last week , those leaders agreed to form a new political group that , unlike the Organization of American States , includes Cuba and excludes the United States and Canada .",hardly,as,pressing,hardly,as,pressing,1,2,3,"{'lemma': 'pressing', 'ix': 3, 'xpos': 'JJ', 'deprel': 'advcl', 'head': 'be'}","{'lemma': 'hardly', 'ix': 1, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'pressing'}",advmod,"{'lemma': 'pressing', 'ix': 3, 'xpos': 'JJ', 'deprel': 'advcl', 'head': 'be'}","{'lemma': 'as', 'ix': 2, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'pressing'}",advmod,nyt_eng_201002,1-2-3,immediateNeg
nyt_eng_20100228_0122_49:11-12-13,"But many judges and experts in jury behavior say it is not particularly difficult to find unbiased -- indeed , profoundly uninformed -- jurors .","but many judge and expert in jury behavior say it be not particularly difficult to find unbiased -- indeed , profoundly uninformed -- juror .",,nyt_eng_20100228_0122_49,"Some social science research indicates that jurors can be unaware of biases prompted by public controversy , and are reluctant to admit to them in any event .","but many judges and experts in jury behavior say it is not particularly difficult to find unbiased -- indeed , profoundly uninformed -- jurors .","but many judge and expert in jury behavior say it be not particularly difficult to find unbiased -- indeed , profoundly uninformed -- juror .","-LBQ-  This may come as a surprise to lawyers and judges ,  -RDQ-  the full U.S. Court of Appeals for the District of Columbia Circuit wrote in an unsigned decision affirming the convictions of top aides of President Richard M. Nixon in the aftermath of the Watergate scandal ,  -LBQ-  but it is simply a fact of life that matters which interest them may be less fascinating to the public generally .  -RDQ-",not,particularly,difficult,not,particularly,difficult,11,12,13,"{'lemma': 'difficult', 'ix': 13, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'say'}","{'lemma': 'not', 'ix': 11, 'xpos': 'RB', 'deprel': 'neg', 'head': 'difficult'}",neg,"{'lemma': 'difficult', 'ix': 13, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'say'}","{'lemma': 'particularly', 'ix': 12, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'difficult'}",advmod,nyt_eng_201002,11-12-13,immediateNeg
nyt_eng_20100228_0087_10:24-25-26,"While bankers and analysts expect the deal to come to the market this week , events are so fluid and uncertain -- it is not even clear yet which banks will syndicate the deal -- that further delays are also possible .","while banker and analyst expect the deal to come to the market this week , event be so fluid and uncertain -- it be not even clear yet which bank will syndicate the deal -- that further delay be also possible .",,nyt_eng_20100228_0087_10,-LBQ-  Europe realizes that something bigger needs to be done before things get out of control .  -RDQ-,"while bankers and analysts expect the deal to come to the market this week , events are so fluid and uncertain -- it is not even clear yet which banks will syndicate the deal -- that further delays are also possible .","while banker and analyst expect the deal to come to the market this week , event be so fluid and uncertain -- it be not even clear yet which bank will syndicate the deal -- that further delay be also possible .","With no structure in place for dealing with a threatened default within the 16-nation euro zone , officials are making up the rules as they go .",not,even,clear,not,even,clear,24,25,26,"{'lemma': 'clear', 'ix': 26, 'xpos': 'JJ', 'deprel': 'dep', 'head': 'uncertain'}","{'lemma': 'not', 'ix': 24, 'xpos': 'RB', 'deprel': 'neg', 'head': 'clear'}",neg,"{'lemma': 'clear', 'ix': 26, 'xpos': 'JJ', 'deprel': 'dep', 'head': 'uncertain'}","{'lemma': 'even', 'ix': 25, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'clear'}",advmod,nyt_eng_201002,24-25-26,immediateNeg
nyt_eng_20100228_0084_39:9-10-11,But  -LBQ-  The Female of the Species  -RDQ-  is not just anti-feminist .,but `` the female of the Species '' be not just anti-feminist .,,nyt_eng_20100228_0084_39,"For while Murray-Smith presents various points of view on the evolution of feminism since the 1960s , the play 's depiction of Margot as a heedless opportunist of no consistent moral stance -LRB- she cheerily jokes about needing to crank out another book to pay for a villa in Umbria -RRB- amounts to a snarky ad hominem attack on the female writers who have led the conversation over the past decades .",but `` The Female of the Species '' is not just anti-feminist .,but `` the female of the Species '' be not just anti-feminist .,"In its depiction of women as variously pompous , deluded , self-obsessed , hypocritical , sexually obsequious or just plain crazy , it comes closer to being anti-female .",not,just,anti-feminist,not,just,anti-feminist,9,10,11,"{'lemma': 'anti-feminist', 'ix': 11, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 9, 'xpos': 'RB', 'deprel': 'neg', 'head': 'anti-feminist'}",neg,"{'lemma': 'anti-feminist', 'ix': 11, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'just', 'ix': 10, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'anti-feminist'}",advmod,nyt_eng_201002,9-10-11,immediateNeg
nyt_eng_20100228_0078_11:31-32-33,"Meanwhile , the Michigan State Bar 's Family Law Council acknowledges there is a lack of information for those who are navigating divorce on their own , but the solution is n't as easy as handing them forms .","meanwhile , the Michigan State Bar 's Family Law Council acknowledge there be a lack of information for those who are navigate divorce on they own , but the solution be not as easy as hand they form .",,nyt_eng_20100228_0078_11,"Family lawyers acknowledge that something needs to be done to make the divorce process easier for those who are self-representing ; Michigan lags behind California and Texas in making the process easy , with downloadable online forms .","meanwhile , the Michigan State Bar 's Family Law Council acknowledges there is a lack of information for those who are navigating divorce on their own , but the solution is n't as easy as handing them forms .","meanwhile , the Michigan State Bar 's Family Law Council acknowledge there be a lack of information for those who are navigate divorce on they own , but the solution be not as easy as hand they form .",By Catherine Jun. .,n't,as,easy,n't,as,easy,31,32,33,"{'lemma': 'easy', 'ix': 33, 'xpos': 'JJ', 'deprel': 'conj', 'head': 'acknowledge'}","{'lemma': 'not', 'ix': 31, 'xpos': 'RB', 'deprel': 'neg', 'head': 'easy'}",neg,"{'lemma': 'easy', 'ix': 33, 'xpos': 'JJ', 'deprel': 'conj', 'head': 'acknowledge'}","{'lemma': 'as', 'ix': 32, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'easy'}",advmod,nyt_eng_201002,31-32-33,immediateNeg
nyt_eng_20100228_0075_65:13-14-15,"You can see why NBC passed gritty and dark , this ensemble is n't quite different enough to stand out , and the new episodes NBC filmed for a never-shown second season do n't improve that much .","you can see why NBC pass gritty and dark , this ensemble be not quite different enough to stand out , and the new episode NBC film for a never-shown second season do not improve that much .",,nyt_eng_20100228_0075_65,"How 's this for irony ? As NBC scrambles to ramp up Law & Order for an umpteeth run at 10 p.m. , TNT is debuting new episodes of this series , which the Peacock Network canceled back when it thought Jay Leno was the network 's prime-time future .","you can see why NBC passed gritty and dark , this ensemble is n't quite different enough to stand out , and the new episodes NBC filmed for a never-shown second season do n't improve that much .","you can see why NBC pass gritty and dark , this ensemble be not quite different enough to stand out , and the new episode NBC film for a never-shown second season do not improve that much .","But Regina King is amazing as a detective struggling with a new partner after her old one is shot , offering a serious dilemma for fans of NBC-style cop drama .",n't,quite,different,n't,quite,different,13,14,15,"{'lemma': 'different', 'ix': 15, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'see'}","{'lemma': 'not', 'ix': 13, 'xpos': 'RB', 'deprel': 'neg', 'head': 'different'}",neg,"{'lemma': 'different', 'ix': 15, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'see'}","{'lemma': 'quite', 'ix': 14, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'different'}",advmod,nyt_eng_201002,13-14-15,immediateNeg
