hit_id,colloc,sent_text,neg_form,adv_form,adj_form,text_window,sent_id,prev_sent,sent_text,token_str,lemma_str,next_sent,neg_lemma,adv_lemma,adj_lemma,neg_index,adv_index,adj_index,dep_neg_source,dep_neg_target,dep_neg_relation,dep_mod_source,dep_mod_target,dep_mod_relation,json_source,match_ix,colloc,category
nyt_eng_20040507_0026_33:20-22-23,more_besotting,"The performers ' sense of play softens the archness , especially the eerily affecting McMillan and Rossellini , who 's never been more besotting .",never,more,besotting,who 's never been more besotting .,nyt_eng_20040507_0026_33,"It remains , to some extent , fractured , held together , in part , by disparate renditions of Jerome Kern 's  -LBQ-  The Song Is You  -RDQ-  and by the director 's affection for his characters .","The performers ' sense of play softens the archness , especially the eerily affecting McMillan and Rossellini , who 's never been more besotting .","the performers ' sense of play softens the archness , especially the eerily affecting McMillan and Rossellini , who 's never been more besotting .","the performer ' sense of play soften the archness , especially the eerily affect McMillan and Rossellini , who 's never be more besotting .","With a blond wig and outsize delivery , she 's like Marlene Dietrich cosmically Photoshopped into the body of Ingrid Bergman , Rossellini 's mother .",never,more,besotting,20,22,23,"{'lemma': 'besotting', 'ix': 23, 'xpos': 'JJ', 'deprel': 'rcmod', 'head': 'McMillan'}","{'lemma': 'never', 'ix': 20, 'xpos': 'RB', 'deprel': 'neg', 'head': 'besotting'}",neg,"{'lemma': 'besotting', 'ix': 23, 'xpos': 'JJ', 'deprel': 'rcmod', 'head': 'McMillan'}","{'lemma': 'more', 'ix': 22, 'xpos': 'RBR', 'deprel': 'advmod', 'head': 'besotting'}",advmod,nyt_eng_200405,20-22-23,more_besotting,immediateNeg
nyt_eng_20040507_0020_4:2-8-9,that_hard,"It is not , in fact , all that hard to diagnose what ails0the G ? 960a lack of demand , caused in part by Germans ' high propensity to save .",not,that,hard,"it is not , in fact , all that hard to diagnose",nyt_eng_20040507_0020_4,"Over the past two weeks , Schroeder has lashed out at two supposed culprits  -COL-  budget austerity , which he seems to blame for accentuating the gloom that stops German consumers from spending ; and low wages and corporate-tax rates in the eight central Eer\/xean countbi % -LCB- that have just joined the European Union , which he says allow them to steal jobs and investment from Germany .","It is not , in fact , all that hard to diagnose what ails0the G ? 960a lack of demand , caused in part by Germans ' high propensity to save .","it is not , in fact , all that hard to diagnose what ails0the G ? 960a lack of demand , caused in part by Germans ' high propensity to save .","it be not , in fact , all that hard to diagnose what ails0the G ? 960a lack of demand , cause in part by Germans ' high propensity to save .","This suggests that , at least for Germany , the European Central Bank 's monetary policy may have erred on the tight side over the past few years .",not,that,hard,2,8,9,"{'lemma': 'hard', 'ix': 9, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 2, 'xpos': 'RB', 'deprel': 'neg', 'head': 'hard'}",neg,"{'lemma': 'hard', 'ix': 9, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'that', 'ix': 8, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'hard'}",advmod,nyt_eng_200405,2-8-9,that_hard,immediateNeg
nyt_eng_20040507_0016_19:4-5-6,just_bad,And the reviews were n't just bad ; they were withering .,n't,just,bad,reviews were n't just bad ; they,nyt_eng_20040507_0016_19,The disc topped hundreds of worst-of-the-year lists .,And the reviews were n't just bad ; they were withering .,and the reviews were n't just bad ; they were withering .,and the review be not just bad ; they were wither .,Here are excerpts from a few random reviews of the disc  -COL-,n't,just,bad,4,5,6,"{'lemma': 'bad', 'ix': 6, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 4, 'xpos': 'RB', 'deprel': 'neg', 'head': 'bad'}",neg,"{'lemma': 'bad', 'ix': 6, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'just', 'ix': 5, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'bad'}",advmod,nyt_eng_200405,4-5-6,just_bad,immediateNeg
nyt_eng_20040507_0011_15:8-9-10,as_bad,"As horrible as that is , it is n't as bad as being shot dead .",n't,as,bad,it is n't as bad as being,nyt_eng_20040507_0011_15,"The soldiers under Calley 's command certainly thought they had killed them all , but a few escaped by being buried below dead bodies .","As horrible as that is , it is n't as bad as being shot dead .","as horrible as that is , it is n't as bad as being shot dead .","as horrible as that be , it be not as bad as being shoot dead .","At the time , most people said they wanted Calley freed immediately which , coincidentally , is exactly what happened .",n't,as,bad,8,9,10,"{'lemma': 'bad', 'ix': 10, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 8, 'xpos': 'RB', 'deprel': 'neg', 'head': 'bad'}",neg,"{'lemma': 'bad', 'ix': 10, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'as', 'ix': 9, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'bad'}",advmod,nyt_eng_200405,8-9-10,as_bad,immediateNeg
nyt_eng_20040507_0010_6:18-19-20,only_irrational,"In its simplest form , the argument goes like this  -COL-  Religion is centered on beliefs that are not only irrational but which also stir the passions .",not,only,irrational,that are not only irrational but which,nyt_eng_20040507_0010_6,It took root among thinkers in the 18th century who were appalled by the religion-fueled wars that ravaged Europe and continues among skeptics today .,"In its simplest form , the argument goes like this  -COL-  Religion is centered on beliefs that are not only irrational but which also stir the passions .","in its simplest form , the argument goes like this : Religion is centered on beliefs that are not only irrational but which also stir the passions .","in its simplest form , the argument go like this : Religion is center on belief that be not only irrational but which also stir the passion .","These passions overwhelm our reason and lead us to defend our beliefs , to the death if necessary , when they are questioned .",not,only,irrational,18,19,20,"{'lemma': 'irrational', 'ix': 20, 'xpos': 'JJ', 'deprel': 'rcmod', 'head': 'belief'}","{'lemma': 'not', 'ix': 18, 'xpos': 'RB', 'deprel': 'neg', 'head': 'irrational'}",neg,"{'lemma': 'irrational', 'ix': 20, 'xpos': 'JJ', 'deprel': 'rcmod', 'head': 'belief'}","{'lemma': 'only', 'ix': 19, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'irrational'}",advmod,nyt_eng_200405,18-19-20,only_irrational,immediateNeg
nyt_eng_20040507_0002_16:28-30-31,too_sympathetic,"He knows that New York fans were disappointed they did not get to see him play in the first two games of the series , but he did not seem too sympathetic .",not,too,sympathetic,he did not seem too sympathetic .,nyt_eng_20040507_0002_16,"Bonds said he spent much of the past two days lying in bed , resting and recuperating .","He knows that New York fans were disappointed they did not get to see him play in the first two games of the series , but he did not seem too sympathetic .","he knows that New York fans were disappointed they did not get to see him play in the first two games of the series , but he did not seem too sympathetic .","he know that New York fan be disappointed they did not get to see he play in the first two game of the series , but he did not seem too sympathetic .","-LBQ-  That 's too bad ,  -RDQ-  he said .",not,too,sympathetic,28,30,31,"{'lemma': 'sympathetic', 'ix': 31, 'xpos': 'JJ', 'deprel': 'conj', 'head': 'know'}","{'lemma': 'not', 'ix': 28, 'xpos': 'RB', 'deprel': 'neg', 'head': 'sympathetic'}",neg,"{'lemma': 'sympathetic', 'ix': 31, 'xpos': 'JJ', 'deprel': 'conj', 'head': 'know'}","{'lemma': 'too', 'ix': 30, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'sympathetic'}",advmod,nyt_eng_200405,28-30-31,too_sympathetic,immediateNeg
nyt_eng_20040506_0029_4:1-6-7,as_high,But never have the stakes been as high or the background situation as volatile .,never,as,high,but never have the stakes been as high or the,nyt_eng_20040506_0029_4,Stormy relations between the often combative Rumsfeld and Congress have developed many times .,But never have the stakes been as high or the background situation as volatile .,but never have the stakes been as high or the background situation as volatile .,but never have the stake be as high or the background situation as volatile .,"Rumsfeld steps in the spotlight with the support of top Army brass and the emphatic backing of the president , but with a growing number of opponents calling for him to resign .",never,as,high,1,6,7,"{'lemma': 'high', 'ix': 7, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'never', 'ix': 1, 'xpos': 'RB', 'deprel': 'cc', 'head': 'high'}",cc,"{'lemma': 'high', 'ix': 7, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'as', 'ix': 6, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'high'}",advmod,nyt_eng_200405,1-6-7,as_high,immediateNeg
nyt_eng_20040506_0003_12:21-22-23,more_persuasive,He might get only $ 3.5 billion _ the payout for a single occurrence _ since his basic argument may seem no more persuasive in a trial that is scheduled to begin in August .,no,more,persuasive,may seem no more persuasive in a,nyt_eng_20040506_0003_12,Now Silverstein will receive at most $ 4.5 billion to rebuild at ground zero .,He might get only $ 3.5 billion _ the payout for a single occurrence _ since his basic argument may seem no more persuasive in a trial that is scheduled to begin in August .,he might get only $ 3.5 billion _ the payout for a single occurrence _ since his basic argument may seem no more persuasive in a trial that is scheduled to begin in August .,he might get only $ 3.5 billion _ the payout for a single occurrence _ since he basic argument may seem no more persuasive in a trial that is schedule to begin in August .,"Silverstein 's defeat does not create any need to rethink the site plan , which was developed over a long period of time with intense public scrutiny .",no,more,persuasive,21,22,23,"{'lemma': 'persuasive', 'ix': 23, 'xpos': 'JJ', 'deprel': 'advcl', 'head': 'get'}","{'lemma': 'no', 'ix': 21, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'persuasive'}",advmod,"{'lemma': 'persuasive', 'ix': 23, 'xpos': 'JJ', 'deprel': 'advcl', 'head': 'get'}","{'lemma': 'more', 'ix': 22, 'xpos': 'RBR', 'deprel': 'advmod', 'head': 'persuasive'}",advmod,nyt_eng_200405,21-22-23,more_persuasive,immediateNeg
nyt_eng_20040505_0060_44:5-6-7,always_able,"Even those with insurance are n't always able to afford health care , Dennis said .",n't,always,able,insurance are n't always able to afford,nyt_eng_20040505_0060_44,"-LBQ-  The folks who makE  -LBQ-  jmrt enough to get by , they 're in a pickle ,  -RDQ-  clinic administrator Kevin Dennis said .","Even those with insurance are n't always able to afford health care , Dennis said .","even those with insurance are n't always able to afford health care , Dennis said .","even those with insurance be not always able to afford health care , Dennis say .","-LBQ-  They often have a big deductible , 500 or 1,000 ,  -RDQ-  0he sa does absolutely nothing for them .  -RDQ-",n't,always,able,5,6,7,"{'lemma': 'able', 'ix': 7, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'say'}","{'lemma': 'not', 'ix': 5, 'xpos': 'RB', 'deprel': 'neg', 'head': 'able'}",neg,"{'lemma': 'able', 'ix': 7, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'say'}","{'lemma': 'always', 'ix': 6, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'able'}",advmod,nyt_eng_200405,5-6-7,always_able,immediateNeg
nyt_eng_20040505_0045_10:21-22-23,necessarily_imminent,"-LBQ-  So while the market risk clearly rises with the imminent change in Fed policy , a major bear market is not necessarily imminent ,  -RDQ-  said Stack .",not,necessarily,imminent,"market is not necessarily imminent , ''",nyt_eng_20040505_0045_10,"According to Stack , the Fed may try to ease the market 's reaction _  -LBQ-  or possibly overreaction  -RDQ-  _ to a future rate increase by claiming that  -LBQ-  increasing interest rates will actually help the U.S. economy .  -RDQ-","-LBQ-  So while the market risk clearly rises with the imminent change in Fed policy , a major bear market is not necessarily imminent ,  -RDQ-  said Stack .","`` So while the market risk clearly rises with the imminent change in Fed policy , a major bear market is not necessarily imminent , '' said Stack .","`` so while the market risk clearly rise with the imminent change in Fed policy , a major bear market be not necessarily imminent , '' say Stack .","The nation 's purchasing agents , through their Institute of Supply Management , gave investors some good economic news on Wednesday _ the ISM index of service industries rose to a record 68.4 in April .",not,necessarily,imminent,21,22,23,"{'lemma': 'imminent', 'ix': 23, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'say'}","{'lemma': 'not', 'ix': 21, 'xpos': 'RB', 'deprel': 'neg', 'head': 'imminent'}",neg,"{'lemma': 'imminent', 'ix': 23, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'say'}","{'lemma': 'necessarily', 'ix': 22, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'imminent'}",advmod,nyt_eng_200405,21-22-23,necessarily_imminent,immediateNeg
