adj_form_lower,very,more,most,so,not,as,too,really,much,pretty,less,n't,even,also,quite,extremely,still,highly,just,always,completely,relatively,particularly,only,far,now,all,almost,truly,incredibly,fairly,increasingly,rather,especially,slightly,absolutely,totally,often,super,entirely,somewhat,already,that,equally,no,fully,potentially,mostly,perfectly,well,nearly,deeply,largely,seemingly,actually,longer,sometimes,significantly,both,probably,politically,generally,never,usually,easily,surprisingly,currently,simply,ever,overly,definitely,certainly,once,immediately,otherwise,yet,real,any,clearly,readily,virtually,utterly,environmentally,mentally,hugely,partly,exceptionally,unusually,about,long,previously,physically,remarkably,terribly,socially,seriously,genuinely,purely,however,reasonably
many,21237,373,140,1191864,58442,434631,450194,518,201,54,54,580,5310,1132,230,36,1019,8,346,94,23,92,90,480,244,870,45,62,67,42,13,105,173,134,7,29,7,512,4,6,4,243,4045,111,3,9,339,17,9,280,31,18,4,47,192,51,126,10,14,727,6,47,20,123,39,332,52,46,206,16,60,340,167,35,69,147,0,1,300,2,17,2,0,3,3,1,11,8,4360,69,65,5,20,53,3,27,2,0,4219,1
important,359610,306604,748533,105509,17351,102823,12879,72175,1826,6594,25152,7071,658,67118,5670,51949,9112,4792,2471,9316,73,281,26247,4091,48,556,3866,58,4430,16543,1008,22154,1748,35875,106,889,122,1600,4633,32,1156,143,7727,29798,6,8,1858,115,1,65,38,765,30,196,1337,710,172,298,887,492,991,117,115,266,3,219,49,120,518,146,1200,1637,256,99,100,74,1387,1,930,2,8,205,140,15,7731,3,754,105,85,18,40,20,140,1720,371,234,254,2,727,53
good,507499,18902,5207,153196,96143,235348,59683,260281,14343,243692,2544,34203,2334,20518,27613,9612,10410,49,7551,25734,306,5786,17371,11352,60,517,19009,500,2730,3524,10654,259,3922,10036,59,313,327,808,1836,375,451,1845,21355,4660,2456,44,1197,1889,10300,266,508,50,137,692,5760,1221,632,38,2360,2551,24,4423,4203,1906,100,7644,103,632,756,68,1610,1395,322,34,1576,253,16570,726,282,3,8,29,23,15,16,46,4191,949,1474,19,89,111,2215,781,43,1755,1888,201,1036,5203
much,42365,102,22,614652,66410,355368,583184,3066,284,57884,15,13683,999,407,87,47,406,1,91,69,1,27,21,85,54,172,117,5,25,56,42,11,45,20,3,5,2,105,2,2,3,54,19558,13,19,1,41,6,1,110,2,0,4,9,150,232,9,3,6,104,1,28,796,94,4,28,34,15,156,41,18,97,10,1,18,122,2,0,67,0,1,0,1,2,2,0,3,2,1682,9,11,2,5,105,0,1,2,0,3165,4
likely,35899,498401,192635,847,46858,31820,1196,466,259,1312,139538,17793,846,16795,7419,2131,3266,12881,215,1129,20,63,1102,2480,27,2383,924,23,25,168,496,4778,168,1379,13,17,16,154,30,549,903,287,128,2382,8,1,31,1058,28,24,5,1,4,27,381,158,6,17,273,250,8,51,1011,55,3,14,61,63,1959,15,71,241,18,28,92,28,37,1,14,1,1,2,0,0,16,1,26,25,10,2,6,1,7,165,0,6,6,0,61,845
more,69,2280,90,2953,17641,2851,52,4561,355655,14,939,696,199527,2643,69,128,8911,6,7362,2637,5,675,63,2372,103173,3960,914,1659,191,31,5,1921,2104,83,19068,117,44,1809,1,27,2246,857,17,19,92122,8,1096,87,5,1054,134,0,27,241,2359,47,1317,15101,192,6168,19,491,2009,1192,130,52,124,618,6792,1,2030,1797,16354,29,70,5865,16,7252,717,3,9,0,5,18,30,6,7,4,17230,79,27,20,26,3,4,24,11,2,69,9
different,233008,12237,1364,39346,4024,9296,5198,6545,44251,2140,198,792,349,3712,43184,2067,652,191,5809,2143,105703,133,349,888,10895,503,6895,80,1141,989,569,144,5112,128,54601,827,47874,1037,135,45591,10881,189,7773,123,21183,88,302,161,45,164,12,119,256,550,603,34,266,10113,272,596,54,163,61,325,13,434,14,554,52,21,2282,1336,41,54,64,230,203,3313,1134,4,12,1289,5,26,594,37,79,39,511,12,17,365,1174,525,35,68,251,12,356,22
available,403,9739,1384,490,132371,1879,277,552,979,32,1978,20868,2227,114567,117,44,25724,1895,533,22010,289,43,14,54130,129,115605,8942,63,195,11,31,1000,14,50,2,61,128,2438,19,57,51,15729,35,492,7,1241,752,479,16,67,12,0,181,66,1656,18935,601,6,1326,246,6,4873,589,3282,12591,18,42006,147,558,21,166,243,730,30725,976,8238,10,13,156,65655,31,7,4,8,19,27,10,7,16,130,3343,151,7,0,14,1,51,8,68,599
sure,4691,2324,315,35676,467213,3900,8714,20125,341,84366,2358,92560,14871,2043,36320,111,460,5,315,2151,3439,342,112,339,9,734,527,2534,114,20,3635,74,154,83,14,7585,2184,18,68,13662,38,336,409,433,34,310,0,42,260,79,99,4,2,59,753,923,12,0,100,30,2,17,3208,35,1,11,19,15,179,49,311,93,56,178,16,2075,595,1,10,0,105,51,1,2,1,1,8,0,39,4,7,2,11,76,0,2,6,1,41,1427
difficult,188193,220215,76638,26542,19841,16041,27938,18779,638,5649,5467,5778,784,4195,15489,39970,3590,471,1060,5630,45,776,10562,749,34,447,388,382,837,11499,1353,19609,5223,7055,649,94,28,11742,414,54,3347,2541,6518,1392,19,1,826,49,1,35,77,63,15,245,685,212,5999,71,424,328,1798,443,245,792,3,1448,249,166,71,613,377,406,100,10,799,131,557,1,123,0,69,37,8,66,340,4,1406,364,51,37,225,352,405,1669,40,146,261,2,898,75
