bigram,lexical
very_good,True
pretty_tall,False
exactly_sure,False
too_shabby,False
scantily_clad,True
brand_new,True
terminally_ill,True
immediately_available,False
so_many,True
most_important,False
so_much,True
too_much,True
more_likely,False
not_sure,False
too_many,True
as_many,False
most_popular,False
very_important,False
much_more,False
as_much,True
most_recent,False
more_important,False
much_better,False
most_common,False
really_good,False
pretty_good,False
very_little,False
as_good,False
very_different,False
more_difficult,False
even_more,False
most_likely,False
very_difficult,False
not_enough,False
very_few,False
most_famous,False
so_good,False
very_best,False
very_first,False
most_effective,False
most_powerful,False
very_happy,False
much_easier,False
more_effective,False
more_efficient,False
less_likely,False
even_better,False
very_high,False
too_late,False
not_available,False
more_expensive,False
very_easy,False
very_small,False
now_available,False
also_available,False
more_comfortable,False
very_nice,False
very_strong,False
most_successful,False
more_interesting,False
very_close,False
very_interesting,False
not_able,False
completely_different,False
so_important,False
more_complex,False
most_beautiful,False
very_long,False
far_more,False
as_important,False
more_powerful,False
very_similar,False
not_good,False
very_own,False
not_easy,False
very_hard,False
very_clear,False
n't_sure,False
very_simple,False
no_more,True
not_clear,False
even_worse,False
much_higher,False
as_simple,False
so_bad,False
very_popular,False
more_serious,False
so_easy,False
very_large,False
most_significant,False
very_low,False
more_common,False
too_big,False
very_least,False
very_special,False
most_interesting,False
pretty_sure,False
too_bad,True
so_excited,False
more_complicated,False
so_happy,False
very_excited,False
not_possible,False
n't_enough,False
much_larger,False
too_high,False
most_difficult,False
