adj_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
available,11,6.55,20.72,0,0,0,0.5,69,72,3.1661244662524664,69,0.5,1.25,-0.75,1.731718147766671,1.2432723358449946
sure,11,0.82,2.4,0,0,0,0.0,8,9,2.9342591131680713,8,0.0,0.0,0.0,1.300515948120289,1.1445086705202312
important,11,0.73,1.1,0,0,0,1.5,3,8,1.5176050210776189,3,1.5,3.75,-2.25,1.4751915252677483,1.306930693069307
difficult,11,0.45,0.93,0,0,0,0.5,3,5,2.0552372125864204,3,0.5,1.25,-0.75,1.2866648980094317,1.1891891891891893
likely,11,0.36,0.67,0,0,0,0.5,2,4,1.8540496217739153,2,0.5,1.25,-0.75,1.25345107172309,1.1785714285714286
late,11,0.27,0.9,0,0,0,0.0,3,3,3.3166247903554003,3,0.0,0.0,0.0,1.1343125221954626,1.0731707317073171
good,11,0.27,0.47,0,0,0,0.5,1,3,1.7126976771553506,1,0.5,1.25,-0.75,1.2080894444044472,1.1578947368421053
close,11,0.27,0.47,0,0,0,0.5,1,3,1.7126976771553506,1,0.5,1.25,-0.75,1.2080894444044472,1.1578947368421053
qualified,11,0.18,0.6,0,0,0,0.0,2,2,3.3166247903553994,2,0.0,0.0,0.0,1.1050315033964666,1.064516129032258
dangerous,11,0.18,0.6,0,0,0,0.0,2,2,3.3166247903553994,2,0.0,0.0,0.0,1.1050315033964666,1.064516129032258
serious,11,0.18,0.4,0,0,0,0.0,1,2,2.2248595461286986,1,0.0,0.0,0.0,1.1343125221954626,1.1
fast,11,0.18,0.6,0,0,0,0.0,2,2,3.3166247903553994,2,0.0,0.0,0.0,1.1050315033964666,1.064516129032258
extreme,11,0.18,0.4,0,0,0,0.0,1,2,2.2248595461286986,1,0.0,0.0,0.0,1.1343125221954626,1.1
effective,11,0.18,0.4,0,0,0,0.0,1,2,2.2248595461286986,1,0.0,0.0,0.0,1.1343125221954626,1.1
easy,11,0.18,0.4,0,0,0,0.0,1,2,2.2248595461286986,1,0.0,0.0,0.0,1.1343125221954626,1.1
stupid,11,0.18,0.6,0,0,0,0.0,2,2,3.3166247903553994,2,0.0,0.0,0.0,1.1050315033964666,1.064516129032258
deserving,11,0.18,0.6,0,0,0,0.0,2,2,3.3166247903553994,2,0.0,0.0,0.0,1.1050315033964666,1.064516129032258
safe,11,0.18,0.4,0,0,0,0.0,1,2,2.2248595461286986,1,0.0,0.0,0.0,1.1343125221954626,1.1
alive,11,0.18,0.4,0,0,0,0.0,1,2,2.2248595461286986,1,0.0,0.0,0.0,1.1343125221954626,1.1
compelling,11,0.18,0.6,0,0,0,0.0,2,2,3.3166247903553994,2,0.0,0.0,0.0,1.1050315033964666,1.064516129032258
committed,11,0.18,0.4,0,0,0,0.0,1,2,2.2248595461286986,1,0.0,0.0,0.0,1.1343125221954626,1.1
viable,11,0.18,0.6,0,0,0,0.0,2,2,3.3166247903553994,2,0.0,0.0,0.0,1.1050315033964666,1.064516129032258
