                l1  l2                     f             E11  r.log.likelihood  r.Poisson.Stirling  r.gmean  r.odds.ratio  r.relative.risk  r.Dice   r.MI2   r.MI3    r.MS  r.t.score  r.z.score.corr  am.log.likelihood  am.Poisson.Stirling        am.gmean   am.odds.ratio  am.relative.risk         am.Dice          am.MI2           am.MI3           am.MS      am.t.score  am.z.score.corr       f1       f2         N  
         basically  impossible          1151   5.6770179e+01              2421                1943     2446          2578             2497    2650    2446    3641    3478       3043            2041      4.8029050e+03        1.0044323e+03   1.7756410e-02   1.33247739859     1.33006960216   1.0479451e-02   4.36803038138    7.4291057e+00   5.7984887e-03      32.2530570     145.16098967    21168   198500  74015056  
       excessively  dry                  263   1.2502863e+01              6021                4641     6022          2579             2493    4597    6022    9844    5261       7979            4554      1.1066913e+03        2.3371542e+02   8.6455172e-03   1.33230836075     1.33062054818   6.6612634e-03   3.74290202695    6.1628578e+00   4.0680588e-03      15.4463152      70.70177225    14314    64650  74015056  
          possibly  decisive              73   3.4307822e+00             11547                8470    11880          2580             2507    8157   11880   20629    8405      15687            8236      3.0798111e+02        6.5235372e+01   4.5810629e-03   1.33230134213     1.32903733764   3.9877636e-03   3.19125257321    5.0545754e+00   2.6724264e-03       8.1424611      37.28962056    27316     9296  74015056  
            wholly  ignorant             178   8.4040427e+00              7451                5651     7402          2581             2512    4432    7402   12490    3733       9929            5466      7.5009887e+02        1.5871143e+02   7.1370024e-03   1.33207924065     1.32819548977   6.8868125e-03   3.57635175502    5.8267718e+00   5.4551027e-03      12.7117544      58.32961366    32630    19063  74015056  
                of  funny                632   3.0637777e+01              3546                2799     3561          2582             2496    3510    3561    5563    4376       4627            2888      2.6471969e+03        5.5626450e+02   1.3271757e-02   1.33205250981     1.33008005401   8.4249817e-03   4.11517690566    6.9158940e+00   4.7527016e-03      23.9209048     108.55411092    17053   132977  74015056  
          horribly  depressing            97   4.5629886e+00             10102                7450    10195          2583             2500    5965   10195   17669    4199      13656            7283      4.0906627e+02        8.6643103e+01   5.2782141e-03   1.33191453237     1.32987038803   5.2655864e-03   3.31429408061    5.3010658e+00   4.9251079e-03       9.3855565      43.03934842    17148    19695  74015056  
         painfully  honest               610   2.9207144e+01              3622                2846     3606          2584             2511    2211    3606    5663    2212       4715            2915      2.5620930e+03        5.4018322e+02   1.3119741e-02   1.33186965380     1.32835776176   1.1943338e-02   4.10517058433    6.8905004e+00   8.4472325e-03      23.5156154     107.37487752    29936    72213  74015056  
        apparently  harmless             179   8.4630120e+00              7431                5633     7386          2585             2524    4718    7386   12451    4545       9899            5449      7.5398784e+02        1.5949501e+02   7.1520496e-03   1.33185737480     1.32724129797   6.5153694e-03   3.57818110328    5.8310341e+00   4.6128076e-03      12.7465329      58.44951663    38805    16142  74015056  
         primarily  digital               87   4.0930283e+00             10656                7838    10814          2586             2508    6682   10814   18737    5995      14453            7649      3.6687113e+02        7.7706662e+01   4.9984671e-03   1.33184034130     1.32897823697   4.7517614e-03   3.26699375611    5.2065130e+00   3.6265110e-03       8.8885604      40.73254822    23990    12628  74015056  
       wonderfully  flavorful            107   5.0480202e+00              9636                7115     9707          2587             2519    6870    9707   16754    7390      12963            6977      4.5090143e+02        9.5440599e+01   5.5355809e-03   1.33174479847     1.32751075170   4.6473245e-03   3.35564647452    5.3850303e+00   3.0112853e-03       9.8560699      45.15439069    35533    10515  74015056  
           roughly  zero                  48   2.2527678e+00             14058               10082    14702          2588             2501    8986   14702   25852    7225      19035            9966      2.0250414e+02        4.2923055e+01   3.7172604e-03   1.33166553919     1.32979692035   3.6499126e-03   3.00976603930    4.6910073e+00   3.0684651e-03       6.6030442      30.14628498    15643    10659  74015056  
        distinctly  uncomfortable        280   1.3321766e+01              5807                4463     5787          2589             2510    3826    5787    9469    3876       7670            4411      1.1772560e+03        2.4872449e+02   8.9169655e-03   1.33107159214     1.32888274751   7.8139171e-03   3.76975424703    6.2169123e+00   5.2733676e-03      15.9370727      72.92755119    18570    53097  74015056  
      biologically  relevant             350   1.6998813e+01              5111                3977     5099          2590             2499    6713    5099    8209    8965       6715            3969      1.4645644e+03        3.0777424e+02   9.8673086e-03   1.33098518669     1.32994021502   4.7328637e-03   3.85771749792    6.4017855e+00   2.5208874e-03      17.7996622      80.64619933     9062   138840  74015056  
         partially  transparent          219   1.0395446e+01              6660                5088     6601          2591             2509    4323    6601   11073    4298       8840            4972      9.2122398e+02        1.9475813e+02   7.8951887e-03   1.33098101391     1.32897692896   7.0288053e-03   3.66404510394    6.0044892e+00   4.8293199e-03      14.0961894      64.54461598    16967    45348  74015056  
         intensely  visual                98   4.6227373e+00             10048                7416    10160          2592             2515    6289   10160   17598    5685      13572            7252      4.1282320e+02        8.7419173e+01   5.2980546e-03   1.33097101839     1.32790305066   5.0189491e-03   3.31755293742    5.3087790e+00   3.8013964e-03       9.4325280      43.19761807    25780    13272  74015056  
       exclusively  economic              42   1.9742593e+00             14893               10625    15743          2593             2504    9564   15743   27607    7276      20127           10546      1.7704419e+02        3.7529125e+01   3.4744587e-03   1.33075097859     1.32948560870   3.4454471e-03   2.95109437834    4.5743437e+00   3.0518820e-03       6.1761059      28.13053005    10618    13762  74015056  
         seemingly  impossible          5943   3.0084601e+02               675                 542      765          2594             2584     462     765     940     402        824             676      2.4628085e+04        5.1191040e+03   3.9826630e-02   1.33071119340     1.31813546380   3.8258384e-02   5.06966720019    8.8436729e+00   2.9939547e-02      73.1883691     325.26274017   112177   198500  74015056  
        inherently  selfish              184   8.7297672e+00              7317                5557     7291          2595             2536    4731    7291   12292    4665       9737            5404      7.7389708e+02        1.6367180e+02   7.2386313e-03   1.33051822578     1.32568776874   6.5014222e-03   3.58863298243    5.8534508e+00   4.5158915e-03      12.9210930      59.15155049    40745    15858  74015056  
       notoriously  difficult           5964   3.4433172e+02               696                 575      838          2596             2518    1844     838     994    2693        833             739      2.3928456e+04        4.7966431e+03   3.7358470e-02   1.33050593140     1.32752296503   1.3849299e-02   5.01409823812    8.7896359e+00   7.1804639e-03      72.7682387     302.81928008    30684   830587  74015056  
     strategically  decisive              25   1.1741976e+00             18434               12798    20239          2597             2505   12509   20239   35653    8398      24792           13136      1.0538485e+02        2.2347608e+01   2.6816949e-03   1.33042196541     1.32930715174   2.6816841e-03   2.72613881458    4.1240788e+00   2.6740828e-03       4.7651605      21.52613156     9349     9296  74015056  
          famously  unpredictable         58   2.7341145e+00             12896                9357    13407          2598             2506    8668   13407   23415    8185      17479            9211      2.4427035e+02        5.1754375e+01   4.0771774e-03   1.33026373007     1.32912624262   3.7771483e-03   3.09003928864    4.8534673e+00   2.7440034e-03       7.2567663      33.12087219     9574    21137  74015056  
     substantially  equal                452   2.1598504e+01              4379                3410     4305          2599             2534    2396    4305    6910    1729       5726            3401      1.8976731e+03        4.0066196e+02   1.1304896e-02   1.33017630815     1.32594334830   1.1242523e-02   3.97585319003    6.6309916e+00   1.0175138e-02      20.2443834      92.50327656    35987    44422  74015056  
      commercially  confidential          82   3.8775766e+00             10985                8087    11208          2600             2529    8113   11208   19380    8757      14876            7870      3.4507427e+02        7.3058637e+01   4.8403150e-03   1.33010507477     1.32631968524   4.0126251e-03   3.23906732069    5.1528812e+00   2.5734371e-03       8.6271784      39.41912733    31864     9007  74015056  
       essentially  intact               188   8.9164713e+00              7222                5489     7198          2601             2528    4149    7198   12145    2949       9626            5336      7.9059891e+02        1.6725803e+02   7.3181500e-03   1.33006943319     1.32673988873   7.2882342e-03   3.59812268092    5.8722805e+00   6.6844444e-03      13.0610087      59.80601855    28125    23465  74015056  
          remotely  believable            90   4.2511705e+00             10489                7720    10631          2602             2517    6219   10631   18408    4384      14203            7552      3.7880566e+02        8.0229556e+01   5.0737401e-03   1.32995411049     1.32770178646   5.0622943e-03   3.27997649911    5.2342190e+00   4.7438330e-03       9.0387203      41.34606328    18972    16585  74015056  
        previously  anonymous            117   5.5508458e+00              9220                6813     9233          2603             2538    6706    9233   15968    7382      12367            6700      4.9188451e+02        1.0407527e+02   5.7722648e-03   1.32967472785     1.32507604257   4.7377052e-03   3.39201255916    5.4601984e+00   3.0152308e-03      10.3034779      47.09170487    38803    10588  74015056  
            albeit  flawed                88   4.1635829e+00             10606                7803    10761          2604             2513    6922   10761   18655    6616      14374            7632      3.7016779e+02        7.8383445e+01   5.0128998e-03   1.32953463348     1.32815696313   4.6169990e-03   3.26949812458    5.2139808e+00   3.3227609e-03       8.9369921      40.84145586    11636    26484  74015056  
         decidedly  unpleasant           107   5.0636130e+00              9643                7121     9724          2605             2521    5691    9724   16768    3949      12965            6985      4.5006544e+02        9.5297280e+01   5.5270512e-03   1.32952018469     1.32736875453   5.5157482e-03   3.35430704776    5.3836908e+00   5.1843597e-03       9.8545625      45.07788363    18159    20639  74015056  
          somewhat  ambiguous            730   3.6314365e+01              3252                2600     3316          2606             2675    4784    3316    5045    6457       4245            2698      3.0353677e+03        6.3433345e+02   1.4080679e-02   1.32947946081     1.30465045244   6.4269333e-03   4.16656726989    7.0298901e+00   3.4009327e-03      25.6744572     115.02979060   214647    12522  74015056  
           clearly  inappropriate        388   1.8619962e+01              4822                3710     4728          2607             2564    3375    4728    7653    3642       6271            3709      1.6266929e+03        3.4320868e+02   1.0451588e-02   1.32936678353     1.32115904716   8.6684540e-03   3.90768465019    6.4965164e+00   5.5614483e-03      18.7524302      85.48614892    69766    19754  74015056  
               now  online              1691   8.8076544e+01              1834                1483     1960          2608             2840    3597    1960    2751    4908       2318            1665      6.9546715e+03        1.4356402e+03   2.0943701e-02   1.32932363767     1.28506378116   8.2786847e-03   4.51142694977    7.7395706e+00   4.3150524e-03      38.9799233     170.74467204   391884    16635  74015056  
          famously  single                43   2.0297925e+00             14745               10543    15598          2609             2516    9714   15598   27328    8193      19926           10475      1.8092322e+02        3.8344060e+01   3.5081859e-03   1.32901544257     1.32787967371   3.4037837e-03   2.95948526062    4.5929537e+00   2.7402498e-03       6.2478981      28.40596879     9574    15692  74015056  
         radically  inclusive            208   9.9057566e+00              6879                5240     6815          2610             2535    3958    6815   11432    3022       9107            5105      8.7323432e+02        1.8467929e+02   7.6817377e-03   1.32863656044     1.32590969337   7.5883329e-03   3.64023901832    5.9583024e+00   6.5673150e-03      13.7353645      62.78132282    23149    31672  74015056  
        frequently  unavailable           45   2.1266429e+00             14463               10372    15267          2611             2526    9191   15267   26708    6601      19562           10283      1.8923814e+02        4.0105056e+01   3.5867838e-03   1.32850032483     1.32689775099   3.5768222e-03   2.97873046074    4.6319430e+00   3.3288948e-03       6.3911827      29.05665319    13518    11644  74015056  
          famously  anonymous             29   1.3695796e+00             17354               12196    18960          2612             2525   11634   18960   33240    8199      23434           12402      1.2195311e+02        2.5853971e+01   2.8803437e-03   1.32820119788     1.32706607348   2.8766987e-03   2.78820871209    4.2506067e+00   2.7389498e-03       5.1308403      23.18263947     9574    10588  74015056  
disproportionately  poor                 287   1.3873591e+01              5735                4421     5753          2613             2527    5771    5753    9354    7312       7576            4388      1.2003914e+03        2.5296138e+02   8.9562751e-03   1.32800647859     1.32674571352   5.4543554e-03   3.77357492019    6.2314568e+00   3.0417364e-03      16.1221422      73.19366386    10883    94354  74015056  
          suddenly  trendy                40   1.8924802e+00             15251               10843    16187          2614             2533   10207   16187   28341    8901      20523           10844      1.6812019e+02        3.5629367e+01   3.3797478e-03   1.32794714514     1.32607983993   3.2454361e-03   2.92708864749    4.5291486e+00   2.5372661e-03       6.0253279      27.33751446    15765     8885  74015056  
          slightly  larger              1361   6.9507042e+01              2143                1734     2233          2615             2767    3435    2233    3260    4652       2692            1896      5.6197113e+03        1.1671049e+03   1.8975083e-02   1.32791815833     1.29370017602   8.5695306e-03   4.42568744067    7.5595456e+00   4.5288469e-03      35.0076517     154.84937909   300518    17119  74015056  
      occasionally  frustrating          235   1.1274471e+01              6430                4933     6409          2616             2532    4945    6409   10627    5668       8492            4825      9.8449697e+02        2.0789914e+02   8.1350407e-03   1.32780018754     1.32622070519   6.2485874e-03   3.69003953634    6.0611074e+00   3.8093694e-03      14.5942443      66.48072791    13527    61690  74015056  
           totally  false               2072   1.0580631e+02              1566                1244     1679          2617             2753    1951    1679    2291    2655       1972            1460      8.5530626e+03        1.7769134e+03   2.3413909e-02   1.32728526242     1.29488439542   1.3256515e-02   4.60826791800    7.9246577e+00   7.2667078e-03      43.1947954     191.09971996   285136    27465  74015056  
        constantly  ongoing               61   2.8973475e+00             12610                9167    13125          2618             2540    7884   13125   22838    6057      17086            9028      2.5600500e+02        5.4231121e+01   4.1655227e-03   1.32682055378     1.32482103642   4.1214824e-03   3.10865908251    4.8939889e+00   3.5994571e-03       7.4392823      33.84092213    16947    12654  74015056  
       technically  skilled              782   3.7972629e+01              3103                2460     3108          2619             2551    1816    3108    4771    1634       4047            2552      3.2651705e+03        6.8772333e+02   1.4750658e-02   1.32669610153     1.32226280725   1.4004800e-02   4.20694283670    7.1001496e+00   1.0658452e-02      26.6063645     120.65952900    38307    73369  74015056  
           however  trivial              206   9.8917390e+00              6926                5284     6886          2620             2571    5065    6886   11531    5634       9162            5148      8.6224633e+02        1.8216582e+02   7.6132635e-03   1.32649079167     1.32018075905   6.1118528e-03   3.63246179205    5.9463290e+00   3.8288539e-03      13.6635100      62.19434061    53802    13608  74015056  
            purely  evil                 268   1.2850811e+01              5971                4590     5976          2621             2550    3398    5976    9747    2470       7888            4526      1.1221126e+03        2.3715582e+02   8.6897942e-03   1.32647935648     1.32239666936   8.6252675e-03   3.74733905344    6.1754738e+00   7.6898798e-03      15.5857173      71.03575982    34851    27292  74015056  
      specifically  applicable            96   4.5823863e+00             10199                7513    10318          2622             2539    7218   10318   17846    7652      13752            7373      4.0232098e+02        8.5140965e+01   5.2127314e-03   1.32625749920     1.32504777253   4.4446502e-03   3.30345077154    5.2857220e+00   2.9193529e-03       9.3302711      42.47194806    10314    32884  74015056  
        undeniably  feminine              56   2.6639820e+00             13131                9495    13708          2623             2541    8156   13708   23925    5442      17771            9393      2.3483312e+02        4.9748287e+01   3.9880661e-03   1.32596331416     1.32432526710   3.9878939e-03   3.07084476996    4.8190328e+00   3.9511748e-03       7.1273252      32.37162029    13912    14173  74015056  
        profoundly  misleading            97   4.6279848e+00             10137                7472    10264          2624             2547    6298   10264   17741    5563      13667            7335      4.0648535e+02        8.6047277e+01   5.2410190e-03   1.32593067320     1.32298343910   5.0087783e-03   3.30815154354    5.2949233e+00   3.8696294e-03       9.3789571      42.70584113    25067    13665  74015056  
         downright  offensive            324   1.5582078e+01              5346                4133     5313          2625             2556    2996    5313    8605    1955       7065            4114      1.3552236e+03        2.8629455e+02   9.5405254e-03   1.32585156771     1.32179243567   9.5379679e-03   3.82846465688    6.3390097e+00   9.3221314e-03      17.1343290      78.00497213    34756    33183  74015056  
            mainly  financial             88   4.1991691e+00             10630                7822    10828          2626             2549    6770   10828   18697    6216      14381            7658      3.6871688e+02        7.8058185e+01   4.9916136e-03   1.32571459727     1.32277976127   4.7039957e-03   3.26580198325    5.2102847e+00   3.5247937e-03       8.9331986      40.65066485    24966    12449  74015056  
      increasingly  desperate           3140   1.6317886e+02              1162                 913     1255          2627             2813    1458    1255    1633    1926       1423            1094      1.2896912e+04        2.6689098e+03   2.8571804e-02   1.32562603514     1.28815942932   1.6978525e-02   4.78119540432    8.2781251e+00   9.4101006e-03      53.1236513     232.99566631   333684    36195  74015056  
          uniquely  collaborative         97   4.6389304e+00             10140                7479    10274          2628             2557    7283   10274   17748    7816      13671            7346      4.0617829e+02        8.5947761e+01   5.2348323e-03   1.32551573778     1.32154061513   4.4096922e-03   3.30712561231    5.2938973e+00   2.8654988e-03       9.3778458      42.65034709    33851    10143  74015056  
      occasionally  fatal                 95   4.5410405e+00             10254                7553    10389          2629             2544    6374   10389   17942    5644      13827            7416      3.9775540e+02        8.4196006e+01   5.1818624e-03   1.32506803197     1.32348321625   4.9512691e-03   3.29829183263    5.2760154e+00   3.8233992e-03       9.2808934      42.21499425    13527    24847  74015056  
          formerly  confidential          27   1.2843316e+00             17895               12477    19628          2630             2542   12142   19628   34469    8817      24140           12801      1.1316720e+02        2.3986587e+01   2.7692690e-03   1.32498824281     1.32374619740   2.7605951e-03   2.75405034780    4.1854141e+00   2.5582717e-03       4.9489827      22.25009624    10554     9007  74015056  
      surprisingly  candid               275   1.3431985e+01              5903                4547     5951          2631             2627    6678    5951    9641    8708       7779            4512      1.1454305e+03        2.4114695e+02   8.7217283e-03   1.32460692404     1.31226207327   4.7537144e-03   3.75052517815    6.1898579e+00   2.5857773e-03      15.7731448      71.23338160   106351     9348  74015056  
      ridiculously  huge                 378   1.8266555e+01              4900                3790     4852          2632             2570    2730    4852    7806    1771       6378            3781      1.5781490e+03        3.3322237e+02   1.0280244e-02   1.32438470733     1.32023135244   1.0276067e-02   3.89332695186    6.4708188e+00   9.9912775e-03      18.5026919      84.05207498    35736    37833  74015056  
       chronically  lonely                67   3.2021346e+00             12082                8820    12518          2633             2548    7585   12518   21730    6182      16376            8663      2.8042239e+02        5.9384829e+01   4.3520610e-03   1.32431988150     1.32285056225   4.2622221e-03   3.14671001796    4.9727848e+00   3.5455363e-03       7.7941498      35.37278632    12542    18897  74015056  
      ecologically  damaging              97   4.6554093e+00             10148                7488    10294          2634             2546    7849   10294   17771    8781      13676            7359      4.0559121e+02        8.5798380e+01   5.2255591e-03   1.32429722693     1.32323307197   4.1379605e-03   3.30558559623    5.2923573e+00   2.5690600e-03       9.3761726      42.56715715     9126    37757  74015056  
         partially  open                1137   5.7838365e+01              2471                1977     2512          2635             2552    3498    2512    3718    4675       3084            2102      4.6898034e+03        9.7696722e+02   1.7377705e-02   1.32405393033     1.32218561660   8.4448983e-03   4.34930492057    7.4050654e+00   4.5063969e-03      32.0041476     141.83298003    16967   252308  74015056  
       immediately  evident             1466   7.2319273e+01              2023                1622     2095          2636             2613    1206    2095    3022     984       2574            1765      6.0905140e+03        1.2792102e+03   2.0037656e-02   1.32404526275     1.31354916378   1.9545494e-02   4.47301388755    7.6391479e+00   1.6017307e-02      36.3995747     163.82509606    91526    58483  74015056  
          socially  adept                346   1.6778348e+01              5162                3999     5130          2637             2592    3462    5130    8280    3547       6772            3983      1.4429148e+03        3.0449122e+02   9.8184169e-03   1.32374615935     1.31668776598   8.5234271e-03   3.85340301050    6.3924791e+00   5.6960358e-03      17.6990657      80.25160333    60744    20444  74015056  
            purely  experimental         105   5.0448332e+00              9767                7213     9902          2638             2573    6936    9902   17002    7389      13110            7105      4.3878778e+02        9.2825040e+01   5.4338276e-03   1.32366328106     1.31959004322   4.6088006e-03   3.33953178409    5.3607211e+00   3.0128260e-03       9.7546255      44.27962589    34851    10714  74015056  
            indeed  pregnant             178   8.5697679e+00              7489                5671     7486          2639             2575    4572    7486   12555    4059       9940            5528      7.4349646e+02        1.5720185e+02   7.0676566e-03   1.32365104834     1.31954859145   6.6909747e-03   3.56787094686    5.8182909e+00   5.0608439e-03      12.6993328      57.70624961    35172    18034  74015056  
            purely  logical              248   1.1964646e+01              6252                4799     6265          2640             2576    3623    6265   10296    2726       8235            4720      1.0353437e+03        2.1879983e+02   8.3337741e-03   1.32356056398     1.31950421249   8.2308624e-03   3.71100352459    6.1054552e+00   7.1160081e-03      14.9882600      68.09358296    34851    25410  74015056  
            wholly  irrelevant           215   1.0365412e+01              6773                5160     6730          2641             2574    3912    6730   11252    3010       8934            5060      8.9763514e+02        1.8974984e+02   7.7622055e-03   1.32338422222     1.31958495086   7.6591500e-03   3.64929034504    5.9817288e+00   6.5890285e-03      13.9559631      63.40497110    32630    23512  74015056  
      delightfully  entertaining         179   8.6897438e+00              7472                5667     7495          2642             2555    6971    7495   12547    8617       9911            5537      7.4595558e+02        1.5743973e+02   7.0581276e-03   1.32289623822     1.32181563493   4.5909207e-03   3.56669908895    5.8195521e+00   2.6091393e-03      12.7295862      57.60503312     9375    68605  74015056  
          fiscally  neutral               81   3.8869581e+00             11073                8150    11363          2643             2563    6745   11363   19595    5272      14961            7959      3.3845092e+02        7.1651035e+01   4.7755132e-03   1.32288711073     1.32120447630   4.7132757e-03   3.22736018081    5.1358452e+00   4.0599469e-03       8.5681158      38.85955096    14420    19951  74015056  
           further  depressing            92   4.4177010e+00             10411                7670    10598          2644             2566    6210   10598   18278    4469      14061            7540      3.8434374e+02        8.1355326e+01   5.0877953e-03   1.32282579597     1.32088926225   5.0692895e-03   3.28237933209    5.2461672e+00   4.6712364e-03       9.1310859      41.43160185    16602    19695  74015056  
          strongly  favorable            145   6.9959317e+00              8301                6233     8330          2645             2560    5859    8330   14201    6275      11082            6112      6.0509260e+02        1.2792305e+02   6.3721382e-03   1.32280507331     1.32135824729   5.3709671e-03   3.47789044068    5.6392584e+00   3.4919565e-03      11.4606141      51.98676170    12470    41524  74015056  
          slightly  sticky               938   4.8369496e+01              2819                2255     2848          2646             2809    5174    2848    4287    7106       3579            2390      3.8539411e+03        8.0042992e+02   1.5676786e-02   1.32277397619     1.28891904527   6.0045258e-03   4.25983411717    7.2320370e+00   3.1212773e-03      29.0474656     127.84381750   300518    11913  74015056  
             oddly  sympathetic          103   4.9515788e+00              9856                7276    10013          2647             2567    5949   10013   17186    4748      13237            7162      4.3014301e+02        9.1031302e+01   5.3802857e-03   1.32263873517     1.32079868884   5.2823222e-03   3.33093075120    5.3437680e+00   4.4390812e-03       9.6609980      43.83776413    15795    23203  74015056  
        frequently  unable               139   6.7033815e+00              8507                6361     8507          2648             2565    5662    8507   14557    5710      11317            6230      5.8004176e+02        1.2265727e+02   6.2403335e-03   1.32256355517     1.32099424108   5.5355329e-03   3.45973566675    5.6027505e+00   3.7871564e-03      11.2212527      50.90463186    13518    36703  74015056  
           somehow  lack                  66   3.1688171e+00             12189                8891    12672          2649             2572    8212   12672   21933    7896      16490            8752      2.7569088e+02        5.8367250e+01   4.3095836e-03   1.32253556226     1.31982311733   3.9607525e-03   3.13819069643    4.9577346e+00   2.8410314e-03       7.7339840      35.01521372    23231    10096  74015056  
      biologically  equivalent            32   1.5320235e+00             16765               11813    18206          2650             2561   11252   18206   31737    8819      22533           11986      1.3374626e+02        2.8338882e+01   3.0050882e-03   1.32240649169     1.32134742739   2.9663963e-03   2.82503452629    4.3301845e+00   2.5573404e-03       5.3860282      24.21166767     9062    12513  74015056  
             kinda  cute                 728   3.5720636e+01              3255                2586     3291          2651             2581    2071    3291    5032    2099       4249            2682      3.0256264e+03        6.3694010e+02   1.4158321e-02   1.32240611326     1.31876132417   1.2679503e-02   4.17134357414    7.0334750e+00   8.7749961e-03      25.6575803     115.74653809    31868    82963  74015056  
        thoroughly  professional         620   3.0348049e+01              3609                2836     3632          2652             2582    2212    3632    5644    2202       4676            2931      2.5779409e+03        5.4309919e+02   1.3081763e-02   1.32221038659     1.31869082181   1.1939034e-02   4.10265260592    6.8950443e+00   8.4749238e-03      23.6809922     106.94535683    30704    73157  74015056  
       politically  feasible             955   4.7239164e+01              2766                2197     2758          2653             2650    1944    2758    4178    2207       3530            2291      3.9611064e+03        8.3219339e+02   1.6150733e-02   1.32214934896     1.30921046658   1.3279843e-02   4.28570453980    7.2657079e+00   8.4631609e-03      29.3744508     132.00216744   112842    30985  74015056  
        absolutely  free               14864   8.0046767e+02               271                 213      399          2654             2802     245     399     388     205        327             375      6.0431406e+04        1.2403970e+04   6.1066603e-02   1.32210930306     1.28951626288   5.9647827e-02   5.44092759898    9.6130633e+00   4.9120952e-02     115.3523822     497.05801154   302600   195792  74015056  
         genuinely  unsettling           189   9.1726269e+00              7238                5502     7266          2655             2601    5717    7266   12181    6604       9607            5395      7.8728436e+02        1.6625831e+02   7.2536217e-03   1.32193415781     1.31534571117   5.4986617e-03   3.59042987872    5.8668917e+00   3.3281093e-03      13.0805167      59.21063543    56789    11955  74015056  
              even  more              199340   1.4264212e+04                13                   8       49          2656             3272      34      49      19      20         17              51      7.5390091e+05        1.4174114e+05   1.9400393e-01   1.32166583096     1.23196771668   1.9399429e-01   6.44494111247    1.1744536e+01   1.9208014e-01     414.5265762    1549.61758242  1037796  1017316  74015056  
         intensely  jealous              107   5.1594792e+00              9681                7150     9819          2657             2583    5959    9819   16848    5154      12980            7056      4.4627058e+02        9.4425727e+01   5.4754625e-03   1.32149504461     1.31849727990   5.2718449e-03   3.34616169158    5.3755455e+00   4.1505043e-03       9.8452948      44.61492837    25780    14813  74015056  
            hardly  comparable           212   1.0290405e+01              6837                5213     6814          2658             2597    4603    6814   11377    4750       9005            5111      8.8275763e+02        1.8647708e+02   7.6817396e-03   1.32127584536     1.31574135151   6.6545295e-03   3.64023923330    5.9665751e+00   4.4376531e-03      13.8534718      62.72381158    47773    15943  74015056  
                of  strange              309   1.5087222e+01              5505                4239     5536          2659             2578    4021    5536    8932    4410       7253            4258      1.2846434e+03        2.7100991e+02   9.2468497e-03   1.32086221238     1.31890636702   7.4876418e-03   3.80130767115    6.2912662e+00   4.7187820e-03      16.7201137      75.53954751    17053    65483  74015056  
     strategically  sound                 30   1.4422320e+00             17181               12073    18819          2660             2577   11577   18819   32804    8554      23143           12324      1.2514363e+02        2.6513749e+01   2.9036459e-03   1.32050286206     1.31941497438   2.8891992e-03   2.79520738305    4.2723286e+00   2.6274304e-03       5.2139112      23.36337376     9349    11418  74015056  
              near  identical            191   9.2886827e+00              7201                5475     7233          2661             2579    5186    7233   12116    5651       9554            5368      7.9462165e+02        1.6784789e+02   7.2844416e-03   1.32044520220     1.31886333826   5.9906533e-03   3.59411260819    5.8751460e+00   3.8183199e-03      13.1481695      59.45772039    13744    50022  74015056  
      tremendously  gratifying            89   4.3001491e+00             10601                7799    10832          2662             2589    6610   10832   18650    5748      14305            7665      3.7077598e+02        7.8463469e+01   4.9887095e-03   1.32020740042     1.31746613566   4.7978437e-03   3.26529649967    5.2146865e+00   3.7660799e-03       8.9781662      40.60406980    23632    13468  74015056  
            wildly  irresponsible        171   8.3218165e+00              7660                5793     7685          2663             2608    5780    7685   12902    6499      10165            5672      7.1114484e+02        1.5022068e+02   6.8901235e-03   1.32002506140     1.31417662038   5.4480287e-03   3.54577408440    5.7787702e+00   3.3792463e-03      12.4403116      56.21903200    50603    12172  74015056  
            hardly  conducive            216   1.0527931e+01              6772                5166     6761          2664             2611    4537    6761   11261    4661       8918            5077      8.9772115e+02        1.8960831e+02   7.7378837e-03   1.31949347475     1.31398306714   6.7411522e-03   3.64656447212    5.9810182e+00   4.5213824e-03      13.9806035      63.17178809    47773    16311  74015056  
          entirely  unrelated           1116   5.7345509e+01              2504                2008     2567          2665             2788    3607    2567    3767    4795       3145            2142      4.5812413e+03        9.5403525e+02   1.7129885e-02   1.31944658095     1.29098328787   8.2616791e-03   4.33682897464    7.3844932e+00   4.4038609e-03      31.6899933     139.73312511   253414    16749  74015056  
            albeit  slow                 346   1.7117004e+01              5178                4021     5193          2666             2585    5431    5193    8327    6954       6785            4027      1.4330340e+03        3.0148843e+02   9.7208039e-03   1.31943473855     1.31811877122   5.7420238e-03   3.84472443364    6.3838005e+00   3.1778396e-03      17.6808594      79.37190031    11636   108879  74015056  
         intensely  collaborative         73   3.5328831e+00             11622                8525    12029          2667             2594    8011   12029   20781    7918      15712            8365      3.0386863e+02        6.4305635e+01   4.5143808e-03   1.31935165785     1.31636558949   4.0642485e-03   3.17851645380    5.0418393e+00   2.8316524e-03       8.1305111      36.69251141    25780    10143  74015056  
          directly  involved             888   4.3929021e+01              2897                2306     2873          2668             2606    1700    2873    4384    1506       3716            2395      3.6775841e+03        7.7377386e+02   1.5573175e-02   1.31926595419     1.31450788345   1.4862547e-02   4.25407440676    7.2024874e+00   1.1444774e-02      28.3251674     127.27580955    41905    77590  74015056  
