prev_form_lower,SUM,never,nothing,none,nor,no,neither,nobody,hardly,rarely,barely,seldom,scarcely
rings,2,0,1,1,0,0,0,0,0,0,0,0,0
jesus,2,0,0,0,2,0,0,0,0,0,0,0,0
it's,2,1,0,0,0,1,0,0,0,0,0,0,0
facts,2,0,0,1,1,0,0,0,0,0,0,0,0
hollywood,2,0,0,0,2,0,0,0,0,0,0,0,0
families,2,0,1,0,1,0,0,0,0,0,0,0,0
gods,2,0,0,1,0,0,0,0,0,1,0,0,0
investors,2,0,0,1,1,0,0,0,0,0,0,0,0
investment,2,0,0,0,2,0,0,0,0,0,0,0,0
fare,2,0,0,1,1,0,0,0,0,0,0,0,0
fares,2,0,0,1,0,0,0,1,0,0,0,0,0
fate,2,0,0,0,2,0,0,0,0,0,0,0,0
practice,2,0,0,0,2,0,0,0,0,0,0,0,0
phrase,2,2,0,0,0,0,0,0,0,0,0,0,0
direction,2,0,0,0,1,1,0,0,0,0,0,0,0
economy,2,0,0,0,2,0,0,0,0,0,0,0,0
version,2,0,0,0,0,0,1,0,0,1,0,0,0
teams,2,0,0,2,0,0,0,0,0,0,0,0,0
turkey,2,0,0,0,2,0,0,0,0,0,0,0,0
baseball,2,0,0,0,0,0,0,1,0,1,0,0,0
voice,2,1,0,0,1,0,0,0,0,0,0,0,0
stomach,2,1,0,0,1,0,0,0,0,0,0,0,0
crazy,2,0,1,0,0,0,0,1,0,0,0,0,0
technologically,2,2,0,0,0,0,0,0,0,0,0,0,0
trip,2,1,0,0,0,0,0,0,0,1,0,0,0
temper,2,1,0,0,1,0,0,0,0,0,0,0,0
travel,2,0,0,0,2,0,0,0,0,0,0,0,0
crowd,2,0,1,0,1,0,0,0,0,0,0,0,0
church,2,1,0,0,1,0,0,0,0,0,0,0,0
concept,2,0,0,0,1,0,0,0,0,1,0,0,0
choice,2,2,0,0,0,0,0,0,0,0,0,0,0
children,2,0,0,1,1,0,0,0,0,0,0,0,0
statements,2,0,0,0,2,0,0,0,0,0,0,0,0
d,2,0,0,0,2,0,0,0,0,0,0,0,0
child,2,1,1,0,0,0,0,0,0,0,0,0,0
album,2,0,2,0,0,0,0,0,0,0,0,0,0
agency,2,0,0,0,2,0,0,0,0,0,0,0,0
character,2,1,0,0,1,0,0,0,0,0,0,0,0
whatsoever,2,0,2,0,0,0,0,0,0,0,0,0,0
test,2,1,0,0,0,0,0,0,0,1,0,0,0
stakes,2,1,0,0,0,0,0,0,0,1,0,0,0
adversaries,2,0,0,0,2,0,0,0,0,0,0,0,0
date,2,1,0,0,1,0,0,0,0,0,0,0,0
cause,2,1,0,0,1,0,0,0,0,0,0,0,0
case,2,1,0,0,0,0,0,0,1,0,0,0,0
death,2,2,0,0,0,0,0,0,0,0,0,0,0
staff,2,0,0,0,2,0,0,0,0,0,0,0,0
stories,2,0,0,1,0,0,0,0,0,1,0,0,0
virtually,2,1,0,0,0,0,0,0,1,0,0,0,0
car,2,0,1,1,0,0,0,0,0,0,0,0,0
answer,2,0,0,0,0,0,0,0,0,2,0,0,0
assuredly,2,0,2,0,0,0,0,0,0,0,0,0,0
concerns,2,0,0,0,2,0,0,0,0,0,0,0,0
article,2,0,1,0,1,0,0,0,0,0,0,0,0
art,2,0,1,1,0,0,0,0,0,0,0,0,0
unit,2,1,0,0,1,0,0,0,0,0,0,0,0
v,2,2,0,0,0,0,0,0,0,0,0,0,0
sun,2,0,0,0,2,0,0,0,0,0,0,0,0
congress,2,0,0,0,2,0,0,0,0,0,0,0,0
company,2,0,1,0,1,0,0,0,0,0,0,0,0
uniformly,2,0,0,0,1,0,1,0,0,0,0,0,0
consequences,2,0,1,0,1,0,0,0,0,0,0,0,0
consistently,2,0,0,1,1,0,0,0,0,0,0,0,0
aught,2,0,0,0,2,0,0,0,0,0,0,0,0
titles,2,0,0,0,1,0,0,0,0,1,0,0,0
such,2,0,0,0,0,1,0,0,0,0,0,1,0
authors,2,0,0,1,1,0,0,0,0,0,0,0,0
substantially,2,1,0,0,0,1,0,0,0,0,0,0,0
colors,2,0,0,0,2,0,0,0,0,0,0,0,0
authorship,2,0,0,0,2,0,0,0,0,0,0,0,0
collection,2,1,0,0,1,0,0,0,0,0,0,0,0
control,2,0,0,0,2,0,0,0,0,0,0,0,0
conversation,2,0,0,0,1,0,0,0,0,1,0,0,0
student,2,1,0,0,0,0,0,0,0,1,0,0,0
typically,2,0,0,0,1,0,0,0,0,1,0,0,0
background,2,1,1,0,0,0,0,0,0,0,0,0,0
task,2,0,0,0,1,0,0,0,0,1,0,0,0
coaster,2,2,0,0,0,0,0,0,0,0,0,0,0
bad,2,0,1,0,1,0,0,0,0,0,0,0,0
strategies,2,0,0,0,2,0,0,0,0,0,0,0,0
wholly,2,0,0,0,2,0,0,0,0,0,0,0,0
statistically,2,0,0,1,1,0,0,0,0,0,0,0,0
2921,2,0,0,0,0,2,0,0,0,0,0,0,0
.,2,1,0,0,1,0,0,0,0,0,0,0,0
?,2,1,1,0,0,0,0,0,0,0,0,0,0
these,2,0,0,2,0,0,0,0,0,0,0,0,0
sport,2,1,0,0,0,0,0,0,0,1,0,0,0
spirit,2,1,0,0,1,0,0,0,0,0,0,0,0
degrees,2,0,0,1,1,0,0,0,0,0,0,0,0
access,2,1,0,0,1,0,0,0,0,0,0,0,0
30,2,0,0,1,0,0,0,0,0,0,1,0,0
yemen,2,0,1,0,1,0,0,0,0,0,0,0,0
democrats,2,0,0,0,2,0,0,0,0,0,0,0,0
absolutely,2,0,1,1,0,0,0,0,0,0,0,0,0
winds,2,0,0,0,2,0,0,0,0,0,0,0,0
years,2,0,1,1,0,0,0,0,0,0,0,0,0
solution,2,0,0,0,2,0,0,0,0,0,0,0,0
woman,2,1,0,0,1,0,0,0,0,0,0,0,0
buildings,2,0,0,1,0,0,0,0,0,1,0,0,0
devices,2,0,0,1,1,0,0,0,0,0,0,0,0
wrong,2,0,2,0,0,0,0,0,0,0,0,0,0
[,2,0,2,0,0,0,0,0,0,0,0,0,0
writer,2,0,1,0,0,0,0,0,0,1,0,0,0
accusations,2,1,0,0,1,0,0,0,0,0,0,0,0
9/11,2,0,0,0,2,0,0,0,0,0,0,0,0
'd,2,2,0,0,0,0,0,0,0,0,0,0,0
sometimes,2,0,2,0,0,0,0,0,0,0,0,0,0
title,2,1,0,0,0,0,0,0,0,0,0,1,0
word,2,2,0,0,0,0,0,0,0,0,0,0,0
sports,2,0,2,0,0,0,0,0,0,0,0,0,0
department,2,0,0,0,2,0,0,0,0,0,0,0,0
activities,2,0,0,0,2,0,0,0,0,0,0,0,0
though,2,0,1,0,1,0,0,0,0,0,0,0,0
acts,2,0,0,0,1,0,1,0,0,0,0,0,0
bible,2,0,1,0,1,0,0,0,0,0,0,0,0
candidates,2,0,0,1,1,0,0,0,0,0,0,0,0
soul,2,0,0,0,1,0,0,0,0,1,0,0,0
difficulty,2,1,0,0,1,0,0,0,0,0,0,0,0
theory,2,1,0,0,1,0,0,0,0,0,0,0,0
-rrb-,2,0,0,1,1,0,0,0,0,0,0,0,0
therefore,2,0,2,0,0,0,0,0,0,0,0,0,0
tooth,1,0,1,0,0,0,0,0,0,0,0,0,0
politician,1,0,0,1,0,0,0,0,0,0,0,0,0
performers,1,0,0,1,0,0,0,0,0,0,0,0,0
perceptibly,1,0,0,0,0,0,0,0,0,0,1,0,0
tyranny,1,1,0,0,0,0,0,0,0,0,0,0,0
policies,1,0,0,0,1,0,0,0,0,0,0,0,0
police,1,0,0,0,1,0,0,0,0,0,0,0,0
perceptions,1,0,0,0,1,0,0,0,0,0,0,0,0
topic,1,0,0,0,1,0,0,0,0,0,0,0,0
u.s.,1,0,0,0,1,0,0,0,0,0,0,0,0
uk,1,1,0,0,0,0,0,0,0,0,0,0,0
performed,1,0,0,1,0,0,0,0,0,0,0,0,0
uae,1,0,0,1,0,0,0,0,0,0,0,0,0
plastics,1,0,0,0,1,0,0,0,0,0,0,0,0
ukip,1,0,0,0,1,0,0,0,0,0,0,0,0
under,1,1,0,0,0,0,0,0,0,0,0,0,0
unlikely,1,0,0,0,1,0,0,0,0,0,0,0,0
universities,1,0,0,0,1,0,0,0,0,0,0,0,0
pathology,1,0,0,0,1,0,0,0,0,0,0,0,0
patients,1,0,0,0,1,0,0,0,0,0,0,0,0
patri,1,1,0,0,0,0,0,0,0,0,0,0,0
universally,1,0,0,0,0,0,1,0,0,0,0,0,0
united,1,0,0,0,0,0,0,1,0,0,0,0,0
poor,1,0,0,0,1,0,0,0,0,0,0,0,0
ton,1,0,1,0,0,0,0,0,0,0,0,0,0
pattern,1,0,0,0,1,0,0,0,0,0,0,0,0
tone,1,0,0,0,1,0,0,0,0,0,0,0,0
patterson,1,1,0,0,0,0,0,0,0,0,0,0,0
unions,1,0,0,0,1,0,0,0,0,0,0,0,0
pompeius,1,0,0,0,1,0,0,0,0,0,0,0,0
union,1,0,0,0,1,0,0,0,0,0,0,0,0
period,1,0,0,0,1,0,0,0,0,0,0,0,0
pedophiles,1,0,0,0,1,0,0,0,0,0,0,0,0
penalties,1,0,0,0,1,0,0,0,0,0,0,0,0
tonsils,1,0,0,0,1,0,0,0,0,0,0,0,0
penguins,1,0,0,0,0,0,0,0,0,1,0,0,0
pensions,1,0,0,0,1,0,0,0,0,0,0,0,0
unhappiness,1,0,0,0,1,0,0,0,0,0,0,0,0
tony,1,0,0,0,1,0,0,0,0,0,0,0,0
peanuty,1,0,0,0,1,0,0,0,0,0,0,0,0
twins,1,0,0,0,1,0,0,0,0,0,0,0,0
permanent,1,0,1,0,0,0,0,0,0,0,0,0,0
topics,1,0,0,0,1,0,0,0,0,0,0,0,0
traveller,1,1,0,0,0,0,0,0,0,0,0,0,0
phytonutrients,1,0,1,0,0,0,0,0,0,0,0,0,0
pickering,1,0,0,1,0,0,0,0,0,0,0,0,0
pictures,1,0,0,0,1,0,0,0,0,0,0,0,0
plea,1,0,0,0,1,0,0,0,0,0,0,0,0
tov,1,0,0,0,1,0,0,0,0,0,0,0,0
pier,1,0,0,0,1,0,0,0,0,0,0,0,0
pit,1,0,1,0,0,0,0,0,0,0,0,0,0
trauma,1,0,0,0,0,0,0,0,0,1,0,0,0
playing,1,0,0,1,0,0,0,0,0,0,0,0,0
pits,1,0,0,1,0,0,0,0,0,0,0,0,0
pius,1,0,0,0,1,0,0,0,0,0,0,0,0
trans-humanists,1,0,0,0,0,0,0,0,0,1,0,0,0
traits,1,1,0,0,0,0,0,0,0,0,0,0,0
trainers,1,0,0,0,1,0,0,0,0,0,0,0,0
trainer,1,0,1,0,0,0,0,0,0,0,0,0,0
playground,1,1,0,0,0,0,0,0,0,0,0,0,0
player,1,0,0,0,1,0,0,0,0,0,0,0,0
play,1,0,0,0,1,0,0,0,0,0,0,0,0
towns,1,0,1,0,0,0,0,0,0,0,0,0,0
traditionally,1,0,0,0,1,0,0,0,0,0,0,0,0
plant,1,0,0,0,0,0,0,1,0,0,0,0,0
plants,1,0,0,0,1,0,0,0,0,0,0,0,0
treatment,1,0,0,0,1,0,0,0,0,0,0,0,0
trial,1,0,0,0,1,0,0,0,0,0,0,0,0
tourists,1,0,0,0,1,0,0,0,0,0,0,0,0
twang,1,0,0,1,0,0,0,0,0,0,0,0,0
personalities,1,0,0,1,0,0,0,0,0,0,0,0,0
personally,1,1,0,0,0,0,0,0,0,0,0,0,0
perspectives,1,0,0,0,1,0,0,0,0,0,0,0,0
peterson,1,0,0,0,1,0,0,0,0,0,0,0,0
petulance,1,1,0,0,0,0,0,0,0,0,0,0,0
phillips,1,0,0,0,1,0,0,0,0,0,0,0,0
poison,1,0,0,0,1,0,0,0,0,0,0,0,0
tracks,1,0,0,0,1,0,0,0,0,0,0,0,0
phone,1,0,0,0,1,0,0,0,0,0,0,0,0
photo,1,0,0,0,1,0,0,0,0,0,0,0,0
twain,1,1,0,0,0,0,0,0,0,0,0,0,0
trippi,1,1,0,0,0,0,0,0,0,0,0,0,0
photography,1,1,0,0,0,0,0,0,0,0,0,0,0
tv,1,0,1,0,0,0,0,0,0,0,0,0,0
totally,1,1,0,0,0,0,0,0,0,0,0,0,0
touchscreen,1,0,0,0,1,0,0,0,0,0,0,0,0
truely,1,1,0,0,0,0,0,0,0,0,0,0,0
trucks,1,0,0,0,0,0,0,0,0,1,0,0,0
photos,1,0,0,1,0,0,0,0,0,0,0,0,0
poetry,1,0,1,0,0,0,0,0,0,0,0,0,0
trips,1,0,0,0,1,0,0,0,0,0,0,0,0
toughness,1,1,0,0,0,0,0,0,0,0,0,0,0
past,1,0,0,0,1,0,0,0,0,0,0,0,0
smaller,1,0,1,0,0,0,0,0,0,0,0,0,0
until,1,0,0,0,0,0,0,1,0,0,0,0,0
offered,1,0,0,0,0,0,0,0,0,1,0,0,0
oarsmen,1,0,0,0,1,0,0,0,0,0,0,0,0
wife,1,1,0,0,0,0,0,0,0,0,0,0,0
widely,1,0,0,0,0,0,1,0,0,0,0,0,0
why,1,0,1,0,0,0,0,0,0,0,0,0,0
observance,1,0,0,0,1,0,0,0,0,0,0,0,0
observation,1,1,0,0,0,0,0,0,0,0,0,0,0
ocean-dwellers,1,0,0,0,1,0,0,0,0,0,0,0,0
whitewash,1,0,0,0,1,0,0,0,0,0,0,0,0
od,1,1,0,0,0,0,0,0,0,0,0,0,0
odds,1,0,0,0,1,0,0,0,0,0,0,0,0
odis,1,0,0,0,1,0,0,0,0,0,0,0,0
whether,1,0,0,1,0,0,0,0,0,0,0,0,0
offense,1,0,1,0,0,0,0,0,0,0,0,0,0
offer,1,0,0,0,1,0,0,0,0,0,0,0,0
offerings,1,0,0,0,1,0,0,0,0,0,0,0,0
walk,1,0,1,0,0,0,0,0,0,0,0,0,0
whatever,1,0,1,0,0,0,0,0,0,0,0,0,0
welles,1,0,0,0,1,0,0,0,0,0,0,0,0
week,1,0,1,0,0,0,0,0,0,0,0,0,0
oilmen,1,0,1,0,0,0,0,0,0,0,0,0,0
weather,1,0,0,0,1,0,0,0,0,0,0,0,0
olasky,1,0,0,0,1,0,0,0,0,0,0,0,0
weak,1,0,0,0,1,0,0,0,0,0,0,0,0
wca,1,0,0,0,1,0,0,0,0,0,0,0,0
waves,1,1,0,0,0,0,0,0,0,0,0,0,0
waters,1,0,0,0,1,0,0,0,0,0,0,0,0
ones,1,0,0,1,0,0,0,0,0,0,0,0,0
water,1,0,0,0,0,0,0,0,0,1,0,0,0
online,1,0,0,0,0,1,0,0,0,0,0,0,0
warships,1,0,0,0,1,0,0,0,0,0,0,0,0
oars,1,1,0,0,0,0,0,0,0,0,0,0,0
wildheart,1,0,1,0,0,0,0,0,0,0,0,0,0
o'sullivan,1,0,0,0,1,0,0,0,0,0,0,0,0
o'hara,1,0,0,0,1,0,0,0,0,0,0,0,0
zeal,1,0,0,0,0,0,0,0,0,1,0,0,0
noble,1,0,1,0,0,0,0,0,0,0,0,0,0
zane,1,1,0,0,0,0,0,0,0,0,0,0,0
nobody's,1,0,0,0,0,0,0,1,0,0,0,0,0
nobodys,1,0,0,0,0,0,0,1,0,0,0,0,0
nonetheless,1,0,0,0,0,0,0,0,1,0,0,0,0
wrangler,1,0,0,0,1,0,0,0,0,0,0,0,0
worth,1,1,0,0,0,0,0,0,0,0,0,0,0
noontime,1,0,0,0,1,0,0,0,0,0,0,0,0
worst,1,0,0,0,1,0,0,0,0,0,0,0,0
works,1,1,0,0,0,0,0,0,0,0,0,0,0
workplace,1,0,0,0,0,0,0,1,0,0,0,0,0
wonder,1,0,0,0,0,1,0,0,0,0,0,0,0
norman,1,0,0,0,1,0,0,0,0,0,0,0,0
nose,1,0,0,0,1,0,0,0,0,0,0,0,0
wives,1,0,0,0,1,0,0,0,0,0,0,0,0
witness,1,0,1,0,0,0,0,0,0,0,0,0,0
note,1,0,1,0,0,0,0,0,0,0,0,0,0
wise,1,0,1,0,0,0,0,0,0,0,0,0,0
nothingis,1,0,1,0,0,0,0,0,0,0,0,0,0
wins,1,0,0,0,1,0,0,0,0,0,0,0,0
novel,1,0,0,0,1,0,0,0,0,0,0,0,0
windows,1,0,0,0,1,0,0,0,0,0,0,0,0
wind,1,1,0,0,0,0,0,0,0,0,0,0,0
williamson,1,0,1,0,0,0,0,0,0,0,0,0,0
numbers,1,0,0,0,1,0,0,0,0,0,0,0,0
numerically,1,0,0,0,1,0,0,0,0,0,0,0,0
nurse,1,0,0,0,1,0,0,0,0,0,0,0,0
nutrition,1,1,0,0,0,0,0,0,0,0,0,0,0
war,1,0,0,0,1,0,0,0,0,0,0,0,0
operations,1,0,0,0,1,0,0,0,0,0,0,0,0
passions,1,0,0,0,1,0,0,0,0,0,0,0,0
vastly,1,0,0,0,0,1,0,0,0,0,0,0,0
owners,1,0,0,0,1,0,0,0,0,0,0,0,0
oxymoron,1,1,0,0,0,0,0,0,0,0,0,0,0
package,1,0,0,0,1,0,0,0,0,0,0,0,0
paintings,1,0,0,0,1,0,0,0,0,0,0,0,0
pair,1,0,0,0,1,0,0,0,0,0,0,0,0
pakistan,1,0,0,0,0,0,1,0,0,0,0,0,0
palahniuk,1,0,1,0,0,0,0,0,0,0,0,0,0
palestinians,1,1,0,0,0,0,0,0,0,0,0,0,0
veterans,1,0,0,0,1,0,0,0,0,0,0,0,0
verses,1,0,1,0,0,0,0,0,0,0,0,0,0
verdict,1,1,0,0,0,0,0,0,0,0,0,0,0
panegyric,1,1,0,0,0,0,0,0,0,0,0,0,0
verdi,1,0,0,0,1,0,0,0,0,0,0,0,0
vaults,1,0,0,0,1,0,0,0,0,0,0,0,0
paper,1,0,1,0,0,0,0,0,0,0,0,0,0
voices,1,0,0,1,0,0,0,0,0,0,0,0,0
variety,1,0,0,0,1,0,0,0,0,0,0,0,0
varieties,1,0,0,1,0,0,0,0,0,0,0,0,0
parliament,1,0,0,1,0,0,0,0,0,0,0,0,0
part,1,0,0,0,1,0,0,0,0,0,0,0,0
particular,1,0,1,0,0,0,0,0,0,0,0,0,0
variables,1,0,0,0,1,0,0,0,0,0,0,0,0
utah,1,0,0,0,1,0,0,0,0,0,0,0,0
partners,1,1,0,0,0,0,0,0,0,0,0,0,0
use,1,0,0,0,1,0,0,0,0,0,0,0,0
party,1,0,0,0,1,0,0,0,0,0,0,0,0
passages,1,0,0,0,1,0,0,0,0,0,0,0,0
usage,1,1,0,0,0,0,0,0,0,0,0,0,0
ur,1,0,0,0,0,1,0,0,0,0,0,0,0
passes,1,0,0,0,1,0,0,0,0,0,0,0,0
vets,1,0,0,0,1,0,0,0,0,0,0,0,0
vice,1,0,0,0,0,0,1,0,0,0,0,0,0
owned,1,0,1,0,0,0,0,0,0,0,0,0,0
own,1,0,1,0,0,0,0,0,0,0,0,0,0
opinions,1,1,0,0,0,0,0,0,0,0,0,0,0
opposition,1,0,0,0,1,0,0,0,0,0,0,0,0
option,1,0,0,0,1,0,0,0,0,0,0,0,0
options,1,0,0,0,1,0,0,0,0,0,0,0,0
opulent,1,0,0,0,0,0,0,0,0,0,0,1,0
orders,1,1,0,0,0,0,0,0,0,0,0,0,0
organisations,1,0,0,0,1,0,0,0,0,0,0,0,0
orientation,1,0,0,0,1,0,0,0,0,0,0,0,0
vocals,1,0,0,0,0,0,0,0,0,1,0,0,0
vladimir,1,0,0,0,1,0,0,0,0,0,0,0,0
visionaries,1,0,0,0,1,0,0,0,0,0,0,0,0
visibly,1,0,1,0,0,0,0,0,0,0,0,0,0
virtues,1,1,0,0,0,0,0,0,0,0,0,0,0
villains,1,0,0,1,0,0,0,0,0,0,0,0,0
ottomans,1,1,0,0,0,0,0,0,0,0,0,0,0
ounce,1,0,0,1,0,0,0,0,0,0,0,0,0
views,1,0,0,0,0,1,0,0,0,0,0,0,0
viewer,1,0,0,0,1,0,0,0,0,0,0,0,0
video-,1,0,1,0,0,0,0,0,0,0,0,0,0
outbreak,1,0,0,0,0,0,0,0,0,1,0,0,0
victories,1,0,0,0,1,0,0,0,0,0,0,0,0
outlook,1,0,0,0,1,0,0,0,0,0,0,0,0
victimhood,1,0,0,0,0,0,0,0,0,0,0,1,0
output,1,0,0,0,1,0,0,0,0,0,0,0,0
outright,1,0,1,0,0,0,0,0,0,0,0,0,0
over,1,0,0,0,0,0,0,0,0,0,1,0,0
overly,1,1,0,0,0,0,0,0,0,0,0,0,0
overtly,1,1,0,0,0,0,0,0,0,0,0,0,0
overwhelmingly,1,0,0,0,0,0,1,0,0,0,0,0,0
poppies,1,0,0,0,1,0,0,0,0,0,0,0,0
presence,1,0,0,0,1,0,0,0,0,0,0,0,0
pores,1,0,0,0,1,0,0,0,0,0,0,0,0
stocks,1,0,0,0,1,0,0,0,0,0,0,0,0
santorum,1,0,0,0,1,0,0,0,0,0,0,0,0
same,1,0,1,0,0,0,0,0,0,0,0,0,0
samdc,1,0,0,0,1,0,0,0,0,0,0,0,0
stern,1,0,0,0,1,0,0,0,0,0,0,0,0
sticks,1,0,0,0,1,0,0,0,0,0,0,0,0
stillness,1,1,0,0,0,0,0,0,0,0,0,0,0
salesmen,1,0,1,0,0,0,0,0,0,0,0,0,0
success,1,0,0,0,1,0,0,0,0,0,0,0,0
sales,1,0,0,0,0,0,0,0,0,0,0,1,0
stomachs,1,0,0,0,1,0,0,0,0,0,0,0,0
russians,1,0,0,0,1,0,0,0,0,0,0,0,0
rulings,1,0,0,0,0,0,0,0,0,1,0,0,0
stoppage,1,0,0,0,0,0,0,0,0,1,0,0,0
stores,1,0,1,0,0,0,0,0,0,0,0,0,0
satellite,1,0,1,0,0,0,0,0,0,0,0,0,0
sauce,1,0,1,0,0,0,0,0,0,0,0,0,0
statistics,1,0,0,0,0,0,0,1,0,0,0,0,0
scent,1,0,0,1,0,0,0,0,0,0,0,0,0
schedule,1,0,1,0,0,0,0,0,0,0,0,0,0
scheuber,1,0,0,0,1,0,0,0,0,0,0,0,0
schism,1,1,0,0,0,0,0,0,0,0,0,0,0
statehouses,1,0,0,0,1,0,0,0,0,0,0,0,0
screens,1,0,0,1,0,0,0,0,0,0,0,0,0
state,1,0,0,0,1,0,0,0,0,0,0,0,0
script,1,0,0,1,0,0,0,0,0,0,0,0,0
starter,1,0,1,0,0,0,0,0,0,0,0,0,0
scurrility,1,0,0,0,1,0,0,0,0,0,0,0,0
stars,1,0,0,0,0,0,0,0,0,0,0,1,0
sea,1,0,0,0,1,0,0,0,0,0,0,0,0
standards,1,0,0,1,0,0,0,0,0,0,0,0,0
standard,1,0,0,0,1,0,0,0,0,0,0,0,0
rulers,1,0,0,0,1,0,0,0,0,0,0,0,0
roster,1,0,0,1,0,0,0,0,0,0,0,0,0
room,1,0,0,0,0,0,0,1,0,0,0,0,0
structures,1,0,0,1,0,0,0,0,0,0,0,0,0
subsidiarity,1,0,0,0,1,0,0,0,0,0,0,0,0
retailers,1,0,0,1,0,0,0,0,0,0,0,0,0
returns,1,0,0,0,1,0,0,0,0,0,0,0,0
subplot,1,0,0,0,1,0,0,0,0,0,0,0,0
revenues,1,0,0,0,1,0,0,0,0,0,0,0,0
revisions,1,0,0,0,1,0,0,0,0,0,0,0,0
submissions,1,0,0,0,0,0,0,0,0,1,0,0,0
subject,1,0,0,0,1,0,0,0,0,0,0,0,0
style,1,1,0,0,0,0,0,0,0,0,0,0,0
students,1,0,0,0,1,0,0,0,0,0,0,0,0
rhythmically,1,1,0,0,0,0,0,0,0,0,0,0,0
rich,1,0,0,0,1,0,0,0,0,0,0,0,0
struggle,1,0,0,0,0,0,0,0,0,1,0,0,0
ricotta,1,0,1,0,0,0,0,0,0,0,0,0,0
ride,1,0,1,0,0,0,0,0,0,0,0,0,0
romijns,1,0,0,0,1,0,0,0,0,0,0,0,0
structurally,1,1,0,0,0,0,0,0,0,0,0,0,0
rift,1,1,0,0,0,0,0,0,0,0,0,0,0
strings,1,0,0,0,1,0,0,0,0,0,0,0,0
rights,1,0,0,0,1,0,0,0,0,0,0,0,0
strikes,1,0,1,0,0,0,0,0,0,0,0,0,0
streets,1,0,0,0,1,0,0,0,0,0,0,0,0
rivalry,1,0,0,0,0,0,0,0,0,1,0,0,0
rivals,1,0,0,0,1,0,0,0,0,0,0,0,0
roa,1,0,0,0,1,0,0,0,0,0,0,0,0
roads,1,0,0,0,1,0,0,0,0,0,0,0,0
rockaways,1,1,0,0,0,0,0,0,0,0,0,0,0
strategically,1,0,0,0,0,0,1,0,0,0,0,0,0
strain,1,0,0,0,1,0,0,0,0,0,0,0,0
roles,1,0,0,0,1,0,0,0,0,0,0,0,0
seats,1,0,0,0,0,0,0,0,0,1,0,0,0
second,1,1,0,0,0,0,0,0,0,0,0,0,0
secret,1,0,0,0,0,0,0,0,0,1,0,0,0
software,1,0,0,1,0,0,0,0,0,0,0,0,0
shitonface,1,0,0,0,1,0,0,0,0,0,0,0,0
shoppers,1,0,0,0,1,0,0,0,0,0,0,0,0
shores,1,0,0,0,0,0,0,0,0,1,0,0,0
sovereign,1,1,0,0,0,0,0,0,0,0,0,0,0
shortage,1,0,0,0,0,0,0,0,0,0,0,1,0
soul-,1,0,0,0,0,0,1,0,0,0,0,0,0
shots,1,0,0,1,0,0,0,0,0,0,0,0,0
shout,1,1,0,0,0,0,0,0,0,0,0,0,0
sidecars,1,0,0,0,1,0,0,0,0,0,0,0,0
sight,1,1,0,0,0,0,0,0,0,0,0,0,0
sorenstam,1,0,0,0,1,0,0,0,0,0,0,0,0
signs,1,0,0,0,0,0,0,0,0,1,0,0,0
somewhat,1,0,1,0,0,0,0,0,0,0,0,0,0
something,1,1,0,0,0,0,0,0,0,0,0,0,0
soft-selling,1,0,0,0,1,0,0,0,0,0,0,0,0
ship,1,0,1,0,0,0,0,0,0,0,0,0,0
sofas,1,0,0,0,0,0,0,0,0,1,0,0,0
sinicization,1,0,0,0,1,0,0,0,0,0,0,0,0
sink,1,0,0,0,1,0,0,0,0,0,0,0,0
society,1,1,0,0,0,0,0,0,0,0,0,0,0
sixth,1,0,0,0,0,0,0,0,0,0,1,0,0
snake,1,1,0,0,0,0,0,0,0,0,0,0,0
size,1,0,0,0,1,0,0,0,0,0,0,0,0
sizes,1,0,1,0,0,0,0,0,0,0,0,0,0
skin,1,0,0,0,1,0,0,0,0,0,0,0,0
sky,1,0,1,0,0,0,0,0,0,0,0,0,0
slaveholders,1,0,1,0,0,0,0,0,0,0,0,0,0
slaves,1,0,0,0,1,0,0,0,0,0,0,0,0
smth,1,0,0,0,0,1,0,0,0,0,0,0,0
sleaze,1,0,0,0,1,0,0,0,0,0,0,0,0
ships,1,0,0,1,0,0,0,0,0,0,0,0,0
sherman,1,0,0,0,1,0,0,0,0,0,0,0,0
seed,1,0,0,0,1,0,0,0,0,0,0,0,0
serious,1,0,1,0,0,0,0,0,0,0,0,0,0
stain,1,0,0,1,0,0,0,0,0,0,0,0,0
stage,1,1,0,0,0,0,0,0,0,0,0,0,0
staffers,1,0,0,0,1,0,0,0,0,0,0,0,0
sekai,1,0,0,0,0,1,0,0,0,0,0,0,0
squirrel,1,0,0,0,1,0,0,0,0,0,0,0,0
sprawl,1,0,0,0,0,0,1,0,0,0,0,0,0
self-,1,0,0,0,1,0,0,0,0,0,0,0,0
self-limitation,1,0,0,0,1,0,0,0,0,0,0,0,0
self-satisfaction,1,1,0,0,0,0,0,0,0,0,0,0,0
spratlys,1,0,0,0,1,0,0,0,0,0,0,0,0
sentence,1,0,0,0,1,0,0,0,0,0,0,0,0
spot,1,0,1,0,0,0,0,0,0,0,0,0,0
sentiment,1,1,0,0,0,0,0,0,0,0,0,0,0
sportsman,1,0,0,0,0,0,0,0,0,0,0,1,0
seriously,1,0,0,1,0,0,0,0,0,0,0,0,0
spanish,1,0,0,0,0,0,1,0,0,0,0,0,0
service,1,0,0,0,1,0,0,0,0,0,0,0,0
ngos,1,0,0,0,1,0,0,0,0,0,0,0,0
