hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_02_042.2977_x0668099_32:09-10-11,particularly,religious,particularly_religious,n't,n't_particularly_religious,"a meek man , he has n't particularly religious .","He was a meek man , he has n't particularly religious ."
pcc_eng_08_073.2931_x1170423_006:11-12-13,particularly,religious,particularly_religious,n't,n't_particularly_religious,", my brother and i were n't particularly religious as well .","So , in effect , my brother and I were n't particularly religious as well ."
pcc_eng_16_055.4235_x0880841_121:11-13-14,particularly,religious,particularly_religious,n't,n't_particularly_religious,"to indicated that they had n't been particularly religious before , so even though they","A few people I spoke to indicated that they had n't been particularly religious before , so even though they are home and have the time , they are n't tuning in ."
pcc_eng_17_041.7237_x0657893_170:18-19-20,particularly,religious,particularly_religious,n't,n't_particularly_religious,a group of men who are n't particularly religious and who like to make dirty,"On top of that , such a society would also have a group of men who are n't particularly religious and who like to make dirty jokes about naked women , but who are easily whipped up into a frenzy of anger at the thought of all the women out there taking showers that they do n't get to see ."
pcc_eng_00_036.1577_x0567876_298:6-7-8,particularly,religious,particularly_religious,n't,n't_particularly_religious,"and second , i was n't particularly religious or even spiritual at that point","And second , I was n't particularly religious or even spiritual at that point in my life ."
pcc_eng_06_106.3287_x1703973_51:15-16-17,particularly,religious,particularly_religious,n't,n't_particularly_religious,"song "" ; my parents were n't particularly religious but liked the way it sounded","Shira is a Hebrew name that means "" song "" ; my parents were n't particularly religious but liked the way it sounded despite the unforeseen implications of a whole slew of substitute teachers who completely butchered the pronunciation during my formative years ."
pcc_eng_09_018.8881_x0289728_3:3-4-5,particularly,religious,particularly_religious,n't,n't_particularly_religious,"thomas is n't particularly religious , but an element of spirituality","Thomas is n't particularly religious , but an element of spirituality motivates her ."
pcc_eng_25_082.7596_x1323456_91:4-5-6,particularly,religious,particularly_religious,n't,n't_particularly_religious,"east asians are n't particularly religious in the first place , and","East asians are n't particularly religious in the first place , and do n't have any kind of "" monoreligious "" concept the way westerners do ."
pcc_eng_01_072.4058_x1155075_04:14-15-16,particularly,religious,particularly_religious,n't,n't_particularly_religious,been a happy woman but was n't particularly religious .,Friends and family claimed she had always been a happy woman but was n't particularly religious .
pcc_eng_18_005.5493_x0073752_25:7-8-9,particularly,religious,particularly_religious,n't,n't_particularly_religious,"whilst many of the members are n't particularly religious , all feel strongly affiliated to","Whilst many of the members are n't particularly religious , all feel strongly affiliated to their Jewish roots and find that they have an instant connection to other Jewish lesbians ."
pcc_eng_06_029.1755_x0455844_38:4-5-6,particularly,religious,particularly_religious,n't,n't_particularly_religious,"though greenberg was n't particularly religious , he did sit out games","Though Greenberg was n't particularly religious , he did sit out games on Yom Kippur ."
pcc_eng_10_040.1360_x0633029_39:4-5-6,particularly,religious,particularly_religious,n't,n't_particularly_religious,my husband is n't particularly religious ( he appreciates paganism but does,"My husband is n't particularly religious ( he appreciates Paganism but does n't really consider himself Pagan ) , and he does n't have a single drop of Maori blood in him ( he's of Norwegian / British heritage ) ."
pcc_eng_06_025.8297_x0401845_0046:29-30-31,particularly,religious,particularly_religious,n't,n't_particularly_religious,"he was concerned , he was n't particularly religious , and so he went into","MA : He was brought over for that , but although he did teach , he saw that , as far as he was concerned , he was n't particularly religious , and so he went into trade ."
pcc_eng_24_077.3460_x1235049_07:31-32-33,particularly,religious,particularly_religious,n't,n't_particularly_religious,of mentality in people who were n't particularly religious .,"( Though this statement of the problem does make heavy reference to believing in a divine plan , I 've seen the same sort of mentality in people who were n't particularly religious ."
pcc_eng_10_073.6207_x1173891_25:24-25-26,particularly,religious,particularly_religious,n't,n't_particularly_religious,anti-assad jihad ... except they are n't particularly religious !,"ISIS are a terrifying , devastating Sunni militia that emerged out of the Iraqi insurgency and the anti-Assad jihad ... except they are n't particularly religious !"
pcc_eng_09_091.0243_x1456668_13:5-6-7,particularly,religious,particularly_religious,n't,n't_particularly_religious,"even if one is n't particularly religious , just by living in the","Even if one is n't particularly religious , just by living in the holy land of ours some religion is going to rub off on them ."
pcc_eng_01_068.1971_x1086925_36:3-4-5,particularly,religious,particularly_religious,n't,n't_particularly_religious,kato was n't particularly religious and honestly did n't understand western,"Kato was n't particularly religious and honestly did n't understand western religion anyhow , so attempting to name and describe these foreign things was beyond him ."
pcc_eng_11_090.7665_x1453062_44:6-7-8,particularly,religious,particularly_religious,n't,n't_particularly_religious,he stated that he is n't particularly religious and is more interested in that,He stated that he is n't particularly religious and is more interested in that idea of group ecstasy .
pcc_eng_22_075.8657_x1210013_391:3-4-5,particularly,religious,particularly_religious,n't,n't_particularly_religious,"she is n't particularly religious , but she believes in the","She is n't particularly religious , but she believes in the Jewish concept of tikkun olam , that it is the job of individuals to repair the world ."
pcc_eng_19_078.4315_x1250922_23:6-7-8,particularly,religious,particularly_religious,n't,n't_particularly_religious,for example if they are n't particularly religious then you should avoid a religious,For example if they are n't particularly religious then you should avoid a religious message in case they take offence to it or find it uncomfortable
nyt_eng_19980228_0072_11:6-7-8,particularly,religious,particularly_religious,neither,neither_particularly_religious,the community of katsir is neither particularly religious nor nationalistic .,the community of Katsir is neither particularly religious nor nationalistic .
pcc_eng_27_005.2794_x0068673_13:1-5-6,particularly,religious,particularly_religious,neither,neither_particularly_religious,Neither of them were particularly religious .,Neither of them were particularly religious .
pcc_eng_22_054.2767_x0860766_045:04-09-10,particularly,religious,particularly_religious,neither,neither_particularly_religious,"As adults , neither of the siblings was particularly religious , but they felt","As adults , neither of the siblings was particularly religious , but they felt culturally Jewish - Amy was famously meant to have cooked chicken soup for her bodyguards ."
pcc_eng_18_080.9875_x1295081_065:3-4-5,particularly,religious,particularly_religious,never,never_particularly_religious,"he was never particularly religious , but like other ubecans he","He was never particularly religious , but like other Ubecans he went to Mass on Sundays and holy days of obligation ."
pcc_eng_28_079.0946_x1263230_058:08-10-11,particularly,religious,particularly_religious,never,never_particularly_religious,was surprised ; patrick had never been particularly religious and he had his whole life,His father was surprised ; Patrick had never been particularly religious and he had his whole life ahead of him .
pcc_eng_00_067.0919_x1068298_14:3-5-6,particularly,religious,particularly_religious,never,never_particularly_religious,"i 've never been particularly religious , despite having grown up going","I 've never been particularly religious , despite having grown up going to church on Sundays , singing in the choir , and doing a short gig as an altar boy ; though in the Episcopal Church we were called ..."
pcc_eng_07_023.2643_x0360021_31:1-5-6,particularly,religious,particularly_religious,none,none_particularly_religious,none of us are particularly religious but you do n't have to,None of us are particularly religious but you do n't have to be to agree that the world would be a better place if everyone made more of an effort to stop doing shitty things .
pcc_eng_03_007.0043_x0097034_03:03-09-10,particularly,religious,particularly_religious,none,none_particularly_religious,"Even though none of these three men was particularly religious , the power that","Even though none of these three men was particularly religious , the power that religion holds over people and societies interested them all ."
