adj_form_lower,SUM,never,nothing,no,none,nobody,hardly,scarcely,neither,barely,rarely
SUM,136,46,26,24,20,8,4,4,2,1,1
late,8,8,0,0,0,0,0,0,0,0,0
toxic,4,0,0,4,0,0,0,0,0,0,0
important,4,2,0,0,2,0,0,0,0,0,0
good,4,2,0,0,2,0,0,0,0,0,0
bad,4,3,1,0,0,0,0,0,0,0,0
popular,3,3,0,0,0,0,0,0,0,0,0
exciting,3,0,3,0,0,0,0,0,0,0,0
effective,3,0,0,3,0,0,0,0,0,0,0
different,3,1,0,0,0,0,1,1,0,0,0
close,3,2,0,0,1,0,0,0,0,0,0
serious,3,0,3,0,0,0,0,0,0,0,0
available,3,0,0,0,0,2,0,0,1,0,0
big,2,1,1,0,0,0,0,0,0,0,0
sick,2,2,0,0,0,0,0,0,0,0,0
vulnerable,2,2,0,0,0,0,0,0,0,0,0
impressive,2,0,0,1,1,0,0,0,0,0,0
aware,2,0,0,0,0,2,0,0,0,0,0
willing,2,1,0,0,1,0,0,0,0,0,0
severe,2,0,1,0,1,0,0,0,0,0,0
happy,2,1,0,0,1,0,0,0,0,0,0
dramatic,2,0,1,0,0,0,1,0,0,0,0
sinister,2,0,0,2,0,0,0,0,0,0,0
careful,2,2,0,0,0,0,0,0,0,0,0
sure,2,0,0,0,0,2,0,0,0,0,0
persistent,1,0,1,0,0,0,0,0,0,0,0
wrong,1,0,1,0,0,0,0,0,0,0,0
painful,1,0,0,0,1,0,0,0,0,0,0
optimistic,1,0,0,1,0,0,0,0,0,0,0
ominous,1,0,0,1,0,0,0,0,0,0,0
possible,1,0,1,0,0,0,0,0,0,0,0
notorious,1,0,0,0,1,0,0,0,0,0,0
potent,1,0,0,0,0,0,1,0,0,0,0
precious,1,0,1,0,0,0,0,0,0,0,0
prepared,1,1,0,0,0,0,0,0,0,0,0
pressing,1,0,1,0,0,0,0,0,0,0,0
right,1,1,0,0,0,0,0,0,0,0,0
viable,1,0,0,1,0,0,0,0,0,0,0
relevant,1,0,0,0,0,0,0,0,0,0,1
remarkable,1,0,1,0,0,0,0,0,0,0,0
responsive,1,1,0,0,0,0,0,0,0,0,0
tired,1,0,0,1,0,0,0,0,0,0,0
scared,1,0,0,0,0,1,0,0,0,0,0
secret,1,0,1,0,0,0,0,0,0,0,0
secretive,1,0,0,1,0,0,0,0,0,0,0
nervous,1,0,0,0,0,0,0,1,0,0,0
unusual,1,0,1,0,0,0,0,0,0,0,0
special,1,0,1,0,0,0,0,0,0,0,0
spiritual,1,0,0,1,0,0,0,0,0,0,0
unfair,1,0,0,0,0,0,0,0,1,0,0
strange,1,0,1,0,0,0,0,0,0,0,0
sweeping,1,0,0,0,1,0,0,0,0,0,0
new,1,0,1,0,0,0,0,0,0,0,0
absurd,1,0,1,0,0,0,0,0,0,0,0
narrow,1,1,0,0,0,0,0,0,0,0,0
broad,1,1,0,0,0,0,0,0,0,0,0
early,1,1,0,0,0,0,0,0,0,0,0
difficult,1,0,0,0,1,0,0,0,0,0,0
dangerous,1,0,0,1,0,0,0,0,0,0,0
consistent,1,0,0,0,0,1,0,0,0,0,0
complicated,1,0,1,0,0,0,0,0,0,0,0
clear,1,0,0,0,0,0,0,1,0,0,0
busy,1,1,0,0,0,0,0,0,0,0,0
bright,1,0,0,1,0,0,0,0,0,0,0
motivated,1,0,0,0,1,0,0,0,0,0,0
black,1,1,0,0,0,0,0,0,0,0,0
better,1,0,0,0,0,0,1,0,0,0,0
believable,1,1,0,0,0,0,0,0,0,0,0
astonishing,1,0,0,0,0,0,0,1,0,0,0
appropriate,1,0,0,1,0,0,0,0,0,0,0
applicable,1,0,0,1,0,0,0,0,0,0,0
apparent,1,1,0,0,0,0,0,0,0,0,0
easy,1,0,1,0,0,0,0,0,0,0,0
enough,1,1,0,0,0,0,0,0,0,0,0
essential,1,0,1,0,0,0,0,0,0,0,0
fascinating,1,1,0,0,0,0,0,0,0,0,0
memorable,1,0,0,0,1,0,0,0,0,0,0
low,1,1,0,0,0,0,0,0,0,0,0
little,1,0,0,0,1,0,0,0,0,0,0
likely,1,0,0,1,0,0,0,0,0,0,0
amusing,1,0,1,0,0,0,0,0,0,0,0
indicative,1,0,0,0,1,0,0,0,0,0,0
improbable,1,0,0,1,0,0,0,0,0,0,0
ill,1,0,0,0,1,0,0,0,0,0,0
hot,1,1,0,0,0,0,0,0,0,0,0
honest,1,0,0,1,0,0,0,0,0,0,0
high,1,1,0,0,0,0,0,0,0,0,0
glaring,1,0,0,0,1,0,0,0,0,0,0
full,1,0,0,0,0,0,0,0,0,1,0
foolish,1,1,0,0,0,0,0,0,0,0,0
fit,1,0,0,1,0,0,0,0,0,0,0
intractable,1,0,0,0,1,0,0,0,0,0,0
