hit_id,bigram_lower,adj_form_lower,all_forms_lower,adv_form_lower,text_window,token_str
pcc_eng_11_100.0057_x1602588_11:5-6,remotely_funny,funny,(+)_remotely_funny,remotely,how is this even remotely funny ???,How is this even remotely funny ???
pcc_eng_22_071.0533_x1132203_27:2-3,remotely_funny,funny,(+)_remotely_funny,remotely,or remotely funny .,Or remotely funny .
pcc_eng_13_038.5415_x0607056_27:13-14,remotely_funny,funny,(+)_remotely_funny,remotely,i really have to say that any remotely funny ( or that 's what they,"With that being said , I really have to say that any remotely funny ( or that 's what they tried to be ) scenes seemed simply out of place ."
nyt_eng_20100815_0030_17:6-7,remotely_funny,funny,(+)_remotely_funny,remotely,"like if i see something remotely funny i might say ` hahahahahahahahahahahahahahahha ,","like if I see something remotely funny I might say ` HAHAHAHAHAHAHAHAHAHAHAHAHAHAHHA , ' when really there is no expression on my face . ''"
pcc_eng_04_036.1083_x0567538_44:62-63,remotely_funny,funny,(+)_remotely_funny,remotely,remember and repeat anything they think is remotely funny .,"I learned a lot during this time : that there is a finite number of times I can listen to The Wheels on the Bus before having a compound nervous breakdown , that I should always keep my mouth closed and breathe through my nose during flu season , and that children will instantly remember and repeat anything they think is remotely funny ."
pcc_eng_09_023.1908_x0359219_097:15-16,remotely_funny,funny,(+)_remotely_funny,remotely,age of nineteen to think it 's remotely funny .,Mostly you have to be under the age of nineteen to think it 's remotely funny .
pcc_eng_29_076.4131_x1218399_02:12-13,remotely_funny,funny,(+)_remotely_funny,remotely,title of this article is the only remotely funny part of this story and is,"Ok , so the title of this article is the only remotely funny part of this story and is really just to get your attention ."
pcc_eng_28_074.3337_x1186080_06:09-10,remotely_funny,funny,(+)_remotely_funny,remotely,that would be forgivable if it were remotely funny .,All that would be forgivable if it were remotely funny .
pcc_eng_28_088.6270_x1417668_23:10-11,remotely_funny,funny,(+)_remotely_funny,remotely,be waiting for you to say something remotely funny so that he can touch your,He might be waiting for you to say something remotely funny so that he can touch your thigh as he laughs .
pcc_eng_20_003.5885_x0041511_11:17-18,remotely_funny,funny,(+)_remotely_funny,remotely,sequences are far from hilarious or even remotely funny at most of the places .,"Although designed as a comedy , the scenes and sequences are far from hilarious or even remotely funny at most of the places ."
pcc_eng_16_053.4980_x0849745_23:25-26,remotely_funny,funny,(+)_remotely_funny,remotely,"ask yourself , "" is this even remotely funny ? ""","Before you make a comic like this , you should take out the pop culture references and ask yourself , "" is this even remotely funny ? """
pcc_eng_03_059.4904_x0947235_050:09-10,remotely_funny,funny,(+)_remotely_funny,remotely,the freaks story lines struggle to be remotely funny or exciting the family at the,While the freaks story lines struggle to be remotely funny or exciting the family at the farm apparently has been walking this whole time between the barn and the farmhouse where Dad is happily doing experiments on his latest zombie .
pcc_eng_22_011.1220_x0163320_19:42-43,remotely_funny,funny,(+)_remotely_funny,remotely,had to be there to find it remotely funny .,"* The title of this post concerns a humorous account of how we were able to get our hands on movie tickets , but I guess it 's one of those stories where you had to be there to find it remotely funny ."
pcc_eng_02_004.4837_x0056210_03:18-19,remotely_funny,funny,(+)_remotely_funny,remotely,"only grads laugh at ( or find remotely funny ) , above those excursions ,","Underneath those Poisson 's distributions , behind those jokes that only grads laugh at ( or find remotely funny ) , above those excursions , and inside those classrooms , there were a few lessons that kept reoccurring throughout the year ."
pcc_eng_16_070.4344_x1123811_29:4-5,remotely_funny,funny,(+)_remotely_funny,remotely,what 's even remotely funny about imran 's south indian caricature,"What 's even remotely funny about Imran 's South Indian caricature boss and his "" Rama Lakshmana "" enthusiasm ?"
pcc_eng_00_080.7417_x1289168_1:21-22,remotely_funny,funny,(+)_remotely_funny,remotely,"varied from the very funny to the remotely funny , but never came close to","I found these reactions more annoying than Mac Farlane 's comments , which varied from the very funny to the remotely funny , but never came close to anti-semitism ."
pcc_eng_02_002.6501_x0026722_23:15-16,remotely_funny,funny,(+)_remotely_funny,remotely,"applying for cbbc horrible histories , bbc remotely funny and the new prime time show","Finally , good luck to all those applying for CBBC Horrible Histories , BBC Remotely funny and the new prime time show for Channel 4 ."
pcc_eng_15_030.7864_x0481370_2:14-15,remotely_funny,funny,(+)_remotely_funny,remotely,when a customer says something at all remotely funny so you use the waiter laugh,also known as a courtesy laugh when a customer says something at all remotely funny so you use the waiter laugh or bartender laugh to make the customer think they are funny .
pcc_eng_22_019.2905_x0294955_12:14-15,remotely_funny,funny,(+)_remotely_funny,remotely,about a dog show would be even remotely funny - yet this one is a,Who would have thought a movie about a dog show would be even remotely funny - yet this one is a riot throughout .
pcc_eng_16_037.6293_x0592724_06:45-46,remotely_funny,funny,(+)_remotely_funny,remotely,at everything you say that 's even remotely funny .,"Interviewing with morning shows is strange in one respect : because they 're trying to keep the show 's energy level high and make their listeners feel good about being awake so godawful early , they laugh at everything you say that 's even remotely funny ."
pcc_eng_06_107.1522_x1717198_08:25-34-35,remotely_funny,funny,few_remotely_funny,remotely,"dog costumes , so few of the gags created by result are even remotely funny ; to just find","He only wishes for Bode , currently a head trainer for the village security squad ; all sheep in wooden dog costumes , so few of the gags created by result are even remotely funny ; to just find the natural energy his chosen life had been given , and just enjoy the work presented to him , even if the work is just a disappointing endeavor anyway ."
pcc_eng_25_034.2862_x0538911_12:11-13-14,remotely_funny,funny,n't_remotely_funny,remotely,"out , the label was n't "" remotely funny "" -- if it had ,","However , as Barnett points out , the label was n't "" remotely funny "" -- if it had , she would have laughed ."
pcc_eng_21_069.4617_x1106415_163:48-49-50,remotely_funny,funny,n't_remotely_funny,remotely,though often the song itself is n't remotely funny .,"In Chris Heath 's book Pet Shop Boys , Literally , he briefly quotes Neil ( on page 116 of at least some editions ) about this unreleased song : "" Sometimes the inspiration behind a song is something funny , though often the song itself is n't remotely funny ."
pcc_eng_10_023.7985_x0368260_39:3-5-6,remotely_funny,funny,n't_remotely_funny,remotely,She is n't even remotely funny .,She is n't even remotely funny .
pcc_eng_16_025.2419_x0392368_08:26-28-29,remotely_funny,funny,n't_remotely_funny,remotely,"years ago , but has n't been remotely funny since .","The last comic standing would be that southern guy that hosts the show and was funny in a sitcom several years ago , but has n't been remotely funny since ."
pcc_eng_27_004.7603_x0060341_40:15-16-17,remotely_funny,funny,n't_remotely_funny,remotely,"big softy , and this was n't remotely funny .","Yeah , I know , I 'm a big softy , and this was n't remotely funny ."
apw_eng_20090130_0104_9:27-30-31,remotely_funny,funny,n't_remotely_funny,remotely,", it still would n't have been remotely funny .","even if it had tried to capitalize on the popularity of `` Fargo '' and come out more than a decade ago , it still would n't have been remotely funny ."
pcc_eng_13_081.4916_x1301037_149:08-09-10,remotely_funny,funny,n't_remotely_funny,remotely,"just stupid , the jokes were n't remotely funny , which some have pointed out","Not just stupid , the jokes were n't remotely funny , which some have pointed out might be the most pressing worry for fans of a comedy program ."
pcc_eng_13_088.9619_x1421689_20:19-20-21,remotely_funny,funny,n't_remotely_funny,remotely,"be exclusively about things that are n't remotely funny , so you can read it","So , as a response , the balance of this column will be exclusively about things that are n't remotely funny , so you can read it without worrying that your body temperature will increase even one degree of Kelvin ."
pcc_eng_08_049.8663_x0790906_25:37-39-40,remotely_funny,funny,never_remotely_funny,remotely,flat deep-voiced performance that 's never even remotely funny .,"You may also ponder the degree of nepotism involved with casting Catherine Reitman , the daughter of producer Ivan Retiman , as Ryden 's arch-rival Jessica , as she gives a flat deep-voiced performance that 's never even remotely funny ."
pcc_eng_21_077.8633_x1242034_08:1-5-6,remotely_funny,funny,none_remotely_funny,remotely,"none of this is remotely funny , despite screenwriter wayne conley 's","None of this is remotely funny , despite screenwriter Wayne Conley 's resorting to virtually every known stereotype"
pcc_eng_06_079.8378_x1274832_017:09-13-14,remotely_funny,funny,none_remotely_funny,remotely,"my family , none of whom are remotely funny .","I would like to thank my family , none of whom are remotely funny ."
pcc_eng_14_088.5429_x1415038_07:18-22-23,remotely_funny,funny,none_remotely_funny,remotely,"sloppy writing , none of it is remotely funny on-screen .","Some of this sounds funny in writing , but thanks to witless execution and sloppy writing , none of it is remotely funny on-screen ."
pcc_eng_24_105.4759_x1690348_02:3-5-6,remotely_funny,funny,not_remotely_funny,remotely,which will not be remotely funny if you do n't live in,which will not be remotely funny if you do n't live in danger of a hurricane passin ' through ...
pcc_eng_27_063.1531_x1004836_23:08-10-11,remotely_funny,funny,not_remotely_funny,remotely,"disturbing , disgusting , and not even remotely funny .","That 's disturbing , disgusting , and not even remotely funny ."
pcc_eng_13_045.3164_x0716522_17:3-5-6,remotely_funny,funny,not_remotely_funny,remotely,It is not even remotely funny .,It is not even remotely funny .
pcc_eng_15_093.7738_x1499594_21:16-18-19,remotely_funny,funny,not_remotely_funny,remotely,", annoying as hell and not even remotely funny , he is an excellent pt","JP ( John Paul Temple ) is good like that , annoying as hell and not even remotely funny , he is an excellent PT though ."
pcc_eng_08_049.8663_x0790906_21:30-32-33,remotely_funny,funny,not_remotely_funny,remotely,in a scene that 's not even remotely funny is the crux of the problems,"Just the fact you can have Burnett and Lynch , two of the funniest women of the last five decades , on screen together in a scene that 's not even remotely funny is the crux of the problems with Vicky Jenson 's lazy direction ."
pcc_eng_03_036.1907_x0569931_13:10-11-12,remotely_funny,funny,not_remotely_funny,remotely,"though , is that this was not remotely funny .","The problem , though , is that this was not remotely funny ."
pcc_eng_20_030.2939_x0473614_15:1-2-3,remotely_funny,funny,not_remotely_funny,remotely,Not remotely funny .,Not remotely funny .
pcc_eng_03_084.6337_x1354293_20:4-6-7,remotely_funny,funny,not_remotely_funny,remotely,Plane crashes are not even remotely funny .,Plane crashes are not even remotely funny .
pcc_eng_17_055.1601_x0875090_24:3-4-5,remotely_funny,funny,not_remotely_funny,remotely,She is not remotely funny .,She is not remotely funny .
pcc_eng_09_083.0771_x1327763_75:19-21-22,remotely_funny,funny,not_remotely_funny,remotely,"hear politically , i 'm not even remotely funny .","But suddenly , now that I 'm not saying what they want to hear politically , I 'm not even REMOTELY funny ."
pcc_eng_07_057.0140_x0905249_14:12-14-15,remotely_funny,funny,not_remotely_funny,remotely,"they 're not jokes , not even remotely funny , as the dalek cleanly and","And then let 's show that they 're not jokes , not even remotely funny , as the Dalek cleanly and efficiently slaughters everyone in sight ."
pcc_eng_11_099.0101_x1586566_29:16-17-18,remotely_funny,funny,not_remotely_funny,remotely,film as a comedy if its not remotely funny .,PS to the studio - do n't market a film as a comedy if its not remotely funny .
