sent_id|conllu_id|doc_id|sent_int|prev_id|next_id|prev_text|sent_text|next_text
apw_eng_20040506_0953_9|apw_eng_200405|apw_eng_20040506_0953|9|apw_eng_20040506_0953_8|apw_eng_20040506_0953_10|The Civil Rights Activist Committee , a local organization , raised $ 11,000 for the new grave after Time magazine published a story about Ware last year , said Shirley Floyd , the group 's business manager .| -LBQ-  We think this boy deserves as much as the four little girls who were killed ,  -RDQ-  said committee chairman Tommy Wrenn .|A bomb went off at Sixteenth Street Baptist Church the morning of Sept. 15 , 1963 , killing four black girls as they prepared for worship .
apw_eng_20040506_0953_5|apw_eng_200405|apw_eng_20040506_0953|5|apw_eng_20040506_0953_4|apw_eng_20040506_0953_6|After a small funeral attended by family and friends , Ware was buried without a headstone in a plot that later became overgrown .|On Thursday about 150 people , including relatives and veterans of the civil rights movement , gathered to honor Ware with prayers and songs in a public memorial they considered long overdue .|His body recently was moved to a new grave , with a bronze-colored marker that bears Ware 's likeness and the phrase  -LBQ-  Gone ... but not forgotten .  -RDQ- 
apw_eng_20040506_0953_3|apw_eng_200405|apw_eng_20040506_0953|3|apw_eng_20040506_0953_2|apw_eng_20040506_0953_4|Ware , 13 and black , was shot to death by two white teenagers in 1963 in the kind of slaying that typically would have drawn widespread attention .|But Ware died within hours of a racist church bombing that killed four black girls a few miles away , and his death went largely unnoticed for years .|After a small funeral attended by family and friends , Ware was buried without a headstone in a plot that later became overgrown .
apw_eng_20040506_0952_2|apw_eng_200405|apw_eng_20040506_0952|2|apw_eng_20040506_0952_1|apw_eng_20040506_0952_3|Japan Airlines System Corp. , the holding company of Japan Airlines Co. and Japan Air System Co. , said Friday it sank deeply into the red for the year ended March 31 due to the lingering impact of SARS and the war in Iraq last year .|The nation 's flagship carrier posted a group net loss of 88.62 billion yen -LRB- US$ 805.6 million -RRB- , much worse than the year-earlier result of a 11.65 billion yen -LRB- US$ 105.9 million -RRB- profit .|Group revenue fell 7.3 percent to 1.93 trillion yen -LRB- US$ 17.5 billion -RRB- from 2.08 trillion yen -LRB- US$ 18.9 billion -RRB- , damaged by a drop in international travel in the wake of the outbreak of SARS in Asia last year .
apw_eng_20040506_0951_10|apw_eng_200405|apw_eng_20040506_0951|10|apw_eng_20040506_0951_9|apw_eng_20040506_0951_11| -LBQ-  I 'm standing in the right line at least ,  -RDQ-  said Richard Arnold , who most recently taught at the American International School in Bucharest , Romania .|If things go well and astronauts indeed return to the moon by 2020 , the astronauts in the current class could at that time be among the corps ' most senior members , NASA spokeswoman Melissa Mathews said .|_ _ _ =
apw_eng_20040506_0949_18|apw_eng_200405|apw_eng_20040506_0949|18|apw_eng_20040506_0949_17|apw_eng_20040506_0949_19| -LBQ-  It does not mean she put it there ,  -RDQ-  Gibbons said .| -LBQ-  We 're fully aware of the contents of the autopsy report and we intend to proceed with this case .  -RDQ- |A gunshot releases a cloud of residue within a three-foot radius , Gibbons said .
apw_eng_20040506_0949_4|apw_eng_200405|apw_eng_20040506_0949|4|apw_eng_20040506_0949_3|apw_eng_20040506_0949_5|He is free on $ 1 million bail .| -LBQ-  Analysis revealed several highly specific particles and many consistent particles of gunshot residue on both the right and left hand .|...
apw_eng_20040506_0946_6|apw_eng_200405|apw_eng_20040506_0946|6|apw_eng_20040506_0946_5|apw_eng_20040506_0946_7| -LBQ-  I am so proud that during our centennial year the name of Donald Trump gets added to the Friars ' illustrious list of roastees ,  -RDQ-  Friars Club dean Freddie Roman said in a recent statement .| -LBQ-  Considering how hot Donald is , in every aspect of the word , this promises to be one of the largest , if not THE largest roast in our hundred-year history .  -RDQ- |Previous celebrities who 've been roasted include Jerry Lewis , Billy Crystal , Rob Reiner , Johnny Carson and Hugh Hefner .
apw_eng_20040506_0946_5|apw_eng_200405|apw_eng_20040506_0946|5|apw_eng_20040506_0946_4|apw_eng_20040506_0946_6|The billionaire real-estate mogul has been everywhere lately , from his hit reality show ,  -LBQ-  The Apprentice  -RDQ-  _ with its catch phrase ,  -LBQ-  You 're fired  -RDQ-  _ to his announcement that he 's engaged to his longtime girlfriend , model Melania Knauss .| -LBQ-  I am so proud that during our centennial year the name of Donald Trump gets added to the Friars ' illustrious list of roastees ,  -RDQ-  Friars Club dean Freddie Roman said in a recent statement .| -LBQ-  Considering how hot Donald is , in every aspect of the word , this promises to be one of the largest , if not THE largest roast in our hundred-year history .  -RDQ- 
apw_eng_20040506_0945_7|apw_eng_200405|apw_eng_20040506_0945|7|apw_eng_20040506_0945_6|apw_eng_20040506_0945_8|Remember that in November .  -RDQ-  '|Christian conservatives overwhelmingly supported Bush over Al Gore in 2000 , but the Bush-Cheney campaign wants to lure even more evangelical Christians to the polls in November .|During Thursday 's event , one of thousands of National Day of Prayer observances held across America , Bush recognized Rabbi Tzvi Hersh Weinreb of the Orthodox Union of Jews , other religious leaders as well as conservative Oliver North , an Iran-contra figure turned radio talk show host who is honorary chairman of this year 's National Day of Prayer .
apw_eng_20040506_0945_4|apw_eng_200405|apw_eng_20040506_0945|4|apw_eng_20040506_0945_3|apw_eng_20040506_0945_5|Some academic specialists on religion and politics _ and some advocates of a stark division between church and state _ suggested the Republicans were using Thursday 's 53rd annual National Day of Prayer to give the Republicans an edge in the November election .| -LBQ-  This event has very strong underpinnings of partisan support for the president , and that 's what it 's designed to do ,  -RDQ-  said Barry W. Lynn , executive director of Americans United for Separation of Church and State .| -LBQ-  It 's not like he is ignoring other religious groups , but he knows that this day is the one where he signals ` I am an evangelical Christian .
apw_eng_20040506_0945_2|apw_eng_200405|apw_eng_20040506_0945|2|apw_eng_20040506_0945_1|apw_eng_20040506_0945_3|President George W. Bush appealed to evangelical Christians in a National Day of Prayer ceremony that religious networks were broadcasting coast-to-coast .| -LBQ-  At so many crucial points in the life of America , we have been a nation at prayer ,  -RDQ-  Bush said , recalling that Abraham Lincoln had called the country to prayer in the darkest days of the Civil War and that Franklin Roosevelt led U.S. citizens in prayer 60 years ago when U.S. and British troops invaded German-occupied France .|Some academic specialists on religion and politics _ and some advocates of a stark division between church and state _ suggested the Republicans were using Thursday 's 53rd annual National Day of Prayer to give the Republicans an edge in the November election .
apw_eng_20040506_0944_14|apw_eng_200405|apw_eng_20040506_0944|14|apw_eng_20040506_0944_13|apw_eng_20040506_0944_15|South Korea has hailed Friday 's cross-border trip as a symbolic concession by the reclusive North .|While seeking outside assistance , North Korea has been extremely reluctant to open its land border , especially to aid from South Korea .|So far South Korea has sent or pledged nearly four times the combined total of aid donations from the rest of the world .
apw_eng_20040506_0944_7|apw_eng_200405|apw_eng_20040506_0944|7|apw_eng_20040506_0944_6|apw_eng_20040506_0944_8|Instead , it urged the communist North to agree to high-level military talks later this month .|The South hopes to open military talks to discuss ways of avoiding naval clashes that sometimes occur along the poorly marked western sea border as fishing boats jostle for position during crab-catching season in May and June .|North Korea said it would open military talks with the South only if South Korea halts routine military exercises with the United States , which it calls preparations to invade the isolated country , according to pool reports filed by South Korean journalists .
apw_eng_20040506_0943_9|apw_eng_200405|apw_eng_20040506_0943|9|apw_eng_20040506_0943_8|apw_eng_20040506_0943_10|There was no immediate comment from Israel on the fighting , which came two days after guerrilla shooting of anti-aircraft fire led to an Israeli airstrike in southern Lebanon .|South Lebanon has been largely quiet since Israel withdrew its army from the area in 2000 after an 18-year occupation .|But Israeli forces since have repeatedly clashed in Chebaa Farms with Hezbollah , the Syrian - and Iranian-backed Shiite Muslim militant group that led the guerrilla war against the occupation .
apw_eng_20040506_0942_23|apw_eng_200405|apw_eng_20040506_0942|23|apw_eng_20040506_0942_22|apw_eng_20040506_0942_24|The court papers filed Thursday also say McCoy should have disqualified himself because of glowing statements he made about Disney in his book .|McCoy called Disney  -LBQ-  one of the most joyous and profitable places on earth ,  -RDQ-  the Slesingers said .|McCoy also praised company founder Walt Disney , putting him  -LBQ-  in the same company as Albert Einstein , Thomas Edison , Winston Churchill and Abraham Lincoln ,  -RDQ-  the court papers said .
apw_eng_20040506_0942_15|apw_eng_200405|apw_eng_20040506_0942|15|apw_eng_20040506_0942_14|apw_eng_20040506_0942_16|Disney officials referred comment on the case to Daniel Petrocelli , an attorney who represented the entertainment giant in the Pooh case .| -LBQ-  The motion is utterly groundless and was only trumped up after the Slesingers lost the case ,  -RDQ-  Petrocelli said .|Attorneys for Slesinger said they discovered after the dismissal that McCoy had once been an attorney in the law firm of Sheppard Mullin Richter & Hampton before becoming a judge in 1992 , court papers said .
apw_eng_20040506_0942_10|apw_eng_200405|apw_eng_20040506_0942|10|apw_eng_20040506_0942_9|apw_eng_20040506_0942_11|McCoy dismissed the case with prejudice , meaning that SSI could not sue again on the same claim .| -LBQ-  SSI 's misconduct is so egregious that no remedy short of terminating sanctions can effectively remove the threat and adequately protect both the institution of justice and -LRB- Disney -RRB- ... from further SSI abuse ,  -RDQ-  McCoy wrote in the 28-page ruling .|The Slesinger family said that ruling was a result of McCoy 's bias .
apw_eng_20040506_0934_7|apw_eng_200405|apw_eng_20040506_0934|7|apw_eng_20040506_0934_6|apw_eng_20040506_0934_8|There was no immediate comment from Israel on the fighting , which came two days after guerrilla shooting of anti-aircraft fire led to an Israeli airstrike in southern Lebanon .|South Lebanon has been largely quiet since Israel withdrew its army from the area in 2000 after an 18-year occupation .|But Israeli forces since have repeatedly clashed in Chebaa Farms with Hezbollah , the Syrian - and Iranian-backed Shiite Muslim militant group that led the guerrilla war against the occupation .
apw_eng_20040506_0932_22|apw_eng_200405|apw_eng_20040506_0932|22|apw_eng_20040506_0932_21|apw_eng_20040506_0932_23|The court papers filed Thursday also say McCoy should have disqualified himself because of glowing statements he made about Disney in his book .|McCoy called Disney  -LBQ-  one of the most joyous and profitable places on earth ,  -RDQ-  the Slesingers said .|McCoy also praised company founder Walt Disney , putting him  -LBQ-  in the same company as Albert Einstein , Thomas Edison , Winston Churchill and Abraham Lincoln ,  -RDQ-  the court papers said .
apw_eng_20040506_0932_10|apw_eng_200405|apw_eng_20040506_0932|10|apw_eng_20040506_0932_9|apw_eng_20040506_0932_11|McCoy dismissed the case with prejudice , meaning that SSI could not sue again on the same claim .| -LBQ-  SSI 's misconduct is so egregious that no remedy short of terminating sanctions can effectively remove the threat and adequately protect both the institution of justice and -LRB- Disney -RRB- ... from further SSI abuse ,  -RDQ-  McCoy wrote in the 28-page ruling .|The Slesinger family said that ruling was a result of McCoy 's bias .
apw_eng_20040506_0931_7|apw_eng_200405|apw_eng_20040506_0931|7|apw_eng_20040506_0931_6|apw_eng_20040506_0931_8|Koizumi quickly accepted the resignation , though it was unclear when it would take effect .| -LBQ-  It is truly regrettable that we lost the public trust because of the failure by several Cabinet members , including myself , to pay into the pension fund ,  -RDQ-  Fukuda , who has held the post since October 2000 , told reporters .| -LBQ-  I apologize that that magnified the public 's distrust of politics .  -RDQ- 
apw_eng_20040506_0931_3|apw_eng_200405|apw_eng_20040506_0931|3|apw_eng_20040506_0931_2|apw_eng_20040506_0931_4|The resignation of Chief Cabinet Secretary Yasuo Fukuda _ so influential he was known as the  -LBQ-  shadow foreign minister  -RDQ-  _ was a blow to Koizumi 's government just two months before crucial Parliamentary elections , and deepened a scandal that has tainted a third of the Cabinet and the leader of the top opposition party .|Japan is struggling to salvage the financially troubled pension system as its society rapidly ages .|Many fear the smaller workforce of the future will not generate enough payments to supply pensions to the growing ranks of retired .
