sent_id|conllu_id|doc_id|sent_int|prev_id|next_id|prev_text|sent_text|next_text
nyt_eng_20040229_0052_34|nyt_eng_200402|nyt_eng_20040229_0052|34|nyt_eng_20040229_0052_33|nyt_eng_20040229_0052_35|Still , with veteran pitchers , you should n't have to do too much of it .  -RDQ- |Of the newcomers , Posada said he was most comfortable with Vazquez , a former Expo , because they are fellow Puerto Ricans and played against each other in winter ball .|Vazquez believes their adjustment period will be short .
nyt_eng_20040229_0052_33|nyt_eng_200402|nyt_eng_20040229_0052|33|nyt_eng_20040229_0052_32|nyt_eng_20040229_0052_34| -LBQ-  But now I think I 'm a little better at that .|Still , with veteran pitchers , you should n't have to do too much of it .  -RDQ- |Of the newcomers , Posada said he was most comfortable with Vazquez , a former Expo , because they are fellow Puerto Ricans and played against each other in winter ball .
nyt_eng_20040229_0052_31|nyt_eng_200402|nyt_eng_20040229_0052|31|nyt_eng_20040229_0052_30|nyt_eng_20040229_0052_32|Posada always felt comfortable confronting Orlando Hernandez , a Yankees playoff hero in the late 1990s , in part because Spanish is their native language .| -LBQ-  In the beginning , when you 're catching veteran guys , you do n't make too many trips to the mound to tell them what 's going on ,  -RDQ-  Posada said .| -LBQ-  But now I think I 'm a little better at that .
nyt_eng_20040229_0052_25|nyt_eng_200402|nyt_eng_20040229_0052|25|nyt_eng_20040229_0052_24|nyt_eng_20040229_0052_26|Last season was a breakthrough of sorts for Posada .|In handling Roger Clemens , Andy Pettitte , David Wells and Mussina , he became more assertive .|Torre recalled a game when Posada went out to the mound _ without being prodded by the bench _ to calm Mussina down .
nyt_eng_20040229_0052_2|nyt_eng_200402|nyt_eng_20040229_0052|2|nyt_eng_20040229_0052_1|nyt_eng_20040229_0052_3|Among the New York Yankees ' collection of big-salary players , catcher Jorge Posada is easy to overlook .|He exhibits a soft-spoken manner in the clubhouse , belying the probability that he has perhaps the most daunting challenge and the most significant role of any Yankee this spring .|Posada has to become closely acquainted with six pitchers _ new arrivals or virtually new faces _ who will depend on his knowledge to help them win .
nyt_eng_20040229_0051_20|nyt_eng_200402|nyt_eng_20040229_0051|20|nyt_eng_20040229_0051_19|nyt_eng_20040229_0051_21|It is expected to be in theaters next year .|Edwards finished his acceptance speech on an appropriately salty note .| -LBQ-  Each and every one has contributed to this moment , friends and foes alike .
nyt_eng_20040229_0051_2|nyt_eng_200402|nyt_eng_20040229_0051|2|nyt_eng_20040229_0051_1|nyt_eng_20040229_0051_3|But they did their part in bringing prestigious industry recognition Sunday to their writer-director , Blake Edwards , who picked up an honorary Oscar for life achievement .|Edwards , accepting the evening 's only honorary Oscar , had a bit of fun alluding to all the pratfalls suffered by Peter Sellers ' supremely clumsy Inspector Clouseau .|After a brief introduction by Jim Carrey and a montage of his films , the 81-year-old Edwards shot across the stage in a powered wheelchair , grabbed the statuette on the fly and plowed though a wall stage left .
nyt_eng_20040229_0050_18|nyt_eng_200402|nyt_eng_20040229_0050|18|nyt_eng_20040229_0050_17|nyt_eng_20040229_0050_19|I 'm glad I ran the 1,500 because I was n't tired at all .|It was so easy .  -RDQ- |Not for Favor Hamilton , but she seemed unconcerned .
nyt_eng_20040229_0050_1|nyt_eng_200402|nyt_eng_20040229_0050|1||nyt_eng_20040229_0050_2||As a high school freshman , Jen Toomey started running track , but she disliked her race , the 400 meters , so much that she quit .|She would become a Massachusetts high school diving champion and not run again for 10 years .
nyt_eng_20040229_0049_48|nyt_eng_200402|nyt_eng_20040229_0049|48|nyt_eng_20040229_0049_47|nyt_eng_20040229_0049_49|-LRB- END OPTIONAL TRIM -RRB-|Others said that the most significant outcome of the political ruckus could be the start of meaningful discussion in black churches , many of which have been historically resistant to tackling any topics dealing with sexuality , including HIV\/AIDS and out of wedlock births .| -LBQ-  Often this kind of dialogue in black churches lags behind social debate ,  -RDQ-  said Dr. Robert M. Franklin , professor of ethics at Candler School of Theology at Emory University , in Atlanta .
nyt_eng_20040229_0049_42|nyt_eng_200402|nyt_eng_20040229_0049|42|nyt_eng_20040229_0049_41|nyt_eng_20040229_0049_43|But he added that he viewed comparisons to the historical struggles of blacks as  -LBQ-  a stretch .  -RDQ- | -LBQ-  Gays were never called three-fifths human in the Constitution ,  -RDQ-  he said ,  -LBQ-  They did not require the Voting Rights Act to have the right to vote .  -RDQ- |In other remarks in Boston , Jackson vowed that Republicans would not succeed in making the debate a wedge issue in the presidential race .
nyt_eng_20040229_0049_35|nyt_eng_200402|nyt_eng_20040229_0049|35|nyt_eng_20040229_0049_34|nyt_eng_20040229_0049_36| -LBQ-  There has always been this undercurrent , from the women 's movement through other movements , that the history of black people and their struggle was being opportunistically appropriated by an assortment of groups when it was convenient ,  -RDQ-  said the Rev. Gene Rivers , presidand  -LBQ-  of the National Ten-Point Leadership Foundation , a church-based violence-prevention program .| -LBQ-  This movement is particularly offeosivsh same-sex marriage are pushing their allies to be more vocal .|The National Black Justice Coalition Web site lists prominent supporters including the Rev. Peter Gomes , chaplain at Harvard University , the Rev. Al Sharpton , Democratic presidential candidiate , and Coretta Scott King , wife of the slain civil rights leader .
nyt_eng_20040229_0049_30|nyt_eng_200402|nyt_eng_20040229_0049|30|nyt_eng_20040229_0049_29|nyt_eng_20040229_0049_31|Many key players on each side in the marriage debate already have backing from black churches .|The Alliance for Marriage , the multifaith , multiethnic coalition that oversaw the drafu Congress , includes among its founders bishops from the African Methodist Episcopal Church and the Church of God in Christ , two historically black denominations .|The Coalition on Urban Renewal and Education , a Los Angeles-based conservative organization that works with black religious0a . l community groups on social policy issues like school choice , arranged Wood 's talk as well as meetings of clergy members with the Heritage Foundation and the White House .
nyt_eng_20040229_0049_25|nyt_eng_200402|nyt_eng_20040229_0049|25|nyt_eng_20040229_0049_24|nyt_eng_20040229_0049_26|The National Black Justice Coalition , which was planning public events with black religious and civic leaders for the spring as well as an advertising campaign making a case for gay marriage in black media outlets , is scrambling to put together a more immediate response .| -LBQ-  We thought we had a few months to organize ,  -RDQ-  said Keith Boykin , president of the organization , which was formed in December to respond to what its members said was a dangerously one-sided airing of black pTblic opinion on the issue .| -LBQ-  Now we have to think in terms of days .
nyt_eng_20040229_0049_24|nyt_eng_200402|nyt_eng_20040229_0049|24|nyt_eng_20040229_0049_23|nyt_eng_20040229_0049_25| -LBQ-  If the KKK opposes gay marriage I would ride with them ,  -RDQ-  said Rev. Gregory Daniels , organizer of the Chicago event , taking a far more provocative stance than the vast majority of black _ or white _ clergy speaking out on the issue .|The National Black Justice Coalition , which was planning public events with black religious and civic leaders for the spring as well as an advertising campaign making a case for gay marriage in black media outlets , is scrambling to put together a more immediate response .| -LBQ-  We thought we had a few months to organize ,  -RDQ-  said Keith Boykin , president of the organization , which was formed in December to respond to what its members said was a dangerously one-sided airing of black pTblic opinion on the issue .
nyt_eng_20040229_0049_23|nyt_eng_200402|nyt_eng_20040229_0049|23|nyt_eng_20040229_0049_22|nyt_eng_20040229_0049_24|It was the first of several such events in coming weeks planned by black conservative clergy as a result of the meeting with Wood .| -LBQ-  If the KKK opposes gay marriage I would ride with them ,  -RDQ-  said Rev. Gregory Daniels , organizer of the Chicago event , taking a far more provocative stance than the vast majority of black _ or white _ clergy speaking out on the issue .|The National Black Justice Coalition , which was planning public events with black religious and civic leaders for the spring as well as an advertising campaign making a case for gay marriage in black media outlets , is scrambling to put together a more immediate response .
nyt_eng_20040229_0049_17|nyt_eng_200402|nyt_eng_20040229_0049|17|nyt_eng_20040229_0049_16|nyt_eng_20040229_0049_18|Advocates of gay marriage are appealing to those on the left end of that spectrum to show that the issue is really about civil rights .|Those opposed are courting more conservative blacks as evidence that they are not bigots for suggesting the issue has nothing to do with civil rights .|The resulting alliances are often used publicly to imply backing of  -LBQ-  the church  -RDQ-  as a whole .
nyt_eng_20040229_0049_15|nyt_eng_200402|nyt_eng_20040229_0049|15|nyt_eng_20040229_0049_14|nyt_eng_20040229_0049_16|Many blacks opposed to gay marriage , for example , support equal benefits for gays as a matter of economic justice .|And the prize often generically referred to as ` bt ` d black church  -RDQ-  is actually a diverse collection of historically black denominations and congregations that covers a wide range of theological and social beliefs .|Advocates of gay marriage are appealing to those on the left end of that spectrum to show that the issue is really about civil rights .
nyt_eng_20040229_0049_13|nyt_eng_200402|nyt_eng_20040229_0049|13|nyt_eng_20040229_0049_12|nyt_eng_20040229_0049_14|But the aggressive outreach is rife with complications .|Neither white conservatives nor gay rights advocates have had wreaact that many black Christians are both politically liberal and socially conservative makes them frustratingly difficult to pigeonhole in a political environment in which , many pundits contend , voters are cleanly split along ideological lines .|Many blacks opposed to gay marriage , for example , support equal benefits for gays as a matter of economic justice .
nyt_eng_20040229_0049_10|nyt_eng_200402|nyt_eng_20040229_0049|10|nyt_eng_20040229_0049_9|nyt_eng_20040229_0049_11|As debate escalates around same-sex marriage , advocates on both sides are busily seeking support from the same source  -COL-  black clergy members .|Though their pitches are directly opposed , their motives are largely the same .|Each seeks the perceived moral authority and the sheen of civil rights that black religious leaders could lend to their cause .
nyt_eng_20040229_0049_5|nyt_eng_200402|nyt_eng_20040229_0049|5|nyt_eng_20040229_0049_4|nyt_eng_20040229_0049_6| -LBQ-  I can make arguments against that .|But not nearly like you all can .  -RDQ- |As Wood was brokering alliances , Donna Payne , a board member with the National Black Justice Coalition , a black gay and lesbian organization formed to increase acceptance of gay rights among African-Americans , was busily making appeals to liberal black clergy members , arguing that recognizing gay marriage was a matter of equal rights .
