sentences,mask_type,pred_pos,scale_type
He was not extremely [MASK]. He was kinda sad.,predicate,adj,rel
He was not extremely [MASK].,predicate,adj,rel
He was not extremely happy. He was kinda [MASK].,predicate,adj,rel
 He was kinda [MASK].,predicate,adj,rel
He was not extremely [MASK]. He was sorta sad.,predicate,adj,rel
He was not extremely happy. He was sorta [MASK].,predicate,adj,rel
 He was sorta [MASK].,predicate,adj,rel
He was not extremely [MASK]. He was extremely sad.,predicate,adj,rel
He was not extremely happy. He was extremely [MASK].,predicate,adj,rel
 He was extremely [MASK].,predicate,adj,rel
He was not extremely [MASK]. He was ridiculously sad.,predicate,adj,rel
He was not extremely happy. He was ridiculously [MASK].,predicate,adj,rel
 He was ridiculously [MASK].,predicate,adj,rel
He was not extremely [MASK]. He was sad.,predicate,adj,rel
He was not extremely happy. He was [MASK].,predicate,adj,rel
 He was [MASK].,predicate,adj,rel
He was not ridiculously [MASK]. He was kinda sad.,predicate,adj,rel
He was not ridiculously [MASK].,predicate,adj,rel
He was not ridiculously happy. He was kinda [MASK].,predicate,adj,rel
He was not ridiculously [MASK]. He was sorta sad.,predicate,adj,rel
He was not ridiculously happy. He was sorta [MASK].,predicate,adj,rel
He was not ridiculously [MASK]. He was extremely sad.,predicate,adj,rel
He was not ridiculously happy. He was extremely [MASK].,predicate,adj,rel
He was not ridiculously [MASK]. He was ridiculously sad.,predicate,adj,rel
He was not ridiculously happy. He was ridiculously [MASK].,predicate,adj,rel
He was not ridiculously [MASK]. He was sad.,predicate,adj,rel
He was not ridiculously happy. He was [MASK].,predicate,adj,rel
He was not [MASK]. He was kinda sad.,predicate,adj,rel
He was not [MASK].,predicate,adj,rel
He was not happy. He was kinda [MASK].,predicate,adj,rel
He was not [MASK]. He was sorta sad.,predicate,adj,rel
He was not happy. He was sorta [MASK].,predicate,adj,rel
He was not [MASK]. He was extremely sad.,predicate,adj,rel
He was not happy. He was extremely [MASK].,predicate,adj,rel
He was not [MASK]. He was ridiculously sad.,predicate,adj,rel
He was not happy. He was ridiculously [MASK].,predicate,adj,rel
He was not [MASK]. He was sad.,predicate,adj,rel
He was not happy. He was [MASK].,predicate,adj,rel
He wasn't extremely [MASK]. He was kinda sad.,predicate,adj,rel
He wasn't extremely [MASK].,predicate,adj,rel
He wasn't extremely happy. He was kinda [MASK].,predicate,adj,rel
He wasn't extremely [MASK]. He was sorta sad.,predicate,adj,rel
He wasn't extremely happy. He was sorta [MASK].,predicate,adj,rel
He wasn't extremely [MASK]. He was extremely sad.,predicate,adj,rel
He wasn't extremely happy. He was extremely [MASK].,predicate,adj,rel
He wasn't extremely [MASK]. He was ridiculously sad.,predicate,adj,rel
He wasn't extremely happy. He was ridiculously [MASK].,predicate,adj,rel
He wasn't extremely [MASK]. He was sad.,predicate,adj,rel
He wasn't extremely happy. He was [MASK].,predicate,adj,rel
He wasn't ridiculously [MASK]. He was kinda sad.,predicate,adj,rel
He wasn't ridiculously [MASK].,predicate,adj,rel
He wasn't ridiculously happy. He was kinda [MASK].,predicate,adj,rel
He wasn't ridiculously [MASK]. He was sorta sad.,predicate,adj,rel
He wasn't ridiculously happy. He was sorta [MASK].,predicate,adj,rel
He wasn't ridiculously [MASK]. He was extremely sad.,predicate,adj,rel
He wasn't ridiculously happy. He was extremely [MASK].,predicate,adj,rel
He wasn't ridiculously [MASK]. He was ridiculously sad.,predicate,adj,rel
He wasn't ridiculously happy. He was ridiculously [MASK].,predicate,adj,rel
He wasn't ridiculously [MASK]. He was sad.,predicate,adj,rel
He wasn't ridiculously happy. He was [MASK].,predicate,adj,rel
He wasn't [MASK]. He was kinda sad.,predicate,adj,rel
He wasn't [MASK].,predicate,adj,rel
He wasn't happy. He was kinda [MASK].,predicate,adj,rel
He wasn't [MASK]. He was sorta sad.,predicate,adj,rel
He wasn't happy. He was sorta [MASK].,predicate,adj,rel
He wasn't [MASK]. He was extremely sad.,predicate,adj,rel
He wasn't happy. He was extremely [MASK].,predicate,adj,rel
He wasn't [MASK]. He was ridiculously sad.,predicate,adj,rel
He wasn't happy. He was ridiculously [MASK].,predicate,adj,rel
He wasn't [MASK]. He was sad.,predicate,adj,rel
He wasn't happy. He was [MASK].,predicate,adj,rel
He was kinda [MASK]. He was not extremely happy.,predicate,adj,rel
He was kinda [MASK].,predicate,adj,rel
He was kinda sad. He was not extremely [MASK].,predicate,adj,rel
 He was not extremely [MASK].,predicate,adj,rel
He was kinda [MASK]. He was not ridiculously happy.,predicate,adj,rel
He was kinda sad. He was not ridiculously [MASK].,predicate,adj,rel
 He was not ridiculously [MASK].,predicate,adj,rel
He was kinda [MASK]. He was not happy.,predicate,adj,rel
He was kinda sad. He was not [MASK].,predicate,adj,rel
 He was not [MASK].,predicate,adj,rel
He was kinda [MASK]. He wasn't extremely happy.,predicate,adj,rel
He was kinda sad. He wasn't extremely [MASK].,predicate,adj,rel
 He wasn't extremely [MASK].,predicate,adj,rel
He was kinda [MASK]. He wasn't ridiculously happy.,predicate,adj,rel
