    l1  l2                        f       E11  r.log.likelihood  r.odds.ratio.disc  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  am.log.likelihood  am.odds.ratio.disc  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple      f1     f2       N  
------  --------------------  -----  --------  ----------------  -----------------  -----------  -----------  ------------------  ------------------  -----------------  ------------------  ------------  ------------  -------------------  -------------------  ------  -----  ------  
NEGMIR  not                    1404    702.00                14                  1            1           25                   1                  49            1949.74               3.451        0.5012        0.0048               1.0000               0.0048  291735   1404  583470  
NEGMIR  before                  289    144.50                51                  2            2           71                   1                 123             400.78               2.763        0.5002        0.0010               1.0000               0.0010  291735    289  583470  
NEGMIR  n't                     245    122.50                55                  3            3           81                   1                 136             339.75               2.691        0.5002        0.0008               1.0000               0.0008  291735    245  583470  
NEGMIR  never                   153     76.50                68                  4            4          101                   1                 197             212.14               2.487        0.5001        0.0005               1.0000               0.0005  291735    153  583470  
NEGMIR  no                       76     38.00               108                  5            5          178                   1                 331             105.37               2.185        0.5001        0.0003               1.0000               0.0003  291735     76  583470  
NEGMIR  wise                     53     26.50               140                  6            6          214                   1                 396              73.48               2.029        0.5000        0.0002               1.0000               0.0002  291735     53  583470  
NEGMIR  whatsoever               48     24.00               148                  7            7          227                   1                 427              66.55               1.987        0.5000        0.0002               1.0000               0.0002  291735     48  583470  
NEGMIR  slam                     34     17.00               182                  9            8          286                   1                 521              47.14               1.839        0.5000        0.0001               1.0000               0.0001  291735     34  583470  
POSMIR  inexplicably             33     16.50               184                 10            9          291                   1                 525              45.75               1.826        0.5000        0.0001               1.0000               0.0001  291735     33  583470  
POSMIR  admittedly               31     15.50               193                 11           10          301                   1                 537              42.98               1.799        0.5000        0.0001               1.0000               0.0001  291735     31  583470  
POSMIR  insufficiently           30     15.00               195                 13           11          305                   1                 550              41.59               1.785        0.5000        0.0001               1.0000               0.0001  291735     30  583470  
POSMIR  indescribably            28     14.00               205                 16           12          315                   1                 575              38.82               1.756        0.5000        0.0001               1.0000               0.0001  291735     28  583470  
POSMIR  sizey                    28     14.00               205                 16           12          315                   1                 575              38.82               1.756        0.5000        0.0001               1.0000               0.0001  291735     28  583470  
POSMIR  sorely                   28     14.00               205                 16           12          315                   1                 575              38.82               1.756        0.5000        0.0001               1.0000               0.0001  291735     28  583470  
POSMIR  unspeakably              26     13.00               223                 21           15          325                   1                 608              36.04               1.724        0.5000        0.0001               1.0000               0.0001  291735     26  583470  
POSMIR  least                    24     12.00               234                 22           16          338                   1                 633              33.27               1.690        0.5000        0.0001               1.0000               0.0001  291735     24  583470  
NEGMIR  hardly                   24     12.00               234                 22           16          338                   1                 633              33.27               1.690        0.5000        0.0001               1.0000               0.0001  291735     24  583470  
POSMIR  cautiously               23     11.50               244                 25           18          345                   1                 643              31.89               1.672        0.5000        0.0001               1.0000               0.0001  291735     23  583470  
POSMIR  someplace                23     11.50               244                 25           18          345                   1                 643              31.89               1.672        0.5000        0.0001               1.0000               0.0001  291735     23  583470  
NEGMIR  doubt                    21     10.50               261                 28           20          359                   1                 674              29.11               1.633        0.5000        0.0001               1.0000               0.0001  291735     21  583470  
POSMIR  heartbreakingly          20     10.00               269                 29           21          367                   1                 689              27.73               1.613        0.5000        0.0001               1.0000               0.0001  291735     20  583470  
POSMIR  presumably               19      9.50               276                 32           22          376                   1                 698              26.34               1.591        0.5000        0.0001               1.0000               0.0001  291735     19  583470  
POSMIR  unimaginably             17      8.50               288                 34           23          399                   1                 739              23.57               1.544        0.5000        0.0001               1.0000               0.0001  291735     17  583470  
NEGMIR  such                     17      8.50               288                 34           23          399                   1                 739              23.57               1.544        0.5000        0.0001               1.0000               0.0001  291735     17  583470  
NEGMIR  barely                   17      8.50               288                 34           23          399                   1                 739              23.57               1.544        0.5000        0.0001               1.0000               0.0001  291735     17  583470  
NEGMIR  rarely                   16      8.00               300                 41           26          414                   1                 763              22.18               1.519        0.5000        0.0001               1.0000               0.0001  291735     16  583470  
POSMIR  elegantly                16      8.00               300                 41           26          414                   1                 763              22.18               1.519        0.5000        0.0001               1.0000               0.0001  291735     16  583470  
POSMIR  carefully                16      8.00               300                 41           26          414                   1                 763              22.18               1.519        0.5000        0.0001               1.0000               0.0001  291735     16  583470  
POSMIR  spotlessly               15      7.50               308                 48           29          421                   1                 791              20.79               1.491        0.5000        0.0001               1.0000               0.0001  291735     15  583470  
NEGMIR  anymore                  15      7.50               308                 48           29          421                   1                 791              20.79               1.491        0.5000        0.0001               1.0000               0.0001  291735     15  583470  
