,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,log_ratio,conservative_log_ratio,unexpected_count,unexpected_ratio,joint_probability
27662,chock,full,1288,1.635,17196.143,6.312,0.012,0.999,9.64,9.397,1286.365,0.999,0.012
20,scantily,clad,5367,0.453,106353.47,6.916,0.768,0.994,15.644,15.408,5366.547,1.0,0.764
23055,crystal,clear,7566,44.745,77248.76,4.411,0.015,0.988,7.424,7.325,7521.255,0.994,0.015
35589,proof,positive,1543,3.517,18457.355,4.17,0.008,0.968,8.789,8.569,1539.483,0.998,0.008
4075,upwardly,mobile,2098,0.584,34000.176,5.001,0.094,0.96,11.954,11.757,2097.416,1.0,0.091
9184,brand,new,13868,55.88,149416.14,3.747,0.043,0.95,8.019,7.945,13812.12,0.996,0.041
43271,hiv,positive,1085,2.521,12833.259,3.948,0.006,0.95,8.758,8.493,1082.479,0.998,0.006
19962,spotlessly,clean,1520,1.598,20341.527,4.219,0.018,0.941,9.921,9.697,1518.402,0.999,0.017
3003,wide,open,30703,100.243,344081.28,3.748,0.12,0.935,8.443,8.392,30602.758,0.997,0.113
67574,funnily,enough,835,4.891,8230.944,3.345,0.002,0.918,7.418,7.116,830.109,0.994,0.002
25672,at,best,2813,7.651,32033.15,3.664,0.014,0.917,8.542,8.379,2805.349,0.997,0.012
23,thinly,veiled,1560,0.042,33818.242,6.255,0.759,0.915,17.229,16.804,1559.958,1.0,0.694
44093,red,hot,954,2.103,11245.734,3.734,0.006,0.914,8.834,8.551,951.897,0.998,0.005
2400,terminally,ill,15975,23.921,202211.98,3.906,0.142,0.902,9.604,9.531,15951.079,0.999,0.128
1410,closely,related,27154,49.29,333620.22,3.787,0.202,0.886,9.431,9.374,27104.71,0.998,0.179
37141,vitally,important,17207,500.184,113694.79,2.567,0.008,0.882,5.115,5.051,16706.816,0.971,0.007
27528,distantly,related,1647,3.049,19742.688,3.623,0.012,0.868,9.095,8.881,1643.951,0.998,0.011
16560,worst,possible,8302,41.734,82905.19,3.177,0.023,0.861,7.669,7.575,8260.266,0.995,0.02
17266,humanly,possible,7913,40.242,78593.42,3.141,0.022,0.851,7.651,7.554,7872.758,0.995,0.019
3144,cautiously,optimistic,9442,10.936,122297.91,3.793,0.116,0.842,9.932,9.839,9431.064,0.999,0.098
1,bone,marrow,1147,0.019,26482.133,7.267,0.982,0.827,21.645,20.079,1146.981,1.0,0.812
11269,kind,enough,15666,101.991,146995.4,2.972,0.035,0.826,7.314,7.245,15564.009,0.993,0.029
14938,abundantly,clear,12579,90.336,115008.97,2.893,0.026,0.812,7.159,7.082,12488.664,0.993,0.021
23718,pearly,white,947,0.889,12487.618,3.761,0.015,0.812,10.079,9.795,946.111,0.999,0.012
21640,mobile,friendly,2181,4.21,25616.93,3.448,0.017,0.811,9.041,8.856,2176.79,0.998,0.014
139,minimally,invasive,16766,7.919,254645.44,4.368,0.527,0.808,12.129,12.035,16758.08,1.0,0.426
3161,respectfully,foolish,1627,0.343,26443.62,4.435,0.115,0.803,12.389,12.163,1626.657,1.0,0.093
36604,tangentially,related,1072,2.168,12437.514,3.388,0.008,0.795,8.961,8.695,1069.832,0.998,0.006
10698,backwards,compatible,1292,0.69,18453.418,3.969,0.037,0.791,10.925,10.68,1291.31,0.999,0.029
74508,crucially,important,2813,91.375,17148.986,2.205,0.001,0.787,4.946,4.784,2721.625,0.968,0.001
546,sparsely,populated,1006,0.045,19672.422,5.193,0.34,0.785,15.034,14.702,1005.955,1.0,0.267
16142,backward,compatible,829,0.447,11798.82,3.944,0.024,0.784,10.892,10.586,828.553,0.999,0.018
22644,freely,available,13677,178.993,107610.1,2.567,0.016,0.782,6.278,6.205,13498.007,0.987,0.012
25332,prohibitively,expensive,6090,42.325,55215.477,2.792,0.014,0.76,7.189,7.079,6047.675,0.993,0.01
5226,readily,available,65655,900.012,508968.84,2.505,0.076,0.746,6.301,6.267,64754.99,0.986,0.057
4096,diametrically,opposite,862,0.13,14423.617,4.436,0.094,0.732,12.838,12.528,861.87,1.0,0.069
13061,exact,same,1664,1.537,21687.941,3.614,0.03,0.728,10.124,9.909,1662.463,0.999,0.022
67211,infinitesimally,small,763,5.18,6857.286,2.71,0.002,0.709,7.205,6.889,757.82,0.993,0.001
