,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,log_ratio,conservative_log_ratio,unexpected_count,unexpected_ratio,joint_probability
1,bone,marrow,1147,0.019,26482.133,7.267,0.982,0.827,21.645,20.079,1146.981,1.0,0.812
23,thinly,veiled,1560,0.042,33818.242,6.255,0.759,0.915,17.229,16.804,1559.958,1.0,0.694
6,finely,chopped,1109,0.066,21167.307,5.199,0.858,0.26,16.842,16.201,1108.934,1.0,0.223
20,scantily,clad,5367,0.453,106353.47,6.916,0.768,0.994,15.644,15.408,5366.547,1.0,0.764
111,tightly,knit,1080,0.069,19919.004,4.745,0.556,0.365,15.108,14.723,1079.931,1.0,0.203
546,sparsely,populated,1006,0.045,19672.422,5.193,0.34,0.785,15.034,14.702,1005.955,1.0,0.267
319,dimly,lit,1192,0.081,21816.611,4.708,0.407,0.516,14.594,14.274,1191.919,1.0,0.21
44,religiously,unaffiliated,1048,0.131,17890.576,4.477,0.688,0.146,14.644,14.185,1047.869,1.0,0.101
397,electrically,conductive,1062,0.08,19075.457,4.587,0.383,0.443,14.394,14.061,1061.92,1.0,0.169
195,carefully,orchestrated,428,0.034,7542.452,4.453,0.485,0.134,14.584,14.011,427.966,1.0,0.065
624,densely,populated,949,0.08,16732.715,4.483,0.321,0.423,14.098,13.761,948.92,1.0,0.136
112,rapidly,aging,666,0.079,11260.356,4.333,0.554,0.122,14.208,13.719,665.921,1.0,0.067
799,brightly,hued,342,0.025,6022.672,4.386,0.285,0.2,14.246,13.689,341.975,1.0,0.057
27,desperately,needed,914,0.191,14708.193,4.31,0.748,0.07,14.214,13.672,913.809,1.0,0.053
1245,anywhere,else,207,0.013,3680.019,4.396,0.22,0.18,14.315,13.617,206.987,1.0,0.04
1849,farther,afield,347,0.025,6106.99,4.392,0.171,0.332,14.006,13.488,346.975,1.0,0.057
4,legally,binding,2438,1.245,35625.137,4.202,0.868,0.066,13.862,13.407,2436.755,0.999,0.057
109,fast,paced,1297,0.214,21149.81,4.217,0.557,0.17,13.741,13.39,1296.786,1.0,0.094
1390,brightly,lit,597,0.06,10165.583,4.283,0.204,0.35,13.608,13.21,596.94,1.0,0.071
1165,inversely,proportional,1528,0.195,25996.059,4.437,0.229,0.627,13.314,13.065,1527.805,1.0,0.144
854,tightly,woven,391,0.05,6396.942,4.092,0.276,0.132,13.389,12.873,390.95,1.0,0.036
485,gently,undulating,341,0.047,5542.27,4.085,0.356,0.083,13.446,12.863,340.953,1.0,0.029
696,morbidly,obese,3022,0.52,50253.04,4.433,0.305,0.691,13.032,12.846,3021.48,1.0,0.211
2892,faster,paced,289,0.033,4781.006,4.12,0.124,0.244,13.281,12.724,288.967,1.0,0.03
1692,everywhere,else,171,0.018,2837.059,4.107,0.182,0.106,13.481,12.723,170.982,1.0,0.019
3422,farther,east,304,0.035,5037.68,4.137,0.109,0.291,13.247,12.709,303.965,1.0,0.032
0,far,away,1284,6.811,13385.0,4.51,0.989,0.003,15.078,12.675,1277.189,0.995,0.003
53,kind,hearted,1005,0.343,14990.322,3.963,0.663,0.053,13.088,12.635,1004.657,1.0,0.035
124,internationally,supervised,518,0.123,7989.354,3.985,0.541,0.048,13.167,12.619,517.877,1.0,0.026
3780,electronically,controlled,171,0.019,2829.933,4.099,0.1,0.188,13.313,12.584,170.981,1.0,0.019
2835,virulently,anti-gay,140,0.015,2315.821,4.087,0.126,0.124,13.38,12.559,139.985,1.0,0.016
4096,diametrically,opposite,862,0.13,14423.617,4.436,0.094,0.732,12.838,12.528,861.87,1.0,0.069
1635,straight,forward,845,0.14,13503.438,4.043,0.184,0.331,12.851,12.522,844.86,1.0,0.061
602,rapidly,evolving,1020,0.207,15887.195,3.954,0.325,0.186,12.836,12.51,1019.793,1.0,0.06
3602,thermally,conductive,289,0.039,4686.504,4.045,0.104,0.249,13.024,12.473,288.961,1.0,0.026
698,finely,wrought,277,0.047,4372.922,3.961,0.305,0.065,13.06,12.432,276.953,1.0,0.02
7,previously,unreleased,4830,4.965,63646.44,3.86,0.856,0.066,12.726,12.413,4825.035,0.999,0.056
2004,evenly,divisible,144,0.018,2335.088,4.016,0.162,0.085,13.208,12.386,143.982,1.0,0.014
1212,third,fastest,198,0.03,3147.986,3.961,0.224,0.07,13.05,12.334,197.97,1.0,0.016
8,partly,cloudy,54413,61.312,752182.75,4.249,0.837,0.692,12.415,12.326,54351.688,0.999,0.58
12,long,overdue,20079,21.275,266763.44,3.892,0.833,0.273,12.468,12.324,20057.725,0.999,0.227
1032,happily,married,331,0.059,5174.323,3.914,0.246,0.091,12.865,12.311,330.941,1.0,0.022
3241,virulently,anti-israel,115,0.014,1874.655,4.026,0.114,0.102,13.214,12.305,114.986,1.0,0.012
599,rapidly,deployable,347,0.07,5360.194,3.894,0.325,0.063,12.841,12.275,346.93,1.0,0.021
3161,respectfully,foolish,1627,0.343,26443.62,4.435,0.115,0.803,12.389,12.163,1626.657,1.0,0.093
762,nowhere,else,276,0.056,4248.176,3.869,0.293,0.056,12.769,12.144,275.944,1.0,0.016
145,non,existent,1842,0.717,26643.03,3.78,0.522,0.109,12.393,12.108,1841.283,1.0,0.057
1884,third,largest,467,0.094,7179.639,3.855,0.169,0.165,12.544,12.101,466.906,1.0,0.028
137,formerly,communist,1265,0.486,18295.012,3.775,0.528,0.075,12.429,12.084,1264.514,1.0,0.039
139,minimally,invasive,16766,7.919,254645.44,4.368,0.527,0.808,12.129,12.035,16758.08,1.0,0.426
1536,narrowly,mixed,699,0.164,10571.118,3.813,0.193,0.185,12.369,12.004,698.836,1.0,0.036
2587,loosely,knit,262,0.052,4017.006,3.824,0.135,0.118,12.52,11.93,261.948,1.0,0.016
2473,ordinarily,resident,154,0.027,2391.758,3.858,0.139,0.076,12.699,11.915,153.973,1.0,0.011
2226,intricately,woven,214,0.041,3286.152,3.826,0.151,0.088,12.575,11.913,213.959,1.0,0.013
3928,habitually,resident,108,0.016,1702.837,3.902,0.097,0.087,12.826,11.892,107.984,1.0,0.008
1282,twice,weekly,891,0.244,13217.889,3.755,0.215,0.182,12.186,11.86,890.756,1.0,0.039
5422,competitively,priced,173,0.031,2676.03,3.849,0.073,0.157,12.536,11.821,172.969,1.0,0.011
740,academically,ineligible,1101,0.355,16026.078,3.709,0.298,0.138,12.108,11.8,1100.645,1.0,0.041
677,second,largest,856,0.272,12465.453,3.706,0.309,0.104,12.153,11.8,855.728,1.0,0.032
2729,verbally,abusive,1666,0.465,25330.396,3.965,0.13,0.553,12.009,11.783,1665.535,1.0,0.072
410,genetically,predisposed,1085,0.396,15590.476,3.687,0.378,0.095,12.106,11.778,1084.604,1.0,0.036
5238,farther,south,111,0.018,1731.292,3.865,0.076,0.106,12.672,11.76,110.982,1.0,0.008
4075,upwardly,mobile,2098,0.584,34000.176,5.001,0.094,0.96,11.954,11.757,2097.416,1.0,0.091
960,rapidly,shrinking,279,0.072,4148.423,3.742,0.256,0.051,12.355,11.746,278.928,1.0,0.013
6448,virulently,anti-semitic,235,0.051,3558.855,3.79,0.062,0.209,12.251,11.647,234.949,1.0,0.013
2,well,intentioned,1786,4.236,20799.309,3.705,0.914,0.01,12.297,11.645,1781.764,0.998,0.009
463,nationally,broadcast,331,0.11,4792.058,3.691,0.362,0.033,12.21,11.616,330.89,1.0,0.012
5145,empirically,verifiable,158,0.034,2380.114,3.751,0.077,0.113,12.282,11.53,157.966,1.0,0.009
6027,virulently,anti-american,125,0.026,1896.166,3.771,0.066,0.111,12.351,11.5,124.974,1.0,0.007
714,criminally,negligent,1668,0.713,23380.492,3.598,0.302,0.155,11.71,11.46,1667.287,1.0,0.047
763,second,fastest,259,0.087,3717.971,3.638,0.293,0.032,12.039,11.392,258.913,1.0,0.009
1011,later,invalid,1058,0.431,14828.154,3.572,0.248,0.125,11.673,11.369,1057.569,1.0,0.031
105,openly,gay,22872,19.01,312322.25,3.823,0.567,0.582,11.442,11.357,22852.99,0.999,0.33
883,darkly,comic,1609,0.711,22395.03,3.568,0.271,0.161,11.599,11.35,1608.289,1.0,0.044
366,aesthetically,pleasing,13098,7.981,185280.48,3.895,0.393,0.656,11.402,11.307,13090.019,0.999,0.258
1864,chemically,inert,431,0.153,6099.684,3.569,0.17,0.086,11.726,11.264,430.847,1.0,0.015
