adj_lemma,SUM,very,more,most,so,too,as,not,how,much,really,less,pretty,even,still,also,extremely,quite,relatively,highly,particularly,increasingly,just,far,partly,always,especially,immediately,completely,almost,now,only,slightly,fairly,mostly,that,already,no,politically,all,absolutely,totally,often,potentially,truly,largely,incredibly,rather,equally,entirely,deeply,somewhat,fully,well,real,little,nearly,unusually,generally,predominantly,perfectly,sometimes,mentally,long,super,yet,surprisingly,significantly,virtually,probably,overly,seemingly,of,usually,once,least,than,clearly,ever,actually,any,certainly,sharply,longer,otherwise,environmentally,currently,remarkably,mainly,hugely,financially,simply,terribly,sexually,definitely,economically,heavily,physically,seriously,apparently,exceptionally,legally,considerably,readily,reasonably,widely,about,easily,socially,hardly,extraordinarily,wildly,historically,bit,previously,however,both,critically,never,barely,traditionally,obviously,openly,substantially,unexpectedly,overwhelmingly,when,utterly,notoriously,technically,genuinely,wide,purely,fundamentally,sufficiently,vastly,necessarily,exactly,perhaps,dangerously,immensely,newly,mutually,terminally,consistently,similarly,enormously,emotionally,better,then,essentially,finally,normally,moderately,directly,painfully,comparatively,commercially,damn,typically,awfully,inherently,morally,personally,intensely,fiercely,downright,profoundly,way,exceedingly,indeed,double,possibly,desperately,plain,therefore,amazingly,wholly,primarily,thoroughly,ultimately,naturally,best,tremendously,racially,publicly,cautiously,wonderfully,decidedly,uniquely,basically,likely,marginally,visually,formerly,half,reportedly,dramatically,statistically,initially,visibly,strictly,roughly,practically,ridiculously,severely,culturally,extra,allegedly,brand,up,strikingly,ethnically,merely,radically,mildly,supposedly,technologically,broadly,again,back,unbelievably,eerily,suddenly,fiscally,where,internationally,psychologically,chronically,acutely,distinctly,medically,closely,dead,enough,partially,strongly,somehow,altogether,strategically,pleasantly,second,artificially,excessively,rarely,kinda,keenly,modestly,occasionally,instantly,brutally,further,strangely,vitally,remotely,noticeably,narrowly,officially,bitterly,notably,near,infinitely,deceptively,abundantly,oddly,famously,markedly,gravely,doubly,minimally,impossibly,thus,vaguely,woefully,solely,abnormally,frequently,lot,maybe,stunningly,over,unseasonably,horribly,insanely,crystal,grossly,constantly,supremely,whenever,but,darn,prohibitively,deliberately,disproportionately,intellectually,down,freely,criminally,plenty,bone,conspicuously,forever,patently,undeniably,understandably,exclusively,astonishingly,universally,there,locally,shockingly,right,greatly,nationally,scantily,progressively,kind,mighty,firmly,out,beautifully,aesthetically,hiv,genetically,though,quietly,sparsely,home,globally,stubbornly,clinically,overtly,unnecessarily
SUM,6335541,751222,728805,625218,425679,349729,324024,187284,179054,144984,126929,108097,107366,82734,76868,73511,69734,65129,61194,58480,47209,45231,45098,42675,38970,38284,32960,32899,31581,31101,29821,29737,29483,26738,26280,25872,25388,25036,24259,23894,23359,22418,20902,20771,20561,20188,18995,18555,17763,17324,17270,17236,15347,14994,14921,14904,14883,13607,12853,12468,11614,11241,10959,10645,10590,10322,10276,10150,10136,9899,9237,9060,8779,8302,7584,7434,7348,7340,7231,7111,7022,7010,6640,6607,6447,6372,6168,6060,5968,5946,5897,5889,5732,5707,5541,5475,5456,5424,5400,5378,5366,5349,5337,5206,5118,5105,5041,5036,5000,4966,4870,4846,4798,4750,4674,4616,4604,4554,4254,4246,4140,4118,4096,3957,3910,3875,3850,3812,3725,3714,3692,3571,3462,3385,3377,3373,3354,3313,3298,3276,3242,3231,3211,3204,3190,3146,3129,3128,3124,3109,2922,2908,2838,2837,2823,2811,2801,2798,2796,2781,2766,2685,2668,2644,2621,2570,2539,2499,2489,2487,2475,2466,2462,2436,2434,2421,2375,2365,2340,2296,2253,2229,2214,2187,2183,2180,2172,2156,2116,2078,2059,2057,2046,2004,2000,1977,1962,1948,1913,1882,1879,1878,1866,1853,1816,1808,1775,1774,1764,1757,1755,1745,1735,1731,1730,1699,1696,1690,1674,1665,1653,1625,1576,1554,1551,1544,1539,1532,1508,1465,1459,1449,1448,1447,1441,1425,1424,1413,1382,1380,1378,1365,1356,1349,1339,1338,1316,1303,1288,1284,1284,1254,1251,1237,1228,1217,1190,1175,1172,1167,1167,1153,1140,1132,1122,1118,1114,1113,1104,1096,1094,1088,1085,1061,1056,1055,1051,1045,1044,1034,1033,1031,1021,1019,1017,1000,992,989,961,937,934,933,933,932,925,919,918,915,914,913,911,907,906,904,900,900,899,895,895,892,885,881,857,850,844,842,839,838,837,836,823,813,808,804,804,798,792,792,783,780,779,778,775
much,248533,5503,7,3,60679,66015,41255,2819,65755,17,144,0,4390,49,34,22,3,3,0,0,2,2,5,1,0,5,1,0,0,0,16,0,0,6,1,871,6,8,1,8,0,0,9,8,1,0,5,6,0,0,0,0,0,6,0,1,0,0,1,0,0,0,1,11,1,8,3,0,0,7,2,0,2,9,3,0,0,7,8,11,0,7,0,19,1,0,1,0,0,0,0,3,12,0,1,0,0,0,0,3,0,0,0,0,0,0,65,0,0,6,0,0,0,5,2,259,1,0,27,0,1,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,0,3,1,0,4,0,0,0,0,0,21,1,0,0,0,2,0,0,0,0,1,1,12,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,21,2,0,1,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,0,0,0,1,0,0,0,0,127,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,43,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,12,0,0,13,0,0,0,0,0
good,203569,52941,1379,320,11262,5677,23524,5219,4561,10642,16819,177,23852,4878,1072,1340,886,1987,855,2,1378,50,730,1899,2,2748,862,7,28,74,76,914,495,929,176,2104,162,1979,6,1073,48,30,172,118,192,16,250,273,359,36,1,125,2,34,3008,87,48,144,749,4,701,111,6,50,85,43,733,331,0,776,2,49,70,278,25,14,61,76,75,445,1519,232,1,54,130,8,9,284,13,0,11,83,59,2,245,3,0,20,63,43,409,0,85,0,688,0,116,10,1,19,138,4,24,2,10,103,120,0,167,19,82,91,0,68,67,15,6,3,2,45,116,1,7,81,30,30,224,29,143,6,12,0,2,1,273,28,7,1,2,67,31,13,31,36,0,4,37,1,939,36,344,102,28,0,2,0,10,17,457,35,51,3,36,0,45,33,98,15,3,16,38,57,0,32,0,2,0,6,10,11,86,34,81,2,3,6,7,35,8,2,3,9,0,2,56,0,0,11,7,0,19,10,0,68,9,9,31,2,3,10,21,87,8,3,1,39,2,3,0,0,8,0,0,2,143,2,2,32,12,6,1,131,0,4,17,18,0,7,8,8,0,15,4,2,9,32,0,1,0,15,10,105,8,0,3,4,30,0,16,1,9,11,2,0,5,1,8,1,55,36,15,0,0,38,0,0,18,7,0,0,289,0,0,1,1,5,0,1,48,0,3,2,3,21,0,4,46,7,8,0,27,22,1,0,0,19,4,56,0,18,0,3,0,1,12,3,0,0,1,0,0,0,0
many,195295,1434,17,5,82446,40804,26654,2078,39512,8,23,4,2,302,51,43,0,17,8,0,4,9,23,12,0,2,6,3,1,2,36,18,0,0,1,448,11,3,0,7,1,1,26,19,1,0,2,8,4,0,0,0,1,11,0,2,1,2,5,0,0,13,1,4,0,10,22,0,0,30,0,0,0,3,8,7,0,13,15,6,0,8,0,0,2,0,3,2,0,0,0,2,5,0,2,0,0,0,1,9,0,0,1,0,0,0,157,3,0,1,0,0,5,0,1,200,0,3,0,0,4,5,0,0,0,0,24,0,0,0,0,0,0,0,1,0,1,4,36,0,0,0,0,0,0,5,0,0,0,15,3,2,1,0,0,0,0,0,16,6,2,0,0,0,0,0,0,1,2,0,23,0,12,0,0,6,1,0,0,0,0,12,1,1,0,3,0,0,0,2,0,19,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,25,42,0,0,2,0,100,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,2,0,1,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,1,0,26,0,0,0,1,0,0,0,0,0,9,0,0,0,0,2,3,11,0,174,0,0,0,0,0,0,0,0,0,1,0,0,2,0,6,0,0,0,0,0,1,0,0,3,0,0,0,18,1,0,8,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,1,1,0,0,0,0
important,181971,31493,29397,62730,6743,1444,8553,945,3522,86,4469,2297,440,40,524,3490,3718,388,15,260,2045,1859,159,3,0,615,2545,5,2,1,72,250,37,74,9,832,15,0,242,262,59,11,24,213,230,0,800,84,2067,5,57,91,1,7,249,1,0,17,5,0,0,10,4,32,187,8,7,18,0,25,11,6,21,9,18,238,10,76,20,62,0,105,0,50,10,18,1,4,2,445,8,11,248,1,72,152,0,0,10,7,53,5,2,0,4,0,6,0,34,6,149,3,190,1,3,48,35,1262,4,0,4,110,0,1,3,13,1,6,0,11,11,0,0,93,38,29,17,1,5,2,126,11,3,0,2,12,208,8,0,7,4,1,1,8,3,1,0,73,18,4,25,3,15,18,6,1,0,122,3,60,29,0,18,20,2,161,5,1,9,0,15,4,0,156,0,3,0,0,3,11,3,4,3,1,3,0,0,9,6,1,2,0,0,5,1,1,45,13,1,0,0,0,0,3,0,1,2,1,1,4,0,24,0,4,0,1,31,625,0,7,1,33,0,0,4,0,0,4,0,853,0,29,0,0,2,5,3,0,2,0,0,34,0,1126,1,0,0,0,0,3,0,2,1,0,0,0,0,1,60,1,0,26,0,0,1,0,1,0,2,2,0,0,0,2,0,0,0,42,0,0,5,0,0,11,1,0,0,0,1,0,0,0,0,20,4,2,0,5,2,9,0,1,8,30,0,1,0,6,0,0,0,4,0,0,2,0,0,0,32,0,45,1,0
more,90665,4,86,2,138,1,145,654,3,25895,309,8,0,16199,1427,156,4,3,56,0,4,116,558,10221,1,148,7,1,1,134,259,179,1861,1,4,5,69,6620,2,33,5,2,132,77,12,3,2,114,0,1,0,233,1,65,1,11776,9,0,35,0,0,90,4,2,0,751,4,1094,0,557,0,23,16,64,1659,2,0,65,751,153,316,122,2,0,7,0,9,1,2,1,4,49,1,0,125,0,2,4,0,26,0,0,951,0,0,1,1014,8,0,45,0,0,5,316,4,7,12,0,70,153,4,34,0,529,0,4,1,0,0,1,1,1,0,2,0,176,6,0,572,0,2,0,0,0,3,1,6,0,2,38,5,3,6,2,0,0,17,0,0,13,0,5,0,4,0,0,0,2,590,2,18,0,150,0,1,7,0,0,3,0,14,4,3,2,0,0,0,0,25,0,12,70,28,0,0,3,1,36,2,0,4,0,2,1,0,0,0,0,2,0,42,1,0,9,0,0,6,0,0,21,36,1,1,5,0,0,1,1,0,0,2,0,2,1,8,0,1,10,7,1,0,3,0,0,28,1,0,3,5,2,0,30,0,0,0,19,0,2,0,5,0,92,0,0,1,0,7,0,1,0,0,22,0,0,0,0,3,655,181,2,132,0,0,0,0,1,0,0,0,5,0,0,0,19,0,45,1,0,348,0,0,8,0,1,0,0,0,1,71,2,0,14,0,2,0,38,1,0,1,28,0,1,0,1,17,0,0,15,0,0,0,0,1
difficult,86887,22812,24450,8505,2243,2243,1545,912,2292,36,1358,388,498,54,381,333,4284,979,49,35,1051,2247,106,1,0,683,688,1,4,16,49,43,30,82,2,520,382,5,350,29,7,2,922,91,56,0,672,364,154,3,5,186,0,4,123,12,3,57,44,0,0,514,7,12,15,11,76,3,2,18,37,7,82,48,3,22,12,15,1,27,0,33,0,6,58,0,17,25,0,28,27,6,143,0,37,21,0,35,11,11,182,11,3,0,8,0,3,0,5,7,333,4,12,133,11,81,16,1,5,0,24,31,0,1,20,8,1,3,454,111,16,0,0,3,4,1,11,6,13,4,64,1,1,0,4,27,85,68,0,0,0,1,9,28,0,24,6,0,23,18,80,40,9,14,5,2,8,15,2,218,25,0,12,15,4,42,14,0,0,0,1,4,0,63,0,2,0,0,6,23,0,3,0,1,2,0,4,4,4,21,1,0,0,9,15,0,2,22,0,0,1,2,0,5,0,2,0,16,0,3,0,32,0,0,1,0,0,14,0,7,2,1,0,0,4,0,0,3,1,2,1,0,1,13,1,7,0,1,11,0,35,6,4,0,1,1,0,0,2,3,2,0,11,0,1,27,0,0,67,1,41,10,0,1,1,0,17,0,5,4,0,0,14,24,0,0,0,9,0,0,9,14,4,0,2,1,0,1,4,0,0,0,0,3,14,0,7,3,8,0,0,2,0,0,0,8,0,11,0,0,0,0,0,0,5,0,0,1,0,2,2,1,29
likely,85529,2915,37749,17696,77,101,3514,2287,177,18,31,11862,74,81,467,2489,144,544,3,921,68,743,9,8,0,76,101,2,1,2,433,235,0,35,109,16,27,1,3,37,0,0,9,0,0,0,4,4,141,29,0,89,0,4,6,4,0,2,3,0,3,0,0,3,2,2,0,1,0,25,0,2,0,3,2,1014,239,1,154,22,0,28,0,19,6,0,5,0,0,0,0,2,13,0,5,0,0,0,0,3,4,0,0,0,46,0,0,0,0,153,0,0,1,0,0,4,20,0,32,0,1,3,0,6,0,18,0,0,0,0,0,0,0,0,3,0,6,3,5,0,0,0,0,0,0,3,0,0,0,37,0,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,5,14,0,1,0,0,74,0,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,5,0,11,2,0,0,0,0,0,0,0,5,0,0,0,1,0,2,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,42,0,0,0,0,1,0,4,0,0,0,1,0,0,0,2,0,0,2,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,1,1,0,0,0,0
high,77359,11302,275,481,4416,10068,18634,359,1162,2991,692,24,949,1152,1013,599,2109,743,2331,0,642,136,63,403,0,133,460,1,4,5,73,52,768,519,48,571,756,142,2,40,8,2,106,106,19,2,278,170,98,4,0,101,0,17,140,25,10,1831,189,2,3,21,1,13,131,25,277,859,0,51,60,21,18,103,25,5,6,25,85,56,61,39,76,2,10,0,55,108,17,4,0,2,23,0,21,0,0,2,11,15,407,0,194,0,88,0,29,2,0,4,349,12,317,61,19,18,17,5,10,4,57,20,0,167,380,17,5,0,73,0,7,0,0,1,138,12,5,12,5,488,9,0,0,0,375,75,38,16,4,12,4,2,32,150,0,24,133,0,22,56,44,9,0,0,2,0,0,1,56,94,19,1,22,4,3,10,33,0,1,0,0,77,0,30,0,0,3,4,7,12,1,43,37,0,4,1,11,50,7,12,5,1,0,1,143,6,0,4,9,0,244,22,0,5,2,7,7,0,11,20,2,38,0,7,0,10,2,0,124,2,3,0,0,2,10,1,0,1,2,0,2,121,431,211,6,4,0,32,2,1,5,3,5,0,0,17,0,5,0,25,5,11,5,1,4,12,23,0,0,1,138,4,2,1,0,388,9,1,6,19,13,47,3,27,0,1,18,4,0,0,5,119,5,231,0,0,1,0,6,0,2,0,0,6,11,2,58,6,8,16,68,2,2,0,0,18,1,3,2,4,0,0,0,3,3,0,0,0,1,492,0,0,50
different,69387,16254,997,103,2953,363,817,163,695,3749,442,16,88,19,41,230,121,3055,7,11,14,7,366,1567,2,161,9,6,6487,3,43,61,3520,34,7,744,17,3951,6,402,75,4000,76,14,69,23,42,308,11,3123,9,922,6,17,35,469,0,0,10,0,1,22,4,2,5,11,24,688,3,43,2,23,47,14,1,3,1,104,5,29,1300,108,262,0,3,0,0,96,2,51,0,34,44,3,146,1,0,24,3,21,2,13,137,1,2,189,14,0,1,27,11,329,6,279,3,35,12,14,2,9,0,72,0,291,3,2,1,93,2,8,7,0,0,721,53,1829,17,2,13,3,10,0,1,0,8,2,9,1,0,1,40,3,1,1,0,2,1,0,2,2,4,25,5,0,3,0,1,127,69,4,29,0,3,2,6,6,14,170,1,9,1,6,0,16,6,1,0,17,313,54,10,9,24,13,0,0,0,681,21,0,13,1,0,1,0,1,31,0,1,0,9,276,18,10,1230,0,8,2,1,4,0,5,1,4,0,1,0,6,0,0,462,0,0,0,14,3,4,91,434,1,4,0,0,2,1,7,0,1,3,2,0,0,5,0,0,75,0,0,0,41,0,7,0,0,5,2,547,1,0,2,2,2,3,0,0,0,1,32,19,6,0,0,4,0,0,3,3,0,0,0,1,0,2,1,1,1,0,0,1,0,6,10,0,4,3,0,4,1,1,0,12,1,40,0,0,2,0,2,1,5,4,1,0,58,2,0,0,0,0,0,3,1,0
