hit_id,status,colloc,adv,adj,sent_text,sent_id,adv_index
nyt_eng_19940701_0027_53:12,discard,that_different,that,different,"In most of the ways that matter , he is not that different from many other top-level Wells Fargo employees .",nyt_eng_19940701_0027_53,12
nyt_eng_19940701_0027_53:12,keep,that_different,that,different,"In most of the ways that matter , he is not that different from many other top-level Wells Fargo employees .",nyt_eng_19940701_0027_53,12
nyt_eng_19940714_0176_21:30,discard,very_welcome,very,welcome,"He ca n't wait , for example , to get out of that silly desert commune -- whose peace-loving brotherhood of residents make it amply clear he 's not very welcome , anyway .",nyt_eng_19940714_0176_21,30
nyt_eng_19940714_0176_21:30,keep,very_welcome,very,welcome,"He ca n't wait , for example , to get out of that silly desert commune -- whose peace-loving brotherhood of residents make it amply clear he 's not very welcome , anyway .",nyt_eng_19940714_0176_21,30
nyt_eng_19940714_0451_1:8,discard,so_complicated,so,complicated,"-LBQ-  The city , it is not so complicated ,  -RDQ-  said Macsuara .",nyt_eng_19940714_0451_1,8
nyt_eng_19940714_0451_1:8,keep,so_complicated,so,complicated,"-LBQ-  The city , it is not so complicated ,  -RDQ-  said Macsuara .",nyt_eng_19940714_0451_1,8
nyt_eng_19940716_0030_38:10,discard,too_bad,too,bad,"The way I am playing , it 's not too bad for a 44-year-old has-been .  -RDQ-",nyt_eng_19940716_0030_38,10
nyt_eng_19940716_0030_38:10,keep,too_bad,too,bad,"The way I am playing , it 's not too bad for a 44-year-old has-been .  -RDQ-",nyt_eng_19940716_0030_38,10
nyt_eng_19940717_0175_31:12,discard,necessarily_smart,necessarily,smart,"-LBQ-  People who want to help you -- it 's not necessarily smart to spit in their face ,  -RDQ-  he said .",nyt_eng_19940717_0175_31,12
nyt_eng_19940717_0175_31:12,keep,necessarily_smart,necessarily,smart,"-LBQ-  People who want to help you -- it 's not necessarily smart to spit in their face ,  -RDQ-  he said .",nyt_eng_19940717_0175_31,12
nyt_eng_19940728_0271_13:18,discard,really_welcome,really,welcome,"U.S. diplomats in London , responsible for the North , made it clear that she was not really welcome , that she was interfering .",nyt_eng_19940728_0271_13,18
nyt_eng_19940728_0271_13:18,keep,really_welcome,really,welcome,"U.S. diplomats in London , responsible for the North , made it clear that she was not really welcome , that she was interfering .",nyt_eng_19940728_0271_13,18
nyt_eng_19940728_0351_18:15,discard,that_dramatic,that,dramatic,"He argued  -COL-   -LBQ-  The dramatic changes they 're touting , they 're not that dramatic .",nyt_eng_19940728_0351_18,15
nyt_eng_19940728_0351_18:15,keep,that_dramatic,that,dramatic,"He argued  -COL-   -LBQ-  The dramatic changes they 're touting , they 're not that dramatic .",nyt_eng_19940728_0351_18,15
