key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt,first_char
NEG~not,NEGATED,not,5660,246.6092,35479.45539,5.39612,0.9565038,0.0017834299,1.0,0.0017834299,3173660,5660,72839589,5660.0,3168000.0,0.0,69665929.0,3173660.0,69665929.0,5660.0,72833929.0,3173413.39076117,5413.39076117,69660515.60923883,71.95503,0.00356051,1.3608071,0.0017834299,0.9565038,0.9565038,0.47914362,5413.3908,0.9564295,12.780788,12.654534,12.838751,12.9830265,14.339148,13.125552,75.2329714952161,1781.4769153710638,75.2329714952161,n
NEG~n't,NEGATED,n't,3621,157.7689,22695.84831,5.2018743,0.956477,0.001140954,1.0,0.001140954,3173660,3621,72839589,3621.0,3170039.0,0.0,69665929.0,3173660.0,69665929.0,3621.0,72835968.0,3173502.2310859,3463.2310859,69662465.7689141,57.5529,0.002279307,1.3608071,0.001140954,0.956477,0.956477,0.47880897,3463.2311,0.9564295,12.135109,12.008739,12.193121,12.337512,13.6943035,12.480142,60.174745533321534,1781.4769153710638,60.174745533321534,n
NEG~never,NEGATED,never,296,12.8969,1854.98388,4.1145554,0.95643336,9.32677e-05,1.0,9.32677e-05,3173660,296,72839589,296.0,3173364.0,0.0,69665929.0,3173660.0,69665929.0,296.0,72839293.0,3173647.103121079,283.103121079,69665645.89687893,16.455034,0.000186518,1.3608071,9.32677e-05,0.95643336,0.95643336,0.47826332,283.1031,0.95642936,8.482731,8.352719,8.542311,8.690339,10.068152,8.836219,17.204650534085253,1781.4769153710638,17.204650534085253,n
NEG~hard,NEGATED,hard,117,5.0978,733.21367,3.7125437,0.956431,3.6866e-05,1.0,3.6866e-05,3173660,117,72839589,117.0,3173543.0,0.0,69665929.0,3173660.0,69665929.0,117.0,72839472.0,3173654.902247183,111.902247183,69665817.09775281,10.3453665,7.3729e-05,1.3608071,3.6866e-05,0.956431,0.956431,0.47823393,111.9022,0.95642906,7.076768,6.9405355,7.1390204,7.293242,8.706593,7.4446454,10.816653826391969,1781.4769153710638,10.816653826391969,h
NEG~ornamentally,NEGATED,ornamentally,109,5.4027,592.94106,2.1905572,0.83546317,3.41299e-05,0.87903225,3.43452e-05,3173660,124,72839589,109.0,3173551.0,15.0,69665914.0,3173660.0,69665929.0,124.0,72839465.0,3173654.597253425,118.597253425,69665810.40274657,9.922817,6.8688e-05,1.304812,3.41299e-05,0.83546317,0.83546317,0.41774863,103.5973,0.95043397,5.41442,5.332251,5.451288,5.5407996,6.246475,5.62617,10.44030650891055,1781.4769153710638,11.135528725660043,o
NEG~necessarily,NEGATED,necessarily,42595,2132.6471,230257.34338,2.1737077,0.82721233,0.013330234,0.870227,0.013421413,3173660,48947,72839589,42595.0,3131065.0,6352.0,69659577.0,3173660.0,69665929.0,48947.0,72790642.0,3171527.35293056,46814.352930561,69619114.64706944,196.05225,0.026435118,1.3004396,0.013330234,0.82721233,0.82721233,0.42027128,40462.3529,0.949932,7.096223,7.0909195,7.098589,7.1042957,7.147258,7.109688,206.3855615104894,1781.4769153710638,221.23968902527412,n
NEG~that,NEGATED,that,164768,9074.0872,831137.25197,1.9427824,0.74973035,0.051293023,0.7911573,0.051917344,3173660,208262,72839589,164768.0,3008892.0,43494.0,69622435.0,3173660.0,69665929.0,208262.0,72631327.0,3164585.912845006,199187.912845005,69466741.087155,383.56168,0.09744045,1.2590699,0.051293023,0.74973035,0.74973035,0.4005117,155693.9128,0.9449281,6.335311,6.3331585,6.336271,6.338585,6.3559575,6.3407702,405.9162475191157,1781.4769153710638,456.3573161460217,t
NEG~exactly,NEGATED,exactly,43813,2555.107,210126.60046,1.8178569,0.7041102,0.013592323,0.7471139,0.013805197,3173660,58643,72839589,43813.0,3129847.0,14830.0,69651099.0,3173660.0,69665929.0,58643.0,72780946.0,3171104.89300482,56087.893004819,69609841.10699518,197.1086,0.027109463,1.2341939,0.013592323,0.7041102,0.7041102,0.35885128,41257.893,0.9416815,5.9443007,5.9405174,5.945987,5.950055,5.98061,5.9538965,209.3155512617254,1781.4769153710638,242.16316813256304,e
NEG~immediately,NEGATED,immediately,56099,4225.1657,224059.54813,1.4864571,0.5356438,0.017089723,0.5785012,0.017676437,3173660,96973,72839589,56099.0,3117561.0,40874.0,69625055.0,3173660.0,69665929.0,96973.0,72742616.0,3169434.834325602,92747.834325603,69573181.1656744,219.01346,0.034304675,1.1231114,0.017089723,0.5356438,0.5356438,0.27636677,51873.8343,0.92468375,4.86169,4.8590827,4.862852,4.865654,4.88667,4.8682995,236.8522746354782,1781.4769153710638,311.4048811435042,i
NEG~yet,NEGATED,yet,51867,4172.4453,197610.97558,1.420808,0.49870348,0.015712868,0.54161835,0.01634296,3173660,95763,72839589,51867.0,3121793.0,43896.0,69622033.0,3173660.0,69665929.0,95763.0,72743826.0,3169487.554675246,91590.554675247,69574338.44532475,209.42245,0.031728532,1.0945004,0.015712868,0.49870348,0.49870348,0.25720817,47694.5547,0.9195549,4.645744,4.6431413,4.646904,4.6497006,4.6706724,4.652341,227.7432765198569,1781.4769153710638,309.4559742515888,y
