status|hit_id|colloq|adv|adj|sent_text|sent_id|adv_index
nyt_eng_19940701_0027_53:12|discard|that_different|that|different|In most of the ways that matter , he is not that different from many other top-level Wells Fargo employees .|nyt_eng_19940701_0027_53|12
nyt_eng_19940701_0027_53:12|keep|that_different|that|different|In most of the ways that matter , he is not that different from many other top-level Wells Fargo employees .|nyt_eng_19940701_0027_53|12
nyt_eng_19940701_0082_14:11|discard|equally_fine|equally|fine|A sharp actor with a derailed career , Baldwin is equally fine as a tuxedoed swain or a man in emotional hell .|nyt_eng_19940701_0082_14|11
nyt_eng_19940701_0082_14:11|keep|equally_fine|equally|fine|A sharp actor with a derailed career , Baldwin is equally fine as a tuxedoed swain or a man in emotional hell .|nyt_eng_19940701_0082_14|11
nyt_eng_19940701_0233_19:9|discard|so_quiet|so|quiet|It 's surprising me sometimes , I 'm so quiet .  -RDQ-|nyt_eng_19940701_0233_19|9
nyt_eng_19940701_0233_19:9|keep|so_quiet|so|quiet|It 's surprising me sometimes , I 'm so quiet .  -RDQ-|nyt_eng_19940701_0233_19|9
nyt_eng_19940702_0129_15:7|discard|charmingly_forthright|charmingly|forthright|1,533 -RRB- , the governor was charmingly forthright about his conversion to the cause of Wright .|nyt_eng_19940702_0129_15|7
nyt_eng_19940702_0129_15:7|keep|charmingly_forthright|charmingly|forthright|1,533 -RRB- , the governor was charmingly forthright about his conversion to the cause of Wright .|nyt_eng_19940702_0129_15|7
nyt_eng_19940704_0173_12:22|discard|especially_irritating|especially|irritating|Coming as they do from a highly respected scientist who does not do consulting work for industry , such remarks are especially irritating to those who believe that modern industry has touched off an epidemic of cancer and birth defects by contaminating the air , water , soil and food with toxic chemicals .|nyt_eng_19940704_0173_12|22
nyt_eng_19940704_0173_12:22|keep|especially_irritating|especially|irritating|Coming as they do from a highly respected scientist who does not do consulting work for industry , such remarks are especially irritating to those who believe that modern industry has touched off an epidemic of cancer and birth defects by contaminating the air , water , soil and food with toxic chemicals .|nyt_eng_19940704_0173_12|22
nyt_eng_19940706_0113_1:38|discard|so_rich|so|rich|Every so often , I used to pick up my son at a particular playmate 's house , and without fail , his first comment on getting into the car was ,  -LBQ-  Man , they 're so rich !  -RDQ-|nyt_eng_19940706_0113_1|38
nyt_eng_19940706_0113_1:38|keep|so_rich|so|rich|Every so often , I used to pick up my son at a particular playmate 's house , and without fail , his first comment on getting into the car was ,  -LBQ-  Man , they 're so rich !  -RDQ-|nyt_eng_19940706_0113_1|38
nyt_eng_19940706_0219_2:21|discard|generally_inclined|generally|inclined|On the eve of the Group of Seven 's economic summit meeting in Naples this weekend , the leaders are generally inclined to offer the Russians something to offset their loss of face in being excluded from the meeting .|nyt_eng_19940706_0219_2|21
