hit_id,colloc,adv,adj,sent_text,sent_id,adv_index
nyt_eng_19940715_0355_10:9,so_fearful,so,fearful,"Since then , every Brazilian opponent has been so fearful of strikers Bebeto and Romario that they have recoiled into a defensive shell , waiting for an opportunity to counterattack that rarely arrived .",nyt_eng_19940715_0355_10,9
nyt_eng_19940720_0012_6:6,fundamentally_sound,fundamentally,sound,Every game can not be fundamentally sound .,nyt_eng_19940720_0012_6,6
nyt_eng_19940802_0222_11:6,very_punctual,very,punctual,-LBQ-  And every student was very punctual when it came to returning the baby .,nyt_eng_19940802_0222_11,6
nyt_eng_19940811_0001_30:7,so_competitive,so,competitive,Every individual on that team was so competitive .  -RDQ-,nyt_eng_19940811_0001_30,7
nyt_eng_19940831_0085_29:37,as_susceptible,as,susceptible,"And if the Simpson case sets the standard for big cases , wo n't the same standard eventually apply to every case ? Wo n't every citizen who has a brush with the law be just as susceptible as O.J. Simpson to the potential excesses of the judicial system , the media , the public ?",nyt_eng_19940831_0085_29,37
nyt_eng_19940909_0091_15:8,fatally_flawed,fatally,flawed,One result is that every plan is fatally flawed -- from someone 's perspective .,nyt_eng_19940909_0091_15,8
nyt_eng_19941022_0259_40:5,that_easy,that,easy,"Not every ruling is that easy , but Hancock says he reaches his decisions the way any judge would .",nyt_eng_19941022_0259_40,5
nyt_eng_19941103_0246_41:13,so_expensive,so,expensive,"The pressure of money is terrifying ; now that every movie is so expensive , every one is a corporate decision , and the future of the studio is in jeopardy if you fail .",nyt_eng_19941103_0246_41,13
nyt_eng_19941121_0155_10:4,pretty_tough,pretty,tough,Every Christmas is pretty tough .,nyt_eng_19941121_0155_10,4
nyt_eng_19941123_0116_27:5,really_valuable,really,valuable,"-LBQ-  Every report is really valuable ,  -RDQ-  he said .",nyt_eng_19941123_0116_27,5
nyt_eng_19941130_0007_4:16,very_difficult,very,difficult,"-LBQ-  We have such good big-play capabilities that every game we play it 's actually very difficult to please ourselves because our expectations are so high and our results in the past have been so high ,  -RDQ-  Avezzano said .",nyt_eng_19941130_0007_4,16
nyt_eng_19941130_0283_42:13,much_negotiable,much,negotiable,"-LBQ-  If they would eliminate that , every other issue is pretty much negotiable ,  -RDQ-  he said .",nyt_eng_19941130_0283_42,13
nyt_eng_19941201_0049_43:7,very_critical,very,critical,"-LBQ-  Every game is very , very critical , and it 's going to come down to the one who blinks first .  -RDQ-",nyt_eng_19941201_0049_43,7
nyt_eng_19941205_0260_1:9,intensely_interested,intensely,interested,"-LBQ-  Obviously , every major league player is intensely interested in the discussion at this point ,  -RDQ-  said Berkeley , Calif.-based player attorney Jeff Moorad , who represents more than 30 players , including Will Clark and Matt Williams .",nyt_eng_19941205_0260_1,9
nyt_eng_19941217_0062_27:37,vitally_important,vitally,important,Whenever a big superstar player goes down I think there 's a sense of urgency on the team that on every play you have to go out and make a big play and every series is vitally important .,nyt_eng_19941217_0062_27,37
nyt_eng_19950112_0165_24:14,perfectly_coiffed,perfectly,coiffed,"As usual for a film from this period , every head is forever perfectly coiffed , and the girls ' faces are thoroughly made up .",nyt_eng_19950112_0165_24,14
nyt_eng_19950130_0234_29:8,as_wrong,as,wrong,Surprise ! Every last calculation was still as wrong as it had been with the initial chip .,nyt_eng_19950130_0234_29,8
nyt_eng_19950202_0394_18:9,so_hot,so,hot,"I do n't get why every female is so hot for him ,  -RDQ-  says penguin keeper Laurie Nikitas .",nyt_eng_19950202_0394_18,9
nyt_eng_19950207_0161_8:27,therefore_rife,therefore,rife,"This tradition originated in the days when the physical world was considered merely an imperfect reflection of the spiritual world , and every mundane act was therefore rife with cosmic implications .",nyt_eng_19950207_0161_8,27
nyt_eng_19950208_0403_11:30,too_many,too,many,"I think every day that a kid does n't have a permanent home where they know they 're going to spend the rest of their life is one day too many ,  -RDQ-  the governor said .",nyt_eng_19950208_0403_11,30
nyt_eng_19950209_0487_27:46,as_excited,as,excited,"He explained , Even if one agrees that what Mrs. Agee is doing is entirely laudatory , it would be far better for both the company and Mrs. Agee to do it with greater independence from the company , because not every shareholder might be as excited at seeing corporate resources going to this purpose .  -RDQ-",nyt_eng_19950209_0487_27,46
nyt_eng_19950227_0356_14:17,completely_different,completely,different,"The result of this process , Shawn said , is that every rehearsal and performance is completely different .",nyt_eng_19950227_0356_14,17
nyt_eng_19950310_0042_5:8,really_important,really,important,"-LBQ-  Every win for us is a really important one ,  -RDQ-  said Hrudey , who turned aside Dirk Graham 's penalty shot at 3 -COL- 21 of the final period after an apparent goal by Tony Amonte was waved off .",nyt_eng_19950310_0042_5,8
nyt_eng_19950315_0474_20:5,very_important,very,important,Every loose ball is very important .,nyt_eng_19950315_0474_20,5
nyt_eng_19950321_0453_26:8,potentially_vulnerable,potentially,vulnerable,"Every subway system in the world is potentially vulnerable to it , New York 's included .",nyt_eng_19950321_0453_26,8
nyt_eng_19950322_0051_9:18,very_prejudiced,very,prejudiced,-LBQ-  So I 've been able to see that every group -- every single one -- is very prejudiced .,nyt_eng_19950322_0051_9,18
