She was not extremely happy. She was slightly sad., adj, rel
She was slightly sad. She was not extremely happy., adj, rel
She was not extremely happy. She was sort of sad., adj, rel
She was sort of sad. She was not extremely happy., adj, rel
She was not extremely happy. She was extremely sad., adj, rel
She was extremely sad. She was not extremely happy., adj, rel
She was not extremely happy. She was ridiculously sad., adj, rel
She was ridiculously sad. She was not extremely happy., adj, rel
She was not extremely happy. She was sad., adj, rel
She was sad. She was not extremely happy., adj, rel
She was not extremely happy. She was not extremely sad., adj, rel
She was not extremely happy. She was not ridiculously sad., adj, rel
She was not extremely happy. She was not sad., adj, rel
She was not ridiculously happy. She was slightly sad., adj, rel
She was slightly sad. She was not ridiculously happy., adj, rel
She was not ridiculously happy. She was sort of sad., adj, rel
She was sort of sad. She was not ridiculously happy., adj, rel
She was not ridiculously happy. She was extremely sad., adj, rel
She was extremely sad. She was not ridiculously happy., adj, rel
She was not ridiculously happy. She was ridiculously sad., adj, rel
She was ridiculously sad. She was not ridiculously happy., adj, rel
She was not ridiculously happy. She was sad., adj, rel
She was sad. She was not ridiculously happy., adj, rel
She was not ridiculously happy. She was not extremely sad., adj, rel
She was not ridiculously happy. She was not ridiculously sad., adj, rel
She was not ridiculously happy. She was not sad., adj, rel
She was not happy. She was slightly sad., adj, rel
She was slightly sad. She was not happy., adj, rel
She was not happy. She was sort of sad., adj, rel
She was sort of sad. She was not happy., adj, rel
She was not happy. She was extremely sad., adj, rel
She was extremely sad. She was not happy., adj, rel
She was not happy. She was ridiculously sad., adj, rel
She was ridiculously sad. She was not happy., adj, rel
She was not happy. She was sad., adj, rel
She was sad. She was not happy., adj, rel
She was not happy. She was not extremely sad., adj, rel
She was not happy. She was not ridiculously sad., adj, rel
She was not happy. She was not sad., adj, rel
She was not extremely happy. She was slightly happy., adj, rel
She was slightly happy. She was not extremely happy., adj, rel
She was not extremely happy. She was sort of happy., adj, rel
She was sort of happy. She was not extremely happy., adj, rel
She was not ridiculously happy. She was slightly happy., adj, rel
She was slightly happy. She was not ridiculously happy., adj, rel
She was not ridiculously happy. She was sort of happy., adj, rel
She was sort of happy. She was not ridiculously happy., adj, rel
She was not extremely sad. She was slightly happy., adj, rel
She was slightly happy. She was not extremely sad., adj, rel
She was not extremely sad. She was sort of happy., adj, rel
She was sort of happy. She was not extremely sad., adj, rel
She was not extremely sad. She was extremely happy., adj, rel
She was extremely happy. She was not extremely sad., adj, rel
She was not extremely sad. She was ridiculously happy., adj, rel
She was ridiculously happy. She was not extremely sad., adj, rel
She was not extremely sad. She was happy., adj, rel
She was happy. She was not extremely sad., adj, rel
She was not extremely sad. She was not extremely happy., adj, rel
She was not extremely sad. She was not ridiculously happy., adj, rel
She was not extremely sad. She was not happy., adj, rel
She was not ridiculously sad. She was slightly happy., adj, rel
She was slightly happy. She was not ridiculously sad., adj, rel
She was not ridiculously sad. She was sort of happy., adj, rel
She was sort of happy. She was not ridiculously sad., adj, rel
She was not ridiculously sad. She was extremely happy., adj, rel
She was extremely happy. She was not ridiculously sad., adj, rel
She was not ridiculously sad. She was ridiculously happy., adj, rel
She was ridiculously happy. She was not ridiculously sad., adj, rel
She was not ridiculously sad. She was happy., adj, rel
She was happy. She was not ridiculously sad., adj, rel
She was not ridiculously sad. She was not extremely happy., adj, rel
She was not ridiculously sad. She was not ridiculously happy., adj, rel
She was not ridiculously sad. She was not happy., adj, rel
She was not sad. She was slightly happy., adj, rel
She was slightly happy. She was not sad., adj, rel
She was not sad. She was sort of happy., adj, rel
She was sort of happy. She was not sad., adj, rel
She was not sad. She was extremely happy., adj, rel
She was extremely happy. She was not sad., adj, rel
She was not sad. She was ridiculously happy., adj, rel
She was ridiculously happy. She was not sad., adj, rel
She was not sad. She was happy., adj, rel
She was happy. She was not sad., adj, rel
She was not sad. She was not extremely happy., adj, rel
She was not sad. She was not ridiculously happy., adj, rel
She was not sad. She was not happy., adj, rel
She was not extremely sad. She was slightly sad., adj, rel
She was slightly sad. She was not extremely sad., adj, rel
She was not extremely sad. She was sort of sad., adj, rel
She was sort of sad. She was not extremely sad., adj, rel
She was not ridiculously sad. She was slightly sad., adj, rel
She was slightly sad. She was not ridiculously sad., adj, rel
She was not ridiculously sad. She was sort of sad., adj, rel
She was sort of sad. She was not ridiculously sad., adj, rel
She wasn't extremely happy. She was slightly sad., adj, rel
She was slightly sad. She wasn't extremely happy., adj, rel
She wasn't extremely happy. She was sort of sad., adj, rel
She was sort of sad. She wasn't extremely happy., adj, rel
She wasn't extremely happy. She was extremely sad., adj, rel
She was extremely sad. She wasn't extremely happy., adj, rel
She wasn't extremely happy. She was ridiculously sad., adj, rel
She was ridiculously sad. She wasn't extremely happy., adj, rel
She wasn't extremely happy. She was sad., adj, rel
She was sad. She wasn't extremely happy., adj, rel
She wasn't extremely happy. She wasn't extremely sad., adj, rel
She wasn't extremely happy. She wasn't ridiculously sad., adj, rel
She wasn't extremely happy. She wasn't sad., adj, rel
She wasn't ridiculously happy. She was slightly sad., adj, rel
She was slightly sad. She wasn't ridiculously happy., adj, rel
She wasn't ridiculously happy. She was sort of sad., adj, rel
She was sort of sad. She wasn't ridiculously happy., adj, rel
She wasn't ridiculously happy. She was extremely sad., adj, rel
She was extremely sad. She wasn't ridiculously happy., adj, rel
She wasn't ridiculously happy. She was ridiculously sad., adj, rel
She was ridiculously sad. She wasn't ridiculously happy., adj, rel
She wasn't ridiculously happy. She was sad., adj, rel
She was sad. She wasn't ridiculously happy., adj, rel
She wasn't ridiculously happy. She wasn't extremely sad., adj, rel
She wasn't ridiculously happy. She wasn't ridiculously sad., adj, rel
She wasn't ridiculously happy. She wasn't sad., adj, rel
She wasn't happy. She was slightly sad., adj, rel
She was slightly sad. She wasn't happy., adj, rel
She wasn't happy. She was sort of sad., adj, rel
She was sort of sad. She wasn't happy., adj, rel
She wasn't happy. She was extremely sad., adj, rel
She was extremely sad. She wasn't happy., adj, rel
She wasn't happy. She was ridiculously sad., adj, rel
She was ridiculously sad. She wasn't happy., adj, rel
She wasn't happy. She was sad., adj, rel
She was sad. She wasn't happy., adj, rel
She wasn't happy. She wasn't extremely sad., adj, rel
She wasn't happy. She wasn't ridiculously sad., adj, rel
She wasn't happy. She wasn't sad., adj, rel
She wasn't extremely happy. She was slightly happy., adj, rel
She was slightly happy. She wasn't extremely happy., adj, rel
She wasn't extremely happy. She was sort of happy., adj, rel
She was sort of happy. She wasn't extremely happy., adj, rel
She wasn't ridiculously happy. She was slightly happy., adj, rel
She was slightly happy. She wasn't ridiculously happy., adj, rel
She wasn't ridiculously happy. She was sort of happy., adj, rel
She was sort of happy. She wasn't ridiculously happy., adj, rel
She wasn't extremely sad. She was slightly happy., adj, rel
She was slightly happy. She wasn't extremely sad., adj, rel
She wasn't extremely sad. She was sort of happy., adj, rel
She was sort of happy. She wasn't extremely sad., adj, rel
She wasn't extremely sad. She was extremely happy., adj, rel
She was extremely happy. She wasn't extremely sad., adj, rel
She wasn't extremely sad. She was ridiculously happy., adj, rel
She was ridiculously happy. She wasn't extremely sad., adj, rel
She wasn't extremely sad. She was happy., adj, rel
She was happy. She wasn't extremely sad., adj, rel
She wasn't extremely sad. She wasn't extremely happy., adj, rel
She wasn't extremely sad. She wasn't ridiculously happy., adj, rel
She wasn't extremely sad. She wasn't happy., adj, rel
She wasn't ridiculously sad. She was slightly happy., adj, rel
She was slightly happy. She wasn't ridiculously sad., adj, rel
She wasn't ridiculously sad. She was sort of happy., adj, rel
She was sort of happy. She wasn't ridiculously sad., adj, rel
She wasn't ridiculously sad. She was extremely happy., adj, rel
She was extremely happy. She wasn't ridiculously sad., adj, rel
She wasn't ridiculously sad. She was ridiculously happy., adj, rel
She was ridiculously happy. She wasn't ridiculously sad., adj, rel
She wasn't ridiculously sad. She was happy., adj, rel
She was happy. She wasn't ridiculously sad., adj, rel
She wasn't ridiculously sad. She wasn't extremely happy., adj, rel
She wasn't ridiculously sad. She wasn't ridiculously happy., adj, rel
She wasn't ridiculously sad. She wasn't happy., adj, rel
She wasn't sad. She was slightly happy., adj, rel
She was slightly happy. She wasn't sad., adj, rel
She wasn't sad. She was sort of happy., adj, rel
She was sort of happy. She wasn't sad., adj, rel
She wasn't sad. She was extremely happy., adj, rel
She was extremely happy. She wasn't sad., adj, rel
She wasn't sad. She was ridiculously happy., adj, rel
She was ridiculously happy. She wasn't sad., adj, rel
She wasn't sad. She was happy., adj, rel
She was happy. She wasn't sad., adj, rel
She wasn't sad. She wasn't extremely happy., adj, rel
She wasn't sad. She wasn't ridiculously happy., adj, rel
She wasn't sad. She wasn't happy., adj, rel
She wasn't extremely sad. She was slightly sad., adj, rel
She was slightly sad. She wasn't extremely sad., adj, rel
She wasn't extremely sad. She was sort of sad., adj, rel
She was sort of sad. She wasn't extremely sad., adj, rel
She wasn't ridiculously sad. She was slightly sad., adj, rel
She was slightly sad. She wasn't ridiculously sad., adj, rel
She wasn't ridiculously sad. She was sort of sad., adj, rel
She was sort of sad. She wasn't ridiculously sad., adj, rel
She was not extremely short. She was slightly tall., adj, rel
She was slightly tall. She was not extremely short., adj, rel
She was not extremely short. She was sort of tall., adj, rel
She was sort of tall. She was not extremely short., adj, rel
She was not extremely short. She was extremely tall., adj, rel
She was extremely tall. She was not extremely short., adj, rel
She was not extremely short. She was ridiculously tall., adj, rel
She was ridiculously tall. She was not extremely short., adj, rel
She was not extremely short. She was tall., adj, rel
She was tall. She was not extremely short., adj, rel
She was not extremely short. She was not extremely tall., adj, rel
She was not extremely short. She was not ridiculously tall., adj, rel
She was not extremely short. She was not tall., adj, rel
She was not ridiculously short. She was slightly tall., adj, rel
She was slightly tall. She was not ridiculously short., adj, rel
She was not ridiculously short. She was sort of tall., adj, rel
She was sort of tall. She was not ridiculously short., adj, rel
She was not ridiculously short. She was extremely tall., adj, rel
She was extremely tall. She was not ridiculously short., adj, rel
She was not ridiculously short. She was ridiculously tall., adj, rel
She was ridiculously tall. She was not ridiculously short., adj, rel
She was not ridiculously short. She was tall., adj, rel
She was tall. She was not ridiculously short., adj, rel
She was not ridiculously short. She was not extremely tall., adj, rel
She was not ridiculously short. She was not ridiculously tall., adj, rel
She was not ridiculously short. She was not tall., adj, rel
