|        | `key`         | `l1`   |   `f` |   `dP1` |   `LRC` |   `P1` |     `G2` | `l2`      |    `f1` |   `f2` |     `N` |   `exp_f` |   `unexp_f` |   `unexp_r` |   `odds_r_disc` |   `t` |   `MI` |
|:-------|:--------------|:-------|------:|--------:|--------:|-------:|---------:|:----------|--------:|-------:|--------:|----------:|------------:|------------:|----------------:|------:|-------:|
| **1**  | NEGmir~ever   | NEGMIR | 4,709 |    0.49 |    5.32 |   0.99 | 5,953.39 | ever      | 291,735 |  4,776 | 583,470 |  2,388.00 |    2,321.00 |        0.49 |            1.85 | 33.82 |   0.29 |
| **2**  | POS~pretty    | POSMIR | 5,123 |    0.48 |    4.73 |   0.98 | 6,124.97 | pretty    | 291,735 |  5,250 | 583,470 |  2,625.00 |    2,498.00 |        0.49 |            1.61 | 34.90 |   0.29 |
| **3**  | POS~rather    | POSMIR | 1,774 |    0.48 |    4.66 |   0.98 | 2,187.31 | rather    | 291,735 |  1,806 | 583,470 |    903.00 |      871.00 |        0.49 |            1.74 | 20.68 |   0.29 |
| **4**  | NEGmir~any    | NEGMIR | 1,066 |    0.49 |    4.48 |   0.98 | 1,328.27 | any       | 291,735 |  1,083 | 583,470 |    541.50 |      524.50 |        0.49 |            1.79 | 16.06 |   0.29 |
| **5**  | POS~plain     | POSMIR | 1,051 |    0.48 |    4.45 |   0.98 | 1,307.90 | plain     | 291,735 |  1,068 | 583,470 |    534.00 |      517.00 |        0.49 |            1.78 | 15.95 |   0.29 |
| **6**  | POS~fairly    | POSMIR | 1,185 |    0.48 |    4.33 |   0.98 | 1,442.69 | fairly    | 291,735 |  1,209 | 583,470 |    604.50 |      580.50 |        0.49 |            1.69 | 16.86 |   0.29 |
| **7**  | POS~somewhat  | POSMIR |   914 |    0.48 |    4.30 |   0.98 | 1,128.91 | somewhat  | 291,735 |    930 | 583,470 |    465.00 |      449.00 |        0.49 |            1.75 | 14.85 |   0.29 |
| **8**  | POS~otherwise | POSMIR | 1,418 |    0.47 |    4.06 |   0.97 | 1,646.39 | otherwise | 291,735 |  1,460 | 583,470 |    730.00 |      688.00 |        0.49 |            1.53 | 18.27 |   0.29 |
| **9**  | POS~maybe     | POSMIR |   546 |    0.48 |    3.97 |   0.98 |   677.84 | maybe     | 291,735 |    555 | 583,470 |    277.50 |      268.50 |        0.49 |            1.76 | 11.49 |   0.29 |
| **10** | NEGmir~longer | NEGMIR |   821 |    0.48 |    3.96 |   0.98 |   977.90 | longer    | 291,735 |    841 | 583,470 |    420.50 |      400.50 |        0.49 |            1.60 | 13.98 |   0.29 |
| **11** | POS~downright | POSMIR |   981 |    0.47 |    3.88 |   0.97 | 1,138.63 | downright | 291,735 |  1,010 | 583,470 |    505.00 |      476.00 |        0.49 |            1.52 | 15.20 |   0.29 |
