prev_form_lower,SUM,or,something,all,some,often,always,sometimes,both,many,everything,everyone,someone,everybody,either,somebody,every
fate,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eggs,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nanny,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
enormously,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
fight,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
names,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
brain,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fields,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
rates,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
unimaginably,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
alternately,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
baby,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
directly,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
minute,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
presumptively,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
father,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
goods,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
google,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quarter,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
call,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
religion,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
privately,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
stores,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
gifts,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
structurally,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
product,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
endlessly,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
nose,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
door,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
streets,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
street,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
mathematically,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
strategically,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
materials,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
nation,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ad,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
gentle,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enemies,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
strangely,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
readers,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
too-,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
pets,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
experiment,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ordinarily,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
behavior,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phrase,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
church,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
shares,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
beautiful,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
investment,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
links,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
clinically,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
imo,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
contents,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
battle,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cars,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
schools,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
population,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parties,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
smarter,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
smidgen,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
self-,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
conceivably,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
size,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
yes,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
litle,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lazy,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ordinary,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chemically,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
vt.,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
kind,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
concerns,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
island,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
houses,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
werent,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
conversely,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
appropriately,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
wayyy,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ironically,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
penis,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whatever,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
basic,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plot,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lights,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ar,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
choices,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
role,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bigger,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
artist,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
choice,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
correspondingly,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
x,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
outcome,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
china,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
original,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
landscape,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scene,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
islam,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
painfully,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
influence,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beds,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
payments,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
intelligence,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
player,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
later,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scale,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
colours,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pay,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commemorations,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chances,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hes,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
herself,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
personality,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sets,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
rightfully,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
image,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
platform,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
shoes,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
class,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
long,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
allies,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
commercially,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
lengthy,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
consequences,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
},3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
season,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
large,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
option,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
rightly,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
internet,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
york,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
into,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
know,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
complex,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
white,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
innovation,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
crimes,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
against,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
single,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
architecturally,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
windows,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
scars,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
colleagues,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
crops,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
paper,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
imagery,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
individuals,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
location,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pants,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
beauty,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
yourself,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
youth,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
sex,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
intangible,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sexism,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seventh,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
settlement,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
survivors,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
fish,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
somthing,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
realy,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
metaphysically,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
force,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
additions,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sharp,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forest,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sales,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
summer,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
former,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
forms,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
shift,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forum,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
forward,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
foundation,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
founders,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bells,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suggestions,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
fox,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
innovative,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
same,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surveillance,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
language,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
surgery,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
flights,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sexuality,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shall,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
installation,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
samples,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
flowers,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beings,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
focus,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
following,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
support,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
symptoms,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
foods,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
football,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amount,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
interaction,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fetish,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
interest,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
secrets,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
breathing,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
sections,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
moderately,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
models,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ten,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
security,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
'oh,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
see,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
actively,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seeds,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
justifiably,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
model,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scientists,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
randomly,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
science,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fair,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
televisions,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
section,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
jaynes,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
knife,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moment,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joy,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
moon,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
monumentally,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
journey,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joint,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
across,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
texts,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
sec,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
month,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
alas,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
texas,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
texans,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
secret,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
away,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
al-,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brief,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mix,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
fall,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
key,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mistake,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minimal,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ireland,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
minds,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iran,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
awesome,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
separation,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inventory,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
invariably,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
talent,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
rays,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tactically,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
reader,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
findings,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
fingers,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
systematically,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
fire,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
setting,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tash,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kinda-,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
task,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
teammates,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ranked,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mission,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ancient,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fantastic,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
activities,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
technique,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sensation,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sense,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
senses,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
acts,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
beers,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
fats,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minor,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
tattoo,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feature,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minimally,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
salad,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
incrementally,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
recipes,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
males,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
horses,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
horse,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
horrifyingly,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
rocks,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
growth,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hope,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
spirit,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mainly,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
resemble,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
magnitude,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
reservations,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
hook,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blocking,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
list,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ho,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speed,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
magically,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resources,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
specifically,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
spring,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grey,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
madness,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
base,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
adults,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
lifestyle,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
aliens,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
statements,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
governor,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grace,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
humanity,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
human,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
balance,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
liked,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
managers,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blood,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hours,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hour,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lil,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
hot,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stand,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hosts,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
stages,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
roads,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
halfway,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ads,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hate,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
logically,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
logistically,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
someones,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
lots,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
heads,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
soooooo,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
heroes,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sooo,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
rhetoric,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
heard,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
''m,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
rhetorically,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sonically,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
birthday,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heavy,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bankers,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heck,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
affairs,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
heis,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
haunting,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
returns,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
road,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
soul,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
responsibilities,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
speakers,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hitherto,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
restaurants,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
all-,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
biologically,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
software,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ball,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
soil,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lyrics,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
rink,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sources,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lobby,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hill,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'd,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
harm,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
highs,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rights,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luckily,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
