adj_form_lower,SUM,or,something,all,some,often,always,sometimes,both,many,everything,everyone,someone,everybody,either,somebody,every,somethings,somethin,everythings,everyones,alls,someones,everybodys,somebodies,somes,oftens,everbody,someon,someing,ors,oftenleft,manies,everythiing,eather
SUM,1675501,437042,358364,266945,119040,98030,86187,77974,51302,49714,42547,36615,34688,8629,4739,3088,327,165,27,17,16,13,11,5,3,2,2,2,1,1,1,1,1,1,1
different,38602,2094,26709,4032,508,1685,402,542,614,208,707,226,718,61,16,72,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
important,33825,4709,12180,7116,849,1975,2498,1676,1347,198,360,106,635,31,43,90,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
good,29290,6117,3446,5632,3445,1043,2390,1432,1969,668,1541,432,669,213,173,103,9,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
simple,24954,1480,17436,1720,872,717,254,1531,218,159,511,8,26,2,15,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wrong,18435,2074,13995,442,286,289,156,319,199,110,364,74,72,16,17,13,2,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
easy,16645,1451,1003,8996,753,916,595,1513,400,184,686,51,53,8,30,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
difficult,16063,3196,1426,2748,1064,3033,1321,2418,247,241,265,14,55,2,26,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
better,15066,6965,2996,910,867,499,559,998,236,152,438,113,229,34,35,28,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
special,14888,267,11770,1380,117,26,442,25,60,5,76,26,635,5,1,49,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
likely,14632,9146,458,1303,535,623,301,108,333,411,63,101,1064,22,44,97,1,20,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
right,14280,839,8257,765,133,80,198,276,180,36,3197,142,72,54,16,12,2,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
small,14135,7011,2972,539,1262,661,291,420,202,477,126,9,114,4,41,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
familiar,14054,991,1265,8798,593,172,49,74,175,910,116,294,529,45,19,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
available,13620,3366,438,2819,1968,963,668,403,600,1581,507,46,211,4,35,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
close,13344,5140,1575,1745,632,407,910,503,351,266,382,172,1060,71,32,96,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
interesting,12610,1480,4773,2866,950,516,942,378,241,108,175,35,115,10,9,9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
new,12530,1407,7084,1389,753,48,29,44,179,376,785,89,299,10,13,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
happy,12244,1675,112,4218,576,194,1230,177,885,543,40,1644,318,540,35,54,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
aware,11974,1564,111,4501,446,882,690,289,309,1649,6,1110,131,233,40,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
expensive,11473,3261,717,633,932,2776,945,581,360,317,835,9,15,2,85,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
worse,10937,7215,2322,211,264,264,88,252,29,91,72,17,86,4,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
excited,9470,584,81,3593,220,107,671,130,870,181,12,2180,97,703,25,12,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
interested,9415,3817,106,621,526,486,1508,162,308,604,12,437,638,85,43,59,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bad,9288,3290,2034,1173,911,278,205,579,217,133,216,65,106,17,45,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
enough,9191,2354,153,1523,163,1204,105,3128,60,92,112,21,237,4,16,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
busy,8769,2085,24,1442,192,969,1189,591,456,305,40,1059,94,232,78,8,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
serious,8640,1264,4826,464,782,273,223,304,94,113,99,76,68,27,14,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
more,8544,4469,919,376,415,752,619,535,64,213,67,36,49,10,10,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common,8184,582,876,5711,407,150,54,38,198,128,17,0,15,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nice,7877,403,893,1834,384,76,974,457,279,58,261,1781,130,315,12,15,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
young,7713,1295,37,698,2645,199,61,162,445,589,7,68,1325,33,81,66,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big,7707,2248,2691,345,865,246,228,390,143,108,171,24,153,17,39,31,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
similar,7654,1403,2558,1649,464,356,81,132,425,401,89,17,63,5,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hard,7317,1186,511,729,669,862,679,2137,149,131,139,31,40,8,38,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beautiful,7217,696,2547,1329,503,369,337,228,284,144,447,68,237,11,6,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
complex,7099,2329,2144,344,479,886,236,287,131,145,83,10,13,2,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
effective,6916,1723,376,951,648,1389,433,605,525,171,22,13,29,3,20,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
little,6829,5654,240,188,103,212,37,318,19,13,10,4,16,1,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
able,6789,2825,74,332,733,821,65,551,103,707,15,177,298,23,34,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
much,6642,2484,182,1635,165,421,286,1009,72,66,157,48,54,20,38,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
powerful,6628,1028,2297,1038,350,452,292,388,230,79,28,15,398,1,5,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
high,6538,2990,134,302,611,835,494,566,199,112,31,62,114,24,48,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unique,6418,470,4471,644,252,66,74,45,89,136,59,46,44,12,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true,6347,1255,646,2216,497,341,124,186,281,168,566,12,11,6,32,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
