bigram_lower,SUM,ADJ,NEG
SUM,3148010,3062925,85085
as_good,44885,44415,470
very_good,30349,30233,116
as_bad,27740,27464,276
so_sure,26584,26573,11
quite_sure,26156,26137,19
too_late,25854,25844,10
immediately_clear,25276,25273,3
always_easy,24574,24558,16
as_easy,23376,23326,50
so_much,21925,20732,1193
so_bad,21352,21193,159
immediately_available,21297,21289,8
too_bad,19520,19074,446
so_good,18002,17847,155
really_sure,17898,17895,3
even_close,17701,17377,324
so_easy,17596,17541,55
that_bad,16535,16499,36
more_important,15208,11595,3613
as_simple,14753,14698,55
even_sure,14520,14519,1
as_strong,13119,13052,67
entirely_sure,13046,13044,2
too_much,12638,12283,355
as_important,12280,12132,148
much_better,11225,11044,181
that_great,11075,11042,33
much_different,10891,10830,61
as_big,10764,10608,156
that_good,10655,10629,26
yet_clear,10553,10552,1
quite_ready,10259,10244,15
that_easy,10158,10127,31
too_hard,10108,9992,116
that_hard,9966,9955,11
so_great,9594,9495,99
exactly_sure,8860,8859,1
quite_right,8829,8813,16
as_effective,8693,8639,54
all_bad,8637,8624,13
so_lucky,8613,8600,13
too_sure,8093,8058,35
yet_ready,7611,7609,2
more_excited,7578,7571,7
entirely_clear,7524,7520,4
yet_available,7481,7473,8
too_difficult,7446,7311,135
always_possible,7440,7438,2
too_happy,7356,6272,1084
too_early,7193,7187,6
as_high,7091,7032,59
even_aware,7060,7059,1
more_different,6797,6795,2
readily_available,6622,6603,19
so_simple,6613,6540,73
much_more,6579,6301,278
that_different,6574,6566,8
too_big,6441,6216,225
that_big,6269,6263,6
too_many,6173,6066,107
that_simple,6163,6161,2
as_much,5898,5708,190
so_different,5785,5760,25
nearly_enough,5772,5744,28
as_great,5728,5672,56
that_difficult,5577,5570,7
that_important,5532,5523,9
mutually_exclusive,5509,5488,21
too_shabby,5399,5251,148
too_worried,5323,5287,36
too_distant,5251,5248,3
as_popular,5237,5210,27
any_better,4754,4733,21
that_much,4743,4739,4
as_difficult,4635,4609,26
as_successful,4625,4605,20
so_hard,4597,4587,10
very_happy,4441,4434,7
too_hot,4364,4336,28
too_concerned,4346,4294,52
more_proud,4312,4301,11
really_interested,4160,4158,2
too_surprising,4030,3885,145
always_clear,4012,4010,2
more_pleased,3828,3825,3
too_old,3798,3778,20
directly_related,3752,3742,10
too_keen,3709,3617,92
as_common,3699,3694,5
entirely_true,3667,3655,12
as_large,3636,3557,79
too_good,3623,3495,128
too_long,3610,3596,14
as_clear,3456,3445,11
so_obvious,3423,3395,28
currently_available,3415,3368,47
so_important,3408,3334,74
only_good,3332,3332,0
too_high,3300,3275,25
too_sweet,3262,3231,31
so_clear,3255,3244,11
as_many,3246,3162,84
very_different,3241,3222,19
