prev_form_lower,SUM,not,never,nothing,none,nor,without,no,few,neither,nobody,hardly,rarely,ain't,barely,seldom,scarcely,aint
chain,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
camp,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
present,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
presence,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
union,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
post,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
lord,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
prescriptions,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
store,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
casino,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cash,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ears,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
appearance,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
universities,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cartoons,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unnaturally,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
premise,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cancer,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
candidate,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
practices,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
powers,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
candles,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
logic,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
capital,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
ago,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
access,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
low,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
30,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
vaguely,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
signs,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
portion,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
academically,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lights,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lighting,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
unemployment,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
should,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
undoubtedly,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anderson,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
europeans,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fold,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
former,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forms,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
funding,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
amazingly,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
funds,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sin,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
signficantly,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
self-evidently,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
experiences,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
figure,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
expertise,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eu,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sensibility,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
fines,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sculptures,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fingers,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ethics,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
exercise,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sentence,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
silence,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fund,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
evidence,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
evidently,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evil,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
everybody,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fever,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
screening,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
senators,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amenities,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
form,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sharon,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
someplace,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
german,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
side,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
format,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shareholders,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
exchange,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
geographically,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
son,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
script,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
shapes,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
everywhere,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
since,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
showers,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
generators,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slices,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seattle,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
factors,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
factory,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shockingly,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skills,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skirt,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
garden,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shoppers,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
slides,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
secretly,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frame,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sections,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sector,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
females,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fantasies,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
fantasy,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fear,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frank,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
fda,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
skulls,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
security,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gallery,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
flashes,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seed,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
fat,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
short,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
serious,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amy,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seats,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
facility,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fractionally,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
firecrest,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shall,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
extent,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
generations,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flu,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
generation,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flows,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fate,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
sentiment,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snap,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
five,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
extraction,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flag,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seth,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/11,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
general,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anabelle,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eye,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gates,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
floors,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smokers,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eyesight,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feedback,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flooring,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
faces,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
foxes,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gate,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fleet,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
architecturally,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alumina,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pills,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
million,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pic,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
might,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pie,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mice,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miami,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pig,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
methodology,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pimples,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
physics,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
messages,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
message,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
mercy,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pits,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
medium,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
medicine,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
medically,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plastics,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
physiologically,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mini,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lifestyle,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
persons,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mosquitoes,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perceptibly,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
moringa,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moons,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
months,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
moms,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moments,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
personalities,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
perspective,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
physicians,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moderately,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mm,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pet,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misconduct,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
miranda,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minutes,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
photograph,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phrase,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meal,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
playboy,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mathematicians,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
powders,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lucas,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
losses,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
poster,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agencies,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
logo,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
logistically,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pouch,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
location,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lobster,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
math,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lobby,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loan,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
living,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
literature,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
prank,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lists,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
link,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
preparation,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
m,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
portraits,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
portions,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
portfolio,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plush,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mars,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
markets,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
poetry,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
poison,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
poker,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
polls,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mandate,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
managers,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pool,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
poor,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
mainly,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
popcorn,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
magnitude,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
magazines,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
porch,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pores,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
accounts,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
motivation,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
motors,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
note,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
o'brien,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acting,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ad,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novels,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
outbreak,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
adage,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
outcomes,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
outfit,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
addicts,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oysters,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
addition,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nose,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
noodles,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
addresses,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
noble,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
overlords,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nicotine,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nhs,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
organization,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
organisations,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
optimization,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
occasionally,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
onboard,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
onesies,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
onscreen,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ok,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
openly,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
officers,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
office,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offerings,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
operations,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
offer,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
offense,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actual,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
odds,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
opinions,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opposite,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ocean,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
occupations,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
next,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
news,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
mountain,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
accurately,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
passages,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
past,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
n't-,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
patently,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
myanmar,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
adversaries,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
mutations,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
musically,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
page,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
muscles,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peace,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pearls,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mug,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
penalties,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
penguins,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
movements,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pennsylvania,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accusations,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
participants,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
partially,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nat,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
networks,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
network,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pain,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paint,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
painting,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pairs,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palette,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
negotiations,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
necklaces,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
necessarely,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
necesarily,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neccessarily,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neccesarily,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pants,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ace,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
natures,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
natively,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
presentation,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
presidents,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
glaringly,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hill,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
horizon,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
revolution,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
homepage,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rice,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rich,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
rifles,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alliance,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hills,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rings,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
horses,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
risks,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hereditarily,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
robot,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hella,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
height,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heaven,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heaters,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
headrest,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
revocation,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
review,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
presumably,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
allah,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
renewables,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
immeasurably,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
illustrations,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
replacement,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
identity,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
