hit_id,category,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent
apw_eng_20020119_0275_21:10,neg-ext-subj,excessively_optimistic,excessively,optimistic,The new car may help but neither is McLaren excessively optimistic .,apw_eng_20020119_0275_21,10,apw_eng_200201,"All in all , McLaren knows that stopping Schumacher grabbing a record-tying fifth drivers ' title will be no mean task .",-RDQ-  The Formula One now has extremely constraining regulations .
apw_eng_20060530_0088_2:10,neg-ext-subj,fully_functional,fully,functional,"Neither of the boy 's two left arms is fully functional and tests have so far been unable to determine which was more developed , said Dr. Chen Bochang , head of the orthopedics department at Shanghai Children 's Medical Center .",apw_eng_20060530_0088_2,10,apw_eng_200605,Doctors in Shanghai on Tuesday were considering surgery options for a two-month old boy born with an unusually well-formed third arm .,-LBQ-  His case is quite peculiar .
apw_eng_20060510_1213_12:8,neg-ext-subj,very_big,very,big,"-LBQ-  Neither of the responses have been very big ,  -RDQ-  said Eric Darwell , currency strategist at Citigroup in New York , referring to market reaction to the Fed statement and the Treasury report .",apw_eng_20060510_1213_12,8,apw_eng_200605,Sterling was trading at $ 1.8666 from $ 1.8652 .,"-LBQ-  We saw a bit of a dollar rally immediately after the Fed but then a loss , and the same is happening now -LRB- after the Treasury report -RRB- ,  -RDQ-  he added ."
apw_eng_20080215_0538_12:3,neg-ext-subj,especially_fond,especially,fond,Neither is especially fond of the other .,apw_eng_20080215_0538_12,3,apw_eng_200802,"Romney criticized McCain in television ads in New Hampshire , and both candidates targeted each other almost daily during campaign events and debates .","Over the past year , Romney cast McCain as outside of the Republican conservative mainstream and a Washington insider who contributed to the problems plaguing a broken system ."
apw_eng_20080519_0887_8:3,neg-ext-subj,immediately_available,immediately,available,Neither was immediately available for comment Monday .,apw_eng_20080519_0887_8,3,apw_eng_200805,Roque heads the Assembly for Civil Society while Pollan is a member of the Ladies in White group of political prisoners ' wives .,Cuba has accused officials at the American mission of providing U.S. government funds and material support to the island 's tiny opposition for years .
apw_eng_20100521_0238_4:11,neg-ext-subj,immediately_available,immediately,available,Neither of the rival factions nor the state government were immediately available to comment on the report .,apw_eng_20100521_0238_4,11,apw_eng_201005,Flores said Timoteo Alejandro Ramirez and his wife Cleriberta Castro died in the attack .,"Police rarely enter the remote , rural township because of violent disputes which date back years ."
apw_eng_20040625_0352_22:3,neg-ext-subj,immediately_available,immediately,available,Neither was immediately available for comment .,apw_eng_20040625_0352_22,3,apw_eng_200406,"Neither was Tracy Braun , the federal prosecutor .",Jurors left the courtroom without commenting .
apw_eng_20020811_0022_9:15,neg-ext-subj,too_impressive,too,impressive,"Brett Favre and Donovan McNabb each played just three series , but neither was too impressive .",apw_eng_20020811_0022_9,15,apw_eng_200208,"Philadelphia fourth-string quarterback Tim Hasselbeck was 5-of-6 for 66 yards and one touchdown , Rod Smart _ who wore  -LBQ-  He Hate Me  -RDQ-  on the back of his jersey in the defunct XFL _ caught a 31-yard TD pass and Pro Bowl kicker David Akers picked up where he left off , converting both of his field-goal attempts .","Favre , a three-time NFL MVP , led the Packers on one touchdown drive , finishing 6-of-10 for 52 yards and one interception ."
apw_eng_19990707_0757_23:26,neg-ext-subj,very_likely,very,likely,"Conversely , vaccination could make the immune system attack normal amyloid outside the plaques , causing dangerous inflammations , although neither of these problems is very likely , he said .",apw_eng_19990707_0757_23,26,apw_eng_199907,"Also , it could be hard to teach the human immune system to recognize the protein as foreign , since it occurs naturally in the body , said neurobiologist Peter St. George-Hyslop at the University of Toronto .","If the vaccine does work , scientists will face another challenge  -COL-  determining who needs it ."
apw_eng_20030410_0288_6:4,neg-ext-subj,as_high,as,high,Neither would be as high as the $ 726 billion President George W. Bush wanted for a package he says would spur the economy .,apw_eng_20030410_0288_6,4,apw_eng_200304,"Under the unusual compromise , the Senate could write a tax bill costing $ 350 billion through 2013 , while House Budget Committee Chairman Jim Nussle , said the House measure could be $ 626 billion .","A dispute arose , however , over the ramifications of the budget deal ."
