hit_id,category,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent,label,status
nyt_eng_20020606_0337_37:9,neg-ext-subj,particularly_damning,particularly,damning,"On the surface , none of this is particularly damning , but it was Shaw who promised months ago that Lewis would not fight if there was not at least one US judge at ringside .",nyt_eng_20020606_0337_37,9,nyt_eng_200206,Hazzard will make that ruling .,"Now there are none , although in his defense he did reject a proposal to have Ken Morita as the third judge because Morita 's card was so far out of whack in Tyson 's loss to Buster Douglas more than a decade ago that it could n't be defended by the Fifth Infantry .",nyt_eng_20020606_0337_37:9_discard,discard
nyt_eng_20021221_0190_151:19,neg-ext-subj,immediately_available,immediately,available,"The eghare aja had sent emissaries across the creek , but the oil company replied that none was immediately available .",nyt_eng_20021221_0190_151,19,nyt_eng_200212,"Even so , the generator had run out of engine oil in October .","In this community of ethnic Itsekiris , the eghare aja is the embodiment of customs and traditions .",nyt_eng_20021221_0190_151:19_discard,discard
nyt_eng_20021221_0128_151:19,neg-ext-subj,immediately_available,immediately,available,"The eghare aja had sent emissaries across the creek , but the oil company replied that none was immediately available .",nyt_eng_20021221_0128_151,19,nyt_eng_200212,"Even so , the generator had run out of engine oil this month .","In this community of ethnic Itsekiris , the eghare aja is the embodiment of customs and traditions .",nyt_eng_20021221_0128_151:19_discard,discard
nyt_eng_20021221_0075_151:19,neg-ext-subj,immediately_available,immediately,available,"The eghare aja had sent emissaries across the creek , but the oil company replied that none was immediately available .",nyt_eng_20021221_0075_151,19,nyt_eng_200212,"Even so , the generator had run out of engine oil this month .","In this community of ethnic Itsekiris , the eghare aja is the embodiment of customs and traditions .",nyt_eng_20021221_0075_151:19_discard,discard
nyt_eng_20021220_0088_31:7,neg-ext-subj,remotely_accurate,remotely,accurate,None of these views is even remotely accurate .,nyt_eng_20021220_0088_31,7,nyt_eng_200212,Others talk as if only the apostolic time was true to the pure gospel .,The Middle Ages saw the vicious crusades and the rise of the Inquisition .,nyt_eng_20021220_0088_31:7_discard,discard
nyt_eng_20021213_0261_123:18,neg-ext-subj,as_important,as,important,"None of them , in the opinion of former Cincinnati Reds teammate , Johnny Bench , was as important as the challenge Rose is facing now .",nyt_eng_20021213_0261_123,18,nyt_eng_200212,"BBO-ROSE -- DAYTON , Ohio -- In a major league career that lasted 24 years , Pete Rose had 14,053 at bats , some of them in pressure-packed situations .","-LBQ-  This is the biggest at bat of his life ,  -RDQ-  Bench said Friday .",nyt_eng_20021213_0261_123:18_discard,discard
nyt_eng_20021213_0260_21:18,neg-ext-subj,as_important,as,important,"None of them , in the opinion of former Cincinnati Reds teammate , Johnny Bench , was as important as the challenge Rose is facing now .",nyt_eng_20021213_0260_21,18,nyt_eng_200212,"BBO-ROSE -- DAYTON , Ohio -- In a major league career that lasted 24 years , Pete Rose had 14,053 at bats , some of them in pressure-packed situations .","-LBQ-  This is the biggest at bat of his life ,  -RDQ-  Bench said Friday .",nyt_eng_20021213_0260_21:18_discard,discard
nyt_eng_20021210_0147_31:7,neg-ext-subj,remotely_accurate,remotely,accurate,None of these views is even remotely accurate .,nyt_eng_20021210_0147_31,7,nyt_eng_200212,Others talk as if only the apostolic time was true to the pure gospel .,The Middle Ages saw the vicious crusades and the rise of the Inquisition .,nyt_eng_20021210_0147_31:7_discard,discard
nyt_eng_20021210_0133_31:7,neg-ext-subj,remotely_accurate,remotely,accurate,None of these views is even remotely accurate .,nyt_eng_20021210_0133_31,7,nyt_eng_200212,Others talk as if only the apostolic time was true to the pure gospel .,The Middle Ages saw the vicious crusades and the rise of the Inquisition .,nyt_eng_20021210_0133_31:7_discard,discard
nyt_eng_20021210_0124_31:7,neg-ext-subj,remotely_accurate,remotely,accurate,None of these views is even remotely accurate .,nyt_eng_20021210_0124_31,7,nyt_eng_200212,Others talk as if only the apostolic time was true to the pure gospel .,The Middle Ages saw the vicious crusades and the rise of the Inquisition .,nyt_eng_20021210_0124_31:7_discard,discard
nyt_eng_20021210_0114_31:7,neg-ext-subj,remotely_accurate,remotely,accurate,None of these views is even remotely accurate .,nyt_eng_20021210_0114_31,7,nyt_eng_200212,Others talk as if only the apostolic time was true to the pure gospel .,The Middle Ages saw the vicious crusades and the rise of the Inquisition .,nyt_eng_20021210_0114_31:7_discard,discard
nyt_eng_20021208_0070_1:19,neg-ext-subj,as_surprising,as,surprising,"Among the pleasant surprises for Web retailers early in this holiday shopping season , perhaps none have been as surprising as the showing among online jewelers .",nyt_eng_20021208_0070_1,19,nyt_eng_200212,,"According to ComScore Networks , which measure Web traffic , sales for online jewelry sites in November exceeded $ 80 million , nearly 70 percent above the level for November 2001 .",nyt_eng_20021208_0070_1:19_discard,discard
nyt_eng_20061029_0144_12:18,neg-ext-subj,as_frightening,as,frightening,"Of all the hazards faced by Germany 's plucky chimney sweeps , however , none may be as frightening to them as the prospect of new foreign rivals -- leaping across the border from rooftops in Poland or Portugal .",nyt_eng_20061029_0144_12,18,nyt_eng_200610,"Riot police carrying shields were backed by water cannons , police helicopters and heavily armed soldiers as they marched from all directions toward Oaxaca 's main square , or Zocalo , which used to be a tourist draw but in recent months has been a giant encampment for an array of groups intent on toppling Gov. Ulysses Ruiz .",That prospect seems more likely after a recent legal challenge by the European Commission against German laws that have shielded chimney sweeps from competition since the Middle Ages .,nyt_eng_20061029_0144_12:18_discard,discard
nyt_eng_20010728_0212_12:6,neg-ext-subj,as_demoralizing,as,demoralizing,But none might have been as demoralizing as the Perez deal .,nyt_eng_20010728_0212_12,6,nyt_eng_200107,"In a little less than two years with the Rockies , Trader Dan has made 26 trades .",O'Dowd believes Juan Uribe is ready to play shortstop and is a superior talent .,nyt_eng_20010728_0212_12:6_discard,discard
