hit_id,category,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent
nyt_eng_20050106_0331_62:23,neg-ext-subj,any_good,any,good,"-LBQ-  I was reading yesterday about 50 reviews of the last shows , in Germany -- and not one of them was any good .",nyt_eng_20050106_0331_62,23,nyt_eng_200501,"-LBQ-  You know , it 's funny ,  -RDQ-  said Richard Kruspe-Bernstein , the band 's founder and lead guitarist , before the Berlin show .","Not one person , not one writer , not one journalist likes the show ? I mean , come on ."
nyt_eng_20030103_0260_17:16,neg-ext-subj,particularly_well-known,particularly,well-known,"Among the six or so Democrats who are likely to run , not one is particularly well-known to the public .",nyt_eng_20030103_0260_17,16,nyt_eng_200301,"Ridiculous or not , the competition for what would seem to be scraps off the table could hardly be greater these days _ and given the dynamics of this contest , are certainly consequential .","In the hands of an effective campaign or candidate , a burst of publicity , like the kind Edwards orchestrated across the airwaves on Thursday , makes it that much easier for a candidate to raise money and hire staff members ."
nyt_eng_20101006_0065_20:16,neg-ext-subj,completely_bulletproof,completely,bulletproof,"Each of the following approaches has its advantages and drawbacks , and not one is completely bulletproof for mixed Windows\/Mac networks .",nyt_eng_20101006_0065_20,16,nyt_eng_201010,"In my tests , I did not pursue two methods known for balky setup and intractable incompatibilities with printers  -COL-  use of a stand-alone print server -LRB- a device that sits between the printer 's USB port and the router 's Ethernet port to bridge the networking gap -RRB- and a Wi-Fi router with an integrated print server .","But with some tweaking , at least one should work for you ."
nyt_eng_20040317_0015_15:8,neg-ext-subj,so_crass,so,crass,Not one of the UC students was so crass as to approach him .,nyt_eng_20040317_0015_15,8,nyt_eng_200403,Gere was picking up scholarly pointers for his film role as an academic .,P.P.S.
nyt_eng_20091118_0068_3:41,neg-ext-subj,still_possible,still,possible,"-LBQ-  Our goal was to win the conference championship , get to a BCS game , win it , and see what happens then ,  -RDQ-  he said Sunday , not needing to say that not one of those is still possible .",nyt_eng_20091118_0068_3,41,nyt_eng_200911,Much to his chagrin .,"-LBQ-  But as your season goes along , your goals begin to dwindle and the next big one is to get a bowl bid .  -RDQ-"
nyt_eng_20091111_0176_43:17,neg-ext-subj,all_good,all,good,"He has voted on thousands of bills , Capuano said , and not one was  -LBQ-  all good or all bad .  -RDQ-",nyt_eng_20091111_0176_43,17,nyt_eng_200911,"If so , it is n't a great mentor .","Without compromise , there can be no progress in Washington ."
nyt_eng_20020603_0286_8:7,neg-ext-subj,as_awful,as,awful,"Not one in memory has been as awful as this , though .",nyt_eng_20020603_0286_8,7,nyt_eng_200206,"In the absence of governmental authority in this state of 3.5 million people , these disputes become deadly .","The killings of 26 men from Santiago Xochiltepec , population 650 , took place Friday night on a darkening dirt road outside Las Huertas , population 700 ."
nyt_eng_20051123_0080_44:8,neg-ext-subj,even_jewish,even,jewish,"Third , not one of us is even Jewish .  -RDQ-",nyt_eng_20051123_0080_44,8,nyt_eng_200511,"Second , none of us had a Bar Mitzvah .","Among the Sharis and Stacys and Aarons and Davids who grew up and contributed photos , there is a short essay by Jonathan Safran Foer , author of  -LBQ-  Everything Is Illuminated ,  -RDQ-  about the fleeting nature of adolescent social standing and trying to cop his first feel ."
nyt_eng_20001117_0026_9:14,neg-ext-subj,very_public,very,public,"Not one to openly discuss his private life , Grove has nonetheless been very public about his diagnosis and treatment of prostate cancer , a disease that for many men is about as private as it gets .",nyt_eng_20001117_0026_9,14,nyt_eng_200011,The best we can do is turn it into a chronic disease that does not interfere significantly with the quality or length of your life .  -RDQ-,"-LBQ-  Prostate cancer has been terribly underfunded -LRB- and -RRB- underresearched precisely because it is treated as a ` private ' disease ,  -RDQ-  Grove said ."
nyt_eng_20000626_0378_8:16,neg-ext-subj,as_bad,as,bad,"Actually , not one of the ` On The Road ' films I made was as bad as what the Astros have done on the road this year .",nyt_eng_20000626_0378_8,16,nyt_eng_200006,"Hope  -COL-   -LBQ-  No , there 's not .","Home is n't so hot , either ."
