hit_id,category,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent
nyt_eng_20051122_0037_13:5,neg-ext-subj,that_perfect,that,perfect,"No one can be that perfect in every way , like a Mary Poppins of the gridiron .",nyt_eng_20051122_0037_13,5,nyt_eng_200511,"No one can be that sincere , that genuine and modest ... can they ?","For many , Brown 's spoonful of sugar is far too syrupy for their taste ."
nyt_eng_20051122_0037_12:5,neg-ext-subj,that_sincere,that,sincere,"No one can be that sincere , that genuine and modest ... can they ?",nyt_eng_20051122_0037_12,5,nyt_eng_200511,They think he 's a fraud .,"No one can be that perfect in every way , like a Mary Poppins of the gridiron ."
nyt_eng_20051114_0068_31:8,neg-ext-subj,quite_sure,quite,sure,"-LBQ-  At first , no one was quite sure what it was ,  -RDQ-  said Barton .",nyt_eng_20051114_0068_31,8,nyt_eng_200511,Barton likes the composition notebook filled with photocopied pages of bogus mathematical formulas .,"-LBQ-  But , obviously , it concerned math , and I was able to figure out it was a prop from ` Proof ,  -RDQ-  ' the David Auburn play for which Parker won a Tony playing the daughter of a once-famous , mentally ill mathematician ."
nyt_eng_20051113_0171_24:4,neg-ext-subj,entirely_sure,entirely,sure,No one is entirely sure if Plymouth Rock is exactly where the Pilgrims landed .,nyt_eng_20051113_0171_24,4,nyt_eng_200511,-LBQ-  They 're worth what somebody 's willing to pay for them .  -RDQ-,"The Pilgrims never mentioned the rock in their writings , Baker said ."
nyt_eng_20051111_0040_15:42,neg-ext-subj,even_sure,even,sure,"Greenwald goes to Belmont , N.C. , where a local woman tried to alert Wal-Mart that open bags of pesticide were spilling out next to a storm-drain leading to the river ; no one at Bentonville , Ark. , HQ was even sure there was an environmental officer in the company .",nyt_eng_20051111_0040_15,42,nyt_eng_200511,"It interviews a former global services operations manager who wept at what he saw in the company 's South American factories and who was ignored , sidelined , and fired for reporting it .","It goes on and on and on , and there are only a few missteps as far as I can tell ."
nyt_eng_20051103_0264_32:28,neg-ext-subj,quite_ready,quite,ready,"-LBQ-  To not hold the summit would mean that the idea of a unified hemisphere is over ,  -RDQ-  he said ,  -LBQ-  and no one is quite ready to admit that .  -RDQ-",nyt_eng_20051103_0264_32,28,nyt_eng_200511,"-LBQ-  Because it was scheduled ,  -RDQ-  said Peter Hakim , president of the Inter-American Dialogue , a Washington think tank .","The head of the Organization of American States , the regional body that is putting on the summit , admitted that there are probably too many presidential meetings ."
nyt_eng_20010124_0220_58:6,neg-ext-subj,really_sure,really,sure,"But thereafter no one is really sure , for America has never known such a creature  -COL-  an ex-president who is only 54 , leaving office undefeated , at the top of his game .",nyt_eng_20010124_0220_58,6,nyt_eng_200101,"But a massive advance on his memoirs and speeches at $ 100,000 a pop should take care of foreseeable requirements ; words , after all , are what Clinton is best at _ better , arguably , than anyone else on the planet .","The one certainty is that America 's great national psychodrama will continue , fed by the suspected White House ambitions of Senator Hillary Rodham Clinton ."
nyt_eng_20010120_0245_8:14,neg-ext-subj,credibly_optimistic,credibly,optimistic,"Given the history of their now disintegrated relationship , no one could be credibly optimistic that the Israelis and Palestinians could succeed in going the distance .",nyt_eng_20010120_0245_8,14,nyt_eng_200101,"But after a couple of successful weeks of preparatory talks , the two sides said Saturday that they were casting off doom and gloom and embracing the possibility of a comprehensive agreement .",But the effort to do so represents a sudden and radical thawing of their hostile stalemate .
nyt_eng_20010120_0207_151:13,neg-ext-subj,really_sure,really,sure,The region was called the Phantom Coast because  -LBQ-  no one was really sure it was there .  -RDQ-,nyt_eng_20010120_0207_151,13,nyt_eng_200101,"Kearns stepped out into the bitter cold and surveyed the vista _ one that , by all odds , no human had seen before .",The plane had crashed  -LBQ-  on the shoulder of a low mountain range that formed the spine of a long peninsula .  -RDQ-
nyt_eng_20010112_0411_16:7,neg-ext-subj,that_honest,that,honest,"-LBQ-  No one has ever been that honest ,  -RDQ-  said Cirincione , when informed of Cohen 's remarks .",nyt_eng_20010112_0411_16,7,nyt_eng_200101,"Cohen was simply stating what US and Israeli scientists have long concluded , said Joseph Cirincione , the director of the Non-Proliferation Project at the Carnegie Endowment for International Peace .",-LBQ-  I have never heard a senior defense official state it so categorically . ...
nyt_eng_20010112_0295_72:4,neg-ext-subj,exactly_sure,exactly,sure,"No one is exactly sure what caused his loss , but doctors speculate it was too many years listening to rock 'n' roll and playing in a garage band .",nyt_eng_20010112_0295_72,4,nyt_eng_200101,A few years ago President Clinton got in-the-canal aids .,The latest aids to hit the market are disposable and cost only $ 30 to $ 40 apiece .
nyt_eng_20010111_0268_1:28,neg-ext-subj,so_foolhardy,so,foolhardy,"Beginning the defense summations in the Lockerbie trial , the lawyer for an accused Libyan bomber told the three-judge jury on Thursday that no one would be so foolhardy as to attempt the bombing plot outlined by the prosecution .",nyt_eng_20010111_0268_1,28,nyt_eng_200101,,"Malta 's airport was too secure , argued Bill Taylor , the lawyer for Abdel Basset Ali al-Megrahi ."
nyt_eng_20010109_0209_1:26,neg-ext-subj,very_busy,very,busy,"If copper is what keeps businessmen busy here , then golf is what keeps them happy , and until recently , no one here was very busy or very happy , and most definitely not at the Nchanga Golf Club .",nyt_eng_20010109_0209_1,26,nyt_eng_200101,,"Long the social center of this mining town , the club was where deals were sealed over porterhouse steaks and friendships were struck on fairways that count cobras among the hazards ."
nyt_eng_20010104_0372_20:28,neg-ext-subj,entirely_sure,entirely,sure,While Barber has said he will wear an even smaller protective wrapping _ maybe no more than a hard plastic pad and tape _ no one is entirely sure how it will affect Barber 's performance .,nyt_eng_20010104_0372_20,28,nyt_eng_200101,"Still , it is cumbersome .","-LBQ-  It wo n't have any effect ,  -RDQ-  Barber said ."
nyt_eng_20010104_0101_9:8,neg-ext-subj,really_sure,really,sure,"The truth is , no one is really sure why the economy has unraveled as fast as it has .",nyt_eng_20010104_0101_9,8,nyt_eng_200101,"-LBQ-  Economies do n't turn on a dime , but this one has ,  -RDQ-  he said .",The list of possible culprits is a long one .
