hit_id,category,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent
apw_eng_20060509_0098_15:6,neg-ext-subj,particularly_serious,particularly,serious,-LBQ-  Neither group has been particularly serious about integrating .  -RDQ-,apw_eng_20060509_0098_15,6,apw_eng_200605,"-LBQ-  The recent conflicts reveal how weak these trade blocs are ,  -RDQ-  said Peter Hakim , president of the Inter-American Dialogue in Washington .","He added that trade blocs  -LBQ-  are not going to contribute much to economic or trade growth until the countries are prepared to adopt and enforce a strict set of rules , and have a systematic way to resolve disputes .  -RDQ-"
apw_eng_20020813_0291_8:7,neg-ext-subj,immediately_available,immediately,available,Neither government nor rebel officials were immediately available for comment .,apw_eng_20020813_0291_8,7,apw_eng_200208,"If the rebels , who have been fighting Museveni 's government since 1987 , do n't want to go back to Sudan , they can  -LBQ-  come out of the bush ,  -RDQ-  and surrender , Museveni was quoted as saying by the newspaper .",The church leaders met with the rebels at the request of Museveni .
apw_eng_20020812_0261_9:9,neg-ext-subj,immediately_available,immediately,available,Neither government nor U.N. officials in Luanda were immediately available for comment on Bizimungu 's capture .,apw_eng_20020812_0261_9,9,apw_eng_200208,"As well as the Rwandans , about 500 other foreigners are Congo .",The UNITA army has handed over its weapons and is curently being demobilized .
apw_eng_20071208_0412_12:17,neg-ext-subj,immediately_available,immediately,available,"The claim could not be independently verified , and neither Ethiopian nor Somali officials were not immediately available to comment .",apw_eng_20071208_0412_12,17,apw_eng_200712,"In the latest fighting , we have killed 350 Ethiopian soldiers .  -RDQ-","Several truckloads of armed and masked fighters rolled into the area Saturday morning , followed by hundreds of residents anxious to visit their abandoned homes and take stock of their belongings ."
apw_eng_19990407_0589_8:5,neg-ext-subj,completely_honest,completely,honest,"-LBQ-  Neither side was completely honest , but does that mean that one side can be taught by bombing ?  -RDQ-",apw_eng_19990407_0589_8,5,apw_eng_199904,"-LBQ-  In the Kosovo conflict , we have never seen a side that was right and a side that was not right ,  -RDQ-  Ryabov said .",He also said that Russia has no intention to break embargo on military shipments to Yugoslavia .
apw_eng_19950820_0029_40:12,neg-ext-subj,especially_accurate,especially,accurate,"It was exciting while it lasted , although neither fighter was especially accurate with his punches , but it certainly ended on a disappointing note .",apw_eng_19950820_0029_40,12,apw_eng_199508,-LBQ-  I 'm sure you 'll find the fight very breathtaking .  -RDQ-,"The 29-year-old Tyson , 220 -LRB- 99.8 kilograms -RRB- , now has a 42-1 record with 36 knockouts ."
apw_eng_20000117_0027_18:4,neg-ext-subj,yet_available,yet,available,Neither microwave is yet available to U.S. consumers .,apw_eng_20000117_0027_18,4,apw_eng_200001,Customers could only download recipes from the Sharp Web site .,"Sharp began selling its product in Japan in October and hopes to introduce it in the U.S. in the next year or so , and Samsung officials say they hope to have their oven in stores next year ."
apw_eng_19990807_1069_20:4,neg-ext-subj,particularly_sharp,particularly,sharp,"Neither woman was particularly sharp on a windy day at the La Costa Resort and Spa , but that did n't stop Williams from reaching her fifth final of the year .",apw_eng_19990807_1069_20,4,apw_eng_199908,"-LBQ-  All the matches I 've played before with her , she did overpower me and that was mainly because I was unable to generate good power on my forehand .  -RDQ-",She 's won four titles .
apw_eng_20080925_1469_8:11,neg-ext-subj,directly_responsible,directly,responsible,"Army spokesman Paul Boyce said that while neither officer was directly responsible for the shipping error , they had not fully corrected problems in the supply system that had been identified in previous audits .",apw_eng_20080925_1469_8,11,apw_eng_200809,"The Army , meanwhile , said it disciplined two brigadier generals who worked at the Defense Logistics Agency and were in charge of the military 's 26 shipping centers .","All 17 officers received disciplinary letters , which varied in seriousness from reprimands , the most severe , to letters of admonishment , memorandums of concern and letters of counsel , which are less serious ."
apw_eng_20080918_0061_4:4,neg-ext-subj,especially_pleased,especially,pleased,Neither party was especially pleased with the action .,apw_eng_20080918_0061_4,4,apw_eng_200809,"-LBQ-  Republicans in the Congress feel like we could have had and should have had more information sooner ,  -RDQ-  Rep. Roy Blunt of Missouri , the party 's second in command in the House of Representatives , said Wednesday .","Many lawmakers , especially Democrats , were not happy about the Fed 's $ 85 billion loan to AIG in exchange for 80 percent of the insurer 's stock , but they saw no alternative given the specter of a financial meltdown ."
apw_eng_20021113_0736_1:23,neg-ext-subj,so_blameworthy,so,blameworthy,"The Justice Department blamed both dockworkers and shipping companies for lower productivity at West Coast ports , but said neither party was so blameworthy to deserve sanctions because of its conduct after a 10-day lockout .",apw_eng_20021113_0736_1,23,apw_eng_200211,,"The government 's decision Wednesday not to target the dockworkers ' union is a blow to the association of shipping companies , which asked prosecutors to intervene on allegations that longshoremen were deliberately slowing the pace of work as retaliation during a bitter contract dispute ."
apw_eng_20091102_0705_11:11,neg-ext-subj,completely_dependent,completely,dependent,That essentially means the measures should ensure neither company is completely dependent upon the other in case of failure .,apw_eng_20091102_0705_11,11,apw_eng_200911,Another condition requires Constellation to implement measures to create distance with BGE for purposes of bankruptcy protection .,The idea is to financially separate a regulated utility from a non-regulated parent company .
apw_eng_20020623_0681_26:10,neg-ext-subj,particularly_dangerous,particularly,dangerous,"Despite the speed , he insists neither sport is particularly dangerous .",apw_eng_20020623_0681_26,10,apw_eng_200206,"They marketed themselves as the most dangerous sport on ice ,  -RDQ-  Thorpe said .","Margol crashes about 10 times a year and gets nasty bruises , but has never broken a bone ."
apw_eng_20011026_0888_4:7,neg-ext-subj,immediately_available,immediately,available,Neither government nor military officials were immediately available for comment Friday .,apw_eng_20011026_0888_4,7,apw_eng_200110,"The government , which said the two soldiers were only injured in the ambush , confirmed the military has been conducting searches of the village and surrounding area since Wednesday , but denied that any civilians had been killed , the radio report said .",It was not clear which of the two rebel groups carried out the ambush .
apw_eng_20011026_0402_5:7,neg-ext-subj,immediately_available,immediately,available,"Neither government nor military officials were immediately available for comment Friday , and it was not clear which of the two rebel groups carried out the ambush .",apw_eng_20011026_0402_5,7,apw_eng_200110,"It also said the government denied two soldiers had been killed in Wednesday 's ambush , saying they were only injured .",Fighting in the central African country 's 8-year civil war has intensified recently as hundreds of Burundian rebels move into northwestern Burundi from bases to the west in neighboring Congo .
apw_eng_20070420_0032_32:7,neg-ext-subj,immediately_available,immediately,available,Neither government nor police officials were immediately available for comment .,apw_eng_20070420_0032_32,7,apw_eng_200704,It was not clear what caused the explosion .,Thursday 's fighting in Mogadishu broke a one-day lull that had followed two days of street battles described by some residents as the most intense in years .
apw_eng_20070405_0040_3:6,neg-ext-subj,entirely_sure,entirely,sure,-LBQ-  Neither side will be entirely sure exactly where the other one 's going to probe .,apw_eng_20070405_0040_3,6,apw_eng_200704,"-LBQ-  It 's going to be a fast game , it 's going to be an open game ,  -RDQ-  Deans said .",That will be interesting in itself ... one of the games of the year .  -RDQ-
apw_eng_20090919_0263_16:8,neg-ext-subj,particularly_inspired,particularly,inspired,In the second half neither side was particularly inspired .,apw_eng_20090919_0263_16,8,apw_eng_200909,Sebastien Giovinco played a free kick into Livorno 's area and the striker headed straight at De Lucia when the goal was at his mercy .,David Trezeguet went close with a volley in the 62nd and Buffon needed to come to Juventus ' rescue three minutes later .
apw_eng_19941231_0221_8:16,neg-ext-subj,really_committed,really,committed,"Both sides blame each other for truce violations , raising fears that neither party is really committed to the peace deal .",apw_eng_19941231_0221_8,16,apw_eng_199412,So far only a handful of observers are in place .,Angola 's war erupted on the eve of independence from Portugal in 1975 .
apw_eng_19941231_0073_7:17,neg-ext-subj,really_committed,really,committed,"Both sides continue to trade accusations of truce violations , raising fears that neither side is really committed to the peace deal .",apw_eng_19941231_0073_7,17,apw_eng_199412,So far only a handful of observers are in place .,Angola 's war erupted on the eve of independence from Portugal in 1975 .
apw_eng_19941227_0403_11:16,neg-ext-subj,very_talkative,very,talkative,"Tensions flared between France and Algeria during the hostage standoff , though neither country was very talkative about the spat .",apw_eng_19941227_0403_11,16,apw_eng_199412,"While Algeria still has air links with Italy and Spain , France is especially important since it is Algeria 's main source of goods and is the No. 2 source of export for Algeria 's beleaguered economy .","A French communique said the Paris government was pressing Algeria to allow the plane to fly to France , which it finally did early Monday before police raided it that night to end the 54-hour ordeal ."
apw_eng_20000622_0162_1:5,neg-ext-subj,genuinely_committed,genuinely,committed,"Saying neither side was genuinely committed to negotiations , a discouraged federal judge ruled Thursday the Oneida Indian land claim dispute will be settled in court .",apw_eng_20000622_0162_1,5,apw_eng_200006,,"U.S. District Court Judge Neal P. McCurn said failure to agree on a sales tax formula was the deal breaker , pushing the protracted fight from the negotiating table to the court room ."
apw_eng_20040728_0274_4:21,neg-ext-subj,immediately_available,immediately,available,"The Intergovermental Authority on Development did not say when talks would resume , and neither government nor rebel officials were immediately available for comment .",apw_eng_20040728_0274_4,21,apw_eng_200407,The regional organization did not elaborate .,"Representatives of the Sudanese government and the rebel Sudan People 's Liberation Army began talks on a permanent cease-fire agreement June 27 in Naivasha , 100 kilometers -LRB- 62 miles -RRB- west of the capital Nairobi ."
apw_eng_20040718_0055_17:8,neg-ext-subj,overly_troubled,overly,troubled,"After the break , neither goalkeeper was overly troubled as both sides stacked their defenses , and Costa Rica 's cluttered midfield struggled to give its forwards good openings .",apw_eng_20040718_0055_17,8,apw_eng_200407,"But Patino , whose crosses from the right wing frequently rattled Costa Rica 's defense , finally made one which was n't wasted , thanks to Aguilar , who also scored against Peru .","Despite the loss , Costa Rica coach Jorge Luis Pinto said the tournament had helped his team gel _ something he expects will give it a boost to his squad when World Cup qualifying resumes next month ."
