hit_id,category,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent
apw_eng_20100930_0043_2:3,neg-ext-subj,too_trivial,too,trivial,Nothing is too trivial to become a tourist trap as long as it appears in a hit TV show .,apw_eng_20100930_0043_2,3,apw_eng_201009,"What  -LBQ-  The Sopranos  -RDQ-  did for a pork store in northern New Jersey and  -LBQ-  Sex and the City  -RDQ-  did for a Manhattan cupcake shop , Atlantic City is hoping  -LBQ-  Boardwalk Empire  -RDQ-  does for the seaside gambling resort .","-LBQ-  Sopranos  -RDQ-  fans packed tour buses to visit spots like the pork store and a strip club , and girls-night-out devotees planned trips around watering holes and shoe stores featured in  -LBQ-  Sex and the City .  -RDQ-"
apw_eng_20060920_0339_8:4,neg-ext-subj,ever_dead,ever,dead,"-LBQ-  Nothing is ever dead in the area of trade and negotiations ,  -RDQ-  Howard told the Australian Broadcasting Corp. late Tuesday .",apw_eng_20060920_0339_8,4,apw_eng_200609,"Australian Prime Minister John Howard said the group 's plan would go ahead , adding  -LBQ-  we are used to rejection by the Europeans .  -RDQ-","-LBQ-  We have been used to being knocked back in the past , and I 'm sure that will continue to be the case , but eventually there will be a breakthrough .  -RDQ-"
apw_eng_20020331_0153_56:5,neg-ext-subj,that_bad,that,bad,"-LBQ-  Nothing can be that bad , ever ,  -RDQ-  Swaney admonished her .",apw_eng_20020331_0153_56,5,apw_eng_200203,"One day , she showed up at work with bandages covering cuts on her wrists , recalls her boss , Patty Swaney .","-LBQ-  It was a weak moment ,  -RDQ-  Anastasia said ."
apw_eng_20020323_0826_36:3,neg-ext-subj,as_painful,as,painful,"Nothing was as painful to watch as the Walrus , however .",apw_eng_20020323_0826_36,3,apw_eng_200203,"Mickelson had a 75 and was at 214 , seven strokes behind .","In his 26th consecutive Players Championship , Stadler surely has never experienced so many highs and lows packed in one stretch of holes _ birdie-birdie-ace to soar into contention , bogey-double bogey-triple bogey to tumble back down ."
apw_eng_20020322_1655_16:4,neg-ext-subj,really_clean,really,clean,-LBQ-  Nothing was really clean the whole day .  -RDQ-,apw_eng_20020322_1655_16,4,apw_eng_200203,"-LBQ-  The court just seemed really small today ,  -RDQ-  Roddick said with a rueful smile .","Eighth-seeded Serena Williams also won her opening match , but not without drawing jeers from the crowd ."
apw_eng_20011106_0266_5:16,neg-ext-subj,as_bad,as,bad,"-LBQ-  It is something , that if you survive it , nothing can ever be as bad .  -RDQ-",apw_eng_20011106_0266_5,16,apw_eng_200111,"-LBQ-  If you do n't tell people what happened , they ca n't know ,  -RDQ-  said Seiker , a native of Rotterdam , who worked on the railway for 3 1\/2 years after being captured by Japanese forces .","The collection , entitled  -LBQ-  Lest We Forget ,  -RDQ-  was painted over the last six years and depicts many of Seiker 's experiences , including seeing other prisoners being tortured ."
apw_eng_19980321_0851_19:9,neg-ext-subj,too_ugly,too,ugly,"In Arman 's collecting vernacular , nothing is too ugly or trivial to be discarded .",apw_eng_19980321_0851_19,9,apw_eng_199803,"The French automaker Renault gave him free rein at a factory where he selected mass quantities of electrical cord , fenders , hoods , air filters and sparks and transformed them into the colorful , abstract sculpture on show .","Over the years , bottle caps and Remington typewriters , Louis XV chairs and shiny shopping carts found their way onto canvass , and then into museums and private collections worldwide ."
apw_eng_20010509_0917_10:20,neg-ext-subj,so_easy,so,easy,"Kostunica , after meeting later in the day with Secretary of State Colin Powell , said  -LBQ-  nothing is so easy in the situation .  -RDQ-",apw_eng_20010509_0917_10,20,apw_eng_200105,Kostunica glossed over tension stemming from the Bush administration 's insistence that his government hand over Milosevic and other indicted suspects to the U.N. war crimes tribunal .,"But with new legislation pending , he pledged Yugoslavia 's best effort to cooperate with the war crimes tribunal ."
apw_eng_20010128_0545_10:5,neg-ext-subj,that_close,that,close,"-LBQ-  Nothing can be that close ,  -RDQ-  Bush said .",apw_eng_20010128_0545_10,5,apw_eng_200101,"When Nantz asked if the Super Bowl might be as tight as the recent presidential election , Bush laughed .",-LBQ-  I think it may depend upon a dangling field goal .  -RDQ-
apw_eng_20010121_0001_52:8,neg-ext-subj,so_fatal,so,fatal,Thought for Today  -COL-   -LBQ-  Nothing is so fatal to religion as,apw_eng_20010121_0001_52,8,apw_eng_200101,Rhythm-and-blues singer Nokio -LRB- Dru Hill -RRB- is 22 .,"indifference , which is , at least , half infidelity .  -RDQ-"
apw_eng_20020131_0385_7:10,neg-ext-subj,too_hard,too,hard,"-LBQ-  If you put God first , nothing is too hard ,  -RDQ-  Patten said earlier this week .",apw_eng_20020131_0385_7,10,apw_eng_200201,The one exception might be wide receiver David Patten .,"-LBQ-  This whole trip , I 'm going to praise God , because I know that it 's by Him that I 'm here .  -RDQ-"
apw_eng_20020118_1104_9:3,neg-ext-subj,ever_easy,ever,easy,Nothing is ever easy but it becomes just a little less of a mental challenge .  -RDQ-,apw_eng_20020118_1104_9,3,apw_eng_200201,"It fueled me so much last year , doing well here .","Following his impressive results here last year , Rahlves went on to win gold in the super-G at the world championships in St. Anton , beating the highly favored Austrians and snatching the title from double Olympic champion Hermann Maier ."
apw_eng_20020118_0873_15:4,neg-ext-subj,really_true,really,true,"-LBQ-  Nothing is really true about it , it is just fantasyland . ...",apw_eng_20020118_0873_15,4,apw_eng_200201,"-LBQ-  I believe the speculation will be endless and that people are trying to destabilize the team and the club ,  -RDQ-  Wenger added .",Patrick is the captain of the team and is committed to the club .
apw_eng_20020118_0521_5:4,neg-ext-subj,really_true,really,true,"-LBQ-  Nothing is really true about it , it is just fantasyland .",apw_eng_20020118_0521_5,4,apw_eng_200201,"-LBQ-  I believe the speculation will be endless and that people are trying to destabilize the team and the club ,  -RDQ-  Wenger said on Arsenal 's website .","When you are at a club like Arsenal , you have to cope with it and the team is strong enough to cope with it ."
apw_eng_20020108_0042_3:8,neg-ext-subj,ever_certain,ever,certain,"However , nothing in the NFL is ever certain .",apw_eng_20020108_0042_3,8,apw_eng_200201,"Kurt Warner and Marshall Faulk seem unstoppable , and the defense that allowed 471 points last year , gave up 198 less this season .","Two years ago , Tampa Bay almost beat the Rams in St. Louis , losing 11-6 in the National Football Conference title game ."
apw_eng_20000329_0103_74:18,neg-ext-subj,as_risky,as,risky,"The extra pounds only gave him more weight as an actor , but nothing he did was as risky as the Westerns Jimmy Stewart made with Anthony Mann or Lancaster 's work in  -RDQ-  Sweet Smell of Success .  -RDQ-",apw_eng_20000329_0103_74,18,apw_eng_200003,"Unlike Kirk Douglas or Burt Lancaster , he did n't start his own production company .",Biographers tell a sad story of his last few years .
apw_eng_20021129_0643_4:14,neg-ext-subj,that_normal,that,normal,"-LBQ-  Of course , nothing you end up doing around here is really that normal .  -RDQ-",apw_eng_20021129_0643_4,14,apw_eng_200211,"-LBQ-  It was a great way to relax and do something normal ,  -RDQ-  said Youngs , 25 , of Deerfield , N.H.","He was among some 150 troops who took time off from war Friday to run 42.1 carefully checked kilometers -LRB- 26.2 miles -RRB- near Bagram Air Base , the headquarters for U.S. military operations in Afghanistan ."
apw_eng_20021129_0475_8:5,neg-ext-subj,as_bad,as,bad,"-LBQ-  Nothing is ever as bad as you think ,  -RDQ-  he said .",apw_eng_20021129_0475_8,5,apw_eng_200211,Scaring said she fared better in jail than she thought she would .,-LBQ-  She developed a relationship with the inmates .
apw_eng_20070118_0382_6:5,neg-ext-subj,as_effective,as,effective,"-LBQ-  Nothing has been as effective as the damming warrants ,  -RDQ-  Goddard said .",apw_eng_20070118_0382_6,5,apw_eng_200701,"Armed with the warrants , authorities have seized $ 17 million -LRB- euro13 million -RRB- in money transfers into Arizona and arrested of more than 100 smugglers , he said .","-LBQ-  I believe that it is a very , very strong tool ."
apw_eng_19970330_0667_12:3,neg-ext-subj,yet_clear,yet,clear,Nothing is yet clear about the future of such a wily survivor .,apw_eng_19970330_0667_12,3,apw_eng_199703,"Mobutu 's full name translates to  -LBQ-  the all-powerful warrior who , because of his endurance and inflexible will to win , will go from conquest to conquest leaving fire in his wake .  -RDQ-","But with every passing day , those who know him say , the glorious epithet could come back to haunt him ."
