key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,adv,adv_total,adj,adj_total,odds_r_disc,t,MI
NEGany~exactly_sure,8794,0.9508106,10.925016,0.9947964,54348.244,NEGATED,exactly_sure,3173681,8840,71961373,389.86666,8404.13334,0.9556667,exactly,56109,sure,256817,3.6139104,89.61892,1.3532704
NEGany~yet_clear,10406,0.949828,10.824996,0.99379236,64207.436,NEGATED,yet_clear,3173681,10471,71961373,461.79794,9944.20206,0.95562196,yet,94755,clear,346404,3.5384367,97.48281,1.3528318
NEGany~yet_ready,7501,0.9462281,10.216898,0.99023104,46016.125,NEGATED,yet_ready,3173681,7575,71961373,334.07692,7166.9230800000005,0.95546234,yet,94755,ready,140804,3.3399665,82.750984,1.3512727
NEGany~yet_available,7430,0.9411459,9.756097,0.9851498,45242.998,NEGATED,yet_available,3173681,7542,71961373,332.62153,7097.37847,0.9552326,yet,94755,available,639462,3.15683,82.338615,1.3490385
NEGany~necessarily_indicative,1389,0.95018935,9.613575,0.9942734,8573.5436,NEGATED,necessarily_indicative,3173681,1397,71961373,61.611281,1327.388719,0.9556434,necessarily,48641,indicative,8068,3.549577,35.616154,1.353042
NEGany~yet_sure,1977,0.94640464,9.534173,0.99048096,12129.575,NEGATED,yet_sure,3173681,1996,71961373,88.028716,1888.971284,0.9554736,yet,94755,sure,256817,3.3422997,42.48367,1.3513823
NEGany~yet_final,640,0.9559059,9.468313,1.0,3995.3072,NEGATED,yet_final,3173681,640,71961373,28.22564,611.77436,0.95589745,yet,94755,final,5736,4.443584,24.182505,1.3555362
NEGany~that_uncommon,802,0.9534205,9.413583,0.99751246,4978.858,NEGATED,that_uncommon,3173681,804,71961373,35.458461,766.5415390000001,0.9557875,that,206801,uncommon,11144,3.8425622,27.067522,1.3544545
NEGany~exactly_easy,1066,0.9503146,9.386607,0.994403,6581.1689,NEGATED,exactly_easy,3173681,1072,71961373,47.277948,1018.722052,0.9556492,exactly,56109,easy,578041,3.5511408,31.201618,1.3530986
NEGany~that_surprising,1133,0.94803154,9.245296,0.9921191,6968.8137,NEGATED,that_surprising,3173681,1142,71961373,50.365127,1082.634873,0.9555471,that,206801,surprising,69947,3.4128003,32.163776,1.3521
NEGany~necessarily_easy,909,0.95043904,9.24492,0.99452955,5613.0528,NEGATED,necessarily_easy,3173681,914,71961373,40.309743,868.690257,0.95565486,necessarily,48641,easy,578041,3.5545118,28.812637,1.3531538
NEGany~exactly_new,1371,0.9443799,9.13177,0.9884643,8385.8332,NEGATED,exactly_new,3173681,1387,71961373,61.170255,1309.829745,0.95538276,exactly,56109,new,252270,3.2558467,35.374973,1.3504971
NEGany~that_unusual,977,0.94678265,9.028433,0.9908722,5997.5436,NEGATED,that_unusual,3173681,986,71961373,43.485127,933.514873,0.9554912,that,206801,unusual,70551,3.3484743,29.865788,1.3515538
