key,l1,exp_f,adv,f1,l2,P1,unexp_f,f2,dP1,odds_r_disc,G2,LRC,adv_total,MI,adj_total,N,t,f,adj
NEGany~yet_clear,NEGATED,456.44494,yet,3173660,yet_clear,0.9933181,9949.55506,10476,0.9498841,3.5120015,64409.97,10.766786,95763,1.3578954,349214,72839589,97.535286,10406,clear
NEGany~yet_ready,NEGATED,331.09251,yet,3173660,yet_ready,0.9871036,7169.90749,7599,0.9436315,3.2241988,45985.072,9.934922,95763,1.3551698,141590,72839589,82.78544,7501,ready
NEGany~necessarily_indicative,NEGATED,60.998752,necessarily,3173660,necessarily_indicative,0.99214286,1328.001248,1400,0.9485906,3.4238107,8577.5418,9.432794,48947,1.3573813,8148,72839589,35.632587,1389,indicative
NEGany~that_uncommon,NEGATED,35.030712,that,3173660,that_uncommon,0.99751246,766.969288,804,0.95395243,3.8480747,4998.3233,9.431394,208262,1.3597254,11312,72839589,27.082626,802,uncommon
NEGany~exactly_easy,NEGATED,46.751186,exactly,3173660,exactly_easy,0.9934762,1019.248814,1073,0.9499197,3.4945054,6596.9131,9.321383,58643,1.3579645,579827,72839589,31.21775,1066,easy
NEGany~yet_complete,NEGATED,96.203745,yet,3173660,yet_complete,0.98460144,2077.796255,2208,0.9410594,3.1412976,13277.092,9.197567,95763,1.3540676,86361,72839589,44.562874,2174,complete
NEGany~that_surprising,NEGATED,49.801124,that,3173660,that_surprising,0.9912511,1083.198876,1143,0.94769543,3.3748472,6986.8145,9.197115,208262,1.3569908,70540,72839589,32.180534,1133,surprising
NEGany~exactly_new,NEGATED,60.475905,exactly,3173660,exactly_new,0.98775214,1310.524095,1388,0.9441996,3.2358053,8410.3196,9.104023,58643,1.355455,253862,72839589,35.393726,1371,new
NEGany~necessarily_easy,NEGATED,39.954182,necessarily,3173660,necessarily_easy,0.9912759,869.045818,917,0.9477173,3.370968,5605.6391,9.011567,48947,1.3570017,579827,72839589,28.82443,909,easy
NEGany~yet_final,NEGATED,28.015855,yet,3173660,yet_final,0.9953344,611.984145,643,0.9517722,3.6039987,3972.9184,8.965596,95763,1.3587761,5860,72839589,24.190798,640,final
NEGany~exactly_cheap,NEGATED,30.281523,exactly,3173660,exactly_cheap,0.9942446,660.718477,695,0.9506831,3.528134,4281.5854,8.962514,58643,1.3583003,60531,72839589,25.134916,691,cheap
NEGany~yet_eligible,NEGATED,19.519601,yet,3173660,yet_eligible,1.0,428.480399,448,0.9564353,4.294314,2807.5637,8.962071,95763,1.3608071,23252,72839589,20.243795,448,eligible
NEGany~that_unusual,NEGATED,43.04769,that,3173660,that_unusual,0.9888664,933.95231,988,0.9453087,3.2710125,6003.0521,8.918037,208262,1.3559448,71234,72839589,29.879782,977,unusual
NEGany~exactly_clear,NEGATED,77.729838,exactly,3173660,exactly_clear,0.97869956,1668.270162,1784,0.93515193,2.9984066,10578.334,8.775129,58643,1.3514565,349214,72839589,39.92494,1746,clear
NEGany~exactly_surprising,NEGATED,19.214607,exactly,3173660,exactly_surprising,0.9977324,420.785393,441,0.95416766,3.8093748,2743.3408,8.713505,58643,1.3598212,70540,72839589,20.060156,440,surprising
NEGany~that_complicated,NEGATED,53.59176,that,3173660,that_complicated,0.98130083,1153.40824,1230,0.9377461,3.0524442,7337.8388,8.676948,208262,1.3526093,159822,72839589,33.199337,1207,complicated
NEGany~terribly_surprising,NEGATED,42.001998,terribly,3173660,terribly_surprising,0.98443985,906.998002,964,0.9408817,3.128753,5794.095,8.658473,58964,1.3539963,70540,72839589,29.442402,949,surprising
NEGany~yet_official,NEGATED,15.336829,yet,3173660,yet_official,1.0,336.663171,352,0.9564341,4.1896973,2205.9327,8.605605,95763,1.3608071,6853,72839589,17.944208,352,official
NEGany~that_hard,NEGATED,452.26217,that,3173660,that_hard,0.9583815,9495.73783,10380,0.9149414,2.7045922,58817.236,8.587868,208262,1.3423455,348463,72839589,95.20523,9948,hard
NEGany~that_familiar,NEGATED,50.367541,that,3173660,that_familiar,0.97404844,1075.632459,1156,0.9304927,2.9090452,6781.1066,8.346817,208262,1.3493876,156296,72839589,32.05492,1126,familiar
NEGany~necessarily_representative,NEGATED,21.436704,necessarily,3173660,necessarily_representative,0.9898374,465.563296,492,0.94627327,3.2891386,2996.5839,8.343816,48947,1.3563709,18355,72839589,21.096687,487,representative
NEGany~necessarily_surprising,NEGATED,14.857553,necessarily,3173660,necessarily_surprising,0.99706745,325.142447,341,0.9535014,3.6975324,2117.1575,8.331109,48947,1.3595316,70540,72839589,17.633326,340,surprising
NEGany~immediately_clear,NEGATED,1134.4896,immediately,3173660,immediately_clear,0.9377064,23281.5104,26038,0.8944556,2.5223026,141186.69,8.158976,96973,1.332874,349214,72839589,148.99576,24416,clear
NEGany~necessarily_new,NEGATED,21.436704,necessarily,3173660,necessarily_new,0.9796748,460.563296,492,0.93611056,3.0038338,2923.8203,7.9367266,48947,1.351889,253862,72839589,20.978083,482,new
NEGany~that_dissimilar,NEGATED,13.376155,that,3173660,that_dissimilar,0.990228,290.623845,307,0.9466615,3.2810209,1871.6466,7.860798,208262,1.3565423,4605,72839589,16.66842,304,dissimilar
NEGany~exactly_conducive,NEGATED,9.0626717,exactly,3173660,exactly_conducive,1.0,198.9373283,208,0.9564322,3.9616244,1303.4967,7.8188987,58643,1.3608071,9110,72839589,13.793822,208,conducive
NEGany~that_noticeable,NEGATED,11.633333,that,3173660,that_noticeable,0.98876405,252.366667,267,0.945197,3.2198536,1621.8118,7.6483507,208262,1.3558998,31467,72839589,15.532095,264,noticeable
NEGany~immediately_possible,NEGATED,45.923346,immediately,3173660,immediately_possible,0.9487666,954.076654,1054,0.9052092,2.605417,5845.7672,7.61511,96973,1.3379664,245272,72839589,30.170553,1000,possible
NEGany~yet_convinced,NEGATED,7.3634207,yet,3173660,yet_convinced,1.0,161.6365793,169,0.9564317,3.871683,1059.0891,7.503628,95763,1.3608071,12132,72839589,12.433583,169,convinced
NEGany~exactly_shocking,NEGATED,6.5791511,exactly,3173660,exactly_shocking,1.0,144.4208489,151,0.95643145,3.8229232,946.28585,7.3311367,58643,1.3608071,35115,72839589,11.752802,151,shocking
NEGany~exactly_pleasant,NEGATED,6.1870162,exactly,3173660,exactly_pleasant,1.0,135.8129838,142,0.9564313,3.7963243,889.88433,7.236508,58643,1.3608071,52223,72839589,11.397172,142,pleasant
NEGany~yet_over,NEGATED,7.1019975,yet,3173660,yet_over,0.993865,154.8980025,163,0.95029664,3.3762443,1003.1289,7.2108574,95763,1.3581345,3983,72839589,12.169936,162,over
NEGany~exactly_famous,NEGATED,5.6641698,exactly,3173660,exactly_famous,1.0,124.3358302,130,0.95643115,3.7581182,814.68236,7.0998654,58643,1.3608071,223813,72839589,10.904974,130,famous
NEGany~exactly_difficult,NEGATED,5.4898876,exactly,3173660,exactly_difficult,1.0,120.5101124,126,0.9564311,3.7445977,789.61506,7.051293,58643,1.3608071,732106,72839589,10.735894,126,difficult
NEGany~necessarily_useful,NEGATED,4.5313358,necessarily,3173660,necessarily_useful,1.0,99.4686642,104,0.95643085,3.6616204,651.74508,6.750423,48947,1.3608071,227709,72839589,9.753705,104,useful
NEGany~yet_online,NEGATED,4.2699126,yet,3173660,yet_online,1.0,93.7300874,98,0.95643073,3.6359396,614.14422,6.6562376,95763,1.3608071,15650,72839589,9.468168,98,online
NEGany~necessarily_fun,NEGATED,4.1827715,necessarily,3173660,necessarily_fun,1.0,91.8172285,96,0.95643073,3.6270304,601.61061,6.6234326,48947,1.3608071,190026,72839589,9.371057,96,fun
NEGany~necessarily_essential,NEGATED,4.0520599,necessarily,3173660,necessarily_essential,1.0,88.9479401,93,0.9564307,3.6133144,582.81019,6.5727925,48947,1.3608071,69845,72839589,9.223472,93,essential
NEGmir~ever_easy,NEGMIR,63.2512332,ever,291732,ever_easy,0.99728996,304.748779296875,369,0.82605654,3.075189,1285.0115449,6.436813,5060,0.7647788,18610,1701929,15.886127,368,easy
NEGany~terribly_original,NEGATED,9.2369538,terribly,3173660,terribly_original,0.9386792,189.7630462,212,0.8951113,2.5110962,1150.4844,6.4100456,58964,1.3333243,37594,72839589,13.451945,199,original
