|        | `key`               | `l1`   |    `f` |   `dP1` |   `LRC` |   `P1` |      `G2` | `l2`         |      `f1` |   `f2` |       `N` |   `exp_f` |   `unexp_f` |   `unexp_r` |   `odds_r_disc` |   `t` |   `MI` |
|:-------|:--------------------|:-------|-------:|--------:|--------:|-------:|----------:|:-------------|----------:|-------:|----------:|----------:|------------:|------------:|----------------:|------:|-------:|
| **1**  | NEGmir~ever         | NEGMIR |  4,709 |    0.76 |    5.67 |   0.93 | 14,226.71 | ever         |   291,735 |  5,042 | 1,680,633 |    875.22 |    3,833.78 |        0.81 |            1.83 | 55.87 |   0.73 |
| **2**  | NEGmir~any          | NEGMIR |  1,066 |    0.74 |    4.91 |   0.91 |  3,078.62 | any          |   291,735 |  1,169 | 1,680,633 |    202.92 |      863.08 |        0.81 |            1.69 | 26.43 |   0.72 |
| **3**  | NEGmir~longer       | NEGMIR |    821 |    0.73 |    4.69 |   0.90 |  2,328.22 | longer       |   291,735 |    910 | 1,680,633 |    157.96 |      663.04 |        0.81 |            1.64 | 23.14 |   0.72 |
| **4**  | NEGmir~necessarily  | NEGMIR |    963 |    0.71 |    4.50 |   0.88 |  2,631.06 | necessarily  |   291,735 |  1,092 | 1,680,633 |    189.56 |      773.44 |        0.80 |            1.55 | 24.92 |   0.71 |
| **5**  | NEGmir~remotely     | NEGMIR |  1,840 |    0.62 |    3.84 |   0.80 |  4,286.74 | remotely     |   291,735 |  2,314 | 1,680,633 |    401.68 |    1,438.32 |        0.78 |            1.27 | 33.53 |   0.66 |
| **6**  | NEGmir~that         | NEGMIR |  4,308 |    0.62 |    3.91 |   0.79 |  9,933.37 | that         |   291,735 |  5,465 | 1,680,633 |    948.65 |    3,359.35 |        0.78 |            1.25 | 51.18 |   0.66 |
| **7**  | NEGmir~exactly      | NEGMIR |    813 |    0.62 |    3.61 |   0.79 |  1,868.34 | exactly      |   291,735 |  1,031 | 1,680,633 |    178.97 |      634.03 |        0.78 |            1.25 | 22.24 |   0.66 |
| **8**  | NEGmir~particularly | NEGMIR |  9,243 |    0.54 |    3.43 |   0.71 | 18,490.40 | particularly |   291,735 | 12,946 | 1,680,633 |  2,247.25 |    6,995.75 |        0.76 |            1.09 | 72.77 |   0.61 |
| **9**  | NEGmir~inherently   | NEGMIR |  2,864 |    0.39 |    2.40 |   0.56 |  3,906.56 | inherently   |   291,735 |  5,100 | 1,680,633 |    885.29 |    1,978.71 |        0.69 |            0.79 | 36.97 |   0.51 |
| **10** | NEGmir~especially   | NEGMIR |  1,569 |    0.23 |    1.44 |   0.40 |  1,127.11 | especially   |   291,735 |  3,905 | 1,680,633 |    677.85 |      891.15 |        0.57 |            0.51 | 22.50 |   0.36 |
| **11** | POS~pretty          | POSMIR | 24,525 |    0.17 |    4.73 |   0.99 |  8,277.42 | pretty       | 1,388,898 | 24,652 | 1,680,633 | 20,372.75 |    4,152.25 |        0.17 |            1.61 | 26.51 |   0.08 |
| **12** | POS~plain           | POSMIR |  5,025 |    0.17 |    4.45 |   1.00 |  1,751.25 | plain        | 1,388,898 |  5,042 | 1,680,633 |  4,166.78 |      858.22 |        0.17 |            1.78 | 12.11 |   0.08 |
| **13** | POS~rather          | POSMIR |  8,364 |    0.17 |    4.63 |   1.00 |  2,889.54 | rather       | 1,388,898 |  8,396 | 1,680,633 |  6,938.57 |    1,425.43 |        0.17 |            1.74 | 15.59 |   0.08 |
| **14** | POS~somewhat        | POSMIR |  4,475 |    0.17 |    4.33 |   1.00 |  1,552.53 | somewhat     | 1,388,898 |  4,491 | 1,680,633 |  3,711.42 |      763.58 |        0.17 |            1.76 | 11.41 |   0.08 |
| **15** | POS~fairly          | POSMIR |  5,661 |    0.17 |    4.33 |   1.00 |  1,936.22 | fairly       | 1,388,898 |  5,685 | 1,680,633 |  4,698.16 |      962.84 |        0.17 |            1.69 | 12.80 |   0.08 |
| **16** | POS~otherwise       | POSMIR |  6,653 |    0.17 |    4.04 |   0.99 |  2,179.49 | otherwise    | 1,388,898 |  6,695 | 1,680,633 |  5,532.84 |    1,120.16 |        0.17 |            1.52 | 13.73 |   0.08 |
