|                    |   `dP1` |   `LRC` |       `f` |   `P1` |       `G2` |       `f1` |      `f2` |      `exp_f` |   `unexp_f` |   `unexp_r` |   `odds_r_disc` |    `t` |   `MI` |
|:-------------------|--------:|--------:|----------:|-------:|-----------:|-----------:|----------:|-------------:|------------:|------------:|----------------:|-------:|-------:|
| **most**           |    0.05 |    4.04 | 7,101,224 |   1.00 | 525,721.02 | 68,787,692 | 7,120,428 | 6,806,398.87 |  294,825.13 |        0.04 |            1.28 | 110.64 |   0.02 |
| **increasingly**   |    0.04 |    7.04 |   373,560 |   1.00 |  32,850.41 | 68,787,692 |   373,633 |   357,154.83 |   16,405.17 |        0.04 |            2.37 |  26.84 |   0.02 |
| **relatively**     |    0.04 |    5.98 |   582,065 |   1.00 |  49,292.09 | 68,787,692 |   582,383 |   556,698.42 |   25,366.58 |        0.04 |            1.93 |  33.25 |   0.02 |
| **almost**         |    0.04 |    5.27 |   433,210 |   1.00 |  35,325.48 | 68,787,692 |   433,607 |   414,483.82 |   18,726.18 |        0.04 |            1.70 |  28.45 |   0.02 |
| **mostly**         |    0.04 |    5.10 |   199,493 |   1.00 |  16,237.07 | 68,787,692 |   199,676 |   190,869.78 |    8,623.22 |        0.04 |            1.70 |  19.31 |   0.02 |
| **seemingly**      |    0.04 |    5.04 |   160,011 |   1.00 |  13,017.97 | 68,787,692 |   160,158 |   153,094.62 |    6,916.38 |        0.04 |            1.70 |  17.29 |   0.02 |
| **fairly**         |    0.04 |    4.99 |   370,708 |   1.00 |  29,631.19 | 68,787,692 |   371,125 |   354,757.44 |   15,950.56 |        0.04 |            1.61 |  26.20 |   0.02 |
| **pretty**         |    0.04 |    4.98 | 1,505,944 |   1.00 | 119,539.22 | 68,787,692 | 1,507,900 | 1,441,397.74 |   64,546.25 |        0.04 |            1.56 |  52.60 |   0.02 |
| **largely**        |    0.04 |    4.88 |   172,937 |   1.00 |  13,872.59 | 68,787,692 |   173,122 |   165,486.88 |    7,450.12 |        0.04 |            1.63 |  17.92 |   0.02 |
| **partly**         |    0.04 |    4.82 |    78,695 |   1.00 |   6,408.48 | 68,787,692 |    78,766 |    75,292.22 |    3,402.78 |        0.04 |            1.71 |  12.13 |   0.02 |
| **albeit**         |    0.04 |    4.81 |    15,663 |   1.00 |   1,374.47 | 68,787,692 |    15,666 |    14,975.09 |      687.91 |        0.04 |            2.31 |   5.50 |   0.02 |
| **rather**         |    0.04 |    4.75 |   361,601 |   1.00 |  28,312.35 | 68,787,692 |   362,090 |   346,120.90 |   15,480.10 |        0.04 |            1.53 |  25.74 |   0.02 |
| **sometimes**      |    0.04 |    4.57 |   141,919 |   1.00 |  11,113.35 | 68,787,692 |   142,108 |   135,840.67 |    6,078.33 |        0.04 |            1.54 |  16.13 |   0.02 |
| **also**           |    0.04 |    4.46 | 1,062,460 |   1.00 |  80,113.15 | 68,787,692 | 1,064,426 | 1,017,482.08 |   44,977.92 |        0.04 |            1.40 |  43.64 |   0.02 |
| **supposedly**     |    0.04 |    4.40 |    27,317 |   1.00 |   2,244.56 | 68,787,692 |    27,339 |    26,133.28 |    1,183.72 |        0.04 |            1.75 |   7.16 |   0.02 |
| **virtually**      |    0.04 |    4.33 |    85,585 |   1.00 |   6,629.69 | 68,787,692 |    85,709 |    81,929.01 |    3,655.99 |        0.04 |            1.50 |  12.50 |   0.02 |
| **allegedly**      |    0.04 |    4.06 |    16,217 |   1.00 |   1,332.88 | 68,787,692 |    16,230 |    15,514.22 |      702.78 |        0.04 |            1.74 |   5.52 |   0.02 |
| **understandably** |    0.04 |    3.98 |    12,266 |   1.00 |   1,023.17 | 68,787,692 |    12,274 |    11,732.68 |      533.32 |        0.04 |            1.82 |   4.82 |   0.02 |
| **admittedly**     |    0.04 |    3.86 |    12,476 |   1.00 |   1,025.38 | 68,787,692 |    12,486 |    11,935.34 |      540.67 |        0.04 |            1.74 |   4.84 |   0.02 |
| **undoubtedly**    |    0.04 |    3.82 |    11,606 |   1.00 |     956.31 | 68,787,692 |    11,615 |    11,102.75 |      503.25 |        0.04 |            1.75 |   4.67 |   0.02 |
| **presumably**     |    0.04 |    3.70 |     7,230 |   1.00 |     618.25 | 68,787,692 |     7,233 |     6,914.01 |      315.99 |        0.04 |            1.98 |   3.72 |   0.02 |
| **hopefully**      |    0.04 |    3.46 |     7,173 |   1.00 |     595.63 | 68,787,692 |     7,178 |     6,861.43 |      311.57 |        0.04 |            1.78 |   3.68 |   0.02 |
