hit_id,colloc,adv,adj,sent_text,sent_id,adv_index
nyt_eng_19940705_0191_3:8,dramatically_valid,dramatically,valid,"But none of this tampering would be dramatically valid , or even vaguely amusing , without a substantial characterization on which to hang it .",nyt_eng_19940705_0191_3,8
nyt_eng_19940711_0184_2:11,particularly_large,particularly,large,"That would mean that none of its chunks would be particularly large , as impacting bodies go ; Jupiter may be subjected to comparable cometary hits once or twice every 20 years , he said .",nyt_eng_19940711_0184_2,11
nyt_eng_19940714_0012_24:6,as_big,as,big,None of them have been as big as this .,nyt_eng_19940714_0012_24,6
nyt_eng_19940717_0141_6:14,directly_visible,directly,visible,"Even though none of the 21 expected impacts of the fragmented comet are directly visible from Earth , their aftereffects become visible as Jupiter rotates and each impact point swings around to face Earth .",nyt_eng_19940717_0141_6,14
nyt_eng_19940721_0218_17:14,so_important,so,important,"Of the many duties we heap on our politicians , perhaps none is so important as the need to preserve mankind .",nyt_eng_19940721_0218_17,14
nyt_eng_19940721_0335_28:21,yet_evident,yet,evident,None of the water that was suspected to reside 30 to 60 miles below the planet 's cloud tops is yet evident .,nyt_eng_19940721_0335_28,21
nyt_eng_19940724_0112_30:9,much_evident,much,evident,"At a distance , none of this was much evident at the crowded , made-for-television rallies that Mrs. Clinton addressed this weekend , in Portland and Seattle , to kick off the administration lobbying effort .",nyt_eng_19940724_0112_30,9
nyt_eng_19940726_0150_20:8,as_consistent,as,consistent,But none of the Princes was ever as consistent as his Aurora .,nyt_eng_19940726_0150_20,8
nyt_eng_19940727_0307_20:6,that_major,that,major,"-LBQ-  None of them are that major ,  -RDQ-  he said .",nyt_eng_19940727_0307_20,6
nyt_eng_19940805_0248_20:27,as_high,as,high,"The follow-up specials enjoyed some viewership -- the Christmas special was among the highest-rated two-hour show during its time , Schwartz said -- but none were as high as the millions of viewers who tuned into the original series .",nyt_eng_19940805_0248_20,27
nyt_eng_19940809_0156_47:12,as_painful,as,painful,"None of this trying inner turmoil , however , was quite as painful as learning to wear heels .",nyt_eng_19940809_0156_47,12
nyt_eng_19940818_0171_32:5,so_close,so,close,But none had been so close to launch .,nyt_eng_19940818_0171_32,5
nyt_eng_19940818_0231_18:8,particularly_interested,particularly,interested,But none of the club owners was particularly interested in a solo female singer-songwriter with a guitar .,nyt_eng_19940818_0231_18,8
nyt_eng_19940821_0045_15:3,immediately_available,immediately,available,None was immediately available .,nyt_eng_19940821_0045_15,3
nyt_eng_19940824_0381_64:8,even_close,even,close,"His teammates , none of whom is even close to Grieve on the prospect scale , seem to be slightly awe-struck by Grieve 's ability at the plate .",nyt_eng_19940824_0381_64,8
nyt_eng_19940825_0334_1:14,as_intriguing,as,intriguing,"Of all the features of the vast and chaotic Internet , none is as intriguing -- or intimidating -- as the Usenet newsgroups .",nyt_eng_19940825_0334_1,14
nyt_eng_19940826_0114_1:14,as_intriguing,as,intriguing,"Of all the features of the vast and chaotic Internet , none is as intriguing -- or intimidating -- as the Usenet newsgroups .",nyt_eng_19940826_0114_1,14
nyt_eng_19940901_0391_9:8,so_important,so,important,"Now , none of this would be so important if the eight months since the ` Boys won the Super Bowl and gave the Buffalo Bills lifetime rights to the Sisyphus Cup , had not been so filled with unsatisfactory , incomplete , bitter-dreg dramas , unfairly reflective of our everyday lives .",nyt_eng_19940901_0391_9,8
nyt_eng_19940905_0158_7:10,so_heinous,so,heinous,"-LBQ-  None of the things that I did were so heinous that it lost the integrity of the film ,  -RDQ-  he said .",nyt_eng_19940905_0158_7,10
nyt_eng_19940907_0045_35:11,as_quick,as,quick,"Of those considered Zeier 's chief competitors , none was as quick off the mark .",nyt_eng_19940907_0045_35,11
nyt_eng_19940909_0049_17:7,very_hard,very,hard,"Surprisingly , none of this is very hard to follow .",nyt_eng_19940909_0049_17,7
nyt_eng_19940911_0179_16:3,particularly_satisfying,particularly,satisfying,"None are particularly satisfying , and none are performed with any conviction .",nyt_eng_19940911_0179_16,3
nyt_eng_19940911_0231_10:7,especially_surprising,especially,surprising,"None of this corporate conduct is especially surprising in a business long dominated by powerful male partners , with female staff and associates far down the company ladder .",nyt_eng_19940911_0231_10,7
nyt_eng_19940928_0051_49:7,past_due,past,due,None of Ben 's bills are past due .,nyt_eng_19940928_0051_49,7
nyt_eng_19940928_0169_9:11,especially_difficult,especially,difficult,"Each has pros and cons , and although none are especially difficult , they can be messy .",nyt_eng_19940928_0169_9,11
nyt_eng_19940929_0293_6:8,particularly_compelling,particularly,compelling,"Although none of Thursday 's reports was particularly compelling on its own , the combined force -- all in the same direction -- was enough to push interest rates higher and thereby depress the stock market .",nyt_eng_19940929_0293_6,8
nyt_eng_19941006_0065_18:10,yet_profitable,yet,profitable,None of the company 's international entertainment channels is yet profitable .,nyt_eng_19941006_0065_18,10
nyt_eng_19941012_0375_11:38,as_successful,as,successful,"Although Intuit has broadened its product line , in part through internal development , and in part through the acquisition last year of ChipSoft , which produced tax software , none of these other products is nearly as successful as Quicken .",nyt_eng_19941012_0375_11,38
nyt_eng_19941013_0136_9:16,immediately_forthcoming,immediately,forthcoming,"Wilson 's press office in Sacramento was asked for a comment , but none was immediately forthcoming .",nyt_eng_19941013_0136_9,16
