hit_id,colloc,adv,adj,sent_text,sent_id,adv_index
nyt_eng_19940701_0361_18:4,as_old,as,old,Neither system is as old or as large as New York 's .,nyt_eng_19940701_0361_18,4
nyt_eng_19940722_0363_20:4,truly_satisfied,truly,satisfied,Neither side was truly satisfied with the new deal .,nyt_eng_19940722_0363_20,4
nyt_eng_19940928_0193_43:12,really_dominant,really,dominant,"She spoke more French than English , but neither language was really dominant or advanced .",nyt_eng_19940928_0193_43,12
nyt_eng_19941103_0335_7:8,entirely_accurate,entirely,accurate,"Neither view , of course , is entirely accurate .",nyt_eng_19941103_0335_7,8
nyt_eng_19941115_0224_45:6,consistently_good,consistently,good,"While neither quarterback has been consistently good , they may be taking more heat than deserved .",nyt_eng_19941115_0224_45,6
nyt_eng_19941124_0057_18:4,remotely_objective,remotely,objective,Neither volume is remotely objective .,nyt_eng_19941124_0057_18,4
nyt_eng_19941208_0215_63:4,as_steady,as,steady,"Neither team is as steady as it should be , but the Bills have been up and down all year .",nyt_eng_19941208_0215_63,4
nyt_eng_19950113_0455_1:15,overly_satisfied,overly,satisfied,"It 's nice to see that while neither side in the hockey dispute is overly satisfied , the parties did their best to salvage the season .",nyt_eng_19950113_0455_1,15
nyt_eng_19950209_0417_15:11,even_close,even,close,"As a result of this split , neither side is even close to winning the requisite 290 votes in the House or 67 in the Senate to pass a constitutional amendment to limit terms .",nyt_eng_19950209_0417_15,11
nyt_eng_19950223_0103_13:7,very_plausible,very,plausible,"If so , neither outcome is very plausible .",nyt_eng_19950223_0103_13,7
nyt_eng_19950309_0514_40:4,as_extreme,as,extreme,Neither side is as extreme as the other pretends .,nyt_eng_19950309_0514_40,4
nyt_eng_19950324_0242_6:13,quite_heavyweight,quite,heavyweight,There has been persistent grumbling from some quarters that neither movie is quite heavyweight enough for Oscar glory .,nyt_eng_19950324_0242_6,13
nyt_eng_19950509_0395_10:4,very_happy,very,happy,Neither side is very happy .,nyt_eng_19950509_0395_10,4
