hit_id,context_group,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent,corpus_segment,corpus,date,polarity,context,context_word,context_type,in_basic,line_in_source,year,context_overlap
nyt_eng_19950727_0057_7:4,outdated_input_file,about_1\/15th,about,1\/15th,Plastics consumption is about 1\/15th .,nyt_eng_19950727_0057_7,4,,,,nyt_eng_19950727,Nyt1,1995-07-27,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,99380,1995,False
nyt_eng_19971114_0044_8:3,outdated_input_file,about_ready,about,ready,We were about ready to quit big-time football and join the ACC with Georgia Tech .,nyt_eng_19971114_0044_8,3,,,,nyt_eng_19971114,Nyt1,1997-11-14,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,381571,1997,False
apw_eng_20000810_0006_2:11,neg-ext-nonsubj,absolutely_essential,absolutely,essential,"-RDQ-  We would not do this if it were not absolutely essential ,  -RDQ-  Gov. Marc Racicot said .",apw_eng_20000810_0006_2,11,apw_eng_200008,"More than 6 million acres of southwestern Montana were closed to public use Wednesday as wildfires burned across 300,000 acres of the state , destroying houses and driving hundreds of people from their homes .",-RDQ-  This is devastating .  -RDQ-,apw_eng_20000810,Apw,2000-08-10,negative,not_VP-adv,not,VP-adv,False,71231,2000,False
nyt_eng_19970831_0287_5:4,outdated_input_file,absolutely_innocent,absolutely,innocent,"-LBQ-  Azam is absolutely innocent ,  -RDQ-  said the aide , Assad Assad , who attended the four-month trial along with Israeli Embassy officials and relatives of the defendants .",nyt_eng_19970831_0287_5,4,,,,nyt_eng_19970831,Nyt1,1997-08-31,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,354134,1997,False
nyt_eng_19970215_0097_23:4,outdated_input_file,absolutely_mind-boggling,absolutely,mind-boggling,It 's just absolutely mind-boggling .  -RDQ-,nyt_eng_19970215_0097_23,4,,,,nyt_eng_19970215,Nyt1,1997-02-15,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,287247,1997,False
nyt_eng_19950205_0166_20:10,outdated_input_file,absolutely_right,absolutely,right,"-LBQ-  If there were more , she 'd be absolutely right in what she says .",nyt_eng_19950205_0166_20,10,,,,nyt_eng_19950205,Nyt1,1995-02-05,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,48482,1995,False
nyt_eng_19980523_0115_9:30,outdated_input_file,abundantly_clear,abundantly,clear,"In a career comprising 16 feature films and 7 documentaries , Imamura 's interest in the  -LBQ-  real  -RDQ-  Japanese has been remarkably consistent , something that will be abundantly clear in  -LBQ-  The Lower Depths  -COL-  The Cinema of Shohei Imamura ,  -RDQ-  a series of 16 films being presented in New York on Wednesday through June 11 at New York 's Walter Reade Theater at Lincoln Center .",nyt_eng_19980523_0115_9,30,,,,nyt_eng_19980523,Nyt1,1998-05-23,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,441510,1998,False
nyt_eng_19961213_0271_51:3,outdated_input_file,actually_magic,actually,magic,"It was actually magic , because they were talking in a language that was foreign to me .",nyt_eng_19961213_0271_51,3,,,,nyt_eng_19961213,Nyt1,1996-12-13,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,266152,1996,False
nyt_eng_19990402_0180_34:12,neg-ext-nonsubj,aggressively_ironic,aggressively,ironic,"And he employs a method of provocation that is not only aggressively ironic but also disorienting , almost by design , or perhaps by nature .",nyt_eng_19990402_0180_34,12,nyt_eng_199904,"He is an author who describes himself as  -LBQ-  constitutionally ambivalent ,  -RDQ-  as someone who  -LBQ-  never developed the habit of honesty ,  -RDQ-  as violent , as oppositional , as a man in search of a moral compass .","The more he intermingles mordacious taunts with apparently earnest reflections on the feelings and choices of a man suffocated by a less than satisfying matrimony , the harder it is to take him seriously or to distinguish what 's satirical from what 's sincere .",nyt_eng_19990402,Nyt1,1999-04-02,negative,not_VP-adv,not,VP-adv,False,37526,1999,False
nyt_eng_20010104_0095_31:7,neg-ext-nonsubj,all_bad,all,bad,"The news for publishers is n't all bad , however .",nyt_eng_20010104_0095_31,7,nyt_eng_200101,"-LBQ-  Also , I do n't miss those obnoxious guys who used to come in looking for books on day trading ,  -RDQ-  Strymish adds .",Many local bookstore owners report that practical technology-oriented advice is still selling .,nyt_eng_20010104,Nyt2,2001-01-04,negative,not_VP-adv,not,VP-adv,False,93634,2001,False
nyt_eng_19970925_0737_13:10,outdated_input_file,all_black,all,black,"-LBQ-  Far too many communities are all white , all black , all Latino , all Asian .",nyt_eng_19970925_0737_13,10,,,,nyt_eng_19970925,Nyt1,1997-09-25,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,363585,1997,False
nyt_eng_19950828_0525_31:3,outdated_input_file,all_foreign,all,foreign,It 's all foreign to me .  -RDQ-,nyt_eng_19950828_0525_31,3,,,,nyt_eng_19950828,Nyt1,1995-08-28,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,110266,1995,False
nyt_eng_19970923_0417_1:31,outdated_input_file,all_french,all,french,"The 1995 ratings in the latest wine vintage chart of The New York Times recall those little pocket charts one used to find in French restaurants  -COL-  the wines were all French , and the ratings began with  -LBQ-  excellent  -RDQ-  and went up from there .",nyt_eng_19970923_0417_1,31,,,,nyt_eng_19970923,Nyt1,1997-09-23,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,362547,1997,False
nyt_eng_19960414_0201_10:4,outdated_input_file,all_frustrated,all,frustrated,"-LBQ-  We 're all frustrated ,  -RDQ-  Reed said .",nyt_eng_19960414_0201_10,4,,,,nyt_eng_19960414,Nyt1,1996-04-14,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,187758,1996,False
nyt_eng_19960930_0029_14:10,outdated_input_file,all_right,all,right,Just keep the beer flowing and everything will be all right .,nyt_eng_19960930_0029_14,10,,,,nyt_eng_19960930,Nyt1,1996-09-30,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,240550,1996,False
nyt_eng_19950420_0494_41:19,unknown-polarity,all_right,all,right,"Cast into darkness , he and four others began yelling to one another to see if everyone was all right .",nyt_eng_19950420_0494_41,19,nyt_eng_199504,"Two floors below , George Denker , a 55-year-old home appraiser for the Veterans Administration , was talking on the phone when the explosion caused the ceiling to collapse .","-LBQ-  There was this thunderous , humongous blast , and then everything just collapsed ,  -RDQ-  he said .",nyt_eng_19950420,Nyt1,1995-04-20,unknown,everyone_subj,everyone,subj,True,97,1995,False
nyt_eng_19960221_0242_26:39,outdated_input_file,all_right,all,right,Where are the laments about the excessive cost of elections that are heard from every side when Steve Forbes or Michael Huffington spends a small chunk of his own fortune on his own campaign ? It must be all right as long as taxpayers are going to get the bill .,nyt_eng_19960221_0242_26,39,,,,nyt_eng_19960221,Nyt1,1996-02-21,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,168777,1996,False
apw_eng_20091220_0527_17:8,neg-ext-nonsubj,all_rosy,all,rosy,But the international response Sunday was not all rosy .,apw_eng_20091220_0527_17,8,apw_eng_200912,"UN Secretary-General Ban Ki-moon said he would work with member states to convert the commitments into a global , legally binding treaty as soon as possible in 2010 .",Former Cuban president Fidel Castro said the agreement was  -LBQ-  undemocratic  -RDQ-  and called President Barack Obama 's address to the conference as  -LBQ-  misleading .  -RDQ-,apw_eng_20091220,Apw,2009-12-20,negative,not_VP-adv,not,VP-adv,False,37490,2009,False
nyt_eng_19951016_0254_64:11,outdated_input_file,all_so-called,all,so-called,"For example , cetyl , behenyl or oleyl alcohol are all so-called",nyt_eng_19951016_0254_64,11,,,,nyt_eng_19951016,Nyt1,1995-10-16,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,125511,1995,False
