hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_03_030.8528_x0483398_18:7-8-9,terribly,reliable,terribly_reliable,n't,n't_terribly_reliable,"and even then the advice is n't terribly reliable , because who knows if their","And even then the advice is n't terribly reliable , because who knows if their analysis was carried out correctly ?"
pcc_eng_21_093.6106_x1496377_02:6-7-8,terribly,reliable,terribly_reliable,n't,n't_terribly_reliable,but the six-legged soldiers were n't terribly reliable by joseph trevithick mao tse -tung,But the six-legged soldiers were n't terribly reliable by JOSEPH TREVITHICK Mao Tse -Tung famously wrote in On Guerrilla Warfare that guerrillas are proverbial fish who have ...
pcc_eng_21_093.6106_x1496377_03:6-7-8,terribly,reliable,terribly_reliable,n't,n't_terribly_reliable,but the six-legged soldiers were n't terribly reliable,But the six-legged soldiers were n't terribly reliable
pcc_eng_18_035.2252_x0553970_121:3-4-5,terribly,reliable,terribly_reliable,n't,n't_terribly_reliable,"forbort is n't terribly reliable for offensive statistics , potting just","Forbort is n't terribly reliable for offensive statistics , potting just one goal with 13 points and a plus - 15 rating through 57 games ."
pcc_eng_22_008.7482_x0124989_03:20-22-23,terribly,reliable,terribly_reliable,n't,n't_terribly_reliable,"assignment , but she has n't been terribly reliable when it comes to these avatar","We all love Sigourney Weaver , even when she stars in crap like The Assignment , but she has n't been terribly reliable when it comes to these Avatar sequels ."
pcc_eng_14_003.4429_x0039530_048:35-36-37,terribly,reliable,terribly_reliable,n't,n't_terribly_reliable,"large-scale , long- range projections are n't terribly reliable for forecasting local conditions .","It 's too early to panic about next year 's water situation , given that early spring is when we typically get most of our water , and large-scale , long- range projections are n't terribly reliable for forecasting local conditions ."
pcc_eng_11_016.2035_x0246016_25:14-18-19,terribly,reliable,terribly_reliable,none,none_terribly_reliable,"forms , and none of it is terribly reliable .","Many of us depend on public transit in its many forms , and none of it is terribly reliable ."
pcc_eng_27_029.8898_x0466263_36:23-24-25,terribly,reliable,terribly_reliable,not,not_terribly_reliable,the individual level iq measures are not terribly reliable ; 2 . high levels of,"Ultra-high IQ measures must be taken with a pinch of salt ; because 1 . at the individual level IQ measures are not terribly reliable ; 2 . high levels of IQ do not reflect general intelligence , but more specialized cognitive ability ; and 3 . even when honest , the number we hear about may be a one-off , and the highest ever recorded from perhaps multiple attempts at many lengths and types of IQ test ."
pcc_eng_29_001.8625_x0013837_47:17-18-19,terribly,reliable,terribly_reliable,not,not_terribly_reliable,a right wing tabloid with a not terribly reliable track record .,I should also note that the European Union Times is a right wing tabloid with a not terribly reliable track record .
pcc_eng_17_075.6872_x1207137_021:37-38-39,terribly,reliable,terribly_reliable,not,not_terribly_reliable,"up , or than memory is not terribly reliable .","As for rationalization and story - telling , we do n't need neuroscience to tell us that the reasons people give for their decisions are often incomplete or made - up , or than memory is not terribly reliable ."
pcc_eng_22_054.4213_x0863109_46:4-5-6,terribly,reliable,terribly_reliable,not,not_terribly_reliable,tracking and other not terribly reliable methods of pregnancy prevention have been,"Tracking and other not terribly reliable methods of pregnancy prevention have been dubbed "" Vatican Roulette "" because they were touted by the Catholic Church as the only acceptable method of birth control ."
pcc_eng_18_001.6036_x0009816_099:7-8-9,terribly,reliable,terribly_reliable,not,not_terribly_reliable,"in my experience , psychics are not terribly reliable , but they sometimes provide valid","In my experience , psychics are not terribly reliable , but they sometimes provide valid data points along with what they acquire through your answering their questions or what their own imagination produced ."
pcc_eng_04_003.3345_x0037906_40:17-18-19,terribly,reliable,terribly_reliable,not,not_terribly_reliable,for hdd work were basic and not terribly reliable .,"In the early 80's , the majority of drills used for HDD work were basic and not terribly reliable ."
pcc_eng_09_003.8695_x0046653_22:11-12-13,terribly,reliable,terribly_reliable,not,not_terribly_reliable,"carburetors and vacuum control systems were not terribly reliable : as a result , fuel","That was because most carburetors and vacuum control systems were not terribly reliable : as a result , fuel economy and survivability suffered ."
pcc_eng_03_032.4087_x0508784_23:16-17-18,terribly,reliable,terribly_reliable,not,not_terribly_reliable,"- cracking algorithm , it 's not terribly reliable .","As it turns out , with the right CAPTCHA - cracking algorithm , it 's not terribly reliable ."
nyt_eng_20050227_0090_4:1-7-8,terribly,reliable,terribly_reliable,not,not_terribly_reliable,not that the suicide watch was terribly reliable ; it depended in part on,not that the suicide watch was terribly reliable ; it depended in part on inmates paid 39 cents an hour to check on their suicidal peers .
