hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_07_058.8454_x0934957_27:29-30-31,terribly,remarkable,terribly_remarkable,n't,n't_terribly_remarkable,the thing they were watching was n't terribly remarkable .,"Something about being able to watch a "" breaking "" news story live was addictive for modern news audiences , even if the thing they were watching was n't terribly remarkable ."
pcc_eng_28_060.5024_x0962620_41:30-31-32,terribly,remarkable,terribly_remarkable,n't,n't_terribly_remarkable,upon going ' pop ' is n't terribly remarkable .,Review : I 'll be the first to admit the story revolving around a tiny pill capsule that can kill an entire city upon going ' pop ' is n't terribly remarkable .
pcc_eng_21_019.6636_x0301381_06:6-7-8,terribly,remarkable,terribly_remarkable,n't,n't_terribly_remarkable,"by itself , this is n't terribly remarkable or exciting , because a single","By itself , this is n't terribly remarkable or exciting , because a single finger touching the surface in question does n't create a signature that 's unique enough for individual identification ."
pcc_eng_28_030.4840_x0476488_11:25-26-27,terribly,remarkable,terribly_remarkable,n't,n't_terribly_remarkable,"washington to john adams , was n't terribly remarkable .","The history teacher in me must note that our nation 's first transfer of power , from George Washington to John Adams , was n't terribly remarkable ."
pcc_eng_20_004.0867_x0049563_28:4-7-8,terribly,remarkable,terribly_remarkable,n't,n't_terribly_remarkable,But that would n't are already terribly remarkable .,But that would n't are already terribly remarkable .
pcc_eng_27_068.9149_x1098061_42:1-5-6,terribly,remarkable,terribly_remarkable,none,none_terribly_remarkable,none of this is terribly remarkable in the world of the book,None of this is terribly remarkable in the world of the book .
pcc_eng_11_012.9101_x0192531_19:4-8-9,terribly,remarkable,terribly_remarkable,none,none_terribly_remarkable,the fact that none of this is terribly remarkable - and that i do n't,The fact that none of this is terribly remarkable - and that I do n't share the site with friends / family - probably has a lot to do with having only one ( 1 ) reader .
pcc_eng_19_046.3546_x0732046_13:15-16-17,terribly,remarkable,terribly_remarkable,not,not_terribly_remarkable,"were indeed fish , they were not terribly remarkable .","The coral was dead and , while there were indeed fish , they were not terribly remarkable ."
pcc_eng_23_006.2888_x0085413_006:6-7-8,terribly,remarkable,terribly_remarkable,not,not_terribly_remarkable,the mahabodhi temple itself is not terribly remarkable as structures go - roughly 55,"The Mahabodhi Temple itself is not terribly remarkable as structures go - roughly 55 meters high , a basic stepped design , and a range of tiers surrounding it that have trees , grass and ample area for practitioners to gather ."
pcc_eng_13_037.5812_x0591439_11:11-12-13,terribly,remarkable,terribly_remarkable,not,not_terribly_remarkable,"look for the figure , though not terribly remarkable .","It 's a good look for the figure , though not terribly remarkable ."
pcc_eng_29_036.6025_x0574483_33:19-20-21,terribly,remarkable,terribly_remarkable,not,not_terribly_remarkable,he was thoroughly outplayed by a not terribly remarkable goalie .,What Price did manage to do was shake off 60 minutes where he was thoroughly outplayed by a not terribly remarkable goalie .
pcc_eng_18_010.9384_x0160799_059:08-09-10,terribly,remarkable,terribly_remarkable,nothing,nothing_terribly_remarkable,have lots of little plans but nothing terribly remarkable .,I have lots of little plans but nothing terribly remarkable .
pcc_eng_26_004.4017_x0054838_60:7-8-9,terribly,remarkable,terribly_remarkable,nothing,nothing_terribly_remarkable,he added : ' there 's nothing terribly remarkable about .,He added : ' There 's nothing terribly remarkable about .
