hit_id,adv_form_lower,adj_form_lower,bigram_lower,neg_form_lower,all_forms_lower,text_window,token_str
pcc_eng_09_012.5385_x0186869_100:10-11-12,terribly,unusual,terribly_unusual,n't,n't_terribly_unusual,"that "" celestial city "" is n't terribly unusual in a text .","The issue is that "" celestial city "" is n't terribly unusual in a text ."
pcc_eng_23_096.2225_x1539120_26:6-7-8,terribly,unusual,terribly_unusual,n't,n't_terribly_unusual,"now , campaign debt is n't terribly unusual .","Now , campaign debt is n't terribly unusual ."
pcc_eng_16_081.2127_x1298229_101:3-5-6,terribly,unusual,terribly_unusual,n't,n't_terribly_unusual,that would n't be terribly unusual to see : some old balding,"That would n't be terribly unusual to see : some old balding white haired dude walking around in a tutu . """
pcc_eng_01_044.4064_x0701249_14:3-4-5,terribly,unusual,terribly_unusual,n't,n't_terribly_unusual,"this is n't terribly unusual in itself ; since 1952 ,","This is n't terribly unusual in itself ; since 1952 , Congress has established a "" national day of prayer "" and most other states do the same thing ."
pcc_eng_04_104.8702_x1678008_05:5-6-7,terribly,unusual,terribly_unusual,n't,n't_terribly_unusual,in itself this is n't terribly unusual -- the cdc estimates that roughly,"In itself this is n't terribly unusual -- the CDC estimates that roughly 7,000 to 8,000 people a year get bitten by a venomous snake in the United States ."
pcc_eng_07_051.0758_x0809516_18:22-24-25,terribly,unusual,terribly_unusual,n't,n't_terribly_unusual,"separating ruffalo and knightley would n't be terribly unusual for the genre , but the","The proceedings have the look and feel of a romantic comedy and the nearly twenty years separating Ruffalo and Knightley would n't be terribly unusual for the genre , but the movie does n't take its broken - hearted artists down the path you expect ."
pcc_eng_01_064.2172_x1022449_067:22-23-24,terribly,unusual,terribly_unusual,n't,n't_terribly_unusual,"for that , this season was n't terribly unusual , even with an emphasis on","There will be more fouls called when there are more possessions , and once accounting for that , this season was n't terribly unusual , even with an emphasis on freedom of movement ( which did n't exist in 2003 ) ."
pcc_eng_26_088.5070_x1415033_10:16-17-18,terribly,unusual,terribly_unusual,n't,n't_terribly_unusual,"or so , so it is n't terribly unusual to get your period again --","Typically periods go on and off for a year or so , so it is n't terribly unusual to get your period again -- as I recal that happened to me too and then they stopped altogether ."
pcc_eng_06_033.3313_x0522980_062:6-7-8,terribly,unusual,terribly_unusual,n't,n't_terribly_unusual,at that time it was n't terribly unusual for young people to get married,At that time it was n't terribly unusual for young people to get married that young .
pcc_eng_19_012.4172_x0184451_008:5-6-7,terribly,unusual,terribly_unusual,n't,n't_terribly_unusual,"though feeling insecure is n't terribly unusual for me to be honest ,","Though feeling insecure is n't terribly unusual for me to be honest , because I 'm not really a man cast in the heroic mould ."
pcc_eng_23_084.4854_x1349214_250:4-5-6,terribly,unusual,terribly_unusual,n't,n't_terribly_unusual,that actually was n't terribly unusual back then since church services could,"That actually was n't terribly unusual back then since church services could be very long and older children could have seen to their younger brothers and sisters , "" Hermione said ."
pcc_eng_04_044.2171_x0698349_05:4-5-6,terribly,unusual,terribly_unusual,n't,n't_terribly_unusual,"the tactic is n't terribly unusual said john mc glennon , a","The tactic is n't terribly unusual said John Mc Glennon , a political science professor at the College of William and Mary ."
pcc_eng_12_036.4635_x0573649_13:18-19-20,terribly,unusual,terribly_unusual,n't,n't_terribly_unusual,in the first four rounds is n't terribly unusual ; several licenses which eventually went,The fact that the D block has had only one bid in the first four rounds is n't terribly unusual ; several licenses which eventually went in Auction 66 for very substantial sums had very little early - round action .
pcc_eng_18_040.3049_x0635970_62:1-7-8,terribly,unusual,terribly_unusual,none,none_terribly_unusual,None of the aforementioned details is terribly unusual or complicated .,None of the aforementioned details is terribly unusual or complicated .
pcc_eng_26_083.6633_x1336636_19:28-32-33,terribly,unusual,terribly_unusual,none,none_terribly_unusual,on the programme - none of them are terribly unusual but they are ones,and they are a funny couple height wise but seem very in love - I like the poetry and book extracts she chooses on the programme - none of them are terribly unusual but they are ones I like none the less .
pcc_eng_28_074.1337_x1182826_40:13-14-15,terribly,unusual,terribly_unusual,not,not_terribly_unusual,"often , but they 're "" not terribly unusual , "" according to attorney fred","Such donations do n't happen very often , but they 're "" not terribly unusual , "" according to attorney Fred Payne ."
pcc_eng_01_036.9965_x0581581_06:27-28-29,terribly,unusual,terribly_unusual,not,not_terribly_unusual,"as miss dowling 's are "" not terribly unusual "" among the nation 's 3.3",""" Regrettably , "" says Jack Ossofsky , executive director of the National Council on the Aging , circumstances such as Miss Dowling 's are "" not terribly unusual "" among the nation 's 3.3 million elderly poor ( 65 or older ) ."
pcc_eng_08_086.0228_x1376438_03:4-6-7,terribly,unusual,terribly_unusual,not,not_terribly_unusual,That development would not be terribly unusual .,That development would not be terribly unusual .
pcc_eng_08_051.5427_x0818147_38:5-6-7,terribly,unusual,terribly_unusual,not,not_terribly_unusual,And 10 months is not terribly unusual in mathematics ...,And 10 months is not terribly unusual in mathematics ...
pcc_eng_27_007.1798_x0099343_07:3-5-6,terribly,unusual,terribly_unusual,not,not_terribly_unusual,it would not be terribly unusual to see a 70 year old,"It would not be terribly unusual to see a 70 year old woman sans brassiere strut by in the latest fashions , sporting an air that says she owns the sidewalk and possibly much of this part of town ."
pcc_eng_01_040.1113_x0631947_103:13-14-15,terribly,unusual,terribly_unusual,not,not_terribly_unusual,out is that these conditions were not terribly unusual or specific to juarez .,The only thing I 'm pointing out is that these conditions were not terribly unusual or specific to Juarez .
pcc_eng_02_080.7292_x1289143_045:3-4-5,terribly,unusual,terribly_unusual,not,not_terribly_unusual,it 's not terribly unusual for two people with borderline traits,"It 's not terribly unusual for two people with borderline traits to engage , and regardless of the psycho- babble you may have read elsewhere , anyone who 's done any worthwhile healing work with borderlines would know this !"
pcc_eng_23_031.9145_x0499080_05:4-5-6,terribly,unusual,terribly_unusual,not,not_terribly_unusual,"the path was not terribly unusual either , its main importance lying","The path was not terribly unusual either , its main importance lying only in its destination -- Jusenkyou , the Valley of Sorrows ."
pcc_eng_13_088.4614_x1413593_1:35-36-37,terribly,unusual,terribly_unusual,not,not_terribly_unusual,"saved on use , it 's not terribly unusual to forget what a specific routers","Display Wifi Password in Mac via Terminal Given the complexity of some wi-fi network passwords combined with the general infrequency of entering them and that they 're typically saved on use , it 's not terribly unusual to forget what a specific routers wireless password is ."
nyt_eng_19990217_0526_21:5-6-7,terribly,unusual,terribly_unusual,not,not_terribly_unusual,storms like this are not terribly unusual where they are .,storms like this are not terribly unusual where they are .
