hit_id,category,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent
nyt_eng_20010329_0022_15:4,unknown-polarity,pretty_much,pretty,much,"-LBQ-  Everybody was pretty much in favor of it ,  -RDQ-  Helling said .",nyt_eng_20010329_0022_15,4,nyt_eng_200103,But Helling said there were no complaints from players .,-LBQ-  It 's good to get international expansion and to bring home players like Carlos Delgado and Pudge -LRB- Rodriguez -RRB- .  -RDQ-
nyt_eng_20010323_0036_1:3,unknown-polarity,so_busy,so,busy,"Everybody was so busy looking back or ahead , nobody saw the stomping , snorting bull standing right in Kentucky 's path .",nyt_eng_20010323_0036_1,3,nyt_eng_200103,,All the vibrant memories people had waved in the faces of the USC men 's basketball team this week had the Trojans seeing red .
nyt_eng_20010321_0402_16:6,unknown-polarity,just_confused,just,confused,"-LBQ-  I think everybody is just confused ,  -RDQ-  said Ned Collins , head trader at Daiwa Securities America .",nyt_eng_20010321_0402_16,6,nyt_eng_200103,"The investors who remained in stocks , meanwhile , were becoming increasingly concerned about the prospects for corporate earnings as the economy cools .",-LBQ-  I do believe that earnings are going to be the key factor .  -RDQ-
nyt_eng_20010321_0138_39:7,unknown-polarity,as_equal,as,equal,"At that point , everybody was as equal as mugshots and scattershot data could make them .",nyt_eng_20010321_0138_39,7,nyt_eng_200103,"Before the second  -LBQ-  Survivor  -RDQ-  aired , CBS posted on its well-traveled Web site the names , hometowns , ages , birthdates , etc. , of each of the players .","But when the Aussie visitors got their groove going , slight alterations were made ."
nyt_eng_20010311_0015_63:14,unknown-polarity,real_happy,real,happy,"-LBQ-  Oh yeah ,  -RDQ-  Velarde said ,  -LBQ-  everybody back home was real happy when I got traded to Texas .  -RDQ-",nyt_eng_20010311_0015_63,14,nyt_eng_200103,"When he was traded , however , calling home was n't so hard .","And , now , so is he . nn"
nyt_eng_20010310_0282_41:8,unknown-polarity,very_proud,very,proud,I 'm sure everybody in Philadelphia is very proud of where the 76ers are at this point in time .,nyt_eng_20010310_0282_41,8,nyt_eng_200103,I 'm sure they 're very proud of it .,"But from my standpoint , it 's just ` opponent ' on the shirt .  -RDQ-"
nyt_eng_20010310_0142_7:4,unknown-polarity,rather_polite,rather,polite,"Everybody is being rather polite about it while talks continue among the USOC , the National Hockey League and the players association .",nyt_eng_20010310_0142_7,4,nyt_eng_200103,"-LBQ-  We want to be fair to everybody ,  -RDQ-  said Sandra Baldwin , the president of the USOC , who said there was a need for tighter testing and added ,  -LBQ-  Any time you make a change , it 's a gamble .  -RDQ-","However , the intention strikes me as virtually an invitation to professionals to duck the Winter Games in Turin , Italy , in 2006 and maybe even in Salt Lake City in 2002 ."
nyt_eng_20000330_0466_28:5,unknown-polarity,slightly_graceful,slightly,graceful,"-LBQ-  If everybody is slightly graceful about this , I 'm sure there is an amicable solution that can be worked out ,  -RDQ-  Coughlin said .",nyt_eng_20000330_0466_28,5,nyt_eng_200003,"Coughlin suggested that it is Hull , rather than McCain , who should compromise .",-LBQ-  I guess we 'll see how graceful the governor is .  -RDQ-
nyt_eng_20000329_0155_79:5,unknown-polarity,so_curious,so,curious,"-LBQ-  Everybody here is so curious about what 's going on outside Cuba ,  -RDQ-  said Nathan Russell , who visited recently with a Canadian student group .",nyt_eng_20000329_0155_79,5,nyt_eng_200003,"Even if Cuba 's leaders want to turn back the clock , they have cast their lot on a future built largely on tourism , and they can only exert so much control over their visitors without scaring them away .",-LBQ-  The kids here all have such fresh eyes .
nyt_eng_20000323_0102_19:11,unknown-polarity,very_nice,very,nice,"Everybody in  -LBQ-  Here on Earth  -RDQ-  is very , very nice .",nyt_eng_20000323_0102_19,11,nyt_eng_200003,-LBQ-  It 's good to be your daughter .  -RDQ-,That 's a big problem .
nyt_eng_20000321_0385_30:15,unknown-polarity,very_careful,very,careful,They went restaurant-hopping one night and  -LBQ-  we all noticed that everybody was being very careful about carbs ; I knew that this was something we needed to be paying attention to .  -RDQ-,nyt_eng_20000321_0385_30,15,nyt_eng_200003,"Wolf , 49 , who is 6 feet 1 inch tall and weighs 171 pounds , said he decided to suggest to Loews officials that they introduce the new menu line after he gathered 30 of the chain 's executive chefs and food directors at an annual conference in Miami Beach last November .","Business travelers are especially likely to be watching their carbohydrate consumption , he said ."
nyt_eng_20000316_0345_6:7,unknown-polarity,too_up-tight,too,up-tight,"-LBQ-  I feel that everybody is too up-tight in this election ,  -RDQ-  the show 's originator , Bobby Hou , said the other night as his Lee Teng-hui makeup was being applied .",nyt_eng_20000316_0345_6,7,nyt_eng_200003,"Performed live and homing in on the day 's news , the show also provides welcome comic relief from the campaign for Saturday 's presidential election , which is understandably driven by weighty issues of war and peace that have engaged the Taiwanese people in endlessly earnest conversation .",-LBQ-  Everybody should relax !  -RDQ-
nyt_eng_20000302_0394_30:14,unknown-polarity,so_forgiving,so,forgiving,"-LBQ-  His teammates may get past it , but everybody wo n't be so forgiving .",nyt_eng_20000302_0394_30,14,nyt_eng_200003,"-LBQ-  He has to answer to the media , to the fans and to other players ,  -RDQ-  Palmeiro said .",-LBQ-  Me ? I 'd rather have had the year 's suspension .  -RDQ-
nyt_eng_20021128_0164_17:7,unknown-polarity,too_sick,too,sick,"-LBQ-  Everybody in my house is too sick to work ,  -RDQ-  said Zhang Hong , a 31-year-old woman .",nyt_eng_20021128_0164_17,7,nyt_eng_200211,Already peasants are going hungry because adults are too frail to plant crops or work for a living .,-LBQ-  My husband ca n't get out of bed and now is too sick to swallow a pill or even to eat food .
nyt_eng_20021125_0364_35:4,unknown-polarity,so_keen,so,keen,"-LBQ-  Everybody is so keen on what crimes they committed ,  -RDQ-  Stankuviene said .",nyt_eng_20021125_0364_35,4,nyt_eng_200211,None was obligated to disclose a name _ some used pseudonyms _ or her crime .,"-LBQ-  Here we know there are no good crimes , so it does n't make any difference .  -RDQ-"
nyt_eng_20021124_0036_98:4,unknown-polarity,damn_sensitive,damn,sensitive,Everybody 's too damn sensitive in this world .,nyt_eng_20021124_0036_98,4,nyt_eng_200211,Saunders  -COL-   -LBQ-  I 've stuck a hand out and Kevin 's walked by . ...,"You do n't talk to someone , and they 're all upset ."
nyt_eng_20021123_0170_15:4,unknown-polarity,very_complimentary,very,complimentary,"-LBQ-  Everybody was very complimentary , and probably found it remarkable how well the UN coalition was built to get a 15-0 resolution telling Saddam Hussein that it was time to disarm ,  -RDQ-  Rice said .",nyt_eng_20021123_0170_15,4,nyt_eng_200211,"Secretary of State Colin L. Powell , the chief architect of Bush 's global outreach , followed the speech with intensive UN negotiations that finally led to a unanimous vote in the Security Council in support of a tough resolution requiring that Iraq disarm _ a vote the White House regards as momentous as their clean Republican sweep in the midterm elections .",-LBQ-  And everybody understands that that began with the president 's Sept. 12 challenge to the United Nations .  -RDQ-
nyt_eng_20021122_0038_43:4,unknown-polarity,just_fine,just,fine,"-LBQ-  Everybody 's just fine ,  -RDQ-  the spokesman , Erik Elvejord , said .",nyt_eng_20021122_0038_43,4,nyt_eng_200211,A Holland America spokesman who met the ship tried to play down the problem .,-LBQ-  There is no epidemic .  -RDQ-
