hit_id,category,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent
nyt_eng_19950129_0095_34:6,unknown-polarity,as_fidgety,as,fidgety,Not everyone last week was as fidgety as Ross .,nyt_eng_19950129_0095_34,6,nyt_eng_199501,"It is incomprehensible Ross would want advice from Gilbert , who said  -COL-   -LBQ-  I 'm a good-luck charm to get to the Super Bowl , but my teammates wanted to cut me before this game .  -RDQ-","Hendrickson was so relaxed , he fell asleep in a taxicab and woke up to find himself 45 miles from his hotel ."
nyt_eng_19950126_0057_26:8,unknown-polarity,very_appreciative,very,appreciative,"-LBQ-  So far , everyone 's been very appreciative and nice ,  -RDQ-  VIP coordinator Susan Julian said .",nyt_eng_19950126_0057_26,8,nyt_eng_199501,Never know who might need a helicopter .,-LBQ-  No one has asked for anything out of the ordinary -- yet .  -RDQ-
nyt_eng_19950124_0265_49:8,unknown-polarity,very_open,very,open,"-LBQ-  Everyone here has been very , very open .",nyt_eng_19950124_0265_49,8,nyt_eng_199501,"-LBQ-  I really respect the way he 's handled himself and our situation ,  -RDQ-  Gilbert says .",It does n't matter who makes a suggestion as long as it 's a good one .  -RDQ-
nyt_eng_19950123_0394_14:15,unknown-polarity,perfectly_happy,perfectly,happy,"-LBQ-  If it had not been for the earthquake , everyone could have been perfectly happy ,  -RDQ-  Tokunaga said .",nyt_eng_19950123_0394_14,15,nyt_eng_199501,I have not been moved so much before .,-LBQ-  Rostropovich is one of the last monsters  -RDQ-  -- a superstar .
nyt_eng_19950120_0376_14:4,unknown-polarity,so_enthusiastic,so,enthusiastic,Not everyone is so enthusiastic about the rush to curb the federal government 's power .,nyt_eng_19950120_0376_14,4,nyt_eng_199501,"Just in his district , Blute noted , Fall River , Mass. is being forced to build a $ 180 million treatment plant to repair 19 stormwater outfalls that discharge sewage during heavy rain , and Worcester and Attleboro , Mass. are facing huge costs for water purification facilities required by the Safe Drinking Water Act .","-LBQ-  The federal wolf at the door is very useful for getting states to live up to their obligations ,  -RDQ-  said Paul Wingle of the Environmental League of Massachusetts ."
nyt_eng_19950119_0135_22:22,unknown-polarity,all_right,all,right,"Finally , I got my aunt -LRB- former Wimbledon doubles champ Kazuko Sawamatsu -RRB- , and she told me everyone was all right .",nyt_eng_19950119_0135_22,22,nyt_eng_199501,-LBQ-  I could n't reach my family by phone .,"She also told me I should play , that maybe if I won some matches , it would make my family feel better ."
nyt_eng_19950117_0437_53:3,unknown-polarity,so_excited,so,excited,Everyone is so excited .,nyt_eng_19950117_0437_53,3,nyt_eng_199501,"U.S. Sen. Kay Bailey Hutchison , a Republican who won her first full term the same night Bush was elected , said Tuesday was  -LBQ-  the day that the new generation is taking the leadership of Texas , and I 'm very proud to be a part of this .",There 's a terrific feeling .  -RDQ-
nyt_eng_19950116_0163_38:4,unknown-polarity,too_much,too,much,"-LBQ-  Everyone is too much into hockey in Montreal ,  -RDQ-  Lemaire said .",nyt_eng_19950116_0163_38,4,nyt_eng_199501,Lemaire thinks he has been more effective as a coach in New Jersey because the hockey environment is so different from that in Montreal .,-LBQ-  You spend a lot of time outside the rink doing things for the team and other people outside the game .
nyt_eng_19950116_0084_33:4,unknown-polarity,as_supportive,as,supportive,Not everyone was as supportive as the first correspondents .,nyt_eng_19950116_0084_33,4,nyt_eng_199501,There were 15 messages waiting .,"-LBQ-  It is irresponsible journalism ,  -RDQ-  Gerald S. Frankel wrote ,  -LBQ-  to ask for and publish stories of problems with CD-ROMs and computers while ignoring the excitement and wonder they can generate ."
nyt_eng_19950113_0448_5:4,unknown-polarity,absolutely_ecstatic,absolutely,ecstatic,"-LBQ-  Everyone was absolutely ecstatic ,  -RDQ-  said Leslie Egnot , who steered America3 through most of the race .",nyt_eng_19950113_0448_5,4,nyt_eng_199501,The unseasoned America3 team defeated the highly touted Stars & Stripes all-male crew by 1 minute 9 seconds Friday in the first match for an all-women 's team in the 144 years of the America 's Cup .,"-LBQ-  It was really , really terrific .  -RDQ-"
nyt_eng_19950113_0447_107:9,unknown-polarity,so_concerned,so,concerned,"-LBQ-  I know the reason why everyone is so concerned about my father 's health - that 's very clear ,  -RDQ-  she said .",nyt_eng_19950113_0447_107,9,nyt_eng_199501,"candid interview , Xiao Rong , Deng Xiaoping 's daughter , assessed her father 's failing health .",-LBQ-  His health declines day by day .  -RDQ-
nyt_eng_19950112_0391_7:9,unknown-polarity,so_concerned,so,concerned,"-LBQ-  I know the reason why everyone is so concerned about my father 's health -- that 's very clear ,  -RDQ-  she said .",nyt_eng_19950112_0391_7,9,nyt_eng_199501,"But as Ms. Xiao is traveling next week to New York and Paris to promote a biography of her father , she appeared eager to pre-empt the issue .","-LBQ-  His health declines day by day ,  -RDQ-  she said ."
nyt_eng_19950107_0180_25:11,unknown-polarity,well_aware,well,aware,They were entertaining the TV audience that everyone involved was well aware would eventually be watching the conversation .,nyt_eng_19950107_0180_25,11,nyt_eng_199501,"They were playing to the cameras ; there were three cameras rolling , according to Chung .","That 's the way I saw it , anyway ."
nyt_eng_19950102_0264_26:4,unknown-polarity,so_negative,so,negative,Not everyone was so negative about the impact of new tax cuts .,nyt_eng_19950102_0264_26,4,nyt_eng_199501,"America can not continue  -LBQ-  financing folly and mistakes with foreign borrowing ,  -RDQ-  he said .","Robert Willens , managing director of Lehman Brothers , said ,  -LBQ-  It could wind up a net nothing .  -RDQ-"
nyt_eng_19950101_0070_19:4,unknown-polarity,so_morose,so,morose,Not everyone was so morose .,nyt_eng_19950101_0070_19,4,nyt_eng_199501,-LBQ-  But now they are going to have to run it .  -RDQ-,"While assorted Democrats fretted , feted and gnashed , Newt Gingrich and his newly minted Republican majority were champing at the bit as they prepared to take over the House ."
nyt_eng_19960531_0678_29:4,unknown-polarity,so_lucky,so,lucky,Not everyone was so lucky .,nyt_eng_19960531_0678_29,4,nyt_eng_199605,They had started the day at 1 under .,"Hall of Famer Nancy Lopez , who never has won an Open , wo n't win this one , either , as a 75 left her 12 over ."
nyt_eng_19960531_0069_21:4,unknown-polarity,so_optimistic,so,optimistic,"Not everyone is so optimistic , especially after the dollar failed to top 109 yen this week in its second attempt this year .",nyt_eng_19960531_0069_21,4,nyt_eng_199605,"That was the 17th straight decline , meaning fewer dollars in the hands of Japanese exporters to sell for yen to bring profits home .","As of Wednesday , the expectation that interest rates in Japan would remain much lower than in the U.S. led many traders to believe the dollar would top 109 yen as soon as this week ."
