hit_id,category,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent,label,status
apw_eng_20070413_0774_18:12,neg-mit,almost_injured,almost,injured,"Fans were curious rather than knowledgeable , and a few were almost injured by foul balls , unaware they could catch the ball , duck away from it , or needed to be alert for shots sprayed into the stands .",apw_eng_20070413_0774_18,12,apw_eng_200704,"Pitchers throw the fastball when they are behind on the count , and save the curve ball until they are ahead .  -RDQ-","By coincidence , the opener was played the same day that Chinese Premier Wen Jiabao -- on a goodwill trip to Japan -- tossed a baseball around at Japan 's Ritsumeikan University .",apw_eng_20070413_0774_18:12_discard,discard
apw_eng_19980711_0763_7:7,neg-mit,still_active,still,active,"A few of the artists are still active , among them James Taylor , Rod Stewart , Carly Simon and Stevie Wonder .",apw_eng_19980711_0763_7,7,apw_eng_199807,"The set opens with Edison Lighthouse -LRB-  -LBQ-  Love Grows Where My Rosemary Goes  -RDQ-  -RRB- and closes with McFadden and Whitehead -LRB-  -LBQ-  Ai n't No Stopping Us Now  -RDQ-  -RRB- , meaning long-forgotten tunes from beginning to end .","But Rhino was unable to obtain licensing permission for songs by many '70s heavyweights , and those absent include the Rolling Stones , Elton John , Pink Floyd , Led Zeppelin , Bruce Springsteen , Billy Joel , the Eagles and Fleetwood Mac .",apw_eng_19980711_0763_7:7_discard,discard
apw_eng_20060920_1733_4:10,neg-mit,as_successful,as,successful,"In the history of wartime espionage , few were as successful as An .",apw_eng_20060920_1733_4,10,apw_eng_200609,"He had lived in the city , formerly known as Saigon , since South Vietnam fell to North Vietnamese forces on April 30 , 1975 .","He straddled two worlds for most of the 15-year war in Indochina as an undercover communist agent while also working as a journalist , first for Reuters news service and later for 10 years as Time magazine 's chief Vietnamese reporter -- a role that gave him access to military bases and background briefings .",apw_eng_20060920_1733_4:10_discard,discard
apw_eng_20060920_1609_4:10,neg-mit,as_successful,as,successful,"In the history of wartime espionage , few were as successful as An .",apw_eng_20060920_1609_4,10,apw_eng_200609,"He had lived in the city , formerly known as Saigon , since South Vietnam fell to North Vietnamese forces on April 30 , 1975 .","He straddled two worlds for most of the 15-year war in Indochina as an undercover communist agent while also working as a journalist , first for Reuters news service and later for 10 years as Time magazine 's chief Vietnamese reporter -- a role that gave him access to military bases and background briefings .",apw_eng_20060920_1609_4:10_discard,discard
apw_eng_20080129_1294_20:22,neg-mit,actually_likely,actually,likely,"-LBQ-  This might be a good idea for the very small number of kids involved , though few of them are actually likely to make it as professional players ,  -RDQ-  said John Williams , director for the Centre for the Sociology of Sport at the University of Leicester .",apw_eng_20080129_1294_20,22,apw_eng_200801,There also are fears the program may not have enough social safety nets in place for those young athletes who do n't make the final cut .,But he asks  -COL-   -LBQ-  What happens to those who fail ? ...,apw_eng_20080129_1294_20:22_discard,discard
apw_eng_19961223_0277_2:46,neg-mit,surprisingly_active,surprisingly,active,"Some of the items below have moved on this circuit in expanded form with  -LBQ-  f  -RDQ-  or  -LBQ-  i  -RDQ-  category codes  -COL-  HONG KONG -LRB- AP -RRB- _ Asian stock markets slipped into their traditional pre-Christmas doldrums Monday , but a few were surprisingly active .",apw_eng_19961223_0277_2,46,apw_eng_199612,A summary of late financial news from The Associated Press .,"Hong Kong witnessed an unseasonal burst of trading , while the Philippine market slumped over the health of President Fidel Ramos before recovering on news that his surgery went well .",apw_eng_19961223_0277_2:46_discard,discard
apw_eng_19961223_0255_2:46,neg-mit,surprisingly_active,surprisingly,active,"Some of the items below have moved on this circuit in expanded form with  -LBQ-  f  -RDQ-  or  -LBQ-  i  -RDQ-  category codes  -COL-  HONG KONG -LRB- AP -RRB- _ Asian stock markets slipped into their traditional pre-Christmas doldrums Monday , but a few were surprisingly active .",apw_eng_19961223_0255_2,46,apw_eng_199612,A summary of late financial news from The Associated Press .,"Hong Kong witnessed an unseasonal burst of trading , while the Philippine market slumped over the health of President Fidel Ramos before recovering on news that his surgery went well .",apw_eng_19961223_0255_2:46_discard,discard
apw_eng_19961215_0951_8:6,neg-mit,as_difficult,as,difficult,"Few of those championships were as difficult as this one , with suspensions to Michael Irvin and Leon Lett , a sputtering attack and injuries to key players .",apw_eng_19961215_0951_8,6,apw_eng_199612,Dallas -LRB- 10-5 -RRB- has won the division 18 times .,"The Patriots -LRB- 10-5 -RRB- are now 0-7 against the Cowboys , and the most productive offense in the NFL was held to two field goals .",apw_eng_19961215_0951_8:6_discard,discard
apw_eng_19961215_0807_3:6,neg-mit,as_difficult,as,difficult,"Few of those championships were as difficult as this one , with suspensions to Michael Irvin and Leon Lett , a sputtering attack and injuries to key players often thwarting the Cowboys .",apw_eng_19961215_0807_3,6,apw_eng_199612,The defending U.S. National Football League champions -LRB- 10-5 -RRB- have won their division 18 times .,"-LBQ-  I told the team they ought to be damn proud of the fact they 're the first team to ever win five consecutive NFC East titles ,  -RDQ-  coach Barry Switzer said .",apw_eng_19961215_0807_3:6_discard,discard
apw_eng_20100523_0065_41:9,neg-mit,as_generous,as,generous,"In a highly competitive profession , few were as generous and self-effacing as the man known to his colleagues , with affection , as  -LBQ-  Kuch  -RDQ-  -LRB- Kootch -RRB- .",apw_eng_20100523_0065_41,9,apw_eng_201005,"-LBQ-  From then on ,  -RDQ-  he said ,  -LBQ-  I was hooked .  -RDQ-",He would shy from credit for stories he had helped write -LRB- and break -RRB- and present framed copies of posters from shows that younger staffers had reviewed .,apw_eng_20100523_0065_41:9_discard,discard
