hit_id,colloc,sent_text,relay_form,neg_form,adv_form,adj_form,text_window,sent_id,prev_sent,token_str,lemma_str,next_sent,relay_lemma,neg_lemma,adv_lemma,adj_lemma,relay_index,neg_index,adv_index,adj_index,dep_relay_source,dep_relay_target,dep_relay_relation,dep_neg_source,dep_neg_target,dep_neg_relation,dep_mod_source,dep_mod_target,dep_mod_relation,json_source,match_ix,category
apw_eng_20041224_0195_9:0-9-10,immediately_available,No official at the U.S. Embassy in Pakistan was immediately available for comment .,official,no,immediately,available,no official at the U.S. Embassy in Pakistan was immediately available for comment,apw_eng_20041224_0195_9,"It was n't immediately possible to verify the claim by Richardson , a former ambassador to the United Nations .",no official at the U.S. Embassy in Pakistan was immediately available for comment .,no official at the U.S. Embassy in Pakistan be immediately available for comment .,An official at Pakistan 's Interior Ministry confirmed Aude 's release but refused to give any other details .,official,no,immediately,available,1,0,9,10,"{'lemma': 'available', 'ix': 10, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'official', 'ix': 1, 'xpos': 'NN', 'deprel': 'nsubj', 'head': 'available'}",nsubj,"{'lemma': 'official', 'ix': 1, 'xpos': 'NN', 'deprel': 'nsubj', 'head': 'available'}","{'lemma': 'no', 'ix': 0, 'xpos': 'DT', 'deprel': 'det', 'head': 'official'}",det,"{'lemma': 'available', 'ix': 10, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'immediately', 'ix': 9, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'available'}",advmod,apw_eng_200412,0-9-10,nonimmediateNeg
apw_eng_20041224_0031_32:0-6-7,quite_sure,No one in the family is quite sure how many children his mother gave birth to _ Guerrero estimates it at 16 to 24 _ but only nine survived to adulthood .,one,no,quite,sure,no one in the family is quite sure how many,apw_eng_20041224_0031_32,"When he got older , his mother taught him guitar , and during periodic trips to Mexico , relatives inspired him to write songs .",no one in the family is quite sure how many children his mother gave birth to _ Guerrero estimates it at 16 to 24 _ but only nine survived to adulthood .,no one in the family be quite sure how many child he mother give birth to _ Guerrero estimate it at 16 to 24 _ but only nine survive to adulthood .,"His father , who worked for the railroad , struggled to make ends meet .",one,no,quite,sure,1,0,6,7,"{'lemma': 'sure', 'ix': 7, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'one', 'ix': 1, 'xpos': 'CD', 'deprel': 'nsubj', 'head': 'sure'}",nsubj,"{'lemma': 'one', 'ix': 1, 'xpos': 'CD', 'deprel': 'nsubj', 'head': 'sure'}","{'lemma': 'no', 'ix': 0, 'xpos': 'DT', 'deprel': 'det', 'head': 'one'}",det,"{'lemma': 'sure', 'ix': 7, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'quite', 'ix': 6, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'sure'}",advmod,apw_eng_200412,0-6-7,nonimmediateNeg
apw_eng_20041223_0110_5:7-11-12,immediately_available,Search and rescue operations were continuing and no other information was immediately available .,information,no,immediately,available,continuing and no other information was immediately available .,apw_eng_20041223_0110_5,"He said the bus was headed for the island resort of Penang , about 300 kilometers -LRB- 190 kilometers -RRB- north of Kuala Lumpur .",Search and rescue operations were continuing and no other information was immediately available .,Search and rescue operation were continue and no other information be immediately available .,,information,no,immediately,available,9,7,11,12,"{'lemma': 'available', 'ix': 12, 'xpos': 'JJ', 'deprel': 'conj', 'head': 'continue'}","{'lemma': 'information', 'ix': 9, 'xpos': 'NN', 'deprel': 'nsubj', 'head': 'available'}",nsubj,"{'lemma': 'information', 'ix': 9, 'xpos': 'NN', 'deprel': 'nsubj', 'head': 'available'}","{'lemma': 'no', 'ix': 7, 'xpos': 'DT', 'deprel': 'det', 'head': 'information'}",det,"{'lemma': 'available', 'ix': 12, 'xpos': 'JJ', 'deprel': 'conj', 'head': 'continue'}","{'lemma': 'immediately', 'ix': 11, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'available'}",advmod,apw_eng_200412,7-11-12,nonimmediateNeg
apw_eng_20041223_0095_3:2-5-6,very_heavy,"-LBQ-  Those few moments were very heavy for us , like we were going -LRB- to die -RRB- ,  -RDQ-  Information Minister Sheikh Rashid Ahmed told reporters afterward .",moments,few,very,heavy,`` Those few moments were very heavy for us,apw_eng_20041223_0095_3,"Women and children wept and some recited Muslim prayers afraid they were about to die after the apparent near-miss late Wednesday of the two domestic airliners , carrying more than 300 people , including the chief government spokesman .","`` Those few moments were very heavy for us , like we were going -LRB- to die -RRB- , '' Information Minister Sheikh Rashid Ahmed told reporters afterward .","`` those few moment be very heavy for we , like we were go -lrb- to die -rrb- , '' Information Minister Sheikh Rashid Ahmed tell reporter afterward .","Air Blue commercial director Nasir Ali said its flight , from Karachi to Lahore with 144 passengers , was assigned an altitude of 37,000 feet -LRB- 11,200 meters -RRB- , which it maintained , passing the PIA plane below it with the required altitude separation of 1,000 feet -LRB- 300 meters -RRB- , and completing a routine flight .",moments,few,very,heavy,3,2,5,6,"{'lemma': 'heavy', 'ix': 6, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'tell'}","{'lemma': 'moment', 'ix': 3, 'xpos': 'NNS', 'deprel': 'nsubj', 'head': 'heavy'}",nsubj,"{'lemma': 'moment', 'ix': 3, 'xpos': 'NNS', 'deprel': 'nsubj', 'head': 'heavy'}","{'lemma': 'few', 'ix': 2, 'xpos': 'JJ', 'deprel': 'amod', 'head': 'moment'}",amod,"{'lemma': 'heavy', 'ix': 6, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'tell'}","{'lemma': 'very', 'ix': 5, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'heavy'}",advmod,apw_eng_200412,2-5-6,nonimmediateNeg
apw_eng_20041206_0195_4:0-3-4,immediately_available,No one was immediately available for comment at Telecom Italia on Monday .,one,no,immediately,available,no one was immediately available for comment,apw_eng_20041206_0195_4,"TIM shares closed Friday at euro5 .17 -LRB- US$ 6.95 -RRB- , giving it a market capitalization of euro43 .6 billion -LRB- US$ 58.6 -RRB- and suggesting that Telecom Italia 's offer will be the equivalent of at least euro19 billion -LRB- US$ 25.5 -RRB- .",no one was immediately available for comment at Telecom Italia on Monday .,no one be immediately available for comment at Telecom Italia on Monday .,"By acquiring TIM fully , Italy 's largest telecommunications company could use the debtless mobile division 's annual cash flow to help reduce the group 's over euro30 billion -LRB- US$ 40.3 billion -RRB- debt .",one,no,immediately,available,1,0,3,4,"{'lemma': 'available', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'one', 'ix': 1, 'xpos': 'NN', 'deprel': 'nsubj', 'head': 'available'}",nsubj,"{'lemma': 'one', 'ix': 1, 'xpos': 'NN', 'deprel': 'nsubj', 'head': 'available'}","{'lemma': 'no', 'ix': 0, 'xpos': 'DT', 'deprel': 'det', 'head': 'one'}",det,"{'lemma': 'available', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'immediately', 'ix': 3, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'available'}",advmod,apw_eng_200412,0-3-4,nonimmediateNeg
apw_eng_20041206_0193_3:0-4-5,immediately_available,No additional details were immediately available .,details,no,immediately,available,no additional details were immediately available .,apw_eng_20041206_0193_3,"The Airbus 320 experienced the unspecified problems after leaving Paris ' Charles de Gaulle airport , NET said .",no additional details were immediately available .,no additional detail be immediately available .,,details,no,immediately,available,2,0,4,5,"{'lemma': 'available', 'ix': 5, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'detail', 'ix': 2, 'xpos': 'NNS', 'deprel': 'nsubj', 'head': 'available'}",nsubj,"{'lemma': 'detail', 'ix': 2, 'xpos': 'NNS', 'deprel': 'nsubj', 'head': 'available'}","{'lemma': 'no', 'ix': 0, 'xpos': 'DT', 'deprel': 'det', 'head': 'detail'}",det,"{'lemma': 'available', 'ix': 5, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'immediately', 'ix': 4, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'available'}",advmod,apw_eng_200412,0-4-5,nonimmediateNeg
apw_eng_20041202_0057_3:0-8-9,immediately_available,No information on the survivor 's condition was immediately available .,information,no,immediately,available,no information on the survivor 's condition was immediately available .,apw_eng_20041202_0057_3,"The only survivor , the co-pilot , was taken to a Chattanooga hospital , Hamilton County Sheriff John Cupp said .",no information on the survivor 's condition was immediately available .,no information on the survivor 's condition be immediately available .,The twin-engine Cessna 421 crashed in a thicket of trees about 1 1\/2 miles -LRB- 1.6 kilometers -RRB- north of the Collegedale Municipal Airport .,information,no,immediately,available,1,0,8,9,"{'lemma': 'available', 'ix': 9, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'information', 'ix': 1, 'xpos': 'NN', 'deprel': 'nsubj', 'head': 'available'}",nsubj,"{'lemma': 'information', 'ix': 1, 'xpos': 'NN', 'deprel': 'nsubj', 'head': 'available'}","{'lemma': 'no', 'ix': 0, 'xpos': 'DT', 'deprel': 'det', 'head': 'information'}",det,"{'lemma': 'available', 'ix': 9, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'immediately', 'ix': 8, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'available'}",advmod,apw_eng_200412,0-8-9,nonimmediateNeg
apw_eng_20041201_0324_5:0-4-5,immediately_available,No further details were immediately available on the agreement or the detainees .,details,no,immediately,available,no further details were immediately available on the,apw_eng_20041201_0324_5,The Yemeni official said Sherpao and Yemeni officials will also discuss the draft of a security agreement between the two countries and the fate of an undisclosed number of Yemeni detainees in Pakistan .,no further details were immediately available on the agreement or the detainees .,no further detail be immediately available on the agreement or the detainee .,"Last month , a Pakistani intelligence official said that a low-level al-Qaida suspect _ a Yemeni in his 20s identified as Saleh Nauman _ had been arrested in Lahore .",details,no,immediately,available,2,0,4,5,"{'lemma': 'available', 'ix': 5, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'detail', 'ix': 2, 'xpos': 'NNS', 'deprel': 'nsubj', 'head': 'available'}",nsubj,"{'lemma': 'detail', 'ix': 2, 'xpos': 'NNS', 'deprel': 'nsubj', 'head': 'available'}","{'lemma': 'no', 'ix': 0, 'xpos': 'DT', 'deprel': 'det', 'head': 'detail'}",det,"{'lemma': 'available', 'ix': 5, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'immediately', 'ix': 4, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'available'}",advmod,apw_eng_200412,0-4-5,nonimmediateNeg
apw_eng_20041201_0272_2:3-5-6,as_effective,"Anti-personnel mines are no longer as effective as in the past because warfare has changed considerably since World War II and armies are more mobile than in the past , Kenyan Brig. Gen. Emiliano Tonui said .",longer,no,as,effective,mines are no longer as effective as in,apw_eng_20041201_0272_2,"Retired and active-duty military officers from seven countries voiced support Wednesday for efforts to ban the use , stockpiling and production of anti-personnel mines worldwide , arguing the human cost far outweighs their limited military value .","anti-personnel mines are no longer as effective as in the past because warfare has changed considerably since World War II and armies are more mobile than in the past , Kenyan Brig. Gen. Emiliano Tonui said .","anti-personnel mine be no longer as effective as in the past because warfare has change considerably since World War II and army be more mobile than in the past , Kenyan Brig. Gen. Emiliano Tonui say .","-LBQ-  Basic improvements in military weapons and equipment ranging from more and better automatic weapons through a greater use of protected vehicles to basic sensor suites have rendered anti-personnel mines redundant ,  -RDQ-  Tonui said , reading a statement by the group .",longer,no,as,effective,4,3,5,6,"{'lemma': 'effective', 'ix': 6, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'say'}","{'lemma': 'longer', 'ix': 4, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'effective'}",advmod,"{'lemma': 'longer', 'ix': 4, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'effective'}","{'lemma': 'no', 'ix': 3, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'longer'}",advmod,"{'lemma': 'effective', 'ix': 6, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'say'}","{'lemma': 'as', 'ix': 5, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'effective'}",advmod,apw_eng_200412,3-5-6,nonimmediateNeg
apw_eng_20041201_0245_22:0-3-4,immediately_available,No details were immediately available on that fighting .,details,no,immediately,available,no details were immediately available on that,apw_eng_20041201_0245_22,"Elsewhere in Darfur , a region the size of France , U.N. personnel are not venturing into some areas where intermittent fighting continues involving Arab militiamen , the government and members of the other key non-Arab rebel group , the Justice and Equality Movement .",no details were immediately available on that fighting .,no detail be immediately available on that fighting .,mo-sjs,details,no,immediately,available,1,0,3,4,"{'lemma': 'available', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'detail', 'ix': 1, 'xpos': 'NNS', 'deprel': 'nsubj', 'head': 'available'}",nsubj,"{'lemma': 'detail', 'ix': 1, 'xpos': 'NNS', 'deprel': 'nsubj', 'head': 'available'}","{'lemma': 'no', 'ix': 0, 'xpos': 'DT', 'deprel': 'det', 'head': 'detail'}",det,"{'lemma': 'available', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'immediately', 'ix': 3, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'available'}",advmod,apw_eng_200412,0-3-4,nonimmediateNeg
