hit_id,colloc,sent_text,relay_form,neg_form,adv_form,adj_form,text_window,sent_id,prev_sent,sent_text,token_str,lemma_str,next_sent,relay_lemma,neg_lemma,adv_lemma,adj_lemma,relay_index,neg_index,adv_index,adj_index,dep_relay_source,dep_relay_target,dep_relay_relation,dep_neg_source,dep_neg_target,dep_neg_relation,dep_mod_source,dep_mod_target,dep_mod_relation,json_source,match_ix,colloc,category
nyt_eng_20101231_0061_49:9-12-13,so_far-fetched,But the outline of an accommodation that he sketches no longer seems so far-fetched .,longer,no,so,far-fetched,but the outline of an accommodation that he sketches no longer seems so far-fetched .,nyt_eng_20101231_0061_49,"For all his polite charm , he remains strident at times , denouncing what he called Turkish occupation , oppression and genocide .",But the outline of an accommodation that he sketches no longer seems so far-fetched .,but the outline of an accommodation that he sketches no longer seems so far-fetched .,but the outline of a accommodation that he sketch no longer seem so far-fetched .,"He urged the United States , as well as other nations , to stop seeing the conflict through the prism of the  -LBQ-  war on terror ,  -RDQ-  but rather through that of self-determination .",longer,no,so,far-fetched,10,9,12,13,"{'lemma': 'far-fetched', 'ix': 13, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'longer', 'ix': 10, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'far-fetched'}",advmod,"{'lemma': 'longer', 'ix': 10, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'far-fetched'}","{'lemma': 'no', 'ix': 9, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'longer'}",advmod,"{'lemma': 'far-fetched', 'ix': 13, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'so', 'ix': 12, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'far-fetched'}",advmod,nyt_eng_201012,9-12-13,so_far-fetched,nonimmediateNeg
nyt_eng_20101230_0141_34:9-12-13,too_small,"As the twins talked about the Facebook case , no detail was too small to omit , from where they first met Zuckerberg -LRB- the Kirkland House dining room -RRB- to the layout of Zuckerberg 's dorm room , to the content of the e-mails he had sent them after they asked him to do computer programming for a website called Harvard Connection .",detail,no,too,small,"as the twins talked about the Facebook case , no detail was too small to omit , from where they first met Zuckerberg -LRB- the Kirkland House dining room -RRB- to the layout of Zuckerberg 's dorm room , to the content of the e-mails he had sent them after they asked him to do computer programming for a website called Harvard Connection .",nyt_eng_20101230_0141_34,"For the interview , they wore hoodies and jeans , and only the variation in the hoodies -- one zippered with a Ron Jon Surf Shop emblem , one a pullover with a Quicksilver logo -- helped to tell them apart .","As the twins talked about the Facebook case , no detail was too small to omit , from where they first met Zuckerberg -LRB- the Kirkland House dining room -RRB- to the layout of Zuckerberg 's dorm room , to the content of the e-mails he had sent them after they asked him to do computer programming for a website called Harvard Connection .","as the twins talked about the Facebook case , no detail was too small to omit , from where they first met Zuckerberg -LRB- the Kirkland House dining room -RRB- to the layout of Zuckerberg 's dorm room , to the content of the e-mails he had sent them after they asked him to do computer programming for a website called Harvard Connection .","as the twin talk about the Facebook case , no detail be too small to omit , from where they first meet Zuckerberg -lrb- the Kirkland House dining room -rrb- to the layout of Zuckerberg 's dorm room , to the content of the e-mails he had send they after they ask he to do computer programming for a website call Harvard Connection .","They recited arcane facts about the valuation of private companies and even quoted from the Securities Act of 1934 , which they say Facebook violated when it drew up the settlement .",detail,no,too,small,10,9,12,13,"{'lemma': 'small', 'ix': 13, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'detail', 'ix': 10, 'xpos': 'NN', 'deprel': 'nsubj', 'head': 'small'}",nsubj,"{'lemma': 'detail', 'ix': 10, 'xpos': 'NN', 'deprel': 'nsubj', 'head': 'small'}","{'lemma': 'no', 'ix': 9, 'xpos': 'DT', 'deprel': 'det', 'head': 'detail'}",det,"{'lemma': 'small', 'ix': 13, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'too', 'ix': 12, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'small'}",advmod,nyt_eng_201012,9-12-13,too_small,nonimmediateNeg
nyt_eng_20101230_0135_58:19-21-22,so_certain,"For years , Ben Richardson hoped his son would retire , but as the decision nears , he is no longer so certain .",longer,no,so,certain,"for years , Ben Richardson hoped his son would retire , but as the decision nears , he is no longer so certain .",nyt_eng_20101230_0135_58,He might put his MBA in finance to use instead .,"For years , Ben Richardson hoped his son would retire , but as the decision nears , he is no longer so certain .","for years , Ben Richardson hoped his son would retire , but as the decision nears , he is no longer so certain .","for year , Ben Richardson hope he son would retire , but as the decision near , he be no longer so certain .","-LBQ-  I want him to do what his heart desires ,  -RDQ-  Ben Richardson said .",longer,no,so,certain,20,19,21,22,"{'lemma': 'certain', 'ix': 22, 'xpos': 'JJ', 'deprel': 'conj', 'head': 'hope'}","{'lemma': 'longer', 'ix': 20, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'certain'}",advmod,"{'lemma': 'longer', 'ix': 20, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'certain'}","{'lemma': 'no', 'ix': 19, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'longer'}",advmod,"{'lemma': 'certain', 'ix': 22, 'xpos': 'JJ', 'deprel': 'conj', 'head': 'hope'}","{'lemma': 'so', 'ix': 21, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'certain'}",advmod,nyt_eng_201012,19-21-22,so_certain,nonimmediateNeg
nyt_eng_20101230_0102_34:9-12-13,too_small,"As the twins talked about the Facebook case , no detail was too small to omit , from where they first met Zuckerberg -LRB- the Kirkland House dining room -RRB- to the layout of Zuckerberg 's dorm room , to the content of the e-mails he had sent them after they asked him to do computer programming for a website called Harvard Connection .",detail,no,too,small,"as the twins talked about the Facebook case , no detail was too small to omit , from where they first met Zuckerberg -LRB- the Kirkland House dining room -RRB- to the layout of Zuckerberg 's dorm room , to the content of the e-mails he had sent them after they asked him to do computer programming for a website called Harvard Connection .",nyt_eng_20101230_0102_34,"For the interview , they wore hoodies and jeans , and only the variation in the hoodies -- one zippered with a Ron Jon Surf Shop emblem , one a pullover with a Quicksilver logo -- helped to tell them apart .","As the twins talked about the Facebook case , no detail was too small to omit , from where they first met Zuckerberg -LRB- the Kirkland House dining room -RRB- to the layout of Zuckerberg 's dorm room , to the content of the e-mails he had sent them after they asked him to do computer programming for a website called Harvard Connection .","as the twins talked about the Facebook case , no detail was too small to omit , from where they first met Zuckerberg -LRB- the Kirkland House dining room -RRB- to the layout of Zuckerberg 's dorm room , to the content of the e-mails he had sent them after they asked him to do computer programming for a website called Harvard Connection .","as the twin talk about the Facebook case , no detail be too small to omit , from where they first meet Zuckerberg -lrb- the Kirkland House dining room -rrb- to the layout of Zuckerberg 's dorm room , to the content of the e-mails he had send they after they ask he to do computer programming for a website call Harvard Connection .","They recited arcane facts about the valuation of private companies and even quoted from the Securities Act of 1934 , which they say Facebook violated when it drew up the settlement .",detail,no,too,small,10,9,12,13,"{'lemma': 'small', 'ix': 13, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'detail', 'ix': 10, 'xpos': 'NN', 'deprel': 'nsubj', 'head': 'small'}",nsubj,"{'lemma': 'detail', 'ix': 10, 'xpos': 'NN', 'deprel': 'nsubj', 'head': 'small'}","{'lemma': 'no', 'ix': 9, 'xpos': 'DT', 'deprel': 'det', 'head': 'detail'}",det,"{'lemma': 'small', 'ix': 13, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'too', 'ix': 12, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'small'}",advmod,nyt_eng_201012,9-12-13,too_small,nonimmediateNeg
nyt_eng_20101230_0034_42:1-6-7,as_punishing,-LBQ-  No questions  -RDQ-  can be as punishing as anything else .,questions,No,as,punishing,.,nyt_eng_20101230_0034_42,Or they just ignore them .,-LBQ-  No questions  -RDQ-  can be as punishing as anything else .,`` No questions '' can be as punishing as anything else .,`` no question '' can be as punishing as anything else .,"The savaged witness will usually get a few healing remarks from the other party , but he or she has already been hung out to dry on national television .",questions,No,as,punishing,2,1,6,7,"{'lemma': 'punishing', 'ix': 7, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'question', 'ix': 2, 'xpos': 'NNS', 'deprel': 'nsubj', 'head': 'punishing'}",nsubj,"{'lemma': 'question', 'ix': 2, 'xpos': 'NNS', 'deprel': 'nsubj', 'head': 'punishing'}","{'lemma': 'no', 'ix': 1, 'xpos': 'DT', 'deprel': 'det', 'head': 'question'}",det,"{'lemma': 'punishing', 'ix': 7, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'as', 'ix': 6, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'punishing'}",advmod,nyt_eng_201012,1-6-7,as_punishing,nonimmediateNeg
nyt_eng_20101230_0029_12:10-19-20,more_likely,-LBQ-  If we hold ourselves responsible for our behavior -- none of which is entirely voluntary -- we are more likely to consciously direct our actions rather than succumbing to impulse .  -RDQ-,voluntary,none,more,likely,`` If we hold ourselves responsible for our behavior -- none of which is entirely voluntary -- we are more likely to consciously direct our actions rather than succumbing to impulse . '',nyt_eng_20101230_0029_12,The addiction label serves to absolve us of blame and therefore responsibility for our actions .,-LBQ-  If we hold ourselves responsible for our behavior -- none of which is entirely voluntary -- we are more likely to consciously direct our actions rather than succumbing to impulse .  -RDQ-,`` If we hold ourselves responsible for our behavior -- none of which is entirely voluntary -- we are more likely to consciously direct our actions rather than succumbing to impulse . '',`` if we hold ourselves responsible for we behavior -- none of which be entirely voluntary -- we be more likely to consciously direct we action rather than succumb to impulse . '',"That worthy aim , however , is frequently lost in a warehouse of anecdotes , quotations , digressions and references that are piled up but not analyzed in much depth .",voluntary,none,more,likely,15,10,19,20,"{'lemma': 'likely', 'ix': 20, 'xpos': 'JJ', 'deprel': 'root', 'head': ""''""}","{'lemma': 'voluntary', 'ix': 15, 'xpos': 'JJ', 'deprel': 'parataxis', 'head': 'likely'}",parataxis,"{'lemma': 'voluntary', 'ix': 15, 'xpos': 'JJ', 'deprel': 'parataxis', 'head': 'likely'}","{'lemma': 'none', 'ix': 10, 'xpos': 'NN', 'deprel': 'nsubj', 'head': 'voluntary'}",nsubj,"{'lemma': 'likely', 'ix': 20, 'xpos': 'JJ', 'deprel': 'root', 'head': ""''""}","{'lemma': 'more', 'ix': 19, 'xpos': 'RBR', 'deprel': 'advmod', 'head': 'likely'}",advmod,nyt_eng_201012,10-19-20,more_likely,nonimmediateNeg
nyt_eng_20101230_0001_72:22-25-26,quite_sure,"He is still expected to be among the top quarterbacks picked in the draft , albeit far from No. 1 , though no one seems quite sure what to expect of him as a professional .",one,no,quite,sure,"he is still expected to be among the top quarterbacks picked in the draft , albeit far from No. 1 , though no one seems quite sure what to expect of him as a professional .",nyt_eng_20101230_0001_72,"And when he decided to return for his senior year , he took out an insurance policy that would provide him with a very comfortable living should an injury prevent him from going on to NFL wealth .","He is still expected to be among the top quarterbacks picked in the draft , albeit far from No. 1 , though no one seems quite sure what to expect of him as a professional .","he is still expected to be among the top quarterbacks picked in the draft , albeit far from No. 1 , though no one seems quite sure what to expect of him as a professional .","he is still expect to be among the top quarterback pick in the draft , albeit far from No. 1 , though no one seem quite sure what to expect of he as a professional .",Will he learn to read defenses better and pass more precisely ?,one,no,quite,sure,23,22,25,26,"{'lemma': 'sure', 'ix': 26, 'xpos': 'JJ', 'deprel': 'advcl', 'head': 'expect'}","{'lemma': 'one', 'ix': 23, 'xpos': 'CD', 'deprel': 'nsubj', 'head': 'sure'}",nsubj,"{'lemma': 'one', 'ix': 23, 'xpos': 'CD', 'deprel': 'nsubj', 'head': 'sure'}","{'lemma': 'no', 'ix': 22, 'xpos': 'DT', 'deprel': 'det', 'head': 'one'}",det,"{'lemma': 'sure', 'ix': 26, 'xpos': 'JJ', 'deprel': 'advcl', 'head': 'expect'}","{'lemma': 'quite', 'ix': 25, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'sure'}",advmod,nyt_eng_201012,22-25-26,quite_sure,nonimmediateNeg
nyt_eng_20101229_0086_14:4-7-8,more_effervescent,"To make the last few weeks even more effervescent , Samuel Adams and the Bavarian brewery Weihenstephan rolled out their deluxe Champagne-like Infinium ale , packaged in a deluxe 750 ml Cava-style bottle , closed with a cork and priced at about $ 22 .",weeks,few,more,effervescent,"to make the last few weeks even more effervescent , Samuel Adams and the Bavarian brewery Weihenstephan rolled out their deluxe Champagne-like Infinium ale , packaged in a deluxe 750 ml Cava-style bottle , closed with a cork and priced at about $ 22 .",nyt_eng_20101229_0086_14,"And late this year , Cupcake Vineyards in California debuted its Prosecco from the Veneto region of Italy .","To make the last few weeks even more effervescent , Samuel Adams and the Bavarian brewery Weihenstephan rolled out their deluxe Champagne-like Infinium ale , packaged in a deluxe 750 ml Cava-style bottle , closed with a cork and priced at about $ 22 .","to make the last few weeks even more effervescent , Samuel Adams and the Bavarian brewery Weihenstephan rolled out their deluxe Champagne-like Infinium ale , packaged in a deluxe 750 ml Cava-style bottle , closed with a cork and priced at about $ 22 .","to make the last few week even more effervescent , Samuel Adams and the Bavarian brewery Weihenstephan roll out they deluxe Champagne-like Infinium ale , package in a deluxe 750 ml cava-style bottle , close with a cork and price at about $ 22 .","Like so many other local retailers , Dean Rondy of Oxford Wine &amp; Beverage in Oxford said his supply ran out the first day , though it 's still available at select spots around town .",weeks,few,more,effervescent,5,4,7,8,"{'lemma': 'effervescent', 'ix': 8, 'xpos': 'JJ', 'deprel': 'xcomp', 'head': 'make'}","{'lemma': 'week', 'ix': 5, 'xpos': 'NNS', 'deprel': 'nsubj', 'head': 'effervescent'}",nsubj,"{'lemma': 'week', 'ix': 5, 'xpos': 'NNS', 'deprel': 'nsubj', 'head': 'effervescent'}","{'lemma': 'few', 'ix': 4, 'xpos': 'JJ', 'deprel': 'amod', 'head': 'week'}",amod,"{'lemma': 'effervescent', 'ix': 8, 'xpos': 'JJ', 'deprel': 'xcomp', 'head': 'make'}","{'lemma': 'more', 'ix': 7, 'xpos': 'RBR', 'deprel': 'advmod', 'head': 'effervescent'}",advmod,nyt_eng_201012,4-7-8,more_effervescent,nonimmediateNeg
nyt_eng_20101229_0062_71:22-25-26,quite_sure,"He is still expected to be among the top quarterbacks picked in the draft , albeit far from No. 1 , though no one seems quite sure what to expect of him as a professional .",one,no,quite,sure,"he is still expected to be among the top quarterbacks picked in the draft , albeit far from No. 1 , though no one seems quite sure what to expect of him as a professional .",nyt_eng_20101229_0062_71,"And when he decided to return for his senior year , he took out an insurance policy that would provide him with a very comfortable living should an injury prevent him from going on to NFL wealth .","He is still expected to be among the top quarterbacks picked in the draft , albeit far from No. 1 , though no one seems quite sure what to expect of him as a professional .","he is still expected to be among the top quarterbacks picked in the draft , albeit far from No. 1 , though no one seems quite sure what to expect of him as a professional .","he is still expect to be among the top quarterback pick in the draft , albeit far from No. 1 , though no one seem quite sure what to expect of he as a professional .",Will he learn to read defenses better and pass more precisely ?,one,no,quite,sure,23,22,25,26,"{'lemma': 'sure', 'ix': 26, 'xpos': 'JJ', 'deprel': 'advcl', 'head': 'expect'}","{'lemma': 'one', 'ix': 23, 'xpos': 'CD', 'deprel': 'nsubj', 'head': 'sure'}",nsubj,"{'lemma': 'one', 'ix': 23, 'xpos': 'CD', 'deprel': 'nsubj', 'head': 'sure'}","{'lemma': 'no', 'ix': 22, 'xpos': 'DT', 'deprel': 'det', 'head': 'one'}",det,"{'lemma': 'sure', 'ix': 26, 'xpos': 'JJ', 'deprel': 'advcl', 'head': 'expect'}","{'lemma': 'quite', 'ix': 25, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'sure'}",advmod,nyt_eng_201012,22-25-26,quite_sure,nonimmediateNeg
nyt_eng_20101228_0124_24:0-3-4,more_challenging,"No project was more challenging for Wainwright than his first one , the film for the Olympic campaign .",project,no,more,challenging,campaign .,nyt_eng_20101228_0124_24,"The involvement of high-level officials underscores how seriously the government takes its global image , but it also presents Wainwright with a grey-suited bloc of bureaucracy that he must try to crack through with his ideas .","No project was more challenging for Wainwright than his first one , the film for the Olympic campaign .","no project was more challenging for Wainwright than his first one , the film for the Olympic campaign .","no project be more challenging for Wainwright than he first one , the film for the Olympic campaign .",Wainwright presented an upbeat proposal titled  -LBQ-  From Russia With Love  -RDQ-  that was to end with a crowd of children in Red Square shouting the phrase in English .,project,no,more,challenging,1,0,3,4,"{'lemma': 'challenging', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'project', 'ix': 1, 'xpos': 'NN', 'deprel': 'nsubj', 'head': 'challenging'}",nsubj,"{'lemma': 'project', 'ix': 1, 'xpos': 'NN', 'deprel': 'nsubj', 'head': 'challenging'}","{'lemma': 'no', 'ix': 0, 'xpos': 'DT', 'deprel': 'det', 'head': 'project'}",det,"{'lemma': 'challenging', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'more', 'ix': 3, 'xpos': 'RBR', 'deprel': 'advmod', 'head': 'challenging'}",advmod,nyt_eng_201012,0-3-4,more_challenging,nonimmediateNeg
