                l1  l2                  f     E11  r.log.likelihood  r.Poisson.Stirling  r.odds.ratio  r.Dice  r.dPEX  r.dPXE  am.log.likelihood  am.Poisson.Stirling  am.odds.ratio  am.Dice  am.dPEX  am.dPXE      f1      f2         N  
------------------  --------------  -----  ------  ----------------  ------------------  ------------  ------  ------  ------  -----------------  -------------------  -------------  -------  -------  -------  ------  ------  --------  
                de  rigueur          1499    0.03               474                 433             1       1       1       5           35526.12              6457.02    10000000.00    0.992    1.000    0.984    1524    1499  84106274  
             nerve  wracking          946    0.01               770                 685             2       2       3       3           23159.78              4258.78           8.61    0.985    0.984    0.986     959     961  84106274  
              bone  marrow           1147    0.02               668                 602             3       3       4      31           26391.06              4967.21           7.21    0.887    0.981    0.809    1418    1169  84106274  
          scantily  clad             5365    0.45               160                 136             4       4      21       2          106397.95             19546.81           6.92    0.866    0.768    0.994    5398    6990  84106274  
             chock  full             2339    3.06               548                 514             5     628   17247       1           31090.99              5728.01           6.26    0.042    0.021    0.998    2340  110010  84106274  
            thinly  veiled           1560    0.04               501                 434             6       5      24      15           33831.31              6455.18           6.25    0.829    0.758    0.913    1708    2057  84106274  
            middle  aged             2206    0.29               423                 351             7      21    1234      10           39371.20              7617.36           5.36    0.346    0.211    0.957    2305   10434  84106274  
            golden  brown            2351    0.36               401                 337             8      24    1423      11           41096.01              7959.41           5.21    0.323    0.195    0.949    2477   12087  84106274  
          sparsely  populated        1006    0.05               901                 746             9      10     499      37           19692.18              3938.37           5.20    0.475    0.340    0.785    1281    2956  84106274  
            finely  chopped           914    0.05              1007                 833            10      20      11     295           17415.53              3476.33           5.14    0.354    0.838    0.224    4076    1091  84106274  
          upwardly  mobile           2098    0.58               496                 422            11      77    3948       8           34019.07              6552.69           5.00    0.171    0.094    0.960    2184   22376  84106274  
            medium  bodied            632    0.03              1413                1147            12      14     153     178           12050.33              2478.97           4.84    0.406    0.501    0.341    1854    1261  84106274  
           tightly  knit             1080    0.07               892                 721            13      11     106     159           19944.06              4067.07           4.75    0.442    0.556    0.366    2949    1943  84106274  
              full  bodied            368    0.02              2262                1866            14      26     716     214            6793.41              1422.47           4.60    0.295    0.292    0.299    1231    1261  84106274  
             dimly  lit               787    0.05              1215                 973            15      18     274     179           14283.30              2950.80           4.60    0.376    0.419    0.341    2310    1877  84106274  
      electrically  conductive       1061    0.08               927                 752            16      13     366     115           19076.63              3918.60           4.59    0.410    0.381    0.444    2391    2782  84106274  
           densely  populated         949    0.08              1044                 838            17      19     570     122           16751.35              3459.94           4.49    0.365    0.321    0.423    2245    2956  84106274  
       religiously  unaffiliated     1048    0.13               981                 804            18      36      46     522           17910.42              3639.72           4.48    0.241    0.687    0.146    7155    1525  84106274  
         carefully  orchestrated      428    0.03              2076                1716            19      54     180     571            7549.82              1571.56           4.46    0.210    0.484    0.134    3189     884  84106274  
     diametrically  opposite          862    0.13              1203                 982            20      83    3946      42           14442.00              2923.86           4.44    0.166    0.094    0.732    1177    9190  84106274  
         inversely  proportional     1528    0.19               681                 559            21      22    1084      56           26019.93              5293.07           4.44    0.336    0.229    0.627    2436    6667  84106274  
               far  away             1283    6.77              1288                1211            22    8446       2   33949           13372.60              2365.21           4.43    0.006    0.988    0.003  440555    1292  84106274  
          morbidly  obese            3018    0.52               331                 261            23      12     661      47           50169.70             10050.69           4.43    0.420    0.302    0.691    4370    9989  84106274  
              fast  paced            1590    0.24               663                 549            24      29      49     396           26522.92              5372.63           4.39    0.286    0.680    0.181    8788    2339  84106274  
          brightly  hued              342    0.02              2518                2077            25      40     754     341            6026.50              1269.26           4.39    0.235    0.283    0.201    1703    1208  84106274  
              left  unchecked         440    0.03              2038                1671            26      34    1150     212            7692.02              1615.23           4.37    0.255    0.222    0.300    1466    1981  84106274  
           squeaky  clean            1002    1.11              1285                1132            27    1518   29084       9           13382.03              2526.85           4.36    0.022    0.011    0.959    1044   89309  84106274  
         minimally  invasive        16685    8.04                53                  47            28       7     145      32          252253.09             48099.38           4.34    0.625    0.510    0.807   20671   32712  84106274  
       desperately  needed            914    0.19              1179                 957            29     123      25    1243           14771.90              2976.28           4.34    0.129    0.758    0.070   12996    1206  84106274  
           rapidly  aging             666    0.08              1502                1228            30      62     110     644           11241.55              2323.35           4.32    0.199    0.546    0.121    5489    1219  84106274  
          brightly  lit               418    0.04              2171                1769            31      42    1141     270            7156.53              1507.74           4.27    0.234    0.223    0.245    1703    1877  84106274  
           crystal  clear            9609   58.08               171                 153            32     725   18948       4           97541.56             17145.80           4.27    0.037    0.019    0.985    9696  503815  84106274  
             light  hearted           420    0.04              2178                1777            33      46    1262     272            7125.09              1502.21           4.23    0.226    0.209    0.245    1717    2006  84106274  
             brand  new             46484  200.10                24                  21            34      44    2597       6          506686.29             89795.92           4.23    0.230    0.130    0.981   47221  356404  84106274  
           legally  binding          2429    1.23               476                 395            35     130       7    1342           35510.55              6949.20           4.20    0.122    0.865    0.066   36893    2806  84106274  
        spotlessly  clean            1516    1.71               882                 766            36     863   20912      13           20071.93              3810.48           4.19    0.033    0.017    0.941    1610   89309  84106274  
             proof  positive         1550    3.50               955                 848            37    2225   36393       7           18563.08              3427.96           4.17    0.017    0.008    0.968    1598  184375  84106274  
              open  minded           1157    0.22               957                 769            38      56    2665      71           18505.19              3803.49           4.14    0.209    0.128    0.567    2041    9050  84106274  
            partly  cloudy          39342   37.10                20                  15            39       6      18      57          548341.23            101944.10           4.14    0.699    0.796    0.623   63136   49418  84106274  
    electronically  controlled        171    0.02              4557                3712            40     117    3547     379            2843.96               606.12           4.12    0.133    0.103    0.188     908    1663  84106274  
           tightly  wove              384    0.05              2433                1986            41      73     797     594            6289.10              1328.88           4.10    0.177    0.275    0.130    2949    1395  84106274  
        virulently  anti-gay          140    0.01              5320                4333            42     126    2714     622            2319.38               495.68           4.09    0.125    0.126    0.124    1125    1109  84106274  
            gently  undulating        341    0.05              2704                2231            43     114     445    1024            5548.95              1168.46           4.09    0.134    0.356    0.083    4120     959  84106274  
         thermally  conductive        289    0.04              3131                2549            44      97    3493     265            4690.64               994.70           4.05    0.147    0.104    0.249    1162    2782  84106274  
          straight  forward           846    0.14              1271                1013            45      38    1555     190           13493.19              2826.30           4.03    0.235    0.184    0.325    2602    4590  84106274  
        virulently  anti-israel       115    0.01              6304                5125            46     161    3128     802            1876.43               401.86           4.03    0.108    0.114    0.102    1125    1013  84106274  
            evenly  divisible         144    0.02              5288                4304            47     152    1899     991            2340.05               500.03           4.02    0.112    0.162    0.085    1685     891  84106274  
   internationally  supervised        518    0.12              1971                1626            48     216     116    1881            7998.53              1654.91           3.99    0.089    0.541    0.048   10694     957  84106274  
            finely  wrought           277    0.04              3288                2684            49     155     648    1301            4404.69               931.76           3.99    0.111    0.304    0.068    4076     910  84106274  
          verbally  abusive          1666    0.45               701                 568            50      52    2534      78           25429.52              5219.30           3.98    0.213    0.132    0.553    3014   12596  84106274  
         backwards  compatible       1291    0.68               960                 795            51     327   10439      34           18464.70              3668.97           3.98    0.070    0.037    0.793    1628   35306  84106274  
            better  equipped          570    0.12              1819                1495            52     135     200    1299            8858.70              1845.19           3.98    0.119    0.467    0.068    8373    1220  84106274  
           rapidly  evolve           1015    0.20              1104                 871            53      39     556     384           15811.22              3309.35           3.95    0.235    0.323    0.185    5489    3141  84106274  
          backward  compatible        827    0.44              1443                1220            54     544   15817      38           11779.55              2346.15           3.95    0.045    0.023    0.783    1055   35306  84106274  
               hiv  positive         1091    2.52              1329                1193            55    3467   47011      12           12901.43              2402.34           3.93    0.012    0.006    0.947    1150  184375  84106274  
           happily  married           330    0.06              2871                2357            56     118     968     930            5161.12              1094.86           3.91    0.132    0.244    0.091    3636    1351  84106274  
        terminally  ill             15971   23.70                66                  61            57      35    2297      17          202455.39             38238.93           3.91    0.245    0.142    0.903   17671  112806  84106274  
        habitually  resident          108    0.02              6809                5498            58     205    3804     965            1704.53               365.66           3.90    0.092    0.097    0.088    1234    1114  84106274  
     aesthetically  pleasing        13081    7.88                73                  66            59       9     325      51          185346.00             36442.21           3.90    0.492    0.394    0.656   19942   33229  84106274  
           rapidly  deployable        347    0.07              2783                2297            60     167     550    1410            5364.65              1132.33           3.90    0.106    0.325    0.063    5489    1067  84106274  
        previously  unreleased       4830    4.92               259                 217            61     131       9    1340           63737.55             12354.58           3.86    0.122    0.856    0.066   73336    5640  84106274  
     competitively  priced            173    0.03              4743                3871            62     179    5110     481            2687.98               574.58           3.86    0.101    0.075    0.157    1104    2314  84106274  
              open  year-round        191    0.03              4421                3591            63     154    2371     896            2966.92               634.23           3.86    0.112    0.138    0.094    2041    1384  84106274  
        ordinarily  resident          154    0.03              5207                4216            64     190    2362    1127            2394.05               512.37           3.86    0.098    0.138    0.076    2014    1114  84106274  
       intricately  wove              213    0.04              4071                3338            65     153    2073     955            3282.12               701.03           3.84    0.112    0.153    0.088    2416    1395  84106274  
           loosely  knit              262    0.05              3535                2872            66     125    2454     663            4022.11               858.30           3.83    0.126    0.135    0.119    2210    1943  84106274  
            openly  gay             22852   18.89                46                  39            67       8     101      68          312183.20             60520.67           3.82    0.573    0.564    0.582   39258   40472  84106274  
        cautiously  optimistic       9383   10.78               135                 116            68      59    3056      26          121663.35             23509.46           3.79    0.203    0.115    0.841   11143   81346  84106274  
           closely  related         27148   48.73                43                  37            69      23    1321      18          334160.51             62756.59           3.79    0.330    0.203    0.886   30597  133951  84106274  
        virulently  anti-semitic      235    0.05              3866                3152            70     200    6360     323            3553.88               757.05           3.78    0.094    0.061    0.209    1125    3881  84106274  
          formerly  communist        1263    0.48               967                 779            71     119     128    1169           18278.85              3768.14           3.78    0.131    0.527    0.075   16942    2396  84106274  
        virulently  anti-american     125    0.03              6239                5068            72     247    5834     718            1898.35               407.25           3.77    0.083    0.066    0.111    1125    1898  84106274  
          narrowly  mixed             616    0.15              1763                1419            73      75    1702     434            9220.59              1953.33           3.77    0.172    0.174    0.169    3639    3533  84106274  
            pearly  white             948    0.91              1372                1164            74    1075   23697      30           12466.28              2451.36           3.75    0.029    0.015    0.812    1167   65230  84106274  
       empirically  verifiable        158    0.03              5223                4231            75     208    4974     706            2382.42               510.57           3.75    0.092    0.077    0.113    1392    2061  84106274  
               non  existent         1933    0.82               643                 522            76      78     123     817           27642.31              5678.34           3.75    0.170    0.533    0.101   19065    3622  84106274  
           rapidly  shrinking         279    0.07              3441                2815            77     237     891    1775            4151.47               881.31           3.74    0.085    0.256    0.051    5489    1091  84106274  
             light  bodied            120    0.03              6490                5252            78     260    3887    1255            1807.73               388.11           3.74    0.081    0.095    0.070    1717    1261  84106274  
         privately  run                84    0.02              8363                6790            79     333    6123    1132            1267.75               272.68           3.74    0.069    0.063    0.076    1101    1339  84106274  
             twice  weekly            891    0.25              1301                1036            80      64    1301     389           13149.84              2774.96           3.74    0.193    0.204    0.183    4855    4363  84106274  
           rabidly  anti-gay           58    0.01             10921                8843            81     400    7474    1437             872.10               187.90           3.73    0.057    0.052    0.062     932    1109  84106274  
            better  known             388    0.12              2657                2196            82     255     530    1977            5678.44              1197.54           3.72    0.081    0.330    0.046    8373    1175  84106274  
      academically  ineligible       1101    0.35              1090                 861            83      65     687     560           16048.84              3370.80           3.71    0.188    0.298    0.138    7992    3699  84106274  
        nationally  broadcast         331    0.11              3065                2513            84     377     431    2804            4795.86              1009.14           3.69    0.061    0.361    0.033    9993     916  84106274  
