l1,l2,f,E11,r_log_likelihood,r_Poisson_Stirling,r_odds_ratio,r_Dice,r_dPEX,r_dPXE,am_log_likelihood,am_Poisson_Stirling,am_odds_ratio,am_Dice,am_dPEX,am_dPXE,f1,f2,N
brightly,hued,342,2.6161782e-02,2547,2103,43,52,1072,507,5.9732209e+03,1.2592660e+03,4.3481187e+00,2.2514812e-01,2.7578937e-01,1.9020081e-01,1798,1240,85220496
diametrically,opposite,862,1.3649127e-01,1213,983,44,95,5323,63,1.4250426e+04,2.9015850e+03,4.3419959e+00,1.6451952e-01,9.3518144e-02,6.8294475e-01,1262,9217,85220496
minimally,invasive,16685,7.9598466e+00,53,47,45,8,211,42,2.5249980e+05,4.8171715e+04,4.3416589e+00,6.2418166e-01,5.0944947e-01,8.0530534e-01,20714,32748,85220496
desperately,needed,914,1.8556895e-01,1177,955,46,141,34,1698,1.4778969e+04,2.9779458e+03,4.3397149e+00,1.2766255e-01,7.5773413e-01,6.9698396e-02,13113,1206,85220496
vicariously,liable,485,1.4236716e-01,2078,1782,47,599,21792,37,7.5495393e+03,1.5025482e+03,4.3132622e+00,4.5414111e-02,2.3344205e-02,8.3024136e-01,584,20775,85220496
lushly,landscaped,90,5.9126035e-03,7403,6053,48,142,3553,854,1.5773539e+03,3.3733523e+02,4.3002507e+00,1.2676056e-01,1.2948895e-01,1.2413083e-01,725,695,85220496
freshly,shaven,214,1.7155028e-02,3810,3123,49,100,996,998,3.7013649e+03,7.8360976e+02,4.2933831e+00,1.5799188e-01,2.8761386e-01,1.0889963e-01,1965,744,85220496
righteously,indignant,219,1.8486398e-02,3767,3081,50,110,4881,287,3.7671912e+03,7.9700612e+02,4.2757093e+00,1.5124309e-01,1.0091571e-01,3.0163000e-01,726,2170,85220496
crystal,clear,9609,5.7434886e+01,171,153,51,801,26173,6,9.7734091e+04,1.7192499e+04,4.2617561e+00,3.7363518e-02,1.9039744e-02,9.8491105e-01,9699,504653,85220496
worried,sick,498,4.0440541e-01,2246,2003,52,2723,54724,17,6.8937064e+03,1.3227467e+03,4.2536063e+00,1.5334165e-02,7.7303240e-03,9.3009106e-01,535,64418,85220496
inextricably,interwoven,155,1.3878539e-02,4885,4047,53,191,8587,248,2.6478550e+03,5.6012249e+02,4.2517786e+00,1.0288749e-01,6.0804534e-02,3.3402363e-01,464,2549,85220496
rapidly,ageing,368,5.3370471e-02,2525,2114,54,222,128,2386,6.0662550e+03,1.2527648e+03,4.2450868e+00,9.3389164e-02,5.8684105e-01,5.0727592e-02,7254,627,85220496
brightly,lit,418,3.9917815e-02,2185,1791,55,51,1569,396,7.1081534e+03,1.4988289e+03,4.2433271e+00,2.2655827e-01,2.2091404e-01,2.3246324e-01,1798,1892,85220496
brand,new,46484,1.9777085e+02,24,21,56,48,3524,7,5.0774113e+05,9.0032383e+04,4.2342729e+00,2.3005333e-01,1.3023868e-01,9.8066475e-01,47225,356890,85220496
light,hearted,420,4.1070894e-02,2181,1785,57,54,1726,380,7.1208453e+03,1.5016767e+03,4.2315112e+00,2.2382094e-01,2.0769975e-01,2.4261552e-01,1731,2022,85220496
fast,paced,1590,2.8433479e-01,688,560,58,35,123,564,2.5775105e+04,5.2681035e+03,4.2214161e+00,2.7151639e-01,5.9231212e-01,1.7610590e-01,9028,2684,85220496
left,unchecked,440,4.5344902e-02,2115,1726,59,55,1573,403,7.4122569e+03,1.5631571e+03,4.2070267e+00,2.2380468e-01,2.2053381e-01,2.2713715e-01,1937,1995,85220496
legally,binding,2429,1.2318491e+00,473,395,60,150,12,1831,3.5495406e+04,6.9483380e+03,4.1916556e+00,1.2093903e-01,8.6400292e-01,6.5013328e-02,37359,2810,85220496
spotlessly,clean,1516,1.6974992e+00,880,765,61,955,29019,15,2.0093294e+04,3.8151583e+03,4.1915191e+00,3.3150379e-02,1.6871086e-02,9.4057833e-01,1610,89852,85220496
rapidly,aging,666,1.0546414e-01,1547,1270,62,103,169,1233,1.0835324e+04,2.2418059e+03,4.1770702e+00,1.5683504e-01,5.3745296e-01,9.1804690e-02,7254,1239,85220496
multi,dimensional,60,4.9807736e-03,10126,8266,63,257,8296,775,1.0199370e+03,2.1879360e+02,4.1720492e+00,8.5714286e-02,6.2757000e-02,1.3512462e-01,444,956,85220496
rapidly,grow,277,4.3411388e-02,3261,2707,64,348,162,3301,4.4993228e+03,9.3365111e+02,4.1619610e+00,7.1354972e-02,5.4305538e-01,3.8183094e-02,7254,510,85220496
dearly,beloved,642,2.2662253e-01,1695,1433,65,510,19218,44,9.7049388e+03,1.9375159e+03,4.1596149e+00,5.1722054e-02,2.6724713e-02,7.9823312e-01,804,24021,85220496
proof,positive,1550,3.4790268e+00,954,843,66,2446,51356,9,1.8569351e+04,3.4325981e+03,4.1484004e+00,1.6596355e-02,8.3693182e-03,9.6599002e-01,1601,185187,85220496
freshly,baked,116,1.1436685e-02,6260,5113,67,220,1414,2030,1.9446240e+03,4.1433615e+02,4.1482696e+00,9.4270622e-02,2.3384927e-01,5.9028620e-02,1965,496,85220496
farther,east,280,3.1403009e-02,3179,2593,68,116,4959,296,4.6545703e+03,9.8444984e+02,4.1474245e+00,1.4858053e-01,9.9282930e-02,2.9501761e-01,949,2820,85220496
open,minded,1157,2.2568979e-01,959,772,69,66,3773,99,1.8430602e+04,3.7897847e+03,4.1273416e+00,2.0253829e-01,1.2342916e-01,5.6374374e-01,2052,9373,85220496
old,demographic,133,1.3096814e-02,5628,4597,70,145,3217,934,2.2232255e+03,4.7512807e+02,4.1241601e+00,1.2535344e-01,1.3809803e-01,1.1474436e-01,1159,963,85220496
twice,yearly,247,3.4569501e-02,3573,2950,71,259,336,2582,4.0299573e+03,8.4466821e+02,4.1241157e+00,8.5600416e-02,4.3633758e-01,4.7450627e-02,5205,566,85220496
diametrically,opposed,82,7.8189641e-03,8198,6698,72,228,2730,1832,1.3732095e+03,2.9408235e+02,4.1231323e+00,9.1620112e-02,1.5528918e-01,6.4970995e-02,1262,528,85220496
partly,cloudy,39342,3.7179531e+01,20,15,73,7,23,78,5.4728606e+05,1.0190593e+05,4.1219368e+00,6.9356886e-01,7.9109613e-01,6.1715287e-01,63735,49713,85220496
as-yet,undetermined,70,6.6513577e-03,9168,7479,74,265,8794,712,1.1715600e+03,2.5115253e+02,4.1169817e+00,8.4439083e-02,5.9518975e-02,1.4521524e-01,482,1176,85220496
blackly,comic,314,4.9897715e-02,2943,2440,75,243,10923,139,5.0638570e+03,1.0564701e+03,4.1044096e+00,8.7758524e-02,4.8288843e-02,4.8004971e-01,654,6502,85220496
electronically,controlled,171,1.8674768e-02,4664,3808,76,136,4825,547,2.8287469e+03,6.0319334e+02,4.0947231e+00,1.3023610e-01,1.0195867e-01,1.8017200e-01,949,1677,85220496
thickly,accented,28,2.5801070e-03,17445,14128,77,427,9252,1893,4.6778086e+02,1.0083432e+02,4.0890682e+00,5.9637913e-02,5.6790227e-02,6.2774813e-02,446,493,85220496
rapidly,deteriorating,314,5.4902638e-02,2975,2470,78,290,245,2885,5.0054004e+03,1.0434352e+03,4.0662476e+00,7.9503735e-02,4.8674027e-01,4.3282578e-02,7254,645,85220496
rest,assured,68,7.0743897e-03,9449,7704,79,247,6209,1209,1.1235391e+03,2.4129973e+02,4.0626022e+00,8.7403599e-02,8.2217153e-02,9.3269557e-02,729,827,85220496
sexually,dimorphic,469,3.5426299e-01,2377,2099,80,2479,10,16950,6.4777881e+03,1.2604622e+03,4.0517326e+00,1.6375412e-02,8.8091854e-01,8.2637231e-03,56749,532,85220496
gently,undulating,341,5.0575228e-02,2743,2269,81,143,629,1502,5.4935703e+03,1.1575320e+03,4.0499659e+00,1.2664810e-01,3.4862304e-01,7.7369425e-02,4407,978,85220496
thermally,conductive,289,3.8266100e-02,3159,2571,82,117,4737,372,4.6926383e+03,9.9525507e+02,4.0489735e+00,1.4595960e-01,1.0349971e-01,2.4740214e-01,1168,2792,85220496
straight,forward,846,1.4201513e-01,1270,1013,83,46,2105,260,1.3488741e+04,2.8262671e+03,4.0317494e+00,2.3399253e-01,1.8389210e-01,3.2150669e-01,2631,4600,85220496
evenly,divisible,144,1.8528547e-02,5424,4434,84,175,2652,1384,2.3284238e+03,4.9769664e+02,4.0030397e+00,1.0880242e-01,1.5857159e-01,8.2797245e-02,1739,908,85220496
temperamentally,unsuited,75,9.2771110e-03,8922,7281,85,298,9396,831,1.2139132e+03,2.6050155e+02,3.9916981e+00,7.7720207e-02,5.5964106e-02,1.2710380e-01,590,1340,85220496
tightly,wove,384,5.9784069e-02,2505,2048,86,105,1161,988,6.1208285e+03,1.2954053e+03,3.9909625e+00,1.5512018e-01,2.6315750e-01,1.0995302e-01,3492,1459,85220496
as-yet,unnamed,93,1.2505231e-02,7712,6286,87,370,12485,492,1.4952539e+03,3.1965000e+02,3.9831382e+00,6.9067954e-02,4.2057850e-02,1.9292120e-01,482,2211,85220496
internationally,supervised,518,1.2389132e-01,1985,1634,88,253,165,2617,7.9777498e+03,1.6508631e+03,3.9790320e+00,8.6636561e-02,5.3946036e-01,4.7094285e-02,10998,960,85220496
eagerly,anticipated,152,2.0913631e-02,5232,4252,89,179,6378,619,2.4374677e+03,5.2092219e+02,3.9741477e+00,1.0730674e-01,8.0413998e-02,1.6116730e-01,943,1890,85220496
farther,downstream,63,7.9509746e-03,10153,8282,90,318,5707,1788,1.0151985e+03,2.1827142e+02,3.9688617e+00,7.5766687e-02,8.8224897e-02,6.6378030e-02,949,714,85220496
verbally,abusive,1666,4.5344866e-01,701,570,91,61,3450,108,2.5392629e+04,5.2160001e+03,3.9685699e+00,2.1221578e-01,1.3173537e-01,5.4502823e-01,3056,12645,85220496
better,equipped,570,1.2296619e-01,1826,1500,92,154,288,1759,8.8378605e+03,1.8421229e+03,3.9637163e+00,1.1763492e-01,4.5958494e-01,6.7439777e-02,8451,1240,85220496
rapidly,escalating,231,4.5709638e-02,3899,3212,93,432,352,3959,3.6031616e+03,7.5521054e+02,3.9618734e+00,5.9299191e-02,4.3008519e-01,3.1840909e-02,7254,537,85220496
backwards,compatible,1291,6.8884302e-01,961,798,94,360,14338,50,1.8401649e+04,3.6645183e+03,3.9455025e+00,6.9586309e-02,3.6414232e-02,7.7918855e-01,1656,35449,85220496
neatly,manicured,36,4.6344837e-03,15148,12321,95,458,7270,2676,5.7727502e+02,1.2441624e+02,3.9428305e+00,5.5987558e-02,7.0997199e-02,4.6207567e-02,779,507,85220496
left,unattended,120,1.7342436e-02,6374,5190,96,237,2687,1937,1.9096699e+03,4.0869320e+02,3.9421463e+00,8.8888889e-02,1.5725260e-01,6.1943926e-02,1937,763,85220496
finely,wrought,277,4.7872005e-02,3358,2738,97,184,963,1846,4.3540352e+03,9.2188472e+02,3.9415109e+00,1.0542341e-01,2.9245534e-01,6.4291116e-02,4308,947,85220496
enviromentally,friendly,501,8.3833952e-01,2473,2242,98,6818,91697,18,6.2096350e+03,1.1734038e+03,3.9399625e+00,7.5150188e-03,3.7722976e-03,9.2967438e-01,538,132795,85220496
smartly,uniformed,35,4.5591380e-03,15476,12576,99,461,10708,1860,5.6026750e+02,1.2078118e+02,3.9358286e+00,5.5688146e-02,4.9359284e-02,6.3860704e-02,548,709,85220496
badly,sprained,245,4.7694817e-02,3739,3071,100,343,519,3197,3.8121876e+03,8.0271810e+02,3.9312447e+00,7.1511967e-02,3.7340578e-01,3.9536817e-02,6196,656,85220496
handicap,accessible,426,8.7124853e-01,2916,2646,101,10798,113941,16,5.1285250e+03,9.6061852e+02,3.9297223e+00,5.1724766e-03,2.5930490e-03,9.4055532e-01,452,164266,85220496
backward,compatible,827,4.4383787e-01,1446,1220,102,602,21807,51,1.1758274e+04,2.3453610e+03,3.9283043e+00,4.5295213e-02,2.3326473e-02,7.7466402e-01,1067,35449,85220496
fun,loving,299,9.9313832e-02,3294,2773,103,991,29442,72,4.4499465e+03,9.1026572e+02,3.9265485e+00,3.2298137e-02,1.6566773e-02,6.3731840e-01,469,18046,85220496
hiv,positive,1091,2.5011617e+00,1326,1191,104,3845,67261,14,1.2914603e+04,2.4060789e+03,3.9242281e+00,1.1709904e-02,5.8906367e-03,9.4571116e-01,1151,185187,85220496
virulently,anti-gay,140,2.1116106e-02,5646,4602,105,188,4172,1173,2.2142895e+03,4.7421076e+02,3.9177044e+00,1.0393467e-01,1.1427012e-01,9.5290195e-02,1469,1225,85220496
west,african,180,3.4395951e-02,4696,3863,106,440,16269,235,2.7995309e+03,5.9120473e+02,3.9173532e+00,5.8470034e-02,3.1927889e-02,3.4608981e-01,520,5637,85220496
farther,south,110,1.6447604e-02,6879,5586,107,230,6931,922,1.7394762e+03,3.7300951e+02,3.9123945e+00,9.0684254e-02,7.4465443e-02,1.1589544e-01,949,1477,85220496
multi,orgasmic,24,3.2510489e-03,19971,16191,108,613,13608,2219,3.8179029e+02,8.2413438e+01,3.9093494e+00,4.4943820e-02,3.8456610e-02,5.4047013e-02,444,624,85220496
as-yet,unspecified,27,3.7894640e-03,18562,15040,109,573,13015,2123,4.2770519e+02,9.2299270e+01,3.8956797e+00,4.6875000e-02,4.0293168e-02,5.6009052e-02,482,670,85220496
terminally,ill,15971,2.3601387e+01,66,61,110,41,3135,22,2.0234132e+05,3.8268115e+04,3.8937326e+00,2.4376321e-01,1.4096348e-01,8.9837915e-01,17755,113282,85220496
happily,married,330,6.0936280e-02,2915,2385,111,140,1354,1304,5.1303961e+03,1.0887834e+03,3.8927176e+00,1.2798138e-01,2.4048424e-01,8.7174034e-02,3785,1372,85220496
south,east,115,1.9159475e-02,6690,5466,112,379,12848,476,1.8002830e+03,3.8456227e+02,3.8925399e+00,6.7666961e-02,4.0774697e-02,1.9858657e-01,579,2820,85220496
aesthetically,pleasing,13081,7.9296044e+00,73,66,113,11,469,68,1.8501527e+05,3.6405665e+04,3.8909213e+00,4.8636389e-01,3.8698792e-01,6.5393772e-01,19996,33795,85220496
densely,wooded,165,2.7842598e-02,4996,4084,114,217,2266,1829,2.5787416e+03,5.5084915e+02,3.8862084e+00,9.5073466e-02,1.7625424e-01,6.5079710e-02,2535,936,85220496
left,unaddressed,93,1.4842216e-02,7849,6376,115,337,3093,2544,1.4586609e+03,3.1273014e+02,3.8850653e+00,7.1814672e-02,1.4239796e-01,4.8005819e-02,1937,653,85220496
neatly,coiffed,28,4.0677421e-03,18135,14704,116,595,8279,3502,4.4169081e+02,9.5298284e+01,3.8819200e+00,4.5751634e-02,6.2912536e-02,3.5938624e-02,779,445,85220496
left,untreated,107,1.7456082e-02,7103,5765,117,294,3185,2164,1.6739752e+03,3.5878625e+02,3.8772620e+00,7.9112754e-02,1.3930144e-01,5.5232305e-02,1937,768,85220496
habitually,resident,108,1.7402891e-02,7053,5711,118,239,5148,1413,1.6902335e+03,3.6271885e+02,3.8737702e+00,8.8379705e-02,9.6328294e-02,8.1620766e-02,1323,1121,85220496
empirically,testable,90,1.4628746e-02,8066,6573,119,308,4323,2049,1.4062157e+03,3.0192668e+02,3.8663787e+00,7.6595745e-02,1.1123143e-01,5.8395197e-02,1541,809,85220496
open,year-round,191,3.3926909e-02,4506,3673,120,173,3300,1213,2.9624409e+03,6.3339317e+02,3.8561671e+00,1.1037272e-01,1.3553529e-01,9.3065629e-02,2052,1409,85220496
competitively,priced,173,3.1006848e-02,4841,3966,121,203,6999,661,2.6801135e+03,5.7302686e+02,3.8523932e+00,9.9539701e-02,7.3512014e-02,1.5402607e-01,1123,2353,85220496
generously,sized,53,8.4779957e-03,11825,9625,122,410,8358,1911,8.2726687e+02,1.7816947e+02,3.8518956e+00,6.2352941e-02,6.2270330e-02,6.2417020e-02,849,851,85220496
ordinarily,resident,154,2.7400017e-02,5325,4334,123,212,3235,1594,2.3852405e+03,5.1058321e+02,3.8472905e+00,9.6129838e-02,1.3735471e-01,7.3920482e-02,2083,1121,85220496
virulently,anti-israel,115,1.9719857e-02,6745,5477,124,242,4903,1476,1.7855924e+03,3.8312245e+02,3.8471951e+00,8.8021431e-02,1.0050859e-01,7.8272473e-02,1469,1144,85220496
militantly,anti-israel,52,8.4973925e-03,12014,9778,125,439,11650,1395,8.0960982e+02,1.7432601e+02,3.8441398e+00,5.8525605e-02,4.5447728e-02,8.2135685e-02,633,1144,85220496
previously,unreleased,4830,5.1070326e+00,261,217,126,156,13,1902,6.3345775e+04,1.2275368e+04,3.8439843e+00,1.1674563e-01,8.5477637e-01,6.2637155e-02,77099,5645,85220496
smoothly,shaven,43,7.1064595e-03,13705,11114,127,467,9095,2285,6.6774358e+02,1.4394339e+02,3.8312324e+00,5.5198973e-02,5.7786652e-02,5.2817327e-02,814,744,85220496
socioeconomically,disadvantaged,208,5.3869553e-02,4305,3577,128,650,22306,172,3.1258672e+03,6.5570450e+02,3.8290202e+00,4.3122214e-02,2.2741219e-02,4.1423776e-01,502,9145,85220496
crisply,uniformed,27,4.4260245e-03,18819,15249,129,641,13743,2384,4.1911256e+02,9.0478498e+01,3.8248259e+00,4.3513296e-02,3.8075880e-02,5.0743877e-02,532,709,85220496
centrally,air-conditioned,69,1.2218892e-02,9825,7995,130,389,9966,1323,1.0640375e+03,2.2890907e+02,3.8146137e+00,6.5683008e-02,5.3068333e-02,8.6127877e-02,801,1300,85220496
fourth,all-time,41,7.1521762e-03,14202,11566,131,570,6044,3826,6.3253959e+02,1.3628610e+02,3.8109448e+00,4.7207830e-02,8.4002218e-02,3.2821016e-02,1249,488,85220496
rapidly,evolve,1015,2.6881012e-01,1143,895,132,71,769,748,1.5207513e+04,3.1898668e+03,3.8108251e+00,1.9496735e-01,3.2133274e-01,1.3989765e-01,7254,3158,85220496
loosely,knit,262,5.2869570e-02,3591,2927,133,148,3352,954,4.0021990e+03,8.5432987e+02,3.8099881e+00,1.2300469e-01,1.3412859e-01,1.1354756e-01,2307,1953,85220496
intricately,wove,213,4.2526812e-02,4165,3417,134,177,2994,1335,3.2546632e+03,6.9553495e+02,3.8071695e+00,1.0803956e-01,1.4596376e-01,8.5734171e-02,2484,1459,85220496
openly,gay,22852,1.9149148e+01,46,39,135,9,147,94,3.1097381e+05,6.0385959e+04,3.8010846e+00,5.6564356e-01,5.5839201e-01,5.7266341e-01,39890,40910,85220496
neatly,interwoven,119,2.3300392e-02,6633,5396,136,342,11313,666,1.8190048e+03,3.8959282e+02,3.8009245e+00,7.1514423e-02,4.6677230e-02,1.5273143e-01,779,2549,85220496
finely,ground,116,2.5022854e-02,6821,5561,137,552,1405,4770,1.7592277e+03,3.7489189e+02,3.7939177e+00,4.8303144e-02,2.3429424e-01,2.6922201e-02,4308,495,85220496
cautiously,optimistic,9383,1.0827051e+01,134,116,138,68,4202,35,1.2150524e+05,2.3490688e+04,3.7856953e+00,2.0011944e-01,1.1356915e-01,8.3915860e-01,11170,82604,85220496
vehemently,anti-gay,51,9.4871544e-03,12331,10000,139,472,12602,1507,7.8036014e+02,1.6810313e+02,3.7838195e+00,5.4111406e-02,4.1625507e-02,7.7258951e-02,660,1225,85220496
closely,related,27148,4.8799976e+01,43,37,140,27,1831,24,3.3380115e+05,6.2739673e+04,3.7808194e+00,3.2660623e-01,2.0021523e-01,8.8369001e-01,30677,135566,85220496
filthy,rich,489,6.4311870e-01,2477,2212,141,4747,75853,26,6.1948185e+03,1.1964477e+03,3.7743288e+00,9.9535906e-03,5.0045280e-03,8.7051711e-01,561,97695,85220496
rapidly,deployable,347,9.1078794e-02,2887,2380,142,270,746,2562,5.1724236e+03,1.0918763e+03,3.7724051e+00,8.3373378e-02,3.2421802e-01,4.7827192e-02,7254,1070,85220496
