hit_id,colloc,adv,adj,sent_text,sent_id,adv_index
nyt_eng_19940701_0008_4:6,much_concerned,much,concerned,"-LBQ-  I never was too much concerned about the glory ,  -RDQ-  he said between drags on a cigarette .",nyt_eng_19940701_0008_4,6
nyt_eng_19940702_0251_23:6,too_old,too,old,"-LBQ-  You can never be too old to learn ,  -RDQ-  Butler said recently .",nyt_eng_19940702_0251_23,6
nyt_eng_19940704_0169_3:6,too_popular,too,popular,"Lloyd Webber has never been too popular with critics -LRB- only audiences -RRB- , and the reviews in London were mixed .",nyt_eng_19940704_0169_3,6
nyt_eng_19940705_0031_9:4,so_patriotic,so,patriotic,I was never so patriotic until I started traveling to other countries .,nyt_eng_19940705_0031_9,4
nyt_eng_19940706_0018_5:9,entirely_pleased,entirely,pleased,District officials say the public will never be entirely pleased -- largely because of the tolls .,nyt_eng_19940706_0018_5,9
nyt_eng_19940706_0048_37:63,legally_available,legally,available,"Several videos have been denied any classification at all while the government prepares new guidelines , so  -LBQ-  Reservoir Dogs ,  -RDQ-   -LBQ-  Dirty Weekend ,  -RDQ-   -LBQ-  Bad Lieutenant  -RDQ-  and  -LBQ-  Mikey  -RDQ-  have joined a list headed by  -LBQ-  Straw Dogs ,  -RDQ-   -LBQ-  The Texas Chainsaw Massacre  -RDQ-  and  -LBQ-  The Exorcist ,  -RDQ-  which have never been legally available on video in Britain .",nyt_eng_19940706_0048_37,63
nyt_eng_19940706_0060_13:5,so_perilous,so,perilous,"The predicament is never so perilous that it ca n't yield to the comic incursions of the mating game , as when Joanne Dru , in the Indian attack in  -LBQ-  Red River ,  -RDQ-  realizes the cowboy beside her -LRB- Montgomery Clift -RRB- , shooting at the Indians , is the man for her .",nyt_eng_19940706_0060_13,5
nyt_eng_19940706_0075_12:9,as_addictive,as,addictive,"Even in their heyday , movies were never as addictive nor as immediately influential .",nyt_eng_19940706_0075_12,9
nyt_eng_19940706_0242_5:5,too_early,too,early,-LBQ-  It 's never too early to begin interesting young people in the,nyt_eng_19940706_0242_5,5
nyt_eng_19940707_0208_22:30,particularly_doctrinaire,particularly,doctrinaire,"In the end , the film lets us make up our own minds , but it certainly leaves us with the impression that Leni Riefenstahl 's motivations were never particularly doctrinaire , and her attraction to Nazis , athletes and Nubians was a lot more sexual than it was political .",nyt_eng_19940707_0208_22,30
