adj_lemma,SUM,very,more,most,so,not,too,as,much,really,pretty,even,also,quite,less,extremely,still,always,relatively,far,just,particularly,now,highly,only,completely,all,especially,no,incredibly,well,that,fairly,slightly,increasingly,entirely,super,totally,truly,absolutely,rather,almost,already,significantly,equally,long,often,somewhat,actually
SUM,43084757,6640992,4496373,4435381,4051942,3778204,2646899,2544988,1623851,1477843,1030268,848821,711982,616243,585500,560683,421229,419404,378812,356207,350276,311182,278407,270441,266954,258217,246344,242474,221864,217530,208528,208274,203653,201553,200857,171408,170667,146300,143801,138040,134153,119556,119415,119247,113949,109263,103058,92278,91446
good,2615147,654214,21187,5882,157541,146898,59743,249386,287964,262843,243769,132184,24516,27839,2670,9845,16752,52488,6468,51624,11661,17470,1518,69,14034,542,22677,10099,22983,3673,839,21613,10689,14360,670,442,1938,471,3558,908,4646,1340,2453,9244,4691,1259,4367,3193,9927
many,2176300,21237,373,140,1193640,59044,450194,434631,201,518,54,5310,1132,230,54,36,1019,94,92,244,346,90,870,8,480,23,45,134,3,42,306,4045,13,7,105,6,4,7,67,29,173,62,243,10,111,120,512,4,192
important,2082998,359610,306604,748533,105645,24432,12879,102823,1826,72183,6594,658,67118,5670,25159,51949,9112,9316,281,48,2471,26247,556,4792,4091,73,3866,35875,6,16543,131,7727,1008,106,22154,32,4633,122,4438,889,1748,58,143,298,29798,660,1600,1156,1337
much,1761481,42365,102,22,616018,80132,583184,355368,284,3068,57884,999,407,87,15,47,406,69,27,55,91,21,172,1,85,1,117,20,19,56,118,19558,42,3,11,2,2,2,25,5,45,5,54,3,13,213,105,3,150
likely,1031548,35899,498425,192661,847,64680,1196,31828,526,467,1312,883,16840,7419,139548,2131,3271,1131,63,260,215,1102,2392,12881,2482,20,924,1379,22,168,62,128,496,18,4779,549,30,16,25,17,168,23,287,28,2382,124,154,907,383
easy,910933,125745,7334,1584,89376,134357,40493,73504,137264,29780,31829,18794,13601,18554,1864,11953,2255,30091,29526,11507,4453,1952,4442,42,2057,249,1645,1240,951,9395,118,14044,18051,1763,1085,178,23405,336,426,287,3195,645,227,1845,749,225,3796,2035,2686
more,861285,69,2280,90,2956,18343,52,2851,355655,4562,14,199527,2643,69,939,128,8911,2637,675,103174,7362,63,3960,6,2372,5,914,83,92122,31,1120,18,5,19068,1921,27,1,44,192,117,2104,1659,857,15101,19,125,1809,2246,2359
sure,817570,4691,2324,317,35689,559890,8714,3900,341,20133,84366,14871,2044,36320,2358,111,460,2151,342,9,315,112,734,5,340,3445,527,83,34,20,112,409,3635,14,74,13662,68,2184,114,7585,154,2534,336,0,433,801,18,38,753
difficult,769804,188193,220215,76638,26585,25626,27938,16041,638,18783,5649,784,4195,15489,5471,39970,3590,5630,776,34,1060,10562,447,471,749,45,388,7055,19,11499,84,6518,1353,649,19609,54,414,28,839,94,5223,382,2541,71,1392,239,11742,3347,685
different,751416,233008,12237,1364,39409,4818,5198,9296,44251,6549,2140,349,3712,43184,198,2067,652,2143,133,10896,5809,349,503,191,888,105836,6895,128,21183,989,199,7773,569,54601,144,45591,135,47874,1145,827,5112,80,189,10113,123,45,1037,10881,603
popular,748657,89434,70577,398955,42970,6348,2153,15226,1305,5022,3214,298,7180,11716,8847,17742,3868,2810,742,14,344,5727,1101,7822,793,20,336,5563,0,5721,200,1238,1435,17,22338,40,1780,28,246,15,893,26,2002,83,1134,490,212,425,207
bad,684470,55267,8920,813,90052,69146,82197,71499,43332,49811,20402,85393,1817,1878,1938,2478,2018,2620,238,18883,3188,6512,434,9,2340,316,11536,2660,6344,1108,124,24012,447,1821,668,647,567,362,1176,284,1015,714,1219,2367,1711,49,1213,426,2499
high,674945,142730,5939,10778,35905,10236,78169,68444,81661,11180,13037,31609,7463,10414,562,29301,8818,2145,21203,10665,804,6595,1244,13,621,70,776,2896,3744,5457,337,2471,6366,20016,2017,36,3094,69,397,76,2417,106,4517,23379,1103,132,1803,2687,1443
available,562057,403,9739,1384,490,153251,277,1879,979,553,32,2227,114567,117,1979,44,25724,22010,43,129,533,14,115605,1895,54130,289,8942,50,7,11,4437,35,31,2,1000,57,19,128,195,61,14,63,15729,6,492,18339,2438,51,1657
common,543261,45763,85760,272787,15151,8522,10439,11388,916,1533,7186,222,6225,14326,16526,4122,1981,135,4546,17,238,1971,2021,228,412,67,338,1920,14,1100,112,1268,11031,15,10728,70,301,82,105,46,1335,205,461,7,321,197,211,680,232
effective,499850,50857,141978,148925,11164,9662,591,27812,508,4533,2078,303,3941,4780,17458,9038,1680,1073,299,36,211,6763,110,29751,3358,526,308,4113,9,2946,177,841,795,56,651,216,1425,259,3144,101,400,10,142,103,3730,1151,637,667,534
happy,498846,143192,6212,2947,80361,68290,16447,11868,9300,37990,12490,2893,6888,14216,3172,10059,3044,15880,839,613,16331,2632,1233,43,1139,3591,3896,1599,329,2302,278,1125,765,182,67,1712,3949,1429,4231,435,521,277,464,171,934,386,447,342,1335
hard,477179,95041,3480,1587,44726,48056,36289,4744,41337,56722,14770,31597,5848,6618,716,11120,7199,5758,627,1941,5039,5593,1100,16,704,149,501,4510,443,5011,57,10835,743,1282,3187,28,1643,69,681,103,1864,1377,2563,897,928,238,6573,1335,1534
great,472506,13935,14037,1806,67406,36563,22254,26415,41330,63546,14559,38249,19832,591,502,783,4639,9032,442,29508,9757,2395,516,27,1470,85,3777,2700,2753,467,136,14581,151,1164,392,70,1067,492,12024,2087,340,174,1815,4474,1493,104,728,559,1279
close,467879,110166,2493,439,64298,10815,56723,65009,24375,14208,20814,31468,5286,6412,313,6499,3223,2098,4713,2083,779,3302,2867,13,495,50,1384,1911,5289,2542,295,1262,5238,881,1067,15,1622,25,252,29,907,459,1499,438,293,175,732,1069,1554
interesting,466483,107352,110201,84601,13786,4423,1121,7990,809,42596,11926,462,9552,12682,6631,4434,1724,6553,159,10,1087,12356,45,1179,1009,41,786,4827,1,2243,49,2298,1109,201,277,26,1368,89,1341,60,4920,65,186,15,1533,165,284,1068,843
little,454696,241744,1688,447,46110,332,61312,72005,79,1737,8094,609,116,276,57,583,409,35,14300,131,1259,54,155,5,967,1,124,41,102,113,50,12,324,40,119,6,120,3,59,34,300,66,20,9,141,80,294,74,60
big,445383,52139,5977,3193,30712,13525,85326,57936,48954,35655,29052,36483,1600,3243,249,592,1264,919,945,4922,2484,1359,865,4,1186,13,682,671,3493,369,207,8868,2101,3633,394,9,724,24,570,38,1323,212,724,764,595,129,286,428,542
small,441464,116962,5352,6506,29032,2808,73289,19203,43240,7174,7057,9280,1614,8975,148,6138,5332,413,56897,3656,1108,659,503,10,1659,12,491,287,486,1859,252,536,6301,8321,932,10,912,15,171,39,5494,69,760,3246,374,96,1227,1960,599
expensive,410507,40795,131690,72965,10390,4285,41277,5834,384,4964,3295,145,1673,8396,57388,6130,928,376,2475,25,220,607,49,797,565,4,157,192,10,2370,68,1992,1433,322,1868,4,1462,20,78,10,2227,6,502,42,188,43,1210,579,67
simple,405450,92514,9927,6589,35258,6455,6563,90469,15030,12842,27987,3155,1767,20885,455,5322,428,1029,18390,1885,1312,180,337,39,441,136,403,83,199,3703,62,9233,15152,177,101,78,7620,144,400,217,5456,71,68,218,575,193,554,718,630
recent,400058,5601,63688,313186,815,332,681,1845,681,75,341,53,37,557,178,83,98,6,7274,3,67,44,4,3,118,5,29,10,1,19,129,28,3417,1,2,11,19,2,3,1,296,3,1,2,9,10,6,276,8
clear,398744,93454,15400,1500,12181,110890,2575,13457,6672,5770,29902,3930,7396,20274,10244,1563,1219,5742,1266,423,386,965,6233,14,392,3789,2922,847,304,633,1320,812,4093,176,7115,8351,758,1632,134,6631,729,522,3064,49,1782,423,266,318,226
powerful,389030,43494,97669,148779,23175,2239,6942,14147,226,5581,3557,130,635,2485,6553,8736,1159,230,232,6,191,2019,119,503,342,28,1665,1263,4,7567,24,567,466,7,2702,5,1314,23,1088,88,366,12,649,43,1656,63,172,45,64
strong,379388,113641,2615,666,34391,15003,23249,43817,23923,15964,11054,16286,2949,5459,1414,7479,6959,1179,4339,2986,658,10343,871,50,958,24,686,4091,373,5484,99,2033,3558,1364,1188,10,3493,32,458,43,1199,38,3251,1047,2909,232,486,562,475
enough,368807,18,115,8,360,260297,14,259,118,1773,1620,1948,423,6604,31,7,1760,2031,5,3544,42458,8,210,1563,3765,30,298,12,3,47,7234,61,30,6,2,20,14,43,93,68,11,2066,812,124,4,25161,3571,4,154
