adj_form_lower,SUM,not,n't,never,no,nothing,none,nobody,without,hardly,scarcely,few,neither,barely,rarely
SUM,2049,1321,565,46,39,28,22,8,6,4,4,2,2,1,1
clear,259,209,49,0,0,0,0,0,0,0,1,0,0,0,0
available,241,215,23,0,0,0,0,2,0,0,0,0,1,0,0
good,75,41,28,2,2,0,2,0,0,0,0,0,0,0,0
bad,71,41,26,3,0,1,0,0,0,0,0,0,0,0,0
sure,57,31,24,0,0,0,0,2,0,0,0,0,0,0,0
concerned,30,16,14,0,0,0,0,0,0,0,0,0,0,0,0
different,28,11,14,1,0,0,0,0,0,1,1,0,0,0,0
important,26,15,5,2,2,0,2,0,0,0,0,0,0,0,0
easy,24,14,8,0,0,1,0,0,0,0,0,1,0,0,0
strong,23,19,4,0,0,0,0,0,0,0,0,0,0,0,0
ready,21,14,7,0,0,0,0,0,0,0,0,0,0,0,0
much,21,14,4,0,0,0,0,0,3,0,0,0,0,0,0
binding,21,16,5,0,0,0,0,0,0,0,0,0,0,0,0
possible,19,17,1,0,0,1,0,0,0,0,0,0,0,0,0
happy,19,6,11,1,0,0,1,0,0,0,0,0,0,0,0
worried,19,12,7,0,0,0,0,0,0,0,0,0,0,0,0
better,18,4,13,0,0,0,0,0,0,1,0,0,0,0,0
high,18,11,6,1,0,0,0,0,0,0,0,0,0,0,0
able,17,14,3,0,0,0,0,0,0,0,0,0,0,0,0
late,16,8,0,8,0,0,0,0,0,0,0,0,0,0,0
excited,16,7,9,0,0,0,0,0,0,0,0,0,0,0,0
effective,16,7,6,0,3,0,0,0,0,0,0,0,0,0,0
successful,16,11,5,0,0,0,0,0,0,0,0,0,0,0,0
aware,15,6,7,0,0,0,0,2,0,0,0,0,0,0,0
responsible,12,8,4,0,0,0,0,0,0,0,0,0,0,0,0
enough,11,2,8,1,0,0,0,0,0,0,0,0,0,0,0
aggressive,11,1,10,0,0,0,0,0,0,0,0,0,0,0,0
specific,11,8,2,0,0,0,0,0,1,0,0,0,0,0,0
serious,11,4,3,0,0,4,0,0,0,0,0,0,0,0,0
many,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0
popular,10,3,4,3,0,0,0,0,0,0,0,0,0,0,0
simple,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0
right,10,2,4,1,3,0,0,0,0,0,0,0,0,0,0
big,10,4,4,1,0,1,0,0,0,0,0,0,0,0,0
close,10,2,5,2,0,0,1,0,0,0,0,0,0,0,0
accurate,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0
optimistic,9,4,4,0,1,0,0,0,0,0,0,0,0,0,0
lucky,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0
interested,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0
hard,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0
confident,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0
informed,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
hot,8,4,3,1,0,0,0,0,0,0,0,0,0,0,0
funny,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0
long,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0
convinced,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0
comfortable,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0
upset,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0
toxic,7,3,0,0,4,0,0,0,0,0,0,0,0,0,0
fair,7,3,3,0,1,0,0,0,0,0,0,0,0,0,0
full,7,6,0,0,0,0,0,0,0,0,0,0,0,1,0
sharp,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0
tired,6,4,1,0,1,0,0,0,0,0,0,0,0,0,0
disappointed,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0
accessible,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
certain,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0
exciting,6,3,0,0,0,3,0,0,0,0,0,0,0,0,0
ill,6,3,2,0,0,0,1,0,0,0,0,0,0,0,0
deep,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0
fit,5,2,2,0,1,0,0,0,0,0,0,0,0,0,0
prepared,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0
dry,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
motivated,5,1,3,0,0,0,1,0,0,0,0,0,0,0,0
apparent,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0
dangerous,5,3,1,0,1,0,0,0,0,0,0,0,0,0,0
painful,5,2,2,0,0,0,1,0,0,0,0,0,0,0,0
willing,5,1,2,1,0,0,1,0,0,0,0,0,0,0,0
sick,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0
careful,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0
nice,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
reliable,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0
complete,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
young,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
nervous,5,3,1,0,0,0,0,0,0,0,1,0,0,0,0
significant,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0
distant,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
special,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0
feasible,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
tough,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
over,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
pleased,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
valuable,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
new,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0
unfair,4,2,0,0,0,0,0,0,1,0,0,0,1,0,0
dramatic,4,2,0,0,0,1,0,0,0,1,0,0,0,0,0
satisfying,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
appropriate,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0
expensive,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
fast,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
meaningful,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
positive,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
shocking,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
great,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
busy,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0
wrong,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0
low,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0
critical,4,2,0,0,1,0,0,0,1,0,0,0,0,0,0
present,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
insane,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
fortunate,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0
common,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
difficult,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0
