sent_id|conllu_id|doc_id|sent_int|prev_id|next_id|prev_text|sent_text|next_text
nyt_eng_20040507_0026_33|nyt_eng_200405|nyt_eng_20040507_0026|33|nyt_eng_20040507_0026_32|nyt_eng_20040507_0026_34|It remains , to some extent , fractured , held together , in part , by disparate renditions of Jerome Kern 's  -LBQ-  The Song Is You  -RDQ-  and by the director 's affection for his characters .|The performers ' sense of play softens the archness , especially the eerily affecting McMillan and Rossellini , who 's never been more besotting .|With a blond wig and outsize delivery , she 's like Marlene Dietrich cosmically Photoshopped into the body of Ingrid Bergman , Rossellini 's mother .
nyt_eng_20040507_0020_4|nyt_eng_200405|nyt_eng_20040507_0020|4|nyt_eng_20040507_0020_3|nyt_eng_20040507_0020_5|Over the past two weeks , Schroeder has lashed out at two supposed culprits  -COL-  budget austerity , which he seems to blame for accentuating the gloom that stops German consumers from spending ; and low wages and corporate-tax rates in the eight central Eer\/xean countbi % -LCB- that have just joined the European Union , which he says allow them to steal jobs and investment from Germany .|It is not , in fact , all that hard to diagnose what ails0the G ? 960a lack of demand , caused in part by Germans ' high propensity to save .|This suggests that , at least for Germany , the European Central Bank 's monetary policy may have erred on the tight side over the past few years .
nyt_eng_20040507_0016_19|nyt_eng_200405|nyt_eng_20040507_0016|19|nyt_eng_20040507_0016_18|nyt_eng_20040507_0016_20|The disc topped hundreds of worst-of-the-year lists .|And the reviews were n't just bad ; they were withering .|Here are excerpts from a few random reviews of the disc  -COL- 
nyt_eng_20040507_0011_15|nyt_eng_200405|nyt_eng_20040507_0011|15|nyt_eng_20040507_0011_14|nyt_eng_20040507_0011_16|The soldiers under Calley 's command certainly thought they had killed them all , but a few escaped by being buried below dead bodies .|As horrible as that is , it is n't as bad as being shot dead .|At the time , most people said they wanted Calley freed immediately which , coincidentally , is exactly what happened .
nyt_eng_20040507_0010_6|nyt_eng_200405|nyt_eng_20040507_0010|6|nyt_eng_20040507_0010_5|nyt_eng_20040507_0010_7|It took root among thinkers in the 18th century who were appalled by the religion-fueled wars that ravaged Europe and continues among skeptics today .|In its simplest form , the argument goes like this  -COL-  Religion is centered on beliefs that are not only irrational but which also stir the passions .|These passions overwhelm our reason and lead us to defend our beliefs , to the death if necessary , when they are questioned .
nyt_eng_20040507_0002_16|nyt_eng_200405|nyt_eng_20040507_0002|16|nyt_eng_20040507_0002_15|nyt_eng_20040507_0002_17|Bonds said he spent much of the past two days lying in bed , resting and recuperating .|He knows that New York fans were disappointed they did not get to see him play in the first two games of the series , but he did not seem too sympathetic .| -LBQ-  That 's too bad ,  -RDQ-  he said .
nyt_eng_20040506_0029_4|nyt_eng_200405|nyt_eng_20040506_0029|4|nyt_eng_20040506_0029_3|nyt_eng_20040506_0029_5|Stormy relations between the often combative Rumsfeld and Congress have developed many times .|But never have the stakes been as high or the background situation as volatile .|Rumsfeld steps in the spotlight with the support of top Army brass and the emphatic backing of the president , but with a growing number of opponents calling for him to resign .
nyt_eng_20040506_0003_12|nyt_eng_200405|nyt_eng_20040506_0003|12|nyt_eng_20040506_0003_11|nyt_eng_20040506_0003_13|Now Silverstein will receive at most $ 4.5 billion to rebuild at ground zero .|He might get only $ 3.5 billion _ the payout for a single occurrence _ since his basic argument may seem no more persuasive in a trial that is scheduled to begin in August .|Silverstein 's defeat does not create any need to rethink the site plan , which was developed over a long period of time with intense public scrutiny .
nyt_eng_20040505_0060_44|nyt_eng_200405|nyt_eng_20040505_0060|44|nyt_eng_20040505_0060_43|nyt_eng_20040505_0060_45| -LBQ-  The folks who makE  -LBQ-  jmrt enough to get by , they 're in a pickle ,  -RDQ-  clinic administrator Kevin Dennis said .|Even those with insurance are n't always able to afford health care , Dennis said .| -LBQ-  They often have a big deductible , 500 or 1,000 ,  -RDQ-  0he sa does absolutely nothing for them .  -RDQ- 
nyt_eng_20040505_0045_10|nyt_eng_200405|nyt_eng_20040505_0045|10|nyt_eng_20040505_0045_9|nyt_eng_20040505_0045_11|According to Stack , the Fed may try to ease the market 's reaction _  -LBQ-  or possibly overreaction  -RDQ-  _ to a future rate increase by claiming that  -LBQ-  increasing interest rates will actually help the U.S. economy .  -RDQ- | -LBQ-  So while the market risk clearly rises with the imminent change in Fed policy , a major bear market is not necessarily imminent ,  -RDQ-  said Stack .|The nation 's purchasing agents , through their Institute of Supply Management , gave investors some good economic news on Wednesday _ the ISM index of service industries rose to a record 68.4 in April .
nyt_eng_20040505_0042_11|nyt_eng_200405|nyt_eng_20040505_0042|11|nyt_eng_20040505_0042_10|nyt_eng_20040505_0042_12|The answer to that can be murky .|What of New York , for example , where Attorney General Eliot Spitzer has said his state would recognize gay marriages performed elsewhere even though they are not explicitly legal in New York ? Is that a  -LBQ-  legal impediment  -RDQ-  \/ r not ?|At its essence , the 1913 law is discriminatory .
nyt_eng_20040505_0042_1|nyt_eng_200405|nyt_eng_20040505_0042|1||nyt_eng_20040505_0042_2||Dan Winslow , chief legal counsel to Governor Romney , has brought a modicum of sanity , but not enough clarmty , to the question of how city and town clerks must enforce a 1913 laples is a discrimination suit waiting to happen .|By far the best resolution would be to repeal the law altogether and concentrate on helping gay marpiages procede smoothly vhen they become legal on May 17 .
nyt_eng_20040505_0026_23|nyt_eng_200405|nyt_eng_20040505_0026|23|nyt_eng_20040505_0026_22|nyt_eng_20040505_0026_24|Running time  -COL-  1 hr . 35 min .|In a nutshell  -COL-  Not too cloying , funny\/sad story of a young boy 's quest to fix his broken family in 1960s Argentina .|In Spanish with English subtitles .
nyt_eng_20040505_0023_40|nyt_eng_200405|nyt_eng_20040505_0023|40|nyt_eng_20040505_0023_39|nyt_eng_20040505_0023_41|If anything , Sommers has had to be restrained from participating in all the  -LBQ-  Waj Helsing  -RDQ-  spin-offs .|He was heavily involved in creating the game , mostly because , as he puts it ,  -LBQ-  ` The Mummy ' games were not very good .  -RDQ- |-LRB- Sommers says his nephew had an even blunter assessment  -COL-   -LBQ-  They sucked .  -RDQ-  -RRB-
nyt_eng_20040505_0023_33|nyt_eng_200405|nyt_eng_20040505_0023|33|nyt_eng_20040505_0023_32|nyt_eng_20040505_0023_34|He 's like a kid with a very expensive Barbie and Ken .  -RDQ- |-LRB- Jackman  -COL-   -LBQ-  I 'm not THAT expensive .  -RDQ-  -RRB-|So when it 's suggested -- as it has been often -- that  -LBQ-  Van Helsing  -RDQ-  is little more than a very expensive , somewhat convoluted way for Universal Pictures to flex its multimedia muscles , Sommers recoils .
nyt_eng_20040505_0021_35|nyt_eng_200405|nyt_eng_20040505_0021|35|nyt_eng_20040505_0021_34|nyt_eng_20040505_0021_36|With  -LBQ-  Friends  -RDQ-  and  -LBQ-  Frasier  -RDQ-  gone , NBC 's comedy lineup is particularly vulnerable .|And the network 's once-mighty  -LBQ-  Must See TV  -RDQ-  Thursday night schedule is n't nearly as formidable .|The network also continues to rely heavily on such aging hits as  -LBQ-  ER  -RDQ-  and  -LBQ-  Law & Order .  -RDQ- 
nyt_eng_20040505_0021_10|nyt_eng_200405|nyt_eng_20040505_0021|10|nyt_eng_20040505_0021_9|nyt_eng_20040505_0021_11|It 's like , now you have Jessica Simpson to talk about .|Does that mean Pamela Anderson is not as hot ?  -RDQ- |Although Probst says bringing 18 of the show 's most memorable contestants was a  -LBQ-  fun experiment ,  -RDQ-  he would n't want to see it happen again .
nyt_eng_20040505_0009_27|nyt_eng_200405|nyt_eng_20040505_0009|27|nyt_eng_20040505_0009_26|nyt_eng_20040505_0009_28|This is one reason two-thirds of Americans are overweight .|But exercise is n't nearly as unpleasant if you do it without thinking about it .| -LBQ-  Is n't it funny that aerobic exercise on a machine is incredibly boring ,  -RDQ-  said Heitzeberg ,  -LBQ-  yet you can play basketball for 45 minutes , and it 's fun ? ...
nyt_eng_20040504_0063_9|nyt_eng_200405|nyt_eng_20040504_0063|9|nyt_eng_20040504_0063_8|nyt_eng_20040504_0063_10| -LBQ-  People still have a naive approach to marijuana and think of it as a harmless substance ,  -RDQ-  said Dr. William Compton , lead author of the new study and an epidemiologist with the National Institute of Drug Abuse , one of the National Institutes of Health .| -LBQ-  It 's not as innocent as they might expect .  -RDQ- |About 4 percent of Americans age 18 and older say they smoked marijuana in the past year , the same as a decade ago , the study found .
nyt_eng_20040504_0059_58|nyt_eng_200405|nyt_eng_20040504_0059|58|nyt_eng_20040504_0059_57|nyt_eng_20040504_0059_59|OPTIONAL MATERIAL FOLLOWS . -RRB-|But the legality of taking electricity without permission is not always clear .|Matthew Lee , a lawyer with thd Bronx community group , cited abfight that occurred in 1992 between Con Ed and a group of squatters in the Bronx .
nyt_eng_20040504_0056_9|nyt_eng_200405|nyt_eng_20040504_0056|9|nyt_eng_20040504_0056_8|nyt_eng_20040504_0056_10|The 10-day deadline could be extended to 60 days , the ruling said , if KPMG 's tax-shelter participants were liable for  -LBQ-  additional taxes  -RDQ-  over the next 60 days .|It was not immediately clear whether the extension would apply .|KPMG has turned over some documents but withheld others , citing lawyer-client privileges governing confidentiality .
nyt_eng_20040504_0054_16|nyt_eng_200405|nyt_eng_20040504_0054|16|nyt_eng_20040504_0054_15|nyt_eng_20040504_0054_17|Gueorguieva said the lesson is particularly important .| -LBQ-  They may feel that when they 're teen-agers , they can do anything they want , like they 're adults , and it can be very dangerous to their bodies and brains because they are n't fully developed ,  -RDQ-  she said .|MADD President Wendy Hamilton said the group created the program because children are too often tempted to engage in adult behavior .
nyt_eng_20040504_0042_8|nyt_eng_200405|nyt_eng_20040504_0042|8|nyt_eng_20040504_0042_7|nyt_eng_20040504_0042_9| -LBQ-  With Iraq there 's no question it 's tough right now ,  -RDQ-  he said .| -LBQ-  On the other hand , I look forward to making the case that the world is better off without Saddam Hussein and America is more secure and safe ,  -RDQ-  he said .| -LBQ-  And I will continue to make the case about the historic nature about what we 're doing .
nyt_eng_20040504_0042_4|nyt_eng_200405|nyt_eng_20040504_0042|4|nyt_eng_20040504_0042_3|nyt_eng_20040504_0042_5|Things are improving ,  -RDQ-  he said .| -LBQ-  They are not as good as they will be , but as we sit here in May 2004 I can say the life of the Ohio citizen is improving .|The fundamental question is who 'll put policies in place to make sure that it continues to improve beyond the election cycle .  -RDQ- 
nyt_eng_20040504_0041_8|nyt_eng_200405|nyt_eng_20040504_0041|8|nyt_eng_20040504_0041_7|nyt_eng_20040504_0041_9| -LBQ-  With Iraq there 's no question it 's tough right now ,  -RDQ-  he said .| -LBQ-  On the other hand , I look forward to making the case that the world is better off without Saddam Hussein and America is more secure and safe ,  -RDQ-  he said .| -LBQ-  And I will continue to make the case about the historic nature about what we 're doing .
nyt_eng_20040504_0041_4|nyt_eng_200405|nyt_eng_20040504_0041|4|nyt_eng_20040504_0041_3|nyt_eng_20040504_0041_5|Things are improving ,  -RDQ-  he said .| -LBQ-  They are not as good as they will be , but as we sit here in May 2004 I can say the life of the Ohio citizen is improving .|The fundamental question is who 'll put policies in place to make sure that it continues to improve beyond the election cycle .  -RDQ- 
nyt_eng_20040504_0035_21|nyt_eng_200405|nyt_eng_20040504_0035|21|nyt_eng_20040504_0035_20|nyt_eng_20040504_0035_22| -LBQ-  I tell friends what the play is about ,  -RDQ-  Kurtz said in a recent intmrVmew ,  -LBQ-  and most of them say , ` I 'd love to come , but I have to rearrange my spice rack . '|But the play is not about pedophilia .|It 's about redemption and grace .  -RDQ- 
nyt_eng_20040504_0010_33|nyt_eng_200405|nyt_eng_20040504_0010|33|nyt_eng_20040504_0010_32|nyt_eng_20040504_0010_34|Tunisia staged the continentwide African Nations Cup several months ago , but organizational problems plagued the event  -COL-  The Nigerian players , for example , even had the wrong national anthem played for them when they took the field .|As for Egypt , its delegation boasts former United NationsSecretary General Boutros Boutros Ghali and actor Omar Sharif , but its bid is said not to be as impressive as the others .|Which leaves South Africa and Morocco , two very different nations which share a continent from opposite ends .
