        l1  l2                        f         E11  r.log.likelihood  r.odds.ratio.disc  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  am.log.likelihood  am.odds.ratio.disc  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple        f1       f2         N  
----------  ------------------  -------  ----------  ----------------  -----------------  -----------  -----------  ------------------  ------------------  -----------------  ------------------  ------------  ------------  -------------------  -------------------  --------  -------  --------  
   NEGATED  not                    5660      249.62                26                  1            1           57                   1                 100           35342.06                5.39         0.956        0.0018                1.000               0.0018   3173681     5660  71961373  
   NEGATED  n't                    3621      159.70                35                  2            2           75                   1                 128           22607.95                5.20         0.956        0.0011                1.000               0.0011   3173681     3621  71961373  
   NEGATED  never                   296       13.05               119                  3            3          331                   1                 594            1847.80                4.11         0.956        0.0001                1.000               0.0001   3173681      296  71961373  
   NEGATED  rarely                   39        1.72               383                  4            4          847                   1                1551             243.46                3.23         0.956        0.0000                1.000               0.0000   3173681       39  71961373  
   NEGATED  doubt                    26        1.15               468                  5            5         1014                   1                1884             162.30                3.06         0.956        0.0000                1.000               0.0000   3173681       26  71961373  
   NEGATED  seldom                   16        0.71               579                  7            6         1246                   1                2314              99.88                2.85         0.956        0.0000                1.000               0.0000   3173681       16  71961373  
   NEGATED  neither                  12        0.53               660                  9            7         1405                   1                2620              74.91                2.73         0.956        0.0000                1.000               0.0000   3173681       12  71961373  
   NEGATED  unfrequently              7        0.31               845                 10            8         1740                   1                3234              43.70                2.51         0.956        0.0000                1.000               0.0000   3173681        7  71961373  
   NEGATED  the-less                  7        0.31               845                 10            8         1740                   1                3234              43.70                2.51         0.956        0.0000                1.000               0.0000   3173681        7  71961373  
   NEGATED  exaclty                   5        0.22               987                 12           10         1996                   1                3673              31.21                2.38         0.956        0.0000                1.000               0.0000   3173681        5  71961373  
   NEGATED  hardly                   84        3.79               267                  6           11          586                7185                1084             505.55                2.86         0.933        0.0000                0.977               0.0000   3173681       86  71961373  
   NEGATED  no                      350       15.97               110                  8           12          311                7571                 537            2080.63                2.78         0.923        0.0001                0.967               0.0001   3173681      362  71961373  
   NEGATED  nowhere                  13        0.62               664                 18           13         1361                8361                2540              74.04                2.29         0.884        0.0000                0.929               0.0000   3173681       14  71961373  
   NEGATED  necesarily               25        1.19               498                 15           14         1038                8414                1921             141.98                2.34         0.882        0.0000                0.926               0.0000   3173681       27  71961373  
   NEGATED  neccesarily              24        1.15               506                 16           15         1064                8434                1956             135.90                2.33         0.879        0.0000                0.923               0.0000   3173681       26  71961373  
   NEGATED  thaaaat                  11        0.53               724                 19           16         1460                8512                2721              61.87                2.22         0.873        0.0000                0.917               0.0000   3173681       12  71961373  
   NEGATED  barely                   58        2.91               343                 21           17          706                8817                1294             314.03                2.17         0.835        0.0000                0.879               0.0000   3173681       66  71961373  
   NEGATED  necessarily           42595     2145.19                 6                 20           18           16                8821                  31          230465.59                2.19         0.832        0.0133                0.876               0.0134   3173681    48641  71961373  
   NEGATED  necessarilly             14        0.71               657                 24           19         1319                8822                2465              75.52                2.10         0.831        0.0000                0.875               0.0000   3173681       16  71961373  
   NEGATED  thaaaaat                  7        0.35               906                 27           20         1747                8822                3234              37.76                2.03         0.831        0.0000                0.875               0.0000   3173681        8  71961373  
   NEGATED  ornamentally            109        5.51               254                 23           21          517                8892                 954             586.23                2.16         0.828        0.0000                0.872               0.0000   3173681      125  71961373  
   NEGATED  thaaat                   12        0.62               713                 26           22         1412                8923                2620              63.61                2.03         0.813        0.0000                0.857               0.0000   3173681       14  71961373  
   NEGATED  exacly                    6        0.31               975                 29           23         1853                8923                3426              31.80                1.97         0.813        0.0000                0.857               0.0000   3173681        7  71961373  
   NEGATED  pg                        5        0.26              1070                 37           24         2002                9029                3673              25.90                1.90         0.789        0.0000                0.833               0.0000   3173681        6  71961373  
   NEGATED  excatly                   8        0.44               877                 42           25         1649                9168                3071              40.11                1.87         0.756        0.0000                0.800               0.0000   3173681       10  71961373  
   NEGATED  that                 164768     9120.45                 1                 31           26            6                9187                   9          831669.72                1.95         0.755        0.0513                0.797               0.0519   3173681   206801  71961373  
   NEGATED  neccessarily             42        2.34               420                 36           27          813                9191                1504             209.04                1.90         0.748        0.0000                0.792               0.0000   3173681       53  71961373  
   NEGATED  exactly               43813     2474.55                 7                 39           28           15                9203                  30          216169.98                1.89         0.737        0.0136                0.781               0.0138   3173681    56109  71961373  
   NEGATED  tht                      12        0.71               751                 50           29         1416                9233                2620              57.28                1.78         0.706        0.0000                0.750               0.0000   3173681       16  71961373  
   NEGATED  entirelly                 6        0.35              1024                 55           30         1856                9233                3426              28.64                1.75         0.706        0.0000                0.750               0.0000   3173681        8  71961373  
   NEGATED  immediately           56099     4046.23                 5                100           31           11                9305                  22          231721.98                1.54         0.568        0.0172                0.611               0.0177   3173681    91746  71961373  
   NEGATED  matter                    6        0.44              1097                117           32         1874                9307                3426              24.36                1.50         0.556        0.0000                0.600               0.0000   3173681       10  71961373  
   NEGATED  hof                       6        0.44              1097                117           32         1874                9307                3426              24.36                1.50         0.556        0.0000                0.600               0.0000   3173681       10  71961373  
   NEGATED  colorably                 7        0.53              1038                125           34         1772                9313                3234              27.85                1.47         0.539        0.0000                0.583               0.0000   3173681       12  71961373  
   NEGATED  ha-ha                    26        2.03               573                135           35         1031                9317                1884             101.12                1.45         0.521        0.0000                0.565               0.0000   3173681       46  71961373  
   NEGATED  yet                   51867     4178.94                 8                144           36           13                9321                  27          197895.38                1.43         0.504        0.0157                0.547               0.0163   3173681    94755  71961373  
   NEGATED  nuttin                    7        0.57              1059                158           37         1775                9324                3234              26.29                1.40         0.494        0.0000                0.538               0.0000   3173681       13  71961373  
   NEGATED  se                       76        6.53               363                187           38          633                9327                1149             275.86                1.36         0.469        0.0000                0.514               0.0000   3173681      148  71961373  
   NEGATED  entierly                 10        0.88               931                196           39         1530                9328                2826              35.60                1.34         0.456        0.0000                0.500               0.0000   3173681       20  71961373  
   NEGATED  entirley                  8        0.71              1028                197           40         1680                9328                3071              28.48                1.34         0.456        0.0000                0.500               0.0000   3173681       16  71961373  
   NEGATED  earth-shatteringly        6        0.53              1169                198           41         1889                9328                3426              21.36                1.34         0.456        0.0000                0.500               0.0000   3173681       12  71961373  
   NEGATED  nhl                       5        0.44              1257                199           42         2034                9328                3673              17.80                1.34         0.456        0.0000                0.500               0.0000   3173681       10  71961373  
   NEGATED  any                   15384     1418.38                19                217           43           37                9337                  59           53087.82                1.30         0.434        0.0046                0.478               0.0048   3173681    32161  71961373  
   NEGATED  immediatley               8        0.75              1052                226           44         1686                9338                3071              27.24                1.29         0.426        0.0000                0.471               0.0000   3173681       17  71961373  
   NEGATED  before                  308       29.46               184                236           45          336                9340                 575            1033.19                1.27         0.417        0.0001                0.461               0.0001   3173681      668  71961373  
   NEGATED  anymore                 422       40.66               147                237           46          289                9341                 489            1407.92                1.26         0.414        0.0001                0.458               0.0001   3173681      922  71961373  
   NEGATED  earthly                  83        8.16               365                253           47          607                9343                1090             272.82                1.25         0.405        0.0000                0.449               0.0000   3173681      185  71961373  
   NEGATED  earthshakingly            8        0.79              1066                254           48         1688                9344                3071              26.11                1.24         0.400        0.0000                0.444               0.0000   3173681       18  71961373  
   NEGATED  ada                       8        0.79              1066                254           48         1688                9344                3071              26.11                1.24         0.400        0.0000                0.444               0.0000   3173681       18  71961373  
   NEGATED  overally                  9        0.93              1025                275           50         1603                9347                2928              28.58                1.22         0.384        0.0000                0.429               0.0000   3173681       21  71961373  
   NEGATED  sicky                     6        0.62              1226                272           51         1897                9347                3426              19.06                1.22         0.384        0.0000                0.429               0.0000   3173681       14  71961373  
   NEGATED  techincally               5        0.53              1333                287           52         2048                9349                3673              15.54                1.20         0.373        0.0000                0.417               0.0000   3173681       12  71961373  
   NEGATED  immediatly               23        2.51               689                324           53         1110                9351                1996              69.76                1.17         0.359        0.0000                0.404               0.0000   3173681       57  71961373  
   NEGATED  whatsoever               69        7.59               422                331           54          677                9352                1195             208.35                1.16         0.357        0.0000                0.401               0.0000   3173681      172  71961373  
   NEGATED  entirly                   7        0.79              1183                347           55         1793                9353                3234              20.63                1.15         0.345        0.0000                0.389               0.0000   3173681       18  71961373  
   NEGATED  remotely               5661      678.91                41                408           56           61                9355                  99           15974.28                1.10         0.324        0.0016                0.368               0.0018   3173681    15394  71961373  
   NEGATED  mvp                       7        0.88              1228                436           57         1801                9356                3234              18.97                1.08         0.306        0.0000                0.350               0.0000   3173681       20  71961373  
   NEGATED  earth                    19        2.51               802                501           58         1209                9357                2163              49.47                1.04         0.289        0.0000                0.333               0.0000   3173681       57  71961373  
   NEGATED  certified                15        1.98               887                500           59         1340                9357                2391              39.06                1.04         0.289        0.0000                0.333               0.0000   3173681       45  71961373  
   NEGATED  outrightly               35        4.90               614                566           60          935                9359                1649              86.97                1.00         0.271        0.0000                0.315               0.0000   3173681      111  71961373  
   NEGATED  terribly              17949     2581.28                23                602           61           34                9360                  48           43629.29                0.98         0.263        0.0051                0.307               0.0057   3173681    58529  71961373  
   NEGATED  macroeconomically         7        1.01              1283                581           62         1817                9361                3234              16.87                0.99         0.260        0.0000                0.304               0.0000   3173681       23  71961373  
   NEGATED  potty                    10        1.46              1106                596           63         1569                9362                2826              24.01                0.99         0.259        0.0000                0.303               0.0000   3173681       33  71961373  
   NEGATED  crowd                     6        0.88              1386                594           64         1944                9363                3426              14.28                0.99         0.256        0.0000                0.300               0.0000   3173681       20  71961373  
   NEGATED  anon                      5        0.75              1494                609           65         2101                9364                3673              11.70                0.98         0.250        0.0000                0.294               0.0000   3173681       17  71961373  
   NEGATED  particulalrly             5        0.75              1494                609           65         2101                9364                3673              11.70                0.98         0.250        0.0000                0.294               0.0000   3173681       17  71961373  
   NEGATED  overpoweringly           87       13.10               428                643           67          611                9366                1066             202.82                0.95         0.249        0.0000                0.293               0.0000   3173681      297  71961373  
   NEGATED  anywhere                211       32.99               275                697           68          412                9367                 700             475.63                0.93         0.238        0.0001                0.282               0.0001   3173681      748  71961373  
   NEGATED  like                     16        2.56               935                705           69         1310                9368                2314              35.34                0.93         0.232        0.0000                0.276               0.0000   3173681       58  71961373  
   NEGATED  stuffily                  6        0.97              1434                692           70         1958                9369                3426              13.12                0.93         0.229        0.0000                0.273               0.0000   3173681       22  71961373  
   NEGATED  slam                     42        6.84               597                735           71          868                9370                1504              91.27                0.91         0.227        0.0000                0.271               0.0000   3173681      155  71961373  
   NEGATED  playoff                  15        2.47               969                737           72         1355                9371                2391              32.25                0.91         0.224        0.0000                0.268               0.0000   3173681       56  71961373  
   NEGATED  only                 113502    19079.30                 4                758           73            8                9372                  13          242355.41                0.90         0.220        0.0311                0.262               0.0358   3173681   432612  71961373  
   NEGATED  soley                    12        2.03              1081                772           74         1486                9373                2620              25.17                0.90         0.217        0.0000                0.261               0.0000   3173681       46  71961373  
   NEGATED  altogether             4568      785.86                51                824           75           73                9374                 115            9430.19                0.87         0.212        0.0012                0.256               0.0014   3173681    17819  71961373  
   NEGATED  frost                    28        4.94               758                850           76         1058                9375                1825              56.40                0.86         0.206        0.0000                0.250               0.0000   3173681      112  71961373  
   NEGATED  particulalry             10        1.76              1196                826           77         1592                9375                2826              20.14                0.87         0.206        0.0000                0.250               0.0000   3173681       40  71961373  
   NEGATED  discernably               5        0.88              1616                792           78         2131                9375                3673              10.07                0.89         0.206        0.0000                0.250               0.0000   3173681       20  71961373  
   NEGATED  strings                   5        0.88              1616                792           78         2131                9375                3673              10.07                0.89         0.206        0.0000                0.250               0.0000   3173681       20  71961373  
   NEGATED  overly                24613     4406.73                21                871           80           27                9379                  41           49011.01                0.85         0.203        0.0067                0.246               0.0078   3173681    99920  71961373  
   NEGATED  halakhically              6        1.10              1497                856           81         1980                9380                3426              11.61                0.86         0.196        0.0000                0.240               0.0000   3173681       25  71961373  
   NEGATED  overbearingly            46        8.51               606                915           82          844                9381                1441              88.44                0.83         0.194        0.0000                0.238               0.0000   3173681      193  71961373  
   NEGATED  entirely              63321    11857.24                13                920           83           12                9382                  21          121185.87                0.83         0.192        0.0170                0.236               0.0200   3173681   268856  71961373  
   NEGATED  consciously             925      174.38               124                962           84          192                9383                 315            1745.82                0.82         0.190        0.0002                0.234               0.0003   3173681     3954  71961373  
   NEGATED  this                    112       21.39               421                973           85          548                9384                 941             208.62                0.81         0.187        0.0000                0.231               0.0000   3173681      485  71961373  
   NEGATED  entirety                  5        0.97              1674                919           86         2149                9385                3673               9.16                0.83         0.183        0.0000                0.227               0.0000   3173681       22  71961373  
   NEGATED  wheelchair               79       15.57               497               1027           87          662                9386                1128             142.51                0.80         0.180        0.0000                0.224               0.0000   3173681      353  71961373  
