sentences,mask_type,pred_pos,scale_type
He was not [MASK] happy. He was kinda sad.,modifier,adj,rel
He was not [MASK] happy.,modifier,adj,rel
He was not extremely happy. He was [MASK] sad.,modifier,adj,rel
 He was [MASK] sad.,modifier,adj,rel
He was not [MASK] happy. He was sorta sad.,modifier,adj,rel
He was not [MASK] happy. He was extremely sad.,modifier,adj,rel
He was not [MASK] happy. He was ridiculously sad.,modifier,adj,rel
He was not [MASK] happy. He was sad.,modifier,adj,rel
He was not ridiculously happy. He was [MASK] sad.,modifier,adj,rel
He was not happy. He was [MASK] sad.,modifier,adj,rel
He wasn't [MASK] happy. He was kinda sad.,modifier,adj,rel
He wasn't [MASK] happy.,modifier,adj,rel
He wasn't extremely happy. He was [MASK] sad.,modifier,adj,rel
He wasn't [MASK] happy. He was sorta sad.,modifier,adj,rel
He wasn't [MASK] happy. He was extremely sad.,modifier,adj,rel
He wasn't [MASK] happy. He was ridiculously sad.,modifier,adj,rel
He wasn't [MASK] happy. He was sad.,modifier,adj,rel
He wasn't ridiculously happy. He was [MASK] sad.,modifier,adj,rel
He wasn't happy. He was [MASK] sad.,modifier,adj,rel
He was [MASK] sad. He was not extremely happy.,modifier,adj,rel
He was [MASK] sad.,modifier,adj,rel
He was kinda sad. He was not [MASK] happy.,modifier,adj,rel
 He was not [MASK] happy.,modifier,adj,rel
He was [MASK] sad. He was not ridiculously happy.,modifier,adj,rel
He was [MASK] sad. He was not happy.,modifier,adj,rel
He was [MASK] sad. He wasn't extremely happy.,modifier,adj,rel
He was kinda sad. He wasn't [MASK] happy.,modifier,adj,rel
 He wasn't [MASK] happy.,modifier,adj,rel
He was [MASK] sad. He wasn't ridiculously happy.,modifier,adj,rel
He was [MASK] sad. He wasn't happy.,modifier,adj,rel
He was sorta sad. He was not [MASK] happy.,modifier,adj,rel
He was sorta sad. He wasn't [MASK] happy.,modifier,adj,rel
He was extremely sad. He was not [MASK] happy.,modifier,adj,rel
He was extremely sad. He wasn't [MASK] happy.,modifier,adj,rel
He was ridiculously sad. He was not [MASK] happy.,modifier,adj,rel
He was ridiculously sad. He wasn't [MASK] happy.,modifier,adj,rel
He was sad. He was not [MASK] happy.,modifier,adj,rel
He was sad. He wasn't [MASK] happy.,modifier,adj,rel
He was not [MASK] happy. He was not extremely sad.,modifier,adj,rel
He was not extremely happy. He was not [MASK] sad.,modifier,adj,rel
 He was not [MASK] sad.,modifier,adj,rel
He was not [MASK] happy. He was not ridiculously sad.,modifier,adj,rel
He was not [MASK] happy. He was not sad.,modifier,adj,rel
He was not [MASK] happy. He wasn't extremely sad.,modifier,adj,rel
