sent_id|conllu_id|doc_id|sent_int|prev_id|next_id|prev_text|sent_text|next_text
nyt_eng_20040507_0026_38|nyt_eng_200405|nyt_eng_20040507_0026|38|nyt_eng_20040507_0026_37|nyt_eng_20040507_0026_39|The camera often appears to be watching the action through a wistful , Wellesian pane of frosted glass , whose center has been wiped clean while the perimeter is still blurred .|And the competitions themselves are impressively edited  -COL-  like a fever dream , with the winners sliding into a pool of Lady P-H 's beer .|Amid the spectacle , Maddin inveighs against the way popular entertainment exploits historical events .
nyt_eng_20040507_0026_37|nyt_eng_200405|nyt_eng_20040507_0026|37|nyt_eng_20040507_0026_36|nyt_eng_20040507_0026_38|The thrilling severity of futurism and German Expressionism -LRB- shadows , inattention to right angles , asymmetry -RRB- drives the picture , but it 's photographed in old-timey black and white with Technicolorish interludes and memories told in silent-movie blues and reds .|The camera often appears to be watching the action through a wistful , Wellesian pane of frosted glass , whose center has been wiped clean while the perimeter is still blurred .|And the competitions themselves are impressively edited  -COL-  like a fever dream , with the winners sliding into a pool of Lady P-H 's beer .
nyt_eng_20040507_0026_35|nyt_eng_200405|nyt_eng_20040507_0026|35|nyt_eng_20040507_0026_34|nyt_eng_20040507_0026_36|With a blond wig and outsize delivery , she 's like Marlene Dietrich cosmically Photoshopped into the body of Ingrid Bergman , Rossellini 's mother .| -LBQ-  The Saddest Music in the World  -RDQ-  is also slap-happy with pastiche .|The thrilling severity of futurism and German Expressionism -LRB- shadows , inattention to right angles , asymmetry -RRB- drives the picture , but it 's photographed in old-timey black and white with Technicolorish interludes and memories told in silent-movie blues and reds .
nyt_eng_20040507_0026_33|nyt_eng_200405|nyt_eng_20040507_0026|33|nyt_eng_20040507_0026_32|nyt_eng_20040507_0026_34|It remains , to some extent , fractured , held together , in part , by disparate renditions of Jerome Kern 's  -LBQ-  The Song Is You  -RDQ-  and by the director 's affection for his characters .|The performers ' sense of play softens the archness , especially the eerily affecting McMillan and Rossellini , who 's never been more besotting .|With a blond wig and outsize delivery , she 's like Marlene Dietrich cosmically Photoshopped into the body of Ingrid Bergman , Rossellini 's mother .
nyt_eng_20040507_0026_26|nyt_eng_200405|nyt_eng_20040507_0026|26|nyt_eng_20040507_0026_25|nyt_eng_20040507_0026_27|he mon has a high time making comic melodrama of it all .|This includes an enthusiastically grisly flashback to the bizarre love triangle between Chester , his father , and Lady Port-Huntley , whose first name is that mythic maddener of men , Helen .|She loved the son , the father loved her , and one night after a car accident , we discover the horror that befell her gams .
nyt_eng_20040507_0026_21|nyt_eng_200405|nyt_eng_20040507_0026|21|nyt_eng_20040507_0026_20|nyt_eng_20040507_0026_22|` nane , like Wilbur and Orville Wright .|The contest also becomes the site of an ugly family reunion between the tacky huckster Chester Kent -LRB- Mark McKinney of  -LBQ-  The Kids in the Hall  -RDQ-  -RRB- , his estranged war-veteran father Fyodor -LRB- David Fox -RRB- , and Chester 's brother Roderick -LRB- Ross McMillan -RRB- , a dark soul so consumed with tragedy he has returned from Serbia in a black veil and a hat whose brim is as big as a flying saucer .|Chester pulls into town from America with a woman called Narcissa -LRB- Maria de Medeiros -RRB- , but whose name might as well be Amnesia sincedsxF ca n't recall any of her life 's unhappiness .
nyt_eng_20040507_0026_14|nyt_eng_200405|nyt_eng_20040507_0026|14|nyt_eng_20040507_0026_13|nyt_eng_20040507_0026_15|The prize is a  -LBQ-  crown of tears  -RDQ-  and 25 grand in Depression-era dollars .|Her idea , she tells sponsors , is that there 's a direct correlation between misery and beer consumption , so those from the most economically depressed countries will happily spend to get drunk .| -LBQ-  If you 're sad and like beer ,  -RDQ-  Rossellini intones ,  -LBQ-  I 'm your lady .  -RDQ- 
nyt_eng_20040507_0026_11|nyt_eng_200405|nyt_eng_20040507_0026|11|nyt_eng_20040507_0026_10|nyt_eng_20040507_0026_12|It 's crazy and it works .|Maddin and his crew appear to have had too much to drink , which suits the film 's subject well .|The distinguished _ not to mention legless _ beer baroness Lady Port-Huntley -LRB- Isabella Rossellini -RRB- issues an international invitation to come to Winnipeg and compete in a contest to see which nation can whip up a tune she 'll judge as the world 's saddest .
nyt_eng_20040507_0026_5|nyt_eng_200405|nyt_eng_20040507_0026|5|nyt_eng_20040507_0026_4|nyt_eng_20040507_0026_6|Ge -RRB- zd in the way that a first kiss is weird .|You 've never tried it before but you go with it because you hear it 's pretty amazing .|His movies are easy , too .
nyt_eng_20040507_0025_18|nyt_eng_200405|nyt_eng_20040507_0025|18|nyt_eng_20040507_0025_17|nyt_eng_20040507_0025_19| -LBQ-  You do n't need to follow anybody ! You 've got to think for yourselves ! You 're all different !  -RDQ- |The crowd responds ,  -LBQ-  Yes ! We 're all different !  -RDQ- |And one tiny voice pipes up ,  -LBQ-  I 'm not .  -RDQ- 
nyt_eng_20040507_0025_17|nyt_eng_200405|nyt_eng_20040507_0025|17|nyt_eng_20040507_0025_16|nyt_eng_20040507_0025_18| -LBQ-  You do n't need to follow me ! ,  -RDQ-  he pleads in exasperation .| -LBQ-  You do n't need to follow anybody ! You 've got to think for yourselves ! You 're all different !  -RDQ- |The crowd responds ,  -LBQ-  Yes ! We 're all different !  -RDQ- 
nyt_eng_20040507_0025_14|nyt_eng_200405|nyt_eng_20040507_0025|14|nyt_eng_20040507_0025_13|nyt_eng_20040507_0025_15|As in  -LBQ-  Monty Python and the Holy Grail ,  -RDQ-  civilization is what happens between endless bouts of bickering  -COL-  For every step forward , mankind takes eight steps back .|Parts of  -LBQ-  Life of Brian  -RDQ-  show their age _ the political splinter-group comedy feels very late - '70s , while the casual nudity is a jolt in these conservative times _ but the basic calculus still stings  -COL-  How can people expect to agree on matters of faith when they ca n't agree on lunch ?|Grand mockery , all of it , but the scene that goes in the Movie Metaphysics highlight reel is when the reluctant Brian finally addresses his followers .
nyt_eng_20040507_0025_8|nyt_eng_200405|nyt_eng_20040507_0025|8|nyt_eng_20040507_0025_7|nyt_eng_20040507_0025_9|At its Swiftian best , the film suggests that the human urge to follow self-proclaimed messiahs is the trait that links us most closely to the lemming .|At its worst , it 's just ruthlessly silly .| -LBQ-  Life of Brian  -RDQ-  is n't about Jesus , of course , but Brian Cohen -LRB- the late Graham Chapman -RRB- , the nice Jewish boy born next door to the famous manger .
nyt_eng_20040507_0024_11|nyt_eng_200405|nyt_eng_20040507_0024|11|nyt_eng_20040507_0024_10|nyt_eng_20040507_0024_12|The report also criticizes the Patriot Act , the Bush administration 's main anti-terrorism law , which many Muslims claim is discriminatory .|The anger among American Muslims needs to be set against many things _ not least the far worse human-rights records in the countries that many American Muslims fled .|Anecdotally at least , there does seems to be a brighter side to America 's sudden anxiety about Islam .
nyt_eng_20040507_0024_9|nyt_eng_200405|nyt_eng_20040507_0024|9|nyt_eng_20040507_0024_8|nyt_eng_20040507_0024_10|The increase is partly due to CAIR 's expanded monitoring of such comp . aints .|But Mohamed Nimer , the organization 's research director , thinks the rise is largely attributable to other factors , including the war in Iraq and anti-Muslim rhetoric , particularly from the religious right and on talk radio .|The report also criticizes the Patriot Act , the Bush administration 's main anti-terrorism law , which many Muslims claim is discriminatory .
nyt_eng_20040507_0024_8|nyt_eng_200405|nyt_eng_20040507_0024|8|nyt_eng_20040507_0024_7|nyt_eng_20040507_0024_9|A third of the complaints cited government agencies , such as the police , as the offendi , g party , and almost a quarter of the reports came from California .|The increase is partly due to CAIR 's expanded monitoring of such comp . aints .|But Mohamed Nimer , the organization 's research director , thinks the rise is largely attributable to other factors , including the war in Iraq and anti-Muslim rhetoric , particularly from the religious right and on talk radio .
nyt_eng_20040507_0023_30|nyt_eng_200405|nyt_eng_20040507_0023|30|nyt_eng_20040507_0023_29|nyt_eng_20040507_0023_31|President George Bush 's perceived closeness to the Israeli leader has attracted criticism at home as well as abroad  -COL-  50 retired American diplomats wrote to him this week to deplore his policies in the Middle East which , they said , were losing America  -LBQ-  credibility , prestige and friends .  -RDQ- |Even if the Gaza withdrawal were to go ahead , it would not resolve the question of -LRB- wHet is to become of the equally controversial and much bigger Jewish settlements oay 4 , two days after Likud 's rmbUbf to Sharon , the four backers of the almost discarded  -LBQ-  road map  -RDQ-  to peace between Israelis and Palestinians _ the United States , the European Union , Russia and the United Nations _ met to discuss how to revive it .|For want of anything better , they endorsed the Gaza plan as  -LBQ-  a positive step  -RDQ-  that could  -LBQ-  restart progress on the roadmap ,  -RDQ-  while they also , as usual , urged all sides to get back to talks .
nyt_eng_20040507_0023_21|nyt_eng_200405|nyt_eng_20040507_0023|21|nyt_eng_20040507_0023_20|nyt_eng_20040507_0023_22|Opinion polls indicate solid support for a withdrawal from Gaza .|Probably most Israelis believe that , on balance , the settlements there make them less safe .|The need to defend a handful of settlers swallows up a huge chunk of the defense budget , wh + le their presence enrages Palestinians .
nyt_eng_20040507_0023_19|nyt_eng_200405|nyt_eng_20040507_0023|19|nyt_eng_20040507_0023_18|nyt_eng_20040507_0023_20|He would probably win such a poll .|The average Israeli is less allergic to surrendering land than the average Likudnik .|Opinion polls indicate solid support for a withdrawal from Gaza .
nyt_eng_20040507_0023_14|nyt_eng_200405|nyt_eng_20040507_0023|14|nyt_eng_20040507_0023_13|nyt_eng_20040507_0023_15|Or he could hold a nationwide referendum on the pullout .|All these options would be politically risky .|Sharon would be acting against the clearly expressed wishes of the party he helped to found .
nyt_eng_20040507_0022_13|nyt_eng_200405|nyt_eng_20040507_0022|13|nyt_eng_20040507_0022_12|nyt_eng_20040507_0022_14|Although censorship is in theory controlled by Iran 's reformist government , headed by President Muhammad Khatami , it is unlikely that  -LBQ-  Marmulak  -RDQ-  could have been made without support from some in the conservative establishment .|Though the film is not being shown in two cities known for their piety , Iran 's most senior ayatollahs have so far expressed their unhappiness in private ; it is still possible that the film will be taken off the screens .|Having used their unaccountable powers to kill Khatami 's reform movement , conservative clerics have never been less loved .
nyt_eng_20040507_0022_6|nyt_eng_200405|nyt_eng_20040507_0022|6|nyt_eng_20040507_0022_5|nyt_eng_20040507_0022_7|Kamal Tabrizi 's comedy , about Reza , a fugitive criminal disguised as a mullah , is very funny .|But it is also a taboo-breaker , which is one reason it has enjoyed the most successful opening in Iranian film history .| -LBQ-  Marmulak  -RDQ-  punctures clerical self-esteem more comprehensively than any Iranian film since the ayatollahs took power in 1980 .
nyt_eng_20040507_0022_5|nyt_eng_200405|nyt_eng_20040507_0022|5|nyt_eng_20040507_0022_4|nyt_eng_20040507_0022_6|Until April 21 that is , when  -LBQ-  Marmulak  -RDQ-  _ which translates as  -LBQ-  Lizard  -RDQ-  _ a film that contains these and other impious gibes , came out in several Iranian cities .|Kamal Tabrizi 's comedy , about Reza , a fugitive criminal disguised as a mullah , is very funny .|But it is also a taboo-breaker , which is one reason it has enjoyed the most successful opening in Iranian film history .
