hit_id,category,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent
apw_eng_19951126_0840_5:5,neg-ext-nonsubj,too_careful,too,careful,"One can never be too careful ,  -RDQ-  said the ad for RSU condoms , published Friday by the Oslo tabloid Dagbladat .",apw_eng_19951126_0840_5,5,apw_eng_199511,-LBQ-  It happens in the best of families .,"The ad appeared the day after Norwegian television aired a BBC interview in which the princess said she had been unfaithful to her husband , Prince Charles ."
apw_eng_19951126_0767_5:5,neg-ext-nonsubj,too_careful,too,careful,"One can never be too careful ,  -RDQ-  said the ad for RSU condoms , published by the Oslo tabloid Dagbladat on Friday .",apw_eng_19951126_0767_5,5,apw_eng_199511,-LBQ-  It happens in the best of families .,"The ad appeared the day after Norwegian television aired a British Broadcasting Corp. interview in which the princess admitted to having been unfaithful to her husband , Prince Charles ."
apw_eng_19951126_0620_18:4,neg-ext-nonsubj,too_late,too,late,"It is never too late , not until people die ,  -RDQ-  Mark said .",apw_eng_19951126_0620_18,4,apw_eng_199511,"-LBQ-  I am sorry it took so long , but heaven help us if we say it is too late ...",
apw_eng_19951126_0528_16:25,neg-ext-nonsubj,too_late,too,late,"-LBQ-  I am sorry it took so long , but heaven help us if we say it is too late ... It is never too late , not until people die ,  -RDQ-  Mark said .",apw_eng_19951126_0528_16,25,apw_eng_199511,Mark bristled at such suggestions .,dmc-dp
apw_eng_19951125_0296_6:5,neg-ext-nonsubj,too_careful,too,careful,"One can never be too careful ,  -RDQ-  said the ad for RFSU condoms published by the Oslo tabloid Dagbladet .",apw_eng_19951125_0296_6,5,apw_eng_199511,-LBQ-  It happens in the best of families .,"Norwegian newspapers Saturday reported that Buckingham palace was furious about the advertisement , which used Diana 's picture without permission ."
apw_eng_19951122_0882_28:5,neg-ext-nonsubj,so_frightened,so,frightened,"I have never been so frightened in my life ,  -RDQ-  said Fisher .",apw_eng_19951122_0882_28,5,apw_eng_199511,The floor shook .,"The hotel 's lobby ceiling fell in , but was prevented from hitting the floor by a second , lower ceiling ."
apw_eng_19951121_1037_31:6,neg-ext-nonsubj,so_close,so,close,-LBQ-  We 've never been so close .  -RDQ-,apw_eng_19951121_1037_31,6,apw_eng_199511,"-LBQ-  The fundamental objective of the Parti Quebecois remains sovereignty ,  -RDQ-  he said .",Bouchard 's reference to 1997 as a possible referendum date may give the federal government more breathing space as it tries to find proposals that would persuade a majority of Quebec residents they should stay in Canada .
apw_eng_19951120_1079_1:4,neg-ext-nonsubj,so_difficult,so,difficult,Life was never so difficult for Lech Walesa until he became president .,apw_eng_19951120_1079_1,4,apw_eng_199511,,It might just get easier now that he 's been unseated .
apw_eng_19951117_0759_20:4,neg-ext-nonsubj,too_old,too,old,You 're never too old to learn .  -RDQ-,apw_eng_19951117_0759_20,4,apw_eng_199511,I 've learned about angles and so many ways of pumching .,"The former IBF bantamweight and WBC super bantamweight and featherweight champion wants to fight in the United States , but Steward will go to Australia in December to work with him ."
apw_eng_19951116_0495_1:4,neg-ext-nonsubj,too_early,too,early,It 's never too early in the season for a title-affecting match .,apw_eng_19951116_0495_1,4,apw_eng_199511,,"Less than a third of the way into this campaign , co-leaders AC Milan and AC Parma will square off Sunday in an encounter that should set the tone for the race to the  -LBQ-  scudetto .  -RDQ-"
apw_eng_19951116_0212_11:4,neg-ext-nonsubj,too_late,too,late,It 's never too late to reach a settlement .  -RDQ-,apw_eng_19951116_0212_11,4,apw_eng_199511,-LBQ-  I never like to say never .,-LRB- wd -RRB-
apw_eng_19951109_1125_5:25,neg-ext-nonsubj,as_consistent,as,consistent,"Although Tillstrom showed flashes of brilliance in the past beating such big guns as Goran Ivanisevic and Marc Rosset , he 's never been as consistent in a big tournament .",apw_eng_19951109_1125_5,25,apw_eng_199511,"-LBQ-  I 've never played so well indoors before ,  -RDQ-  said Tillstrom , whose favorite surface is clay .","In the qualifying final here , Tillstrom upset Andrea Gaudenzi , an Italian who 's ranked 21st but did n't get into the main draw because he entered too late ."
apw_eng_20071128_1537_28:24,neg-ext-nonsubj,so_happy,so,happy,"-LBQ-  Some children reported statements like ` I 've never spoken to so many friends , ' or ` I 've never been so happy . '  -RDQ-",apw_eng_20071128_1537_28,24,apw_eng_200711,"-LBQ-  The response that we 're getting from these activities is enormous ,  -RDQ-  said Chileshe 's brother , Clement Mubanga Chileshe , who runs a similar program in Zambia .","Not from $ 100 sneakers , fussy baseball gloves or soft leather balls , but donated consignments far less sophisticated than one could find in most American closets ."
