hit_id,category,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent
nyt_eng_20030829_0058_10:8,neg-ext-nonsubj,as_easy,as,easy,But online music shopping will never be as easy as it should be as long as holders of song copyrights insist on unreasonable restrictions on use .,nyt_eng_20030829_0058_10,8,nyt_eng_200308,The downloading experience is bound to get better once iTunes and other services begin to compete for the Windows business later this year .,Each song on Buymusic carries limiting conditions  -COL-  the numbers of computers on which it can be downloaded ; the number of times it can be burned onto a CD ; and the number of portable devices on which it can be copied .
nyt_eng_20030829_0026_42:6,neg-ext-nonsubj,too_safe,too,safe,Because you can never be too safe .,nyt_eng_20030829_0026_42,6,nyt_eng_200308,"I also recommend seeing it during the day , in large cities , where you are nowhere near a cornfield .",The Flick Chick 's Bottom Line  -COL-   -LBQ-  Jeepers Creepers  -RDQ-  ...
nyt_eng_20030827_0021_27:6,neg-ext-nonsubj,that_smart,that,smart,Ah-nold  -COL-  You never were that smart .,nyt_eng_20030827_0021_27,6,nyt_eng_200308,DDN  -COL-  I 'm not sure I 've heard of that party .,"DDN  -COL-  That may be , but it 's been suggested that you 're a political chameleon , copying the styles of others ."
nyt_eng_20030822_0060_3:11,neg-ext-nonsubj,too_high,too,high,The bar set by the federal government can never be too high when it comes to caring for such vulnerable populations .,nyt_eng_20030822_0060_3,11,nyt_eng_200308,Protecting children from abuse and finding permanent homes for those languishing in foster care should be a national priority .,The children 's bureau within the US Department of Health and Human Services has for the first time scrapped the usual bureaucratic benchmarks to evaluate the quality of child protective services .
nyt_eng_20030819_0028_8:4,neg-ext-nonsubj,quite_straightforward,quite,straightforward,"Romney was never quite straightforward about that goal , always striving to make the attack on Bulger sound more high-minded than personal .",nyt_eng_20030819_0028_8,4,nyt_eng_200308,"It was all about eliminating Bulger , an icon of old-style Massachusetts politics .","At any rate , Bulger is gone , undone not by loyalty to a brother but by evasiveness under oath about that loyalty ."
nyt_eng_20030808_0022_18:5,neg-ext-nonsubj,quite_able,quite,able,Mysteries I was never quite able to fathom myself .,nyt_eng_20030808_0022_18,5,nyt_eng_200308,-LBQ-  How are you able to get holes so fast ?  -RDQ-,"Of course , once the original holes were made and my mother would iron on the patch , it did n't bother her quite as much ."
nyt_eng_20030807_0037_12:42,neg-ext-nonsubj,entirely_clear,entirely,clear,"An elite S.W.A.T. team _ actually , a S.W.A.T. unit 's S.W.A.T. unit _ has to transport this prisoner to a federal pen , the airport or another film remake of an old Aaron Spelling TV show ; it 's never entirely clear which .",nyt_eng_20030807_0037_12,42,nyt_eng_200308,"Law in Los Angeles then suddenly evaporates , with all of the city 's thugs , gang-bangers and semi-employed , dangerous-looking actors marshaling thui2 -LRB- forces to spring Montel .",But  -LBQ-  S.W.A.T.  -RDQ-  suffers from a problem of emphasis .
nyt_eng_20030804_0030_14:20,neg-ext-nonsubj,as_sultry,as,sultry,"Oddly , the daily maximums only averaged second at most places , but the July nights have never been as sultry in these Western towns .",nyt_eng_20030804_0030_14,20,nyt_eng_200308,"In Helena , Mont. , this was not only the hottest July , but also marked the fourth time in the past seven years that July has been one of the hottest months on record .",Little lasting relief is foreseen for the next week .
nyt_eng_20030801_0035_2:16,neg-ext-nonsubj,too_early,too,early,"According to Dr. Marc Weissbluth , a pediatrician and sleep researcher , it 's never too early to begin sleep training .",nyt_eng_20030801_0035_2,16,nyt_eng_200308,SLEEP TIGHT  -COL-  Nothing eases the transition into parenthood better than a baby who sleeps .,"Unhealthy sleep patterns can lead to cranky , overtired babies ."
nyt_eng_20021030_0329_21:5,neg-ext-nonsubj,really_over,really,over,"-LBQ-  It 's never really over ,  -RDQ-  said former Ravens teammate Tony Siragusa .",nyt_eng_20021030_0329_21,5,nyt_eng_200210,"The storm has quieted since , though not completely .",-LBQ-  I remember playing with him last year and fans would yell stuff out of the stands .  -RDQ-
nyt_eng_20021030_0189_24:5,neg-ext-nonsubj,totally_comfortable,totally,comfortable,-LBQ-  We were never totally comfortable with the results collected from the stopwatch because of the possibility of human error .  -RDQ-,nyt_eng_20021030_0189_24,5,nyt_eng_200210,"-LBQ-  GPS is better scientific proof ,  -RDQ-  Sivasailam said .","One error the stopwatch never detected was deviations from routes assigned to the drivers , who are temporary employees hired by the council ."
nyt_eng_20021029_0272_23:22,neg-ext-nonsubj,so_picky,so,picky,"-LBQ-  They 're the best ,  -RDQ-  said Reed , emphasizing that Judd 's a nice woman who 'd never be so picky .",nyt_eng_20021029_0272_23,22,nyt_eng_200210,"imported bagels , but Sandy Reed , who as the smilingly described  -LBQ-  crafts service goddess  -RDQ-  for  -LBQ-  Blackout  -RDQ-  provided perpetual snack food for the stars , says Judd 's fare _ toasted onion bagels with whipped organic cream cheese and a little bit of butter _ came not from New York but from the Redwood Bagel Co. in Novato .",P.S.
nyt_eng_20021029_0142_37:12,neg-ext-nonsubj,very_easy,very,easy,-LBQ-  But both Betty 's and my taste has never been very easy to quantify .,nyt_eng_20021029_0142_37,12,nyt_eng_200210,"-LBQ-  I do n't know if that kind of thing captures women 's imaginations in quite the same way that it does men 's ,  -RDQ-  says Topping , who notes that Kathryn Bigelow -LRB-  -LBQ-  Point Break ,  -RDQ-   -LBQ-  K-19  -RDQ-  -RRB- is the only female director who regularly tackles the action genre .",She was pretty good at this .
nyt_eng_20021028_0056_38:20,neg-ext-nonsubj,too_careful,too,careful,"The ball landed in Erstad 's glove , cradled by his throwing hand because an Angel can never be too careful , and Edison Field blew up in a display that could be heard all the way to 1961 .",nyt_eng_20021028_0056_38,20,nyt_eng_200210,-RDQ-,Fire blasted from the rock formation beyond center field .
nyt_eng_20021028_0049_16:5,neg-ext-nonsubj,too_early,too,early,-LBQ-  It 's never too early in the season for a bye week .  -RDQ-,nyt_eng_20021028_0049_16,5,nyt_eng_200210,"-LBQ-  Football is a rough sport ,  -RDQ-  McCaffrey said .","This was the Broncos ' third win in four road games , and this was a commanding performance , since Denver also missed two field goal attempts , lost a fumble and an interception , and even yielded a 50-yard pass interference penalty ."
nyt_eng_20021027_0004_86:13,neg-ext-nonsubj,real_important,real,important,"I 'm still excited about that , but it 's never been real important to me to prove somebody wrong .",nyt_eng_20021027_0004_86,13,nyt_eng_200210,I 'd be lying if I did n't say I was excited about the idea of playing the Patriots twice a year .,That 's never been a motivating force for me .
nyt_eng_20021025_0284_44:9,neg-ext-nonsubj,as_big,as,big,"Web discounts , they say , were never as big and widespread as travelers had thought , and the savings that Orbitz is helping them achieve more than outweigh the discounts it propagates .",nyt_eng_20021025_0284_44,9,nyt_eng_200210,"But the wounds , they contend , are not self-inflicted .","-LBQ-  Orbitz has turned out to be very successful from our point of view ,  -RDQ-  said Gregory T. Taylor , a senior vice president of United Airlines ."
nyt_eng_20021025_0217_80:4,neg-ext-nonsubj,quite_satisfied,quite,satisfied,He was never quite satisfied with what he was doing .,nyt_eng_20021025_0217_80,4,nyt_eng_200210,Even I did that . ...,...
nyt_eng_20021025_0110_16:12,neg-ext-nonsubj,really_happy,really,happy,"Despite being a happy husband and father , he 's never really happy enough .",nyt_eng_20021025_0110_16,12,nyt_eng_200210,"The comedian 's wavering insecurity is folded into the philosopher 's trademark uncertainty , and the movie , with artful deception , exposes its primary subject to be a deeply torn soul .","-LBQ-  Comedian  -RDQ-  catches him checking in with colleagues -LRB- Garry Shandling -RRB- and heroes -LRB- Robert Klein -RRB- and rediscovering not so much how to be funny but , for God 's sake , why ?"
nyt_eng_20021022_0027_21:5,neg-ext-nonsubj,too_early,too,early,"Proving it 's never too early to start the A&M - Texas hype , Longhorns quarterback Chris Simms was asked to comment on Taylor 's remark , which was phoned over to the UT media session in Austin by a reporter who had been in College Station .",nyt_eng_20021022_0027_21,5,nyt_eng_200210,So I think we 're the best in the Big 12 and one of the top groups in maybe the country .  -RDQ-,"-LBQ-  That 's pretty ridiculous , really ,  -RDQ-  Simms said ."
nyt_eng_20021021_0028_64:4,neg-ext-nonsubj,that_easy,that,easy,"It 's never that easy for new players on a team , and those players are veterans .",nyt_eng_20021021_0028_64,4,nyt_eng_200210,This league is not that easy to walk into .,-LBQ-  He 's talented .
nyt_eng_20021020_0178_68:5,neg-ext-nonsubj,really_true,really,true,"-LBQ-  That was never really true , but Bill brought a lot of energy to the job .",nyt_eng_20021020_0178_68,5,nyt_eng_200210,"-LBQ-  There is a parody of the New Yorker story of a woman left alone at home who would have a slight experience and then a sad frisson , a little shiver at the end ,  -RDQ-  Remnick said .",-LBQ-  Deborah has great taste and enormous literary range .
nyt_eng_20021020_0021_11:11,neg-ext-nonsubj,so_embarrassed,so,embarrassed,"-LBQ-  As a coach , I 've never been quite so embarrassed ,  -RDQ-  Smith said .",nyt_eng_20021020_0021_11,11,nyt_eng_200210,"The Frogs went after the Cardinals from the word go , and a team that had nearly two weeks to prepare for this game looked confused and unsure of itself .",-LBQ-  It comes down to playing with emotion .
nyt_eng_20021019_0101_26:18,neg-ext-nonsubj,fully_rested,fully,rested,"-LBQ-  I 'm going to work tired , I 'm coming home tired , I 'm never fully rested and they do n't care ,  -RDQ-  said Wallace , a retired New York City police officer .",nyt_eng_20021019_0101_26,18,nyt_eng_200210,"I 'm in bed by 7 , I 'm up at 1 and three hours later I 'm walking out the door to go back to work .  -RDQ-","Overtime was common on the police force , he said , but never for months at a time ."
nyt_eng_20021018_0246_20:28,neg-ext-nonsubj,so_plentiful,so,plentiful,"-- Mariko Thompson BIRTH-CONTROL RENAISSANCE  -COL-  Between patches , rings , injections and a new generation of intrauterine devices , birth-control options for women have never been so plentiful .",nyt_eng_20021018_0246_20,28,nyt_eng_200210,"The book also can be ordered online through www.BeverlyKirkhart.com or www.amazon.com , or by calling toll free at -LRB-866-RRB- 431-0918 .","The recent withdrawal of Norplant from the U.S. market , coupled with studies raising concern over reduced bone density and increased risk of heart disease in women taking Depo-Provera , barely caused a ripple among family-planning advocates , who are excited about new products that have entered the market ."
nyt_eng_20021018_0212_51:25,neg-ext-nonsubj,completely_satisfied,completely,satisfied,"-LBQ-  I had a lot of external problems to make the film , but probably the biggest problem was myself because I was never completely satisfied with anything ,  -RDQ-  Hayek admits .",nyt_eng_20021018_0212_51,25,nyt_eng_200210,"So Hayek turned to her significant other ,  -LBQ-  Red Dragon  -RDQ-  star Edward Norton -LRB- who plays Nelson Rockefeller in  -LBQ-  Frida  -RDQ-  -RRB- .",-LBQ-  Edward had been hearing a lot about what I wanted the script to be like and volunteered to rewrite it .
nyt_eng_20021017_0309_11:5,neg-ext-nonsubj,real_impressed,real,impressed,"-LBQ-  Congress is not real impressed by human destiny and never has been ,  -RDQ-  said Spudis .",nyt_eng_20021017_0309_11,5,nyt_eng_200210,"Spudis proved more convincing , though , as he argued that future settlers have much to learn by returning to the moon first , using it as a resource to test the equipment and the techniques needed for more ambitious missions to Mars .","-LBQ-  What I 'm suggesting is that by going to the moon , we can use it as a resource ."
nyt_eng_20021017_0280_54:5,neg-ext-nonsubj,very_good,very,good,"It 's never been very good for my movie career to do that , but that never really mattered to me .  -RDQ-",nyt_eng_20021017_0280_54,5,nyt_eng_200210,-LBQ-  I do a play because I 'm a theater actress .,OVAL OFFICE POLITICS
